"编号","名称","随机名称库","前缀1","前缀2","area1colour","area2colour","大小比例","npctype","小地图显示","npccolour","share","modelID","可否被多人战斗","杂学id","map","编辑器X坐标（策划用）","编辑器Y坐标（策划用）","xPos","yPox","朝向","状态","所在地图层","小地图查询拼音","小地图查询","脚下称谓","头顶特效","脚下称谓策划看","chitchat1","chitchat2","chitchat3","chitchat4","chitchat5","leave","hideable","声音1","声音2","声音3","声音4","是否显示在周围列表","战斗ID","小地图npc颜色"
"160606","幽灵狼","","","","0","0","1","1","幽灵狼","ff00ff0d","0","1020134","0","-1","1606","","","111","45","7","","0","luogeshi","幽灵狼","","","幽灵狼","2213","2214","2215","2216","","告辞","1","tongyong_nan_dazhaohu.mp3","","tongyong_nan_daxiao.mp3","tongyong_nan_tanqi.mp3","0","","ff003303"
"160607","劣人","","","","0","0","1","1","劣人","ff00ff0d","0","1020102","0","-1","1606","997","1377","60","90","3","","0","lieren","劣人","","","劣人","2048","2049","2050","2051","","告辞","1","lieren_1.mp3","lieren_2.mp3","lieren_3.mp3","lieren_4.mp3","0","","ff003303"
"160608","五火球教主","","","","0","0","1","1","五火球教主","ff00ff0d","0","1020112","0","-1","1606","937","1251","60","80","3","","0","wuhuoqiu","五火球教主","","","五火球神教","2076","2077","2078","2079","","告辞","1","wuhuoqiujiaozhu_001.mp3","wuhuoqiujiaozhu_002.mp3","wuhuoqiujiaozhu_003.mp3","wuhuoqiujiaozhu_004.mp3","0","","ff003303"
"160609","五火球教徒","","","","1","0","1","1","五火球教主","ff00ff0d","0","1020112","0","-1","1606","862","1375","50","90","3","","0","wuhuoqiu","五火球教主","","","五火球神教","2076","2077","2078","2079","","告辞","1","wuhuoqiujiaozhu_001.mp3","wuhuoqiujiaozhu_002.mp3","wuhuoqiujiaozhu_003.mp3","wuhuoqiujiaozhu_004.mp3","0","","ff003303"
"160610","五火球教徒","","","","1","0","1","1","五火球教主","ff00ff0d","0","1020112","0","-1","1606","1071","1291","70","80","5","","0","wuhuoqiu","五火球教主","","","五火球神教","2076","2077","2078","2079","","告辞","1","wuhuoqiujiaozhu_001.mp3","wuhuoqiujiaozhu_002.mp3","wuhuoqiujiaozhu_003.mp3","wuhuoqiujiaozhu_004.mp3","0","","ff003303"
"160611","五火球教徒","","","","1","0","1","1","五火球教主","ff00ff0d","0","1020112","0","-1","1606","959","1487","60","90","1","","0","wuhuoqiu","五火球教主","","","五火球神教","2076","2077","2078","2079","","告辞","1","wuhuoqiujiaozhu_001.mp3","wuhuoqiujiaozhu_002.mp3","wuhuoqiujiaozhu_003.mp3","wuhuoqiujiaozhu_004.mp3","0","","ff003303"
"160612","五火球教徒","","","","1","0","1","1","五火球教主","ff00ff0d","0","1020112","0","-1","1606","1086","1466","70","90","7","","0","wuhuoqiu","五火球教主","","","五火球神教","2076","2077","2078","2079","","告辞","1","wuhuoqiujiaozhu_001.mp3","wuhuoqiujiaozhu_002.mp3","wuhuoqiujiaozhu_003.mp3","wuhuoqiujiaozhu_004.mp3","0","","ff003303"
"160701","大小姐","","","","0","0","1","1","大小姐","ff00ff0d","0","1020108","0","-1","1607","","","44","85","1","","0","daxiaojie","大小姐","","","大小姐","2084","2085","2086","2087","","告辞","1","daxiaojie_1.mp3","daxiaojie_2.mp3","daxiaojie_3.mp3","daxiaojie_4.mp3","0","","ff003303"
"160702","方砖","","","","0","0","1","1","方砖","ff00ff0d","0","1020118","0","-1","1607","","","46","73","3","","0","fangzhuan","方砖","","","方砖","2080","2081","2082","2083","","告辞","1","fangzhuan_1.mp3","fangzhuan_2.mp3","fangzhuan_3.mp3","fangzhuan_4.mp3","0","","ff003303"
"160703","暗夜男","","","","0","0","1","1","暗夜男","ff00ff0d","0","1020117","0","-1","1607","","","37","77","3","","0","anyenan","暗夜男","","","暗夜男","2089","2090","2091","","","告辞","1","anyenan_1.mp3","anyenan_2.mp3","anyenan_3.mp3","","0","","ff003303"
"160801","宠物保管人","","","","0","0","1","1","宠物保管人","fffdff5d","0","1030007","0","-1","1608","768","1280","48","80","3","","0","chongwuxunlianshi","宠物保管人","","","宠物保管人","2132","2136","2134","2135","","告辞","0","chongwuxunlian_1.mp3","chongwuxunlian_2.mp3","chongwuxunlian_3.mp3","chongwuxunlian_4.mp3","0","","ff3e2000"
"160802","傻馒","","","","0","0","1","1","傻馒","ff00ff0d","0","1020105","0","-1","1608","336","192","21","12","3","","0","shaman","傻馒","","","傻馒","2044","2045","2046","2456","","告辞","0","shaman_1.mp3","shaman_1.mp3","shaman_3.mp3","180703_06.mp3","0","","ff003303"
"160803","哀木涕","","","","0","0","1","1","哀木涕","ff00ff0d","0","1020101","0","-1","1608","192","320","12","20","3","","0","aimuti","哀木涕","","","哀木涕","2040","2041","2042","2043","","告辞","0","aimuti_1.mp3","aimuti_2.mp3","aimuti_3.mp3","aimuti_4.mp3","0","","ff003303"
"160804","暗夜男","","","","0","0","1","1","暗夜男","ff00ff0d","0","1020117","0","-1","1608","608","464","38","29","5","","0","anyenan","暗夜男","","","暗夜男","2089","2090","2091","","","告辞","1","anyenan_1.mp3","anyenan_2.mp3","anyenan_3.mp3","","0","","ff003303"
"160805","法丝","","","","0","0","1","1","法丝","ff00ff0d","0","1020104","0","-1","1608","1328","256","83","16","5","","0","fasi","法丝","","","法丝","2060","2061","2454","2063","","告辞","0","fasi_1.mp3","fasi_2.mp3","180503_03.mp3","fasi_4.mp3","0","","ff003303"
"160806","呆潜行者","","","","0","0","1","1","呆潜行者","ff00ff0d","0","1020103","0","-1","1608","1472","1552","92","97","5","","0","daizei","呆潜行者","","","呆潜行者","2052","2053","2054","2055","","告辞","0","daizei_1.mp3","daizei_2.mp3","daizei_3.mp3","daizei_4.mp3","0","","ff003303"
"160807","劣人","","","","0","0","1","1","劣人","ff00ff0d","0","1020102","0","-1","1608","992","1040","62","65","5","","0","lieren","劣人","","","劣人","2048","2049","2050","2051","","告辞","0","lieren_1.mp3","lieren_2.mp3","lieren_3.mp3","lieren_4.mp3","0","","ff003303"
"160808","小德","","","","0","0","1","1","小德","ff00ff0d","0","1020115","0","-1","1608","1776","688","111","43","5","","0","xiaode","小德","","","小德","2056","2057","2058","2059","","告辞","0","xiaode_1.mp3","xiaode_2.mp3","xiaode_3.mp3","xiaode_4.mp3","0","","ff003303"
"160809","沐丝","","","","0","0","1","1","沐丝","ff00ff0d","0","1020114","0","-1","1608","848","800","53","50","5","","0","mushi","沐丝","","","沐丝","2064","2067","2066","2455","","告辞","0","musi_1.mp3","musi_3.mp3","musi_2.mp3","180603_02.mp3","0","","ff003303"
"160810","炮姐","","","","0","0","1","1","炮姐","ff00ff0d","0","1020123","0","-1","1608","416","672","26","42","3","","0","paojie","炮姐","","","炮姐","2138","2032","2022","2004","","告辞","1","","","","","0","","ff003303"
"160811","穆拉丁","","","","0","0","1","1","穆拉丁","fffdff5d","0","1010148","0","-1","1608","608","464","38","29","5","","0","mulading","穆拉丁","","","穆拉丁","2269","2270","2271","2271","","告辞","0","tongyong_nan_dazhaohu.mp3","","tongyong_nan_daxiao.mp3","tongyong_nan_tanqi.mp3","0","","ff3e2000"
"160812","劣人","","","","0","0","1","1","劣人","ff4eff59","0","1020102","0","-1","1608","307","1492","19","93","1","","0","lieren","劣人","","","劣人","2048","2049","2050","2051","","告辞","1","lieren_1.mp3","lieren_2.mp3","lieren_3.mp3","lieren_4.mp3","0","","ff078701"
"160813","劣人","","","","0","0","1","1","劣人","ff4eff59","0","1020102","0","-1","1608","566","1373","35","85","4","","0","lieren","劣人","","","劣人","2048","2049","2050","2051","","告辞","1","lieren_1.mp3","lieren_2.mp3","lieren_3.mp3","lieren_4.mp3","0","","ff078701"
"160814","暗夜男","","","","0","0","1","1","暗夜男","ff4eff59","0","1020117","0","-1","1608","682","1589","42","99","7","","0","anyenan","暗夜男","","","暗夜男","2089","2090","2091","","","告辞","1","anyenan_1.mp3","anyenan_2.mp3","anyenan_3.mp3","","0","","ff078701"
"160815","迅猛龙","","","","0","0","1","1","迅猛龙","ff4eff59","0","1010113","0","-1","1608","1208","1360","75","85","5","","0","xunmenglong","迅猛龙","","","迅猛龙","2382","","","","","告辞","1","","","","","0","","ff078701"
"160901","天灾亡灵","","","","2","0","1","1","天灾亡灵","ff00ff0d","0","1010122","0","-1","1609","416","384","26","24","7","","0","tianzaiwangling","天灾亡灵","","","天灾亡灵","2142","2143","2144","2145","","告辞","1","wangling_1.mp3","wangling_2.mp3","wangling_3.mp3","wangling_4.mp3","0","","ff003303"
"160902","天灾亡灵","","","","0","0","1","1","天灾亡灵","ff00ff0d","0","1010122","0","-1","1609","224","448","14","28","1","3","0","tianzaiwangling","天灾亡灵","","","天灾亡灵","2142","2143","2144","2145","","告辞","1","wangling_1.mp3","wangling_2.mp3","wangling_3.mp3","wangling_4.mp3","0","","ff003303"
"160903","天灾亡灵","","","","0","0","1","1","天灾亡灵","ff00ff0d","0","1010122","0","-1","1609","464","224","29","14","5","3","0","tianzaiwangling","天灾亡灵","","","天灾亡灵","2142","2143","2144","2145","","告辞","1","wangling_1.mp3","wangling_2.mp3","wangling_3.mp3","wangling_4.mp3","0","","ff003303"
"160904","焚木村长","","","","0","0","1","1","焚木村长","ff00ff0d","0","1010131","0","-1","1609","656","928","41","58","3","","0","fenmucunzhang","焚木村长","","","焚木村长","2146","2147","2148","2149","","告辞","0","fenmucuncunzhang_001.mp3","fenmucuncunzhang_002.mp3","fenmucuncunzhang_003.mp3","fenmucuncunzhang_004.mp3","0","","ff003303"
"160905","术虱","","","","0","0","1","1","术虱","ff00ff0d","0","1020110","0","-1","1609","1552","912","97","57","5","","0","shushi","术虱","","","术虱","2074","2072","2073","2458","","告辞","0","shushi_1.mp3","shushi_2.mp3","shushi_3.mp3","180903_14.mp3","0","","ff003303"
"160906","哀木涕","","","","0","0","1","1","哀木涕","ff00ff0d","0","1020101","0","-1","1609","1104","672","69","42","3","","0","aimuti","哀木涕","","","哀木涕","2040","2041","2042","2043","","告辞","0","aimuti_1.mp3","aimuti_2.mp3","aimuti_3.mp3","aimuti_4.mp3","0","","ff003303"
"160907","吞噬者芬里厄","","","","3","0","1","1","吞噬者芬里厄","ff00ff0d","0","1010128","0","-1","1609","1456","496","91","31","5","","0","tunshizhefenlisi","吞噬者芬里厄","","","吞噬者芬里厄","2150","2151","2152","2153","","告辞","1","tunshizhefenlisi_001.mp3","molangwogen_002.mp3","molangwogen_003.mp3","molangwogen_004.mp3","0","","ff003303"
"160908","星界法师","","","","0","0","1","1","星界法师","ff00ff0d","0","1030002","0","-1","1609","592","208","37","13","3","","0","maidiwen","莫迪伦","星界法师","","星界法师","2166","2167","2168","2169","","告辞","1","maidiwen_001.mp3","maidiwen_002.mp3","maidiwen_003.mp3","maidiwen_004.mp3","0","","ff003303"
"160909","阿鲁高","","","","0","0","1","1","阿鲁高","ff4eff59","0","1010123","0","-1","1609","832","1024","52","64","7","","0","alugao","阿鲁高","","","阿鲁高","2403","2404","","","","告辞","1","","","","","0","","ff078701"
"160910","狼人","","","","0","0","1","1","狼人","ff4eff59","0","1010121","0","-1","1609","960","976","60","61","5","","0","langren","狼人","","","狼人","2380","2381","","","","告辞","1","","","","","0","","ff078701"
"160911","狼人","","","","0","0","1","1","狼人","ff4eff59","0","1010121","0","-1","1609","944","1184","59","74","7","","0","langren","狼人","","","狼人","2380","2381","","","","告辞","1","","","","","0","","ff078701"
"161001","元帅","","","","0","0","1","1","元帅","ff00ff0d","0","1010131","0","-1","1610","368","336","23","21","3","","0","","元帅","","","元帅","2217","2218","2219","2220","","告辞","1","","","","","0","","ff003303"
"161002","刺客","","","","0","0","1","1","刺客","ff00ff0d","0","1030010","0","-1","1610","","","38","42","3","","0","","刺客","","","刺客","2222","2221","2222","2221","","告辞","1","","","","","0","","ff003303"
"161003","刺客","","","","0","0","1","1","刺客","ff00ff0d","0","1030010","0","-1","1610","","","39","37","3","","0","","刺客","","","刺客","2222","2221","2222","2221","","告辞","1","","","","","0","","ff003303"
"161004","刺客","","","","0","0","1","1","刺客","ff00ff0d","0","1030010","0","-1","1610","","","34","41","3","","0","","刺客","","","刺客","2222","2221","2222","2221","","告辞","1","","","","","0","","ff003303"
"161101","野猪人将军","","","","2","0","1.2","1","野猪人将军","ff00ff0d","0","1010126","0","-1","1611","752","1296","47","81","3","","0","zhuzailamusita","野猪人将军","","","野猪人将军","2176","2177","2178","2179","","告辞","1","zhuzailamusita_001.mp3","zhuzailamusita_002.mp3","zhuzailamusita_003.mp3","zhuzailamusita_004.mp3","0","","ff003303"
"161102","野猪人酋长","","","","1","0","1.2","1","野猪人酋长","ff00ff0d","0","1010126","0","-1","1611","1776","880","111","55","5","","0","kaerjia","野猪人酋长","","","野猪人酋长","2180","2181","2182","","","告辞","0","kaerjia_1.mp3","kaerjia_2.mp3","kaerjia_3.mp3","","0","","ff003303"
"161103","寒冰王子","","","","0","0","1","1","寒冰王子","ff00ff0d","0","1010127","0","-1","1611","1744","640","109","40","5","","0","hanbingwangzi","寒冰王子","","","寒冰王子","2184","2185","2186","","","告辞","1","hanbingwangzi_001.mp3","hanbingwangzi_002.mp3","hanbingwangzi_003.mp3","","0","","ff003303"
