"id","道具id","道具数量","货币类型","货币数量","是否绑定","角标","双倍类型"
"328","337008","1","0","0","0",,"2"
"329","334100","6","0","0","0",,"1"
"330","337007","1","0","0","0",,"1"
"331","335002","1","0","0","0",,"3"
"401","335000","1","0","0","0",,"4"
"402","40008","2","0","0","0","set:jiangli image:2day","5"
"403","337008","1","0","0","0",,"1"
"404","334100","1","0","0","0",,"1"
"405","310102","2","0","0","0","set:jiangli image:5day","1"
"406","335001","1","0","0","0",,"1"
"407","40008","2","0","0","0","set:jiangli image:7day","1"
"408","337008","1","0","0","0",,"1"
"409","334100","2","0","0","0",,"1"
"410","337005","1","0","0","0","set:jiangli image:10day","1"
"411","335001","1","0","0","0",,"1"
"412","360000","5","0","0","0","set:jiangli image:12day","1"
"413","337008","1","0","0","0",,"2"
"414","334100","3","0","0","0",,"3"
"415","337006","1","0","0","0","set:jiangli image:15day","1"
"416","335004","1","0","0","0",,"3"
"417","40008","2","0","0","0","set:jiangli image:17day","4"
"418","337008","1","0","0","0",,"1"
"419","334100","4","0","0","0",,"2"
"420","310102","1","0","0","0","set:jiangli image:20day","1"
"421","335004","1","0","0","0",,"1"
"422","360000","5","0","0","0","set:jiangli image:22day","3"
"423","337008","1","0","0","0",,"4"
"424","334100","5","0","0","0",,"5"
"425","310102","3","0","0","0","set:jiangli image:25day","1"
"426","335002","1","0","0","0",,"1"
"427","40008","2","0","0","0","set:jiangli image:27day","1"
"428","337008","1","0","0","0",,"1"
"429","334100","6","0","0","0",,"1"
"430","337007","1","0","0","0",,"1"
"501","335000","1","0","0","0",,"1"
"502","40008","2","0","0","0","set:jiangli image:2day","1"
"503","337008","1","0","0","0",,"1"
"504","334100","1","0","0","0",,"1"
"505","310102","2","0","0","0","set:jiangli image:5day","2"
"506","335001","1","0","0","0",,"3"
"507","40008","2","0","0","0","set:jiangli image:7day","1"
"508","337008","1","0","0","0",,"3"
"509","334100","2","0","0","0",,"4"
"510","337005","1","0","0","0","set:jiangli image:10day","5"
"511","335001","1","0","0","0",,"1"
"512","360000","5","0","0","0","set:jiangli image:12day","1"
"513","337008","1","0","0","0",,"1"
"514","334100","3","0","0","0",,"1"
"515","337006","1","0","0","0","set:jiangli image:15day","2"
"516","335004","1","0","0","0",,"4"
"517","40008","2","0","0","0","set:jiangli image:17day","3"
"518","337008","1","0","0","0",,"1"
"519","334100","4","0","0","0",,"1"
"520","310102","1","0","0","0","set:jiangli image:20day","2"
"521","335004","1","0","0","0",,"1"
"522","360000","5","0","0","0","set:jiangli image:22day","1"
"523","337008","1","0","0","0",,"3"
"524","334100","5","0","0","0",,"4"
"525","310102","3","0","0","0","set:jiangli image:25day","5"
"526","335002","1","0","0","0",,"1"
"527","40008","2","0","0","0","set:jiangli image:27day","1"
"528","337008","1","0","0","0",,"1"
"529","334100","6","0","0","0",,"1"
"530","337007","1","0","0","0",,"1"
"531","335002","1","0","0","0",,"1"
"601","335000","1","0","0","0",,"1"
"602","40008","2","0","0","0","set:jiangli image:2day","1"
"603","337008","1","0","0","0",,"1"
"604","334100","1","0","0","0",,"1"
"605","310102","2","0","0","0","set:jiangli image:5day","2"
"606","335001","1","0","0","0",,"3"
"607","40008","2","0","0","0","set:jiangli image:7day","1"
"608","337008","1","0","0","0",,"3"
"609","334100","2","0","0","0",,"4"
"610","337005","1","0","0","0","set:jiangli image:10day","1"
"611","335001","1","0","0","0",,"2"
"612","360000","5","0","0","0","set:jiangli image:12day","1"
"613","337008","1","0","0","0",,"1"
"614","334100","3","0","0","0",,"3"
"615","337006","1","0","0","0","set:jiangli image:15day","4"
"616","335004","1","0","0","0",,"5"
"617","40008","2","0","0","0","set:jiangli image:17day","1"
"618","337008","1","0","0","0",,"1"
"619","334100","4","0","0","0",,"1"
"620","310102","1","0","0","0","set:jiangli image:20day","1"
"621","335004","1","0","0","0",,"1"
"622","360000","5","0","0","0","set:jiangli image:22day","1"
"623","337008","1","0","0","0",,"1"
"624","334100","5","0","0","0",,"1"
"625","310102","3","0","0","0","set:jiangli image:25day","1"
"626","335002","1","0","0","0",,"1"
"627","40008","2","0","0","0","set:jiangli image:27day","2"
"628","337008","1","0","0","0",,"3"
"629","334100","6","0","0","0",,"1"
"630","337007","1","0","0","0",,"3"
"701","335000","1","0","0","0",,"4"
"702","40008","2","0","0","0","set:jiangli image:2day","5"
"703","337008","1","0","0","0",,"1"
"704","334100","1","0","0","0",,"1"
"705","310102","2","0","0","0","set:jiangli image:5day","1"
"706","335001","1","0","0","0",,"1"
"707","40008","2","0","0","0","set:jiangli image:7day","2"
"708","337008","1","0","0","0",,"4"
"709","334100","2","0","0","0",,"3"
"710","337005","1","0","0","0","set:jiangli image:10day","1"
"711","335001","1","0","0","0",,"1"
"712","360000","5","0","0","0","set:jiangli image:12day","2"
"713","337008","1","0","0","0",,"1"
"714","334100","3","0","0","0",,"1"
"715","337006","1","0","0","0","set:jiangli image:15day","3"
"716","335004","1","0","0","0",,"4"
"717","40008","2","0","0","0","set:jiangli image:17day","5"
"718","337008","1","0","0","0",,"1"
"719","334100","4","0","0","0",,"1"
"720","310102","1","0","0","0","set:jiangli image:20day","1"
"721","335004","1","0","0","0",,"1"
"722","360000","5","0","0","0","set:jiangli image:22day","1"
"723","337008","1","0","0","0",,"1"
"724","334100","5","0","0","0",,"1"
"725","310102","3","0","0","0","set:jiangli image:25day","1"
"726","335002","1","0","0","0",,"1"
"727","40008","2","0","0","0","set:jiangli image:27day","1"
"728","337008","1","0","0","0",,"2"
"729","334100","6","0","0","0",,"3"
"730","337007","1","0","0","0",,"1"
"731","335002","1","0","0","0",,"3"
"801","335000","1","0","0","0",,"4"
"802","40008","2","0","0","0","set:jiangli image:2day","1"
"803","337008","1","0","0","0",,"2"
"804","334100","1","0","0","0",,"1"
"805","310102","2","0","0","0","set:jiangli image:5day","1"
"806","335001","1","0","0","0",,"3"
"807","40008","2","0","0","0","set:jiangli image:7day","4"
"808","337008","1","0","0","0",,"5"
"809","334100","2","0","0","0",,"1"
"810","337005","1","0","0","0","set:jiangli image:10day","1"
"811","335001","1","0","0","0",,"1"
"812","360000","5","0","0","0","set:jiangli image:12day","1"
"813","337008","1","0","0","0",,"1"
"814","334100","3","0","0","0",,"1"
"815","337006","1","0","0","0","set:jiangli image:15day","1"
"816","335004","1","0","0","0",,"1"
"817","40008","2","0","0","0","set:jiangli image:17day","1"
"818","337008","1","0","0","0",,"1"
"819","334100","4","0","0","0",,"2"
"820","310102","1","0","0","0","set:jiangli image:20day","3"
"821","335004","1","0","0","0",,"1"
"822","360000","5","0","0","0","set:jiangli image:22day","3"
"823","337008","1","0","0","0",,"4"
"824","334100","5","0","0","0",,"5"
"825","310102","3","0","0","0","set:jiangli image:25day","1"
"826","335002","1","0","0","0",,"1"
"827","40008","2","0","0","0","set:jiangli image:27day","1"
"828","337008","1","0","0","0",,"1"
"829","334100","6","0","0","0",,"2"
"830","337007","1","0","0","0",,"4"
"831","335002","1","0","0","0",,"3"
"901","335000","1","0","0","0",,"1"
"902","40008","2","0","0","0","set:jiangli image:2day","1"
"903","337008","1","0","0","0",,"2"
"904","334100","1","0","0","0",,"1"
"905","310102","2","0","0","0","set:jiangli image:5day","1"
"906","335001","1","0","0","0",,"3"
"907","40008","2","0","0","0","set:jiangli image:7day","4"
"908","337008","1","0","0","0",,"5"
"909","334100","2","0","0","0",,"1"
"910","337005","1","0","0","0","set:jiangli image:10day","1"
"911","335001","1","0","0","0",,"1"
"912","360000","5","0","0","0","set:jiangli image:12day","1"
"913","337008","1","0","0","0",,"1"
"914","334100","3","0","0","0",,"1"
"915","337006","1","0","0","0","set:jiangli image:15day","1"
"916","335004","1","0","0","0",,"1"
"917","40008","2","0","0","0","set:jiangli image:17day","1"
"918","337008","1","0","0","0",,"1"
"919","334100","4","0","0","0",,"2"
"920","310102","1","0","0","0","set:jiangli image:20day","3"
"921","335004","1","0","0","0",,"1"
"922","360000","5","0","0","0","set:jiangli image:22day","3"
"923","337008","1","0","0","0",,"4"
"924","334100","5","0","0","0",,"1"
"925","310102","3","0","0","0","set:jiangli image:25day","2"
"926","335002","1","0","0","0",,"1"
"927","40008","2","0","0","0","set:jiangli image:27day","1"
"928","337008","1","0","0","0",,"3"
"929","334100","6","0","0","0",,"4"
"930","337007","1","0","0","0",,"5"
"1001","335000","1","0","0","0",,"1"
"1002","40008","2","0","0","0","set:jiangli image:2day","1"
"1003","337008","1","0","0","0",,"1"
"1004","334100","1","0","0","0",,"1"
"1005","310102","2","0","0","0","set:jiangli image:5day","1"
"1006","335001","1","0","0","0",,"1"
"1007","40008","2","0","0","0","set:jiangli image:7day","1"
"1008","337008","1","0","0","0",,"1"
"1009","334100","2","0","0","0",,"1"
"1010","337005","1","0","0","0","set:jiangli image:10day","1"
"1011","335001","1","0","0","0",,"2"
"1012","360000","5","0","0","0","set:jiangli image:12day","3"
"1013","337008","1","0","0","0",,"1"
"1014","334100","3","0","0","0",,"3"
"1015","337006","1","0","0","0","set:jiangli image:15day","4"
"1016","335004","1","0","0","0",,"5"
"1017","40008","2","0","0","0","set:jiangli image:17day","1"
"1018","337008","1","0","0","0",,"1"
"1019","334100","4","0","0","0",,"1"
"1020","310102","1","0","0","0","set:jiangli image:20day","1"
"1021","335004","1","0","0","0",,"2"
"1022","360000","5","0","0","0","set:jiangli image:22day","4"
"1023","337008","1","0","0","0",,"3"
"1024","334100","5","0","0","0",,"1"
"1025","310102","3","0","0","0","set:jiangli image:25day","1"
"1026","335002","1","0","0","0",,"2"
"1027","40008","2","0","0","0","set:jiangli image:27day","1"
"1028","337008","1","0","0","0",,"1"
"1029","334100","6","0","0","0",,"3"
"1030","337007","1","0","0","0",,"4"
"1031","335002","1","0","0","0",,"5"
"1101","335000","1","0","0","0",,"1"
"1102","40008","2","0","0","0","set:jiangli image:2day","1"
"1103","337008","1","0","0","0",,"1"
"1104","334100","1","0","0","0",,"1"
"1105","310102","2","0","0","0","set:jiangli image:5day","1"
"1106","335001","1","0","0","0",,"1"
"1107","40008","2","0","0","0","set:jiangli image:7day","1"
"1108","337008","1","0","0","0",,"1"
"1109","334100","2","0","0","0",,"1"
"1110","337005","1","0","0","0","set:jiangli image:10day","1"
"1111","335001","1","0","0","0",,"2"
"1112","360000","5","0","0","0","set:jiangli image:12day","3"
"1113","337008","1","0","0","0",,"1"
"1114","334100","3","0","0","0",,"3"
"1115","337006","1","0","0","0","set:jiangli image:15day","4"
"1116","335004","1","0","0","0",,"1"
"1117","40008","2","0","0","0","set:jiangli image:17day","2"
"1118","337008","1","0","0","0",,"1"
"1119","334100","4","0","0","0",,"1"
"1120","310102","1","0","0","0","set:jiangli image:20day","3"
"1121","335004","1","0","0","0",,"4"
"1122","360000","5","0","0","0","set:jiangli image:22day","5"
"1123","337008","1","0","0","0",,"1"
"1124","334100","5","0","0","0",,"1"
"1125","310102","3","0","0","0","set:jiangli image:25day","1"
"1126","335002","1","0","0","0",,"1"
"1127","40008","2","0","0","0","set:jiangli image:27day","1"
"1128","337008","1","0","0","0",,"1"
"1129","334100","6","0","0","0",,"1"
"1130","337007","1","0","0","0",,"1"
"1201","335000","1","0","0","0",,"1"
"1202","40008","2","0","0","0","set:jiangli image:2day","1"
"1203","337008","1","0","0","0",,"2"
"1204","334100","1","0","0","0",,"3"
"1205","310102","2","0","0","0","set:jiangli image:5day","1"
"1206","335001","1","0","0","0",,"3"
"1207","40008","2","0","0","0","set:jiangli image:7day","4"
"1208","337008","1","0","0","0",,"5"
"1209","334100","2","0","0","0",,"1"
"1210","337005","1","0","0","0","set:jiangli image:10day","1"
"1211","335001","1","0","0","0",,"1"
"1212","360000","5","0","0","0","set:jiangli image:12day","1"
"1213","337008","1","0","0","0",,"2"
"1214","334100","3","0","0","0",,"4"
"1215","337006","1","0","0","0","set:jiangli image:15day","3"
"1216","335004","1","0","0","0",,"1"
"1217","40008","2","0","0","0","set:jiangli image:17day","1"
"1218","337008","1","0","0","0",,"2"
"1219","334100","4","0","0","0",,"1"
"1220","310102","1","0","0","0","set:jiangli image:20day","1"
"1221","335004","1","0","0","0",,"3"
"1222","360000","5","0","0","0","set:jiangli image:22day","4"
"1223","337008","1","0","0","0",,"5"
"1224","334100","5","0","0","0",,"1"
"1225","310102","3","0","0","0","set:jiangli image:25day","1"
"1226","335002","1","0","0","0",,"1"
"1227","40008","2","0","0","0","set:jiangli image:27day","1"
"1228","337008","1","0","0","0",,"1"
"1229","334100","6","0","0","0",,"1"
"1230","337007","1","0","0","0",,"1"
"1231","335002","1","0","0","0",,"1"
