"ID","任务类型","任务栏任务名称","任务名称","任务目的","任务描述","追踪显示任务名","备注","追踪描述"
"3010013","","","",,,"银堡-3","盲眼守卫","<T t=""失去视觉的狼人战斗力仍然不容小觑，他们的听觉会更加灵敏。""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010014","","","",,,"银堡-4","指挥官","<T t=""曾经荣耀的圣骑士如今也沦为了邪恶法师的走狗！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010015","","","",,,"银堡-5","阿撸高","<T t=""疯狂的邪恶法师，不过他的施法能力比纸还薄！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010016","","","",,,"荒泽-1","狂暴猪王","<T t=""野猪人为了和牛头人争夺生存的领地，将肉体出卖给了天灾军团。""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010017","","","",,,"荒泽-2","亡语者","<T t=""可惜邪恶的亡灵仅仅是把这帮野猪人当成了新的试验品!""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010018","","","",,,"荒泽-3","小奶长者","<T t=""野猪人在治疗方面拥有很高的天赋，毕竟器官数量上占有优势。""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010019","","","",,,"荒泽-4","暴食者","<T t=""受魔法影响的野猪人食量也跟战斗力一样大大增加，活人也被列入了菜单范围！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010020","","","",,,"荒泽-5","寒冰王子","<T t=""前面这个高傲自大的家伙似乎就是野猪人堕落的罪魁祸首！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010021",,,,,,"教堂-1","训犬人","<T t=""这群训练有素的猎犬证明了他们的主人也不容轻视!""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010022",,,,,,"教堂-2","奥法师","<T t=""被洗脑的法师们忠于教堂，奥能法术也正是高阶的象征！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010023",,,,,,"教堂-3","旋风男","<T t=""释放旋风斩的红衣战士从远处看倒是很像跳动的火焰！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010024",,,,,,"教堂-4","莫格莱恩","<T t=""可怕的男人背后一定还有一个可怕的女人！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010025",,,,,,"教堂-5",,"0"
"3010026",,,,,,"埋骨圣地-1","鞭笞者","<T t=""神圣的宗庙孕育了神奇的生物，这些张牙舞爪的树灵跟活了一样！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010027",,,,,,"埋骨圣地-2","腐烂元素","<T t=""乖张的大地元素对于进犯领地的敌人一向从不手软！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010028",,,,,,"埋骨圣地-3","冰巨人","<T t=""圣地还生活着一些头脑简单但拳头很重的上古生物！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010029",,,,,,"埋骨圣地-4","地精工匠","<T t=""天知道地精为什么和这些混乱生物搅合在一起，但他们确实阻碍了我们的前路。""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010030",,,,,,"埋骨圣地-5","玛拉得公主","<T t=""也不知道半神之子看上了公主哪点，会和它一起孕育了这些残暴的半人马！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010031",,,,,,"遗迹-1","弈莫塔","<T t=""这个虚空恐魔曾经属于高等精灵的猎物，如今却成了猎人！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010032",,,,,,"遗迹-2","践踏者","<T t=""食人魔的手段从来都是残酷霸烈的，要么胜利要么死亡！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010033",,,,,,"遗迹-3","埃隆霸波","<T t=""时光的变迁没有改变这个树人对于艾萨拉的忠诚和对这座城市的守护！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010034",,,,,,"遗迹-4","哥多氪大王","<T t=""食人魔的种群只需要用武力就可以赢得尊敬！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010035",,,,,,"遗迹-5","变形者","<T t=""神秘的力量在灵魂发酵，是让人迷失本性还是获得光明！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010036",,,,,,"祭坛-1","预言者","<T t=""狂热的巨魔在这里等待上古邪神的再次降临，这是绝不能容忍的！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010037",,,,,,"祭坛-2","要拉唯握","<T t=""巨龙在被邪神屠杀后，正义的灵魂一直被邪恶力量所奴役！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010038",,,,,,"祭坛-3","要塞卡耳","<T t=""去解放这些英勇的绿龙战士，让他们的灵魂得以解脱！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010039",,,,,,"祭坛-4","依兰内裤斯","<T t=""曾经龙族的绿龙勇士也被迫沦为腐朽的灵魂！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010040",,,,,,"祭坛-5","好卡化身","<T t=""巨魔在祭坛里仍然供奉着邪恶的上古之神，在恶魔真正降临前阻止这场灾难！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010041",,,,,,"深渊-1","俺哥是将军","<T t=""这个黑石矮人简直嚣张到不行！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010042",,,,,,"深渊-2","酒保","<T t=""为了保护他们的麦酒，矮人会不惜和你拼命！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010043",,,,,,"深渊-3","大使","<T t=""前面的那个怪物正是炎魔派到黑铁矮人这边的使者！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010044",,,,,,"深渊-4","大奶同需","<T t=""这个F罩杯壮士可谓追求自由恋爱的先驱！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010045",,,,,,"深渊-5","锁惢深大帝","<T t=""腹黑的黑铁老大，在深渊企图召唤炎魔来打败他的另外两个兄弟。""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010046",,,,,,"雾都-1","安娜丝美丽","<T t=""不是所有女妖都这么自恋，但这个自恋的格外厉害！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010047",,,,,,"雾都-2","苍白者","<T t=""难道他以为可以靠恐惧的装扮就可以吓跑冒险者？""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010048",,,,,,"雾都-3","死骑瑞文","<T t=""为了传说中的战马，go！go！go！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010049",,,,,,"雾都-4","镇长","<T t=""任劳任怨的镇长在被天灾腐蚀之后仍然继续守卫着城镇！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010050",,,,,,"雾都-5","恐惧领主","<T t=""要阻止更多的亡灵重生，必须干掉这个恐惧领主！""></T><T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010051","","","","","","异度学院",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010052","","","","","","异度学院",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010053","","","","","","异度学院",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010054","","","","","","异度学院",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010055","","","","","","异度学院",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010056","","","","","","邪兽堡垒",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010057","","","","","","邪兽堡垒",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010058","","","","","","邪兽堡垒",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010059","","","","","","邪兽堡垒",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010060","","","","","","邪兽堡垒",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010061","","","","","","背叛之手",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010062","","","","","","背叛之手",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010063","","","","","","背叛之手",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010064","","","","","","背叛之手",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010065","","","","","","背叛之手",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010066","","","","","","娜迦之谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010067","","","","","","娜迦之谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010068","","","","","","娜迦之谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010069","","","","","","娜迦之谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010070","","","","","","娜迦之谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010071","","","","","","悲伤墓地",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010072","","","","","","悲伤墓地",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010073","","","","","","悲伤墓地",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010074","","","","","","悲伤墓地",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010075","","","","","","悲伤墓地",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010076","","","","","","纳鲁之城",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010077","","","","","","纳鲁之城",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010078","","","","","","纳鲁之城",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010079","","","","","","纳鲁之城",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010080","","","","","","纳鲁之城",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010081","","","","","","死亡之歌",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010082","","","","","","死亡之歌",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010083","","","","","","死亡之歌",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010084","","","","","","死亡之歌",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010085","","","","","","死亡之歌",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010086","","","","","","粉碎阴谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010087","","","","","","粉碎阴谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010088","","","","","","粉碎阴谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010089","","","","","","粉碎阴谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010090","","","","","","粉碎阴谋",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010091","","","","","","时空之路",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010092","","","","","","时空之路",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010093","","","","","","时空之路",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010094","","","","","","时空之路",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010095","","","","","","时空之路",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010096","","","","","","英雄平台",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010097","","","","","","英雄平台",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010098","","","","","","英雄平台",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010099","","","","","","英雄平台",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
"3010100","","","","","","英雄平台",,"<T t=""击败""></T><T t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""c=""ff00ff00""></T>"
