"id","任务id","策划备注","任务类型","mapid","npcid","step","出现几率","LefttopX","LefttopY","结束任务","装饰npc1","坐标x1","坐标y1","装饰npc2","坐标x2","坐标y2","装饰npc3","坐标x3","坐标y3"
"2020","3010020","荒泽-5","103","1904","180620","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2021","3010021","教堂-1","104","1905","180621","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2022","3010022","教堂-2","104","1905","180622","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2023","3010023","教堂-3","104","1905","180623","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2024","3010024","教堂-4","104","1905","180624","4","","50","50","0","0","50","50","0","85","34","0","0","0"
"2026","3010026","埋骨圣地-1","105","1906","180626","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2027","3010027","埋骨圣地-2","105","1906","180627","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2028","3010028","埋骨圣地-3","105","1906","180628","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2029","3010029","埋骨圣地-4","105","1906","180629","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2030","3010030","埋骨圣地-5","105","1906","180630","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2031","3010031","遗迹-1","106","1907","180631","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2032","3010032","遗迹-2","106","1907","180632","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2033","3010033","遗迹-3","106","1907","180633","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2034","3010034","遗迹-4","106","1907","180634","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2035","3010035","遗迹-5","106","1907","180635","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2036","3010036","祭坛-1","107","1908","180636","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2037","3010037","祭坛-2","107","1908","180637","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2038","3010038","祭坛-3","107","1908","180638","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2039","3010039","祭坛-4","107","1908","180639","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2040","3010040","祭坛-5","107","1908","180640","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2041","3010041","深渊-1","108","1909","180641","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2042","3010042","深渊-2","108","1909","180642","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2043","3010043","深渊-3","108","1909","180643","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2044","3010044","深渊-4","108","1909","180644","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2045","3010045","深渊-5","108","1909","180645","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2046","3010046","雾都-1","109","1910","180646","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2047","3010047","雾都-2","109","1910","180647","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2048","3010048","雾都-3","109","1910","180648","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2049","3010049","雾都-4","109","1910","180649","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2050","3010050","雾都-5","109","1910","180650","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2051","3010051","异度学院","110","1911","180651","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2052","3010052","异度学院","110","1911","180652","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2053","3010053","异度学院","110","1911","180653","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2054","3010054","异度学院","110","1911","180654","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2055","3010055","异度学院","110","1911","180655","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2056","3010056","邪兽堡垒","111","1912","180656","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2057","3010057","邪兽堡垒","111","1912","180657","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2058","3010058","邪兽堡垒","111","1912","180658","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2059","3010059","邪兽堡垒","111","1912","180659","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2060","3010060","邪兽堡垒","111","1912","180660","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2061","3010061","背叛之手","112","1913","180661","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2062","3010062","背叛之手","112","1913","180662","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2063","3010063","背叛之手","112","1913","180663","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2064","3010064","背叛之手","112","1913","180664","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2065","3010065","背叛之手","112","1913","180665","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2066","3010066","娜迦之谋","113","1914","180666","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2067","3010067","娜迦之谋","113","1914","180667","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2068","3010068","娜迦之谋","113","1914","180668","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2069","3010069","娜迦之谋","113","1914","180669","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2070","3010070","娜迦之谋","113","1914","180670","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2071","3010071","悲伤墓地","114","1915","180671","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2072","3010072","悲伤墓地","114","1915","180672","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2073","3010073","悲伤墓地","114","1915","180673","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2074","3010074","悲伤墓地","114","1915","180674","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2075","3010075","悲伤墓地","114","1915","180675","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2076","3010076","纳鲁之城","115","1916","180676","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2077","3010077","纳鲁之城","115","1916","180677","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2078","3010078","纳鲁之城","115","1916","180678","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2079","3010079","纳鲁之城","115","1916","180679","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2080","3010080","纳鲁之城","115","1916","180680","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2081","3010081","死亡之歌","116","1917","180681","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2082","3010082","死亡之歌","116","1917","180682","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2083","3010083","死亡之歌","116","1917","180683","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2084","3010084","死亡之歌","116","1917","180684","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2085","3010085","死亡之歌","116","1917","180685","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2086","3010086","粉碎阴谋","117","1918","180686","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2087","3010087","粉碎阴谋","117","1918","180687","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2088","3010088","粉碎阴谋","117","1918","180688","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2089","3010089","粉碎阴谋","117","1918","180689","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2090","3010090","粉碎阴谋","117","1918","180690","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2091","3010091","时空之路","118","1919","180691","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2092","3010092","时空之路","118","1919","180692","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2093","3010093","时空之路","118","1919","180693","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2094","3010094","时空之路","118","1919","180694","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2095","3010095","时空之路","118","1919","180695","5","","52","50","1","0","41","49","0","50","60","0","0","0"
"2096","3010096","英雄平台","119","1920","180696","1","","20","47","0","0","12","47","0","17","59","0","0","0"
"2097","3010097","英雄平台","119","1920","180697","2","","17","95","0","0","9","96","0","16","105","0","0","0"
"2098","3010098","英雄平台","119","1920","180698","3","","57","92","0","0","63","83","0","67","94","0","0","0"
"2099","3010099","英雄平台","119","1920","180699","4","","72","35","0","0","70","24","0","85","34","0","0","0"
"2100","3010100","英雄平台","119","1920","180700","5","","52","50","1","0","41","49","0","50","60","0","0","0"
