"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","道具生效时间","道具过期时间","使用后持续时间（s）","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","加锁时能否消耗","需求锻造等级","需求裁缝等级","需求炼金等级","临时类型","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","是否稀有","摆摊冻结时间"
"331133","326","防具模具","fffff2df","1","1138","个","30","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"30",,,"2","3",,,,,,,,,,"1"
"331134","326","防具模具","fffff2df","1","1138","个","40","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"40",,,"2","3",,,,,,,,,,"1"
"331135","326","防具模具","fffff2df","1","1138","个","50","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"50",,,"2","3",,,,,,,,,,"1"
"331136","326","防具模具","fffff2df","1","1138","个","60","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"60",,,"2","3",,,,,,,,,,"1"
"331137","326","防具模具","fffff2df","1","1138","个","70","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"70",,,"2","3",,,,,,,,,,"1"
"331138","326","防具模具","fffff2df","1","1138","个","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"80",,,"2","3",,,,,,,,,,"1"
"331139","326","防具模具","fffff2df","1","1138","个","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"90",,,"2","3",,,,,,,,,,"1"
"331140","326","防具模具","fffff2df","1","1138","个","100","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"100",,,"2","3",,,,,,,,,,"1"
"331141","326","防具模具","fffff2df","1","1138","个","110","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"110",,,"2","3",,,,,,,,,,"1"
"331142","326","防具模具","fffff2df","1","1138","个","120","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"120",,,"2","3",,,,,,,,,,"1"
"331143","326","防具模具","fffff2df","1","1138","个","130","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"130",,,"2","3",,,,,,,,,,"1"
"331144","326","防具模具","fffff2df","1","1138","个","140","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"140",,,"2","3",,,,,,,,,,"1"
"331145","326","防具模具","fffff2df","1","1138","个","150","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理衣服、头盔，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,"150",,,"2","3",,,,,,,,,,"1"
"331161","342","饰品模具","fffff2df","1","1139","个","10","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"10",,"2","3",,,,,,,,,,"1"
"331162","342","饰品模具","fffff2df","1","1139","个","20","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"20",,"2","3",,,,,,,,,,"1"
"331163","342","饰品模具","fffff2df","1","1139","个","30","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"30",,"2","3",,,,,,,,,,"1"
"331164","342","饰品模具","fffff2df","1","1139","个","40","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"40",,"2","3",,,,,,,,,,"1"
"331165","342","饰品模具","fffff2df","1","1139","个","50","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"50",,"2","3",,,,,,,,,,"1"
"331166","342","饰品模具","fffff2df","1","1139","个","60","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"60",,"2","3",,,,,,,,,,"1"
"331167","342","饰品模具","fffff2df","1","1139","个","70","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"70",,"2","3",,,,,,,,,,"1"
"331168","342","饰品模具","fffff2df","1","1139","个","80","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"80",,"2","3",,,,,,,,,,"1"
"331169","342","饰品模具","fffff2df","1","1139","个","90","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"90",,"2","3",,,,,,,,,,"1"
"331170","342","饰品模具","fffff2df","1","1139","个","100","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"100",,"2","3",,,,,,,,,,"1"
"331171","342","饰品模具","fffff2df","1","1139","个","110","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"110",,"2","3",,,,,,,,,,"1"
"331172","342","饰品模具","fffff2df","1","1139","个","120","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"120",,"2","3",,,,,,,,,,"1"
"331173","342","饰品模具","fffff2df","1","1139","个","130","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"130",,"2","3",,,,,,,,,,"1"
"331174","342","饰品模具","fffff2df","1","1139","个","140","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"140",,"2","3",,,,,,,,,,"1"
"331175","342","饰品模具","fffff2df","1","1139","个","150","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","用于打造或修理项链、鞋子、腰带，等级不能低于装备等级",,"3","161506","使用方法：点击使用","3","6",,,"0",,,"150",,"2","3",,,,,,,,,,"1"
"331201","358","生命附魔卷轴","fffff2df","1","1054","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给衣服附加临时生命上限，效果持续12小时。","<T t=""给衣服附加临时$parameter1$-$parameter2$生命"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"1","2","3",,,,,,,,,,"1"
"331202","358","物攻附魔卷轴","fffff2df","1","1225","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给武器附加临时物理攻击，效果持续12小时。","<T t=""给武器附加临时$parameter1$-$parameter2$物理攻击"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"2","2","3",,,,,,,,,,"1"
"331203","358","法攻附魔卷轴","fffff2df","1","1067","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给项链附加临时法术攻击，效果持续12小时。","<T t=""给项链附加临时$parameter1$-$parameter2$法术攻击"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"3","2","3",,,,,,,,,,"1"
"331204","358","物防附魔卷轴","fffff2df","1","1068","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给头盔附加临时物理防御，效果持续12小时。","<T t=""给头盔附加临时$parameter1$-$parameter2$物理防御"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"4","2","3",,,,,,,,,,"1"
"331205","358","法防附魔卷轴","fffff2df","1","1069","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给鞋子附加临时法术防御，效果持续12小时。","<T t=""给鞋子附加临时$parameter1$-$parameter2$法术防御"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"5","2","3",,,,,,,,,,"1"
"331206","358","愤怒附魔卷轴","fffff2df","1","1070","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给腰带附加临时愤怒上限，效果持续12小时。","<T t=""给腰带附加临时$parameter1$-$parameter2$怒气上限"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"6","2","3",,,,,,,,,,"1"
"331207","358","治疗附魔卷轴","fffff2df","1","1110","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给武器附加临时治疗强度，效果持续12小时。","<T t=""给武器附加临时$parameter1$-$parameter2$治疗强度"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"7","2","3",,,,,,,,,,"1"
"331208","358","控制附魔卷轴","fffff2df","1","1109","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给衣服附加临时控制命中和控制抗性，效果持续12小时。","<T t=""给衣服附加临时$parameter1$-$parameter2$控制命中和$parameter3$-$parameter4$控制抗性"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"8","2","3",,,,,,,,,,"1"
"331209","358","速度附魔卷轴","fffff2df","1","1111","张","1","1","5500","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","蕴含魔力的附魔卷轴，可以给鞋子附加临时速度，效果持续12小时。","<T t=""给鞋子附加临时$parameter1$-$parameter2$速度"" c=""ff00ff00""></T>","3","161506","使用方法：点击使用","0",,,,"0",,,,"9","2","3",,,,,,,,,,"1"
"331300","118","藏宝图","fffff2df","1","1155","张","0","25","9999","true","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","60","普通藏宝图，能帮助考古的人找到埋藏宝藏的地点。","考古挖宝","","10381","使用方法:在寻宝界面直接使用","4",,,,"0",,,,,,,,,,,,,,,,
"331301","198","高级藏宝图","FFd200ff","4","1100","张","0","25","9999","false","0","0","0","0","0","0","false","false","false","0","0","1","1","1","0","60","高级藏宝图，能帮助考古的人找到埋藏稀世珍宝的地点。","考古挖宝",,"10381","使用方法:在寻宝界面直接使用","4",,,,"0",,,,,,,,,,,,,,,"1",
"331350","374","时空龙鳞","FFd200ff","4","1058","片","0","1","5600","false","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","合成高级藏宝图的必备材料。","藏宝图合成材料","","0","使用方法：高级藏宝图合成中使用","1","161510",,,"0",,,,,"","",,,,,,,,,"1","1"
"331351","374","大地龙鳞","FFd200ff","4","1053","片","0","1","5600","false","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","合成高级藏宝图的必备材料。","藏宝图合成材料","","0","使用方法：高级藏宝图合成中使用","1","161510",,,"0",,,,,"","",,,,,,,,,"1","1"
"331352","374","魔法龙鳞","FF00b1ff","3","1056","片","0","1","5600","false","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","合成高级藏宝图的必备材料。","藏宝图合成材料","","0","使用方法：高级藏宝图合成中使用","1","161510",,,"0",,,,,"","",,,,,,,,,"1","1"
"331353","374","生命龙鳞","FF00b1ff","3","1057","片","0","1","5600","false","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","合成高级藏宝图的必备材料。","藏宝图合成材料","","0","使用方法：高级藏宝图合成中使用","1","161510",,,"0",,,,,"","",,,,,,,,,"1","1"
"331354","374","梦境龙鳞","FF00b1ff","3","1055","片","0","1","5600","false","1","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","合成高级藏宝图的必备材料。","藏宝图合成材料","","0","使用方法：高级藏宝图合成中使用","1","161510",,,"0",,,,,"","",,,,,,,,,"1","1"
"331400","390","狮鹫","FFd200ff","4","1106","匹","0","1","5600","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","狮鹫","坐骑","","0","使用方法：装备打造中使用","0",,,,"0",,,,,"","",,,,,,,,"1","1","7"
"331401","390","烈焰战马","FFd200ff","4","1107","匹","0","1","5600","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","烈焰战马","坐骑","","0","使用方法：装备打造中使用","0",,,,"0",,,,,"","",,,,,,,,"1","1","7"
"331402","390","科多兽","FFd200ff","4","1108","匹","0","1","5600","true","1","0","0","0","0","0","false","false","false","0","0","1","1","1","0","0","科多兽","坐骑","","0","使用方法：装备打造中使用","0",,,,"0",,,,,"","",,,,,,,,"1","1","7"
"332000","518","桶牛（7天）","fffff2df","1","30204","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332001","518","桶牛（30天）","fffff2df","1","30204","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332002","518","桶牛（永久）","fffff2df","1","30204","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332003","518","暗夜男（7天）","fffff2df","1","30253","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332004","518","暗夜男（30天）","fffff2df","1","30253","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332005","518","暗夜男（永久）","fffff2df","1","30253","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332006","518","会长（7天）","fffff2df","1","30243","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332007","518","会长（30天）","fffff2df","1","30243","个","0","1","5600","true","0","0","0","25200","0","0","false","false","false","0","0","1","1","99","0","0","增加三十天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332008","518","会长（永久）","fffff2df","1","30243","个","0","1","5600","true","0","0","0","0","0","0","false","false","false","0","0","1","1","99","0","0","获得永久使用权","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
"332009","518","牛头人酋长（7天）","fffff2df","1","30302","个","0","1","5600","true","0","0","0","10800","0","0","false","false","false","0","0","1","1","99","0","0","增加七天使用时间","可使用伙伴",,,"使用方法：点击使用","0","","","","0",,,,,,,,,,,,,,,,
