"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","说明描述","增加宠物寿命","效果公式","增加当前生命","增加当前生命上限","增加当前真气","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","属性值7","功能枚举","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","是否有品质","需求烹饪等级","烹饪权重","需求炼药等级","炼药权重","炼药材料附加权重","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有"
"320102","291","法力药水","FF00b1ff","3","1015","个","0","1","1007","true","1","0","0","false","false","false","4127","3","3","1","1","0","0","<T t=""炼金师用草药调制的法力药水，能恢复大量法力。"" ></T><B/><T t=""功效：恢复魔法（或魔法储备）=品质*5+50。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","功效：恢复魔法（或魔法储备）$parameter1$点","0","quality*5+50","0","0","0","200","","","","","","","0","","","","","1",,,"1","100",,,,,,,,,,,,"1",
"320103","291","净化药剂","FF00b1ff","3","1016","个","0","1","1007","true","1","0","0","false","false","false","4127","3","0","1","1","0","0","<T t=""用多种草药精心调制的药剂，可用于解除控制类异常状态。"" ></T><B/><T t=""功效：解除控制类异常状态，回复生命=品质*3。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","功效：解除控制类异常状态，回复生命$parameter1$点","0","quality*3","0","0","0","200","","","","","","","0","","","","","1",,,"1","100",,,,,,,,,,,,"1",
"320104","291","复苏药剂","FF00b1ff","3","1013","个","0","1","1007","true","1","0","0","false","false","false","4127","3","0","1","1","0","0","<T t=""奇迹的药水，甚至可令亡者复活，但副作用尚不明确。"" ></T><B/><T t=""功效：复活、恢复生命=品质*5+100。"" ></T>","无","3","161506","使用方法：战斗外使用可以回复生命","功效：复活、恢复生命$parameter1$点","0","quality*5+100","0","0","0","200","","","","","","","0","","","","","1",,,"1","100",,,,,,,,,,,,"1",
"320105","291","重生药剂","FF06cc11","2","1011","个","0","1","1007","true","0","0","0","false","false","false","4127","3","0","1","99","0","0","<T t=""复活药剂，但是只能恢复少量生命。"" ></T><B/><T t=""功效：复活且回复100点生命。"" ></T>","复活并恢复生命","1","161502","使用方法：战斗外使用可以回复生命","功效：复活且回复100点生命","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,,,,,,,,,,,,,
"320150","275","活根草","fffff2df","1","1145","个","0","1","1007","true","0","0","0","false","false","false","4127","3","3","1","99","0","0","<T t=""只有在水边才能找到的药草，外形为根状。"" ></T><B/><T t=""功效：恢复生命200点（战斗外增加等量生命储备）。"" ></T>","恢复生命200点","1","161502","使用方法：战斗外使用可以回复生命","恢复生命200点","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,"50",,,,,,,,,,,,
"320151","275","野钢花","fffff2df","1","1024","个","0","1","1007","true","0","0","0","false","false","false","4127","3","3","1","99","0","0","<T t=""多见于荆棘谷和千针石林，外观为一黄色小花，用途较多。"" ></T><B/><T t=""功效：恢复生命150点（战斗外增加等量生命储备）。"" ></T>","恢复生命150点","1","161502","使用方法：战斗外使用可以回复生命","恢复生命150点","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,"50",,,,,,,,,,,,
"320152","275","银叶草","fffff2df","1","1023","个","0","1","1007","true","0","0","0","false","false","false","4127","3","3","1","99","0","0","<T t=""通常生长在树下，森林中较多，看上去像是蓝紫色的灌木。"" ></T><B/><T t=""功效：恢复魔法150点（战斗外增加等量魔法储备）。"" ></T>","恢复魔法150点","1","161502","使用方法：战斗外使用可以回复生命","恢复魔法150点","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,"50",,,,,,,,,,,,
"320153","275","宁神花","fffff2df","1","1022","个","0","1","1007","true","0","0","0","false","false","false","4127","3","3","1","99","0","0","<T t=""生长在平原地区的淡蓝色小花，形状像是喇叭花。"" ></T><B/><T t=""功效：恢复魔法100点（战斗外增加等量魔法储备）。"" ></T>","恢复魔法100点","1","161502","使用方法：战斗外使用可以回复生命","恢复魔法100点","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,"50",,,,,,,,,,,,
"320154","323","皇血草","FF06cc11","2","1021","个","0","1","1007","true","0","0","0","false","false","false","4127","3","3","1","99","0","0","<T t=""常见的草药，用途较广，外观为红色台状。"" ></T><B/><T t=""功效：恢复生命300点（战斗外增加等量生命储备）。"" ></T>","恢复生命300点","1","161502","使用方法：战斗外使用可以回复生命","恢复生命300点","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,"75",,,,,,,,,,,,
"320155","323","荆棘藻","FF06cc11","2","1020","个","0","1","1007","true","0","0","0","false","false","false","4127","3","3","1","99","0","0","<T t=""多见于浅海海底，外观为绿色水藻。"" ></T><B/><T t=""功效：恢复生命250点（战斗外增加等量生命储备）。"" ></T>","恢复生命250点","1","161502","使用方法：战斗外使用可以回复生命","恢复生命250点","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,"75",,,,,,,,,,,,
"320156","323","魔皇草","FF06cc11","2","1019","个","0","1","1007","true","0","0","0","false","false","false","4127","3","3","1","99","0","0","<T t=""红色花朵，银松森林与贫瘠之地有不少，与雨燕草共生。"" ></T><B/><T t=""功效：恢复魔法150点（战斗外增加等量魔法储备）。"" ></T>","恢复魔法150点","1","161502","使用方法：战斗外使用可以回复生命","恢复魔法150点","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,"75",,,,,,,,,,,,
"320157","323","雨燕草","FF06cc11","2","1018","个","0","1","1007","true","0","0","0","false","false","false","4127","3","3","1","99","0","0","<T t=""与魔皇草共生，平原地带较多。"" ></T><B/><T t=""功效：恢复魔法100点（战斗外增加等量魔法储备）。"" ></T>","恢复魔法100点","1","161502","使用方法：战斗外使用可以回复生命","恢复魔法100点","0","","0","0","0","200","","","","","","","0","","","","","0",,,,,"75",,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
