"编号","类型","显示名","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","对应宠物技能","恢复宠物忠诚度","增加宠物经验","增加宠物寿命","使用次数限制","可否给予战斗中对象","使用后是否消耗","属性名1","属性名2","属性名3","属性名4","属性名5","属性名6","属性值1","属性值2","属性值3","属性值4","属性值5","属性值6","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","摆摊冻结时间","是否稀有"
"311006","49","法术暴击","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","法术攻击时暴击概率增加10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206006","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311007","49","法术连击","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","法术攻击时，有20%概率追加一次攻击，伤害是正常伤害的50%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206007","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311008","49","法术波动","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","每次法术攻击伤害结果在80%至120%之间浮动。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206008","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311009","49","魔之心","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","对敌人的法术伤害结果提高10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206009","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311010","49","法术穿刺","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","法术攻击时忽视对方少量的法术防御。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206010","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311011","49","冥思","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","战斗中，每回合结束时回复等级*0.3的魔法。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206011","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311012","49","吸血","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","物理攻击时，吸收对方所掉生命的20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206012","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311013","49","回春","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","战斗中，每回合自动回复等级*0.8的生命。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206013","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311014","49","凤凰之心","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","死亡时，有20%概率复活，剩余生命为最大生命的60%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206014","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311015","49","格挡","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","受到物理伤害时的格挡几率提高17%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206015","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311016","49","反弹","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","受到物理攻击时有30%概率进行反震，反震伤害结果等于自己受到伤害的25%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206016","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311017","49","神迹","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","每回合结束时自动解除一切异常状态，包括毒、封印、属性降低等。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206017","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311018","49","反击","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","受到普通物理攻击时有30%概率自动反击，反击的伤害是正常伤害的50%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206018","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311019","49","灵敏","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","自身速度增加10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206019","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311020","49","强壮","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","自身生命上限提升10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206020","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311021","49","防御","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","提升等级*0.8的物理防御，但法术伤害结果会降低10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206021","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311022","49","固法","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","提升等级*0.8的法术防御，但物理伤害结果会降低10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206022","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311023","49","幸运","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","被物理攻击时，被暴击概率降低10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206023","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311024","49","迟钝","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","减少自身速度的10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206024","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311025","49","火元素吸收","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","有30%概率吸收火元素法术伤害，回复对应的生命。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206025","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311026","49","水元素吸收","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","有30%概率吸收水元素法术伤害，回复对应的生命。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206026","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311027","49","土元素吸收","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","有30%概率吸收土元素法术伤害，回复对应的生命。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206027","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311028","49","雷元素吸收","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","有30%概率吸收雷元素法术伤害，回复对应的生命。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206028","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311029","49","不死亡魂","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","死亡5回合后自动复活，不受任何状态影响，但也不能使用主动技能和药品回复生命。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206029","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311030","49","驱魔","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","对敌方拥有不死亡魂术单位的物理、法术伤害效果增加50%，并能将其打飞出场外。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206030","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311031","49","潜行","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","自动附加隐身状态2至3回合，隐身状态下物理攻击能力会降低20%，使用技能取消隐身状态。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206031","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311032","49","夜枭感知","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","能探知并攻击敌方隐身状态的单位。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206032","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311033","49","永恒","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","受到的增益状态持续回合数加倍。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206033","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311034","49","精神集中","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","可以抵御控制类异常状态，但自己的物理伤害结果也会降低20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206034","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311035","49","瘟疫","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","普通物理攻击有15%概率使目标中毒，中毒状态下每回合损失10%生命和5%魔法（物理攻击中毒单位时有15%几率被感染）。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206035","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311036","49","追击","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","普通物理攻击杀死对方时，有45%概率对敌方其他目标追加一次攻击，伤害是正常伤害的50%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206036","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311037","49","溅射","FF00b1ff","3","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","普通物理攻击时有15%概率对目标周围的两个敌方单位造成溅射伤害，溅射伤害为主体伤害的20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206037","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,,"1","1"
"311038","49","高级暴击","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","普通物理攻击时暴击概率增加20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206038","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311039","49","高级连击","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","普通物理攻击时，有55%概率追加一次攻击，拥有此技能物理伤害结果会降低20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206039","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311040","49","高级强力","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","提升一定的物理攻击力，如果对方有生物力场或高级生物力场技能，物理伤害结果会减少20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206040","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311041","49","高级穿刺","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","物理攻击时忽视对方一定的物理防御。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206041","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311042","49","高级偷袭","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","物理攻击不会受到反击和反震，并提高10%的物理伤害结果。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206042","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311043","49","高级法术暴击","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","法术攻击时暴击概率增加15%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206043","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311044","49","高级法术连击","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","法术攻击时，有30%概率追加一次攻击，伤害是第一次的50%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206044","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311045","49","高级法术波动","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","每次法术攻击伤害结果在50%至150%之间浮动。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206045","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311046","49","高级魔之心","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","对敌人的法术伤害结果提高20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206046","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311047","49","高级法术穿刺","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","法术攻击时忽视对方一定的法术防御。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206047","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311048","49","高级冥思","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","战斗中，每回合结束时回复等级*0.5的魔法。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206048","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311049","49","高级吸血","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","物理攻击时，吸收对方所掉生命的30%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206049","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311050","49","高级回春","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","战斗中，每回合自动回复等级*1.5的生命。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206050","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311051","49","高级凤凰之心","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","当死亡时，有30%概率满血复活。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206051","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311052","49","高级格挡","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","受到物理伤害时的格挡几率提高27%","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206052","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311053","49","高级反弹","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","受到物理攻击时有30%概率进行反震，反震伤害结果等于自己受到伤害的50%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206053","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311054","49","高级神迹","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","不受所有负面状态影响，包括毒、控制等。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206054","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311055","49","高级反击","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","受到普通物理攻击时有30%概率自动反击，反击的伤害为正常伤害的100%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206055","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311056","49","高级灵敏","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","自身速度增加20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206056","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311057","49","高级强壮","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","自身生命上限提升20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206057","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311058","49","高级防御","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","提升等级*1.2的物理防御，但法术伤害结果会降低10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206058","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311059","49","高级固法","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","提升等级*1.2的法术防御，但物理伤害结果会降低10%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206059","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311060","49","高级幸运","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","被物理攻击时，被暴击概率降低20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206060","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311061","49","高级迟钝","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","减少自身速度的20%，同时增加5%的生命。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206061","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311062","49","高级火元素吸收","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","有30%概率吸收火元素法术伤害，回复对应的生命，吸收失败也可减少火元素法术伤害的30%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206062","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311063","49","高级水元素吸收","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","有30%概率吸收水元素法术伤害，回复对应的生命，吸收失败也可减少水元素法术伤害的30%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206063","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311064","49","高级土元素吸收","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","有30%概率吸收土元素法术伤害，回复对应的生命，吸收失败也可减少土元素法术伤害的30%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206064","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311065","49","高级雷元素吸收","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","有30%概率吸收雷元素法术伤害，回复对应的生命，吸收失败也可减少雷元素法术伤害的30%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206065","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311066","49","高级不死亡魂","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","死亡5回合后自动复活，不受异常状态影响。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206066","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311067","49","高级驱魔","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","对敌方拥有不死亡魂术单位的物理、法术伤害效果增加100%，并能将其打飞出场外。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206067","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311068","49","高级潜行","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","自动附加隐身状态3至5回合，隐身状态下物理伤害结果会降低15%，使用技能取消隐身状态。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206068","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311069","49","高级夜枭感知","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","能探知并攻击敌方隐身状态的单位，受到物理伤害时的格挡几率提高7%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206069","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311070","49","高级永恒","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","受到的增益状态持续回合数增加为原来的4倍。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206070","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311071","49","高级精神集中","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","可以抵御控制类异常状态，受到物理伤害时的格挡几率提高7%，但自己的物理伤害结果也会降低20%。","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206071","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
"311072","49","高级瘟疫","FFd200ff","4","1095","本","0","1","1049","true","1","0","0","false","false","false","0","0","2","1","0","0","普通物理攻击有20%概率使目标中毒，中毒状态下每回合损失10%生命和5%魔法，拥有高级毒技能的宠物对毒免疫（物理攻击中毒单位有15%几率被感染）","学习宠物技能","","10298","打开宠物炼妖界面为宠物学习技能","","","","","206072","0","","","","false","1","","","","","","","","","","","","",,,,,,,,,,"1","3","1"
