"ID","名称","互斥","无效","顶掉","提示信息","互斥地图id"
"500295","提升10%全属性","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500296","提升20%全属性","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500297","提升30%全属性","",,"500280;500281;500282;500283;500284;500285;500286;500287;500288;500289;500290;500291;500292;500293;500294;500295;500296;500297",,
"500323",,"",,"500324;500325;500326",,
"500324",,"",,"500323;500325;500326",,
"500325",,"",,"500324;500323;500326",,
"500326",,"",,"500324;500325;500323",,
"500327","大红用完时","",,"500009",,
"500328","大蓝用完时","",,"500010",,
"500329","宠物大红用完时","",,"500138",,
"500330","宠物大蓝用完时","",,"500139",,
"500331","宠物忠诚用完时","",,"500140",,
"500335",,"",,"500153;500154;500155;500156",,
"500347","离线挂机BUFF","507004;507005;507007;507008;507009;507025",,,,
"500400","死亡禁锢","",,,,
"500447","足印1生命","",,,,
"500448","足印2生命","",,"500447",,
"500449","足印3生命","",,"500448;500449",,
"500455","苦难光环","",,,,
"507001","进入护送状态","500104;507007;507009;507013;500042;507018;507020;500153;500154;500155;500156;500335;507025",,,,
"507002","交易","507013;500042;507020;507018;500335;507025",,,"507018=140524",
"507003","摆摊","507001;500104;507002;507004;507005;507007;507008;507009;507013;500042;507018;507020;500335;507025",,,,
"507004","战斗","507003;507013;507014;507018;500042;507020;500347;507025",,,,
"507005","观战","507001;507003;507007;507009;507013;507014;500042;507018;507020;500335;500347;507025",,,,
"507006","组队","507001;507003;500104;507013;507014;500042;500099;500019;500153;500155;500156;500335;500347",,,,
"507007","成为队长","507001;500104;507003;507005;507013;507014;500042;500099;507018;500019;500153;500155;500156;500274;500335;500347",,,,
"507008","成为队员","507003;500042;500099;500019;500153;500155;500156;500274;500335;500347",,,,
"507009","成为归队队员","507001;500104;507003;507004;507005;507013;500042;500099;507018;500019;500153;500155;500156;500274;500335;500347;507025",,,,
"507010","成为暂离队员","500153;500155;500156;500347",,,,
"507013","进行赛船","507001;500104;507003;507004;507005;507007;507009;500042;500099;507018;507020;500335;507025",,,,
"507014","飞行","507001;500104;507003;507004;507005;507013;500042;500099;507018;507020;500335;500347;507025",,,,
"507015","宠物观看","500042;500335",,,,
"507018","进行小游戏","507001;500104;507002;507004;507005;507009;507013;507014;507020;500043;507025",,,"500043=143141;500104=143813;507002=143843",
"507020","进入剧情动画","507001;500104;507002;507004;507005;507013;507014;507025",,,,
"507025","ROLL点中","",,,,
"507026","在日常副本中","",,,,
"510000","增加生命","500033;500080;509029","500455",,,
"510001","增加法力","500033;500080;509029","500455",,,
"510002","增加百分值生命","500033;500080;509029","500455",,,
"510003","增加百分值法力","500033;500080;509029","500455",,,
"510004","无属性法术伤害","500033;500080;509029;500148",,"500040",,
"510005","物理伤害","500033;500080;509029;500148",,"500040",,
"510006","增加当前生命上限","500033;500080;509029","500455",,,
"510009","复活","500080;509029;500400",,,,
"510010","解毒","500033;500080;509029","500455",,,
"510011","恢复当前防御","500033;500080;509029","500455",,,
"510012","普通物理伤害","500033;500080;509029;500148",,"500040",,
"510013","连击物理伤害","500033;500080;509029;500148",,"500040",,
"510014","追击物理伤害","500033;500080;509029;500148",,"500040",,
"510015","技能物理伤害","500033;500080;509029;500148",,"500040",,
"510017","溅射物理伤害","500033;500080;509029;500148",,"500040",,
"510018","单一目标物技连击","500033;500080;509029;500148",,"500040",,
"510019","恢复伤","500033;500080;509029","500455",,,
"510020","飞镖伤害","500033;500080;509029;500148",,"500040",,
"510022","生命迅捷","500033;500080;509029","500455",,,
"510023","增加伤","500033;500080;509029",,"500040",,
"510024","治疗","500033;500080;509029","500455",,,
"510025","毒伤害","500033;500080;509029;500148",,"500040",,
"510026","强制物理伤害","500033;500080;509029;500148",,"500040",,
"510027","驱散控制","500033;500080;509029",,,,
"510028","驱散控制","500033;500080;509029",,,,
"510029","驱散控制","500033;500080;509029",,,,
"510030","火系法术攻击","500033;500080;509029;500148",,"500040",,
"510031","土系法术攻击","500033;500080;509029;500148",,"500040",,
"510032","水系法术攻击","500033;500080;509029;500148",,"500040",,
"510033","雷系法术攻击","500033;500080;509029;500148",,"500040",,
"510034","驱散后发buff","500033;500080;509029",,,,
"510036","驱散负面状态","500033;500080;509029",,,,
"510044","药品治疗","500033;500080;509029","500455",,,
"510046","药品复活","500080;509029;500400","500455",,,
"510052","HOT治疗","500033;500080;509029","500455",,,
"516000","创建队伍","507003;507005;507004;507001;507013;507018;507020;500104;500153;500155;500156;500347;507025;507026",,,,"1414;1415;1416"
"516001","邀请组队","507003;507001;507013;507018;507021;500104;500153;500155;500156;500274;500347",,,"500274=143748",
"516002","请离队员","507004;507005;507001;507013;507018;507020;500104;500274;507025",,,"500274=143749",
"516003","主动暂离队伍","507004;507005;507001;507013;507018;507020;500104;500274",,,"500274=143750",
"516004","主动退出队伍","507004;507005;507001;507013;507018;507020;500104;500274",,,"500274=143751",
"516005","主动更换队长","507004;507005;507001;507013;507018;507020;507003;500104;500274",,,"500274=143752",
"516006","召唤队员","507004;507005;507001;507013;507018;507020;507003;500104;500274",,,"500274=143753",
"516007","回归队伍","507004;507005;507001;507013;507018;507020;507003;500104;500153;500155;500156;500274",,,"500274=143754",
"516008","进行光环设置","507004;507005;507001;507013;507018;507020;500104",,,"500274=143755",
"516009",,"507004;507005;507013;507018;507020",,,,
"516010","走路","507003;507004;507005;507013;507018;507020;500347",,,,
"516011","释放场景技能","507004;507005;507001;507013;507018;507020;507003;500104",,,,
"516012","跳转点跳转","500348;500349;507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500189;500274;500335;500347",,,"1405=142766;1406=142766;1407=142766;1408=142766;1409=142766;1410=142766","1405;1406;1407;1408;1409;1410"
"516013","道具跳转","500348;500349;507009;507004;507005;507020;507003;507024;507001;500104;500155;500156;500099;500042;500306;500153;500189;507013;500274;500335;500307;500347",,,"1405=142767;1406=142767;1407=142767;1408=142767;1409=142767;1410=142767;1403=141281;1514=143351;1411=143728;1514=143351;500307=144746","1405;1406;1407;1408;1409;1410;1411;1514"
"516014","系统拉人","500348;500349;507009;507004;507005;507020;507003;507024;507001;500104;500155;500156;500099;500042;500306;500153;500189;507013;500104;500274;500307;500335;500347",,,"1405=142768;1406=142768;1407=142768;1408=142768;1409=142768;1410=142768;1514=143351;1411=143728;500307=144244;507001=141217;1418=144948;1419=144948;1420=144948;1421=144948;1411=144948;1506=144948;1512=144948;1527=144948;1538=144948;1540=144948","1506;1403;1514;1405;1406;1407;1408;1409;1410;1411;1418;1419;1420;1421;1411;1506;1512;1527;1538;1540"
"516015","进入游戏","507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;500335",,,,"1405;1406;1407;1408;1409;1410"
"516016","死亡跳转","507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;500274;500335",,,,"1405;1406;1407;1408;1409;1410"
"516017","传送服务跳转","500348;500349;500347;507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500274;500335",,,,
"516018","任务跳转-播动画","500348;500349;507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;507001;507013;500104;500347;500274;500335",,,"1514=143351","1514;1405;1406;1407;1408;1409;1410"
"516019","强制跳转","",,,,
"516020","回职业技能跳转","500348;500349;507009;507004;507005;507020;507003;507024;507001;500155;500156;500099;500042;500306;500153;500189;507013;500347;500104;500274;500335;500307",,,"1405=142769;1406=142769;1407=142769;1408=142769;1409=142769;1410=142769;1514=143351;1411=143728;1403=144130;500307=144746","1403;1514;1405;1406;1407;1408;1409;1410;1411"
"516021","好基友任务跳转","500347;507009;507004;507005;507020;507003;500155;500156;500042;500306;500153;500189;507013;500104;500274;500335",,,,"1405;1406;1407;1408;1409;1410"
"516022","任务跳转-不播动画（包含GM跳转）","500348;500349;500347;507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;507001;507013;500104;500274;500335",,,"1514=143351","1514;1405;1406;1407;1408;1409;1410"
"516023","进入赛船副本","507009;507004;507005;507020;507003;507024;507001;500104;500155;500156;500099;500042;500306;500153;500189;500274;500335",,,"1405=142770;1406=142770;1407=142770;1408=142770;1409=142770;1410=142770;1514=143351;1411=143728;507001=141217;500307=144746","1506;1403;1514;1405;1406;1407;1408;1409;1410;1411"
"516024","出赛船副本","500274",,,,"1405;1406;1407;1408;1409;1410"
"516025","GM拉人跳转","507009;507004;507005;507020;507003;507024;500155;500156;500042;500306;500153;500189;507013;500274;500335",,,,"1405;1406;1407;1408;1409;1410"
"516026","解散队伍","500274",,,"500274=143756",
"516027","结拜拉人","507009;507004;507005;507020;507003;507024;507001;500155;500156;500099;500042;500306;500153;500189;507013;500104;500274;500335;500307",,,"1405=142769;1406=142769;1407=142769;1408=142769;1409=142769;1410=142769;1514=143351;1411=143728;1403=144130;500307=144746","1403;1514;1405;1406;1407;1408;1409;1410;1411"
"509029","宠物-不死亡魂",,,,,
"509011",,"500033;500080;509029",,,,
