"技能id","技能名称","图标编号","主动被动","短描述","技能描述","目标类型","魔法入口","评分","品质","技能消耗","消耗数量","消耗属性编号"
"206052","高级格挡","2","1","让宝宝变强大的高级宠物技能书","<T t=""受到物理伤害时的格挡几率提高27%""/>","1","0","200","2","无消耗",,"-1"
"206053","高级反弹","1","1","让宝宝变强大的高级宠物技能书","<T t=""受到物理攻击时有30%概率进行反震，反震伤害结果等于自己受到伤害的50%。""/>","1","0","200","2","无消耗",,"-1"
"206054","高级神迹","82","1","让宝宝变强大的高级宠物技能书","<T t=""不受所有负面状态影响，包括毒、控制等。""/>","1","0","200","2","无消耗",,"-1"
"206055","高级反击","305","1","让宝宝变强大的高级宠物技能书","<T t=""受到普通物理攻击时有30%概率自动反击，反击的伤害为正常伤害的125%。""/>","1","0","200","2","无消耗",,"-1"
"206056","高级灵敏","304","1","让宝宝变强大的高级宠物技能书","<T t=""自身速度增加20%。""/>","1","0","200","2","无消耗",,"-1"
"206057","高级强壮","303","1","让宝宝变强大的高级宠物技能书","<T t=""自身生命上限提升20%。""/>","1","0","200","2","无消耗",,"-1"
"206058","高级防御","301","1","让宝宝变强大的高级宠物技能书","<T t=""提升等级*1.2的物理防御，但法术伤害结果会降低10%。""/>","1","0","200","2","无消耗",,"-1"
"206059","高级固法","300","1","让宝宝变强大的高级宠物技能书","<T t=""提升等级*1.2的法术防御，但物理伤害结果会降低10%。""/>","1","0","200","2","无消耗",,"-1"
"206060","高级幸运","299","1","让宝宝变强大的高级宠物技能书","<T t=""被物理攻击时，被暴击概率降低20%。""/>","1","0","200","2","无消耗",,"-1"
"206061","高级迟钝","298","1","让宝宝变强大的高级宠物技能书","<T t=""减少自身速度的20%，同时增加5%的生命。""/>","1","0","200","2","无消耗",,"-1"
"206062","高级火元素吸收","297","1","让宝宝变强大的高级宠物技能书","<T t=""有30%概率吸收火元素法术伤害，回复对应的生命，吸收失败也可减少火元素法术伤害的30%。""/>","1","0","200","2","无消耗",,"-1"
"206063","高级水元素吸收","296","1","让宝宝变强大的高级宠物技能书","<T t=""有30%概率吸收水元素法术伤害，回复对应的生命，吸收失败也可减少水元素法术伤害的30%。""/>","1","0","200","2","无消耗",,"-1"
"206064","高级土元素吸收","295","1","让宝宝变强大的高级宠物技能书","<T t=""有30%概率吸收土元素法术伤害，回复对应的生命，吸收失败也可减少土元素法术伤害的30%。""/>","1","0","200","2","无消耗",,"-1"
"206065","高级雷元素吸收","294","1","让宝宝变强大的高级宠物技能书","<T t=""有30%概率吸收雷元素法术伤害，回复对应的生命，吸收失败也可减少雷元素法术伤害的30%。""/>","1","0","200","2","无消耗",,"-1"
"206066","高级不死亡魂","293","1","让宝宝变强大的高级宠物技能书","<T t=""死亡5回合后自动复活，不受异常状态影响。""/>","1","0","200","2","无消耗",,"-1"
"206067","高级驱魔","292","1","让宝宝变强大的高级宠物技能书","<T t=""对敌方拥有不死亡魂术单位的物理、法术伤害效果增加100%，并能将其打飞出场外。""/>","1","0","200","2","无消耗",,"-1"
"206068","高级潜行","290","1","让宝宝变强大的高级宠物技能书","<T t=""自动附加隐身状态3至5回合，隐身状态下物理伤害结果会降低15%，使用技能取消隐身状态。""/>","1","0","200","2","无消耗",,"-1"
"206069","高级夜枭感知","289","1","让宝宝变强大的高级宠物技能书","<T t=""能探知并攻击敌方隐身状态的单位，受到物理伤害时的格挡几率提高7%。""/>","1","0","200","2","无消耗",,"-1"
"206070","高级永恒","288","1","让宝宝变强大的高级宠物技能书","<T t=""受到的增益状态持续回合数增加为原来的4倍。""/>","1","0","200","2","无消耗",,"-1"
"206071","高级精神集中","287","1","让宝宝变强大的高级宠物技能书","<T t=""可以抵御控制类异常状态，受到物理伤害时的格挡几率提高7%，但自己的物理伤害结果也会降低20%。""/>","1","0","200","2","无消耗",,"-1"
"206072","高级瘟疫","286","1","让宝宝变强大的高级宠物技能书","<T t=""普通物理攻击有20%概率使目标中毒，中毒状态下每回合损失10%生命和5%魔法，拥有高级毒技能的宠物对毒免疫（物理攻击中毒单位有15%几率被感染）""/>","1","0","200","2","无消耗",,"-1"
"206073","高级追击","285","1","让宝宝变强大的高级宠物技能书","<T t=""普通物理攻击杀死对方时，有55%概率对敌方其他目标追加一次攻击，伤害是正常伤害的75%。""/>","1","0","200","2","无消耗",,"-1"
"206074","高级溅射","284","1","让宝宝变强大的高级宠物技能书","<T t=""普通物理攻击时有20%概率对目标周围的两个敌方单位造成溅射伤害，溅射伤害为主体伤害的30%。""/>","1","0","200","2","无消耗",,"-1"
"207001","烈火","283","2","让宝宝变强大的宠物技能书","<T t=""火元素单体法术，同时有10%概率降低对方5%的物理和法术防御力，持续3回合。""/>","480","0","80","1","消耗魔法：40","40","100"
"207002","霜冻","282","2","让宝宝变强大的宠物技能书","<T t=""水元素单体法术，同时有10%概率降低对方5%的物理和法术攻击力，持续3回合。""/>","480","0","80","1","消耗魔法：40","40","100"
"207003","陨石","281","2","让宝宝变强大的宠物技能书","<T t=""土元素单体法术，同时有10%概率降低对方5%的速度，持续3回合。""/>","480","0","80","1","消耗魔法：40","40","100"
"207004","雷击","279","2","让宝宝变强大的宠物技能书","<T t=""雷元素单体法术，同时有10%概率驱除对方的所有增益状态。""/>","480","0","80","1","消耗魔法：40","40","100"
"207005","地狱烈火","278","2","让宝宝变强大的高级宠物技能书","<T t=""火元素多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方5%的物理和法术防御力，持续3回合。""/>","480","0","200","2","消耗魔法：60","60","100"
"207006","霜冻新星","277","2","让宝宝变强大的高级宠物技能书","<T t=""水元素多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方3%的物理和法术攻击力，持续3回合。""/>","480","0","200","2","消耗魔法：60","60","100"
"207007","天崩地裂","276","2","让宝宝变强大的高级宠物技能书","<T t=""土元素多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率降低对方5%的速度，持续3回合。""/>","480","0","200","2","消耗魔法：60","60","100"
"207008","雷神之怒","275","2","让宝宝变强大的高级宠物技能书","<T t=""雷元素多体法术，初始攻击两个目标，宠物60级可攻击三个目标，同时有5%概率驱除对方的一项增益状态。""/>","480","0","200","2","消耗魔法：60","60","100"
"207009","壁垒击破","274","2","让宝宝变强大的高级宠物技能书","<T t=""忽视对方一定物理防御强力攻击，不可被防御。""/>","480","0","200","2","消耗魔法：60","60","100"
"207010","剑舞","273","2","让宝宝变强大的高级宠物技能书","<T t=""攻击三个目标，首要和次要目标伤害逐次递减。""/>","480","0","200","2","消耗魔法：90","90","100"
"207011","舍命击","272","2","让宝宝变强大的高级宠物技能书","<T t=""攻击时提高20%的物理攻击力，同时物理和法术防御降低20%。""/>","480","0","200","2","消耗魔法：90","90","100"
"207012","散失之刃","271","2","让宝宝变强大的高级宠物技能书","<T t=""发动时，可以在造成物理伤害同时消耗对方少量的魔法值。""/>","480","0","200","2","消耗魔法：90","90","100"
"207013","英勇打击","270","2","让宝宝变强大的高级宠物技能书","<T t=""发动时，对方的物理伤害力越低，受到的伤害越高。""/>","480","0","200","2","消耗魔法：90","90","100"
"207014","灵魂禁锢","268","2","让宝宝变强大的高级宠物技能书","<T t=""攻击敌人同时有30%概率使敌人附加灵魂禁锢效果，效果持续4回合。""/>","480","0","200","2","消耗魔法：90","90","100"
"207015","法力燃烧","267","2","让宝宝变强大的高级宠物技能书","<T t=""源于上古的秘法，施展群体法术攻击三个单位，同时消耗目标的魔法值，在非玩家对战中还可以将对方损失的魔法值汲取给主人使用。""/>","480","0","200","2","消耗魔法：90","90","100"
"207016","法术否定","266","2","让宝宝变强大的高级宠物技能书","<T t=""极强的法术防御技能，可以防御法术攻击，减少魔法伤害结果60%，持续4回合，只允许对自身使用。""/>","2","0","200","2","消耗魔法：90","90","100"
