"巡逻类id","巡逻组","职业","等级段min","等级段max","地图id","战斗信息编号","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2","16","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","2","17","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","2","18","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","2","19","15","155","1613@100","2563@50;2563@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","3","11","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","3","12","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","3","13","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","3","14","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","3","15","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","3","16","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","3","17","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","3","18","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","3","19","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2564@50;2564@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","4","11","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","4","12","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","4","13","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","4","14","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","4","15","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","4","16","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","4","17","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","4","18","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","4","19","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2565@50;2565@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","5","11","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","5","12","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","5","13","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","5","14","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","5","15","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","5","16","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","5","17","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","5","18","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","5","19","15","155","1605@8;1606@8;1607@8;1608@8;1609@8;1610@8;1611@8;1612@8;1614@8;1616@8","2566@50;2566@50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
