"寻找物品类id","寻找物品组","职业","等级段min","等级段max","回收物品","物品数量","售卖NPC","是否可传说","传说时间限制","是否需求品质","品质系数","品质常数"
"26","3","0","111","155","320101@30;320102@30;320103@30;320104@30","1","160802","","","1","1000","-34"
"27","4","0","15","39","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-15"
"28","4","0","40","45","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-20"
"29","4","0","46","50","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-21"
"30","4","0","51","55","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-22"
"31","4","0","56","60","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-23"
"32","4","0","61","65","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-24"
"33","4","0","66","70","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-25"
"34","4","0","71","75","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-26"
"35","4","0","76","80","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-27"
"36","4","0","81","85","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-28"
"37","4","0","86","90","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-29"
"38","4","0","91","95","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-30"
"39","4","0","96","100","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-31"
"40","4","0","101","105","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-32"
"41","4","0","106","110","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-33"
"42","4","0","111","155","320001@30;320002@30;320003@30;320004@30;320005@10;320006@10","1","160802","","","1","1000","-34"
"43","5","0","15","54","4050101@30;4050102@30;4050103@30;4050104@30;4050105@30;4050106@30;4050207@30;4050208@30;4050309@30;4050310@30;4050411@30;4050512@30;4050613@30","1","160802","","","0","0","0"
"44","5","0","55","64","4050101@30;4050102@30;4050103@30;4050104@30;4050105@30;4050106@30;4050207@30;4050208@30;4050309@30;4050310@30;4050411@30;4050512@30;4050613@30","1","160802","","","0","0","0"
"45","5","0","65","69","4050101@30;4050102@30;4050103@30;4050104@30;4050105@30;4050106@30;4050207@30;4050208@30;4050309@30;4050310@30;4050411@30;4050512@30;4050613@30","1","160802","","","0","0","0"
"46","5","0","70","79","4050101@30;4050102@30;4050103@30;4050104@30;4050105@30;4050106@30;4050207@30;4050208@30;4050309@30;4050310@30;4050411@30;4050512@30;4050613@30","1","160802","","","0","0","0"
"47","5","0","80","89","4050101@30;4050102@30;4050103@30;4050104@30;4050105@30;4050106@30;4050207@30;4050208@30;4050309@30;4050310@30;4050411@30;4050512@30;4050613@30","1","160802","","","0","0","0"
"48","5","0","90","155","4050101@30;4050102@30;4050103@30;4050104@30;4050105@30;4050106@30;4050207@30;4050208@30;4050309@30;4050310@30;4050411@30;4050512@30;4050613@30","1","160802","","","0","0","0"
"49","6","0","15","29","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"50","6","0","30","39","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"51","6","0","40","44","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"52","6","0","45","49","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"53","6","0","50","59","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"54","6","0","60","69","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"55","6","0","70","79","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"56","6","0","80","89","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"57","6","0","90","155","320150@30;320151@30;320152@30;320153@30","1","160802","","","0","0","0"
"58","7","0","15","29","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"59","7","0","30","39","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"60","7","0","40","44","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"61","7","0","45","49","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"62","7","0","50","59","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"63","7","0","60","69","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"64","7","0","70","79","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"65","7","0","80","89","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"66","7","0","90","155","4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040106@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30","1","160802","","","0","0","0"
"67","8","0","15","29","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"68","8","0","30","39","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"69","8","0","40","44","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"70","8","0","45","49","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"71","8","0","50","59","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"72","8","0","60","69","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"73","8","0","70","79","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"74","8","0","80","89","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"75","8","0","90","155","35001@30;35002@30;35003@30;35004@30;35005@30;35006@30;35007@30;35008@30;35009@30","1","160802","","","0","0","0"
"76","9","0","15","54","4060101@30;4060102@30;4060103@30;4060104@30;4060105@30;4060106@30;4060207@30;4060208@30;4060309@30;4060310@30;4060411@30;4060512@30;4060613@30","1","160802","","","0","0","0"
"77","9","0","55","64","4060101@30;4060102@30;4060103@30;4060104@30;4060105@30;4060106@30;4060207@30;4060208@30;4060309@30;4060310@30;4060411@30;4060512@30;4060613@30","1","160802","","","0","0","0"
"78","9","0","65","69","4060101@30;4060102@30;4060103@30;4060104@30;4060105@30;4060106@30;4060207@30;4060208@30;4060309@30;4060310@30;4060411@30;4060512@30;4060613@30","1","160802","","","0","0","0"
"79","9","0","70","79","4060101@30;4060102@30;4060103@30;4060104@30;4060105@30;4060106@30;4060207@30;4060208@30;4060309@30;4060310@30;4060411@30;4060512@30;4060613@30","1","160802","","","0","0","0"
"80","9","0","80","89","4060101@30;4060102@30;4060103@30;4060104@30;4060105@30;4060106@30;4060207@30;4060208@30;4060309@30;4060310@30;4060411@30;4060512@30;4060613@30","1","160802","","","0","0","0"
"81","9","0","90","155","4060101@30;4060102@30;4060103@30;4060104@30;4060105@30;4060106@30;4060207@30;4060208@30;4060309@30;4060310@30;4060411@30;4060512@30;4060613@30","1","160802","","","0","0","0"
