"id","下一步","触发任务id","战斗ID触发","回合数触发","触发功能ID","队伍列表信息","是否判定组队状态","触发等级","道具id","条件道具ID","技能id","等级上限","是否锁屏","是否永久锁屏","按钮名称","响应按钮","按钮形状","相应战斗点位","箭头内容","界面位置","文字位置","图片名称","解锁特效","是否播放提醒动画","引导特效类别","引导特效","辅助引导特效","引导特效缩放比例","出现类型"
"31013","31014","0","","","4","","","0","0","0","0","100","1","0","MainControlDlg/back/skill","MainControlDlg/back/skill","1","","<T t=""技能开启了"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"31014","0","0","","","0","","","0","0","0","0","100","1","0","SkillStudyDlg/yesall","SkillStudyDlg/yesall","1","","<T t=""开始学习技能"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"31015","0","0","","","2","","","0","0","0","0","100","1","0","LogoInfo/backImage/btnzhiyin","LogoInfo/backImage/btnzhiyin","1","","<T t=""点击打开成就界面"" c=""ffefd9b8""></T>","3","3","","0","0","0","11066","11068","1","0"
"31019","31020","0","","","11","","","0","0","0","0","100","1","0","MainControlDlg/back/production","MainControlDlg/back/production","1","","<T t=""强化功能开启了"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"31020","31021","0","","","0","","","0","0","0","0","100","1","0","Lable/button2","Lable/button2","1","","<T t=""点击这里切换“合成”界面"" c=""ffefd9b8""></T>","4","9","","0","0","0","11066","11068","1","0"
"31021","31022","0","","","0","","","0","0","0","0","100","1","0","workshopitemcell/back","workshopitemcell/back","1","","<T t=""选择待合成的宝石"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31022","0","0","","","0","","","0","0","0","0","100","1","0","workshophcnew/Back/hecheng2","workshophcnew/Back/hecheng2","1","","<T t=""赶快合成吧"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31023","31024","0","","","1","","","0","0","0","0","100","1","0","UserPeticon/PetIcon","UserPeticon/PetIcon","1","","<T t=""点击查看宠物信息"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31024","31025","0","","","0","","","0","0","0","0","100","0","0","PetPropertyNew/attriView","PetPropertyNew/attriView","1","","<T t=""宠物基础生存属性"" c=""ffefd9b8"" ></T>","0","7","","0","0","0","11066","11068","1","0"
"31025","31026","0","","","0","","","0","0","0","0","100","0","0","PetPropertyNew/Leftback/image ","PetPropertyNew/Leftback/image","1","","<T t=""宠物基础战斗属性"" c=""ffefd9b8"" ></T>","0","7","","0","0","0","11066","11068","1","0"
"31026","31027","0","","","0","","","0","0","0","0","100","1","0","PetPropertyNew/infoback/info2","PetPropertyNew/infoback/info2","1","","<T t=""查看宠物资质技能"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31027","0","0","","","0","","","0","0","0","0","100","0","0","PetPropertyNew/skillView","PetPropertyNew/skillView","1","","<T t=""宠物资质和技能信息"" c=""ffefd9b8"" ></T>","0","7","","0","0","0","11066","11068","1","0"
"31028","0","0","","","9","","","0","0","0","0","100","1","0","LogoInfo/backImage/btnjiangli","LogoInfo/backImage/btnjiangli","1","","<T t=""查看奖励"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"31030","31031","0","","","5","","","0","0","0","0","100","1","0","MainControlDlg/back/faction","MainControlDlg/back/faction","1","","<T t=""点击打开公会界面"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"31031","31008","0","","","0","","","0","0","0","0","100","0","0","familyjiarudialog/anniu/yijianshenqing","familyjiarudialog/anniu/yijianshenqing","1","","<T t=""点击发出公会申请"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31032","31033","0","","","13","","","0","0","0","0","100","1","0","LogoInfo/backImage/btntishen","LogoInfo/backImage/btntishen","1","","<T t=""点击查看提升能力吧"" c=""ffefd9b8""></T>","3","3","","0","0","0","11066","11068","1","0"
"31033","0","0","","","0","","","0","0","0","0","100","1","0","3yangchengtixingcell","3yangchengtixingcell","1","","<T t=""升级技能"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"31034","31035","0","","","6","","","0","0","0","0","100","1","0","MainControlDlg/back/friend","MainControlDlg/back/friend","1","","<T t=""打开助战界面"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"31035","31036","0","","","0","","","0","0","0","0","100","1","0","huobanzhuzhan/diban/right1/item3","huobanzhuzhan/diban/right1/item3","1","","<T t=""选择助战位置"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31036","31053","0","","","0","","","0","0","0","0","100","1","0","3herohuobazhuzhancell1/cell","3herohuobazhuzhancell1/cell","1","","<T t=""选择助战英雄"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"31037","0","0","","","0","","","0","0","0","0","100","1","0","friendentrance/btn","friendentrance/btn","1","","<T t=""查看好友界面"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"31038","0","0","","","14","","","0","0","0","0","100","1","0","LogoInfo/backImage/btnhuodong","LogoInfo/backImage/btnhuodong","1","","<T t=""点击查看活动"" c=""ffefd9b8""></T>","3","3","","0","0","0","11066","11068","1","0"
"31039","31040","0","","","0","","","0","334000","0","0","100","1","0","TaskuseitemdialogUseToRemindcard/ok","TaskuseitemdialogUseToRemindcard/ok","1","","<T t=""点击使用物品"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31040","0","0","","","0","","","0","0","0","0","100","1","0","20shengjidalibaocell/anniu","20shengjidalibaocell/anniu","1","","<T t=""领取奖励"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31041","31042","0","","","0","","","0","334001","0","0","100","1","0","TaskuseitemdialogUseToRemindcard/ok","TaskuseitemdialogUseToRemindcard/ok","1","","<T t=""点击使用新手礼包"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","-1"
"31042","0","0","","","0","","","0","0","0","0","100","1","1","20shengjidalibaocell/anniu","20shengjidalibaocell/anniu","1","","<T t=""领取奖励"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","-1"
"31043","31044","0","","","0","","","0","0","334002","0","100","1","0","MainControlDlg/back/pack","MainControlDlg/back/pack","1","","<T t=""已获得强力新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","-1"
"31044","31046","0","","","0","","","0","4010626","0","0","100","1","0","0","0","1","","<T t=""查看新装备"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","-1"
"31045","31055","0","","","7","","","0","0","0","0","100","1","0","LogoInfo/backImage/btnguaji","LogoInfo/backImage/btnguaji","1","","<T t=""点击查看挂机界面"" c=""ffefd9b8""></T>","3","3","","0","0","0","11066","11068","1","0"
"31046","31047","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","-1"
"31047","31048","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","-1"
"31048","31049","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","-1"
"31049","31051","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","-1"
"31051","31052","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","-1"
"31050","0","0","","","8","","","0","0","0","0","100","1","0","LogoInfo/backImage/paihang","LogoInfo/backImage/paihang","1","","<T t=""点击查看排行榜"" c=""ffefd9b8""></T>","3","3","","0","0","0","11066","11068","1","1"
"31052","0","0","","","0","","","0","0","0","0","100","1","0","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","-1"
"31053","31054","0","","","0","","","0","0","0","0","100","1","0","4herohuobazhuzhancell1/cell","4herohuobazhuzhancell1/cell","1","","<T t=""查看助战英雄"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"31054","0","0","","","0","","","0","0","0","0","100","1","0","huobanzhuzhaninfo/btnxiazhen","huobanzhuzhaninfo/btnxiazhen","1","","<T t=""选择上阵"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31055","31056","0","","","0","","","0","0","0","0","100","1","0","mapchosedialog_mtg/nowleave","mapchosedialog_mtg/nowleave","1","","<T t=""领取每日试炼任务"" c=""ffefd9b8""></T>","4","9","","0","0","0","11066","11068","1","0"
"31056","0","0","","","0","","","0","0","0","0","100","1","0","mapchosedialog_mtg__auto_closebutton__","mapchosedialog_mtg__auto_closebutton__","1","","<T t=""继续冒险吧"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31060","31061","0","","","0","","","0","334002","0","0","100","1","0","TaskuseitemdialogUseToRemindcard/ok","TaskuseitemdialogUseToRemindcard/ok","1","","<T t=""点击使用新手礼包"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31061","0","0","","","0","","","0","0","0","0","100","1","1","20shengjidalibaocell/anniu","20shengjidalibaocell/anniu","1","","<T t=""领取奖励"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31062","31063","0","","","0","","","0","0","334003","0","100","1","0","MainControlDlg/back/pack","MainControlDlg/back/pack","1","","<T t=""已获得强力新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31063","31064","0","","","0","","","0","4020525","0","0","100","1","0","0","0","1","","<T t=""查看新装备"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31064","31065","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31065","31066","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31066","31067","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31067","31068","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31068","31069","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31069","0","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31070","31071","0","","","0","","","0","0","0","0","100","1","0","huobanzhuzhan/diban/right1/item4","huobanzhuzhan/diban/right1/item4","1","","<T t=""选择助战位置"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31071","0","0","","","0","","","0","0","0","0","100","1","0","4herohuobazhuzhancell1/cell","4herohuobazhuzhancell1/cell","1","","<T t=""选择助战英雄"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"31080","31081","0","","","0","","","0","334003","0","0","100","1","0","TaskuseitemdialogUseToRemindcard/ok","TaskuseitemdialogUseToRemindcard/ok","1","","<T t=""点击使用新手礼包"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31081","0","0","","","0","","","0","0","0","0","100","1","1","20shengjidalibaocell/anniu","20shengjidalibaocell/anniu","1","","<T t=""领取奖励"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31082","31083","0","","","0","","","0","0","334004","0","100","1","0","MainControlDlg/back/pack","MainControlDlg/back/pack","1","","<T t=""已获得强力新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31083","31084","0","","","0","","","0","5030626","0","0","100","1","0","0","0","1","","<T t=""查看新装备"" c=""ffefd9b8""></T>","1","5","","0","0","0","11066","11068","1","0"
"31084","31085","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31085","31086","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31086","31087","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31087","31088","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31088","31089","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"31089","0","0","","","0","","","0","0","0","0","100","1","1","commontipdlgitemtips_mtg/btnshiyong","commontipdlgitemtips_mtg/btnshiyong","1","","<T t=""穿上新装备"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32001","32002","0","8401","1","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8"" ></T>","0","7","","0","0","0","11066","11068","1","0"
"32002","32003","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill1","SkillList/back/skill1","0","","<T t=""点击选择使用该技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32003","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""点击选择技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32004","32005","0","8401","2","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skillbox","CharacterOperateDlg/back/skillbox","0","","<T t=""快速释放技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32005","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32006","32007","0","8401","3","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32007","32008","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill3","SkillList/back/skill3","0","","<T t=""使用绝技技能"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"32008","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32009","32010","0","8402","1","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32010","32011","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill1","SkillList/back/skill1","0","","<T t=""点击选择使用该技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32011","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""点击选择技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32012","32013","0","8402","2","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skillbox","CharacterOperateDlg/back/skillbox","0","","<T t=""快速释放技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32013","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32014","32015","0","8402","3","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32015","32016","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill3","SkillList/back/skill3","0","","<T t=""使用绝技技能"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"32016","0","0","","","","","","0","0","0","0","100","1","0","","","1","1","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32017","32018","0","8403","1","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32018","32019","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill1","SkillList/back/skill1","0","","<T t=""点击选择使用该技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32019","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""点击选择技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32020","32021","0","8403","2","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skillbox","CharacterOperateDlg/back/skillbox","0","","<T t=""快速释放技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32021","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32022","32023","0","8403","3","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32023","32024","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill3","SkillList/back/skill3","0","","<T t=""使用绝技技能"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"32024","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32025","32026","0","8404","1","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32026","32027","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill1","SkillList/back/skill1","0","","<T t=""点击选择使用该技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32027","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""点击选择技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32028","32029","0","8404","2","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skillbox","CharacterOperateDlg/back/skillbox","0","","<T t=""快速释放技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32029","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32030","32031","0","8404","3","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32031","32032","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill3","SkillList/back/skill3","0","","<T t=""使用绝技技能"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"32032","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32033","32034","0","8405","1","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32034","32035","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill1","SkillList/back/skill1","0","","<T t=""点击选择使用该技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32035","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""点击选择技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32036","32037","0","8405","2","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skillbox","CharacterOperateDlg/back/skillbox","0","","<T t=""快速释放技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32037","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32038","32039","0","8405","3","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32039","32040","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill3","SkillList/back/skill3","0","","<T t=""使用绝技技能"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"32040","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32041","32042","0","8406","1","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32042","32043","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill1","SkillList/back/skill1","0","","<T t=""点击选择使用该技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32043","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""点击选择技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32044","32045","0","8406","2","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skillbox","CharacterOperateDlg/back/skillbox","0","","<T t=""快速释放技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32045","0","0","","","","","","0","0","0","0","100","1","0","","","1","25","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
"32046","32047","0","8406","3","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32047","32048","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill3","SkillList/back/skill3","0","","<T t=""使用绝技技能"" c=""ffefd9b8""></T>","2","6","","0","0","0","11066","11068","1","0"
"32048","0","0","","","","","","0","0","0","0","100","1","0","","","1","1","<T t=""选择一个技能目标"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32049","32050","0","8502","1","","","","0","0","0","0","100","1","0","CharacterOperateDlg/back/skill","CharacterOperateDlg/back/skill","1","","<T t=""点击打开技能列表"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32050","32051","0","","","","","","0","0","0","0","100","1","0","SkillList/back/skill1","SkillList/back/skill1","0","","<T t=""点击选择使用该技能"" c=""ffefd9b8""></T>","0","7","","0","0","0","11066","11068","1","0"
"32051","32052","0","","","","","","0","0","0","0","100","1","0","","","1","15","<T t=""点击选择技能目标"" c=""ffefd9b8""></T>","5","8","","0","0","0","11066","11068","1","0"
