"伙伴id","伙伴名称","类型","职业","攻击类型","造型id","头像id","大小比例","是否初始获得","生命","魔法","物攻","物防","法攻","法防","速度","治疗强度","控制命中","控制抗性","生命成长","魔法成长","物攻成长","物防成长","法攻成长","法防成长","速度成长","治疗强度成长","控制命中成长","控制抗性成长","战斗AI","技能1","技能2","技能3","技能4","技能5","技能6","技能7","技能8","技能9","精通技能","花费1类型","7天花费1","30天花费1","永久花费1","花费2类型","7天花费2","30天花费2","永久花费2","花费3类型","7天花费3","30天花费3","永久花费3","战斗AI类型1","战斗AI类型2","战斗AI类型3","战斗AI类型4","技能等级系数","技能等级常数"
"28112","玛拉顿公主","4","14","1","1010136","30223","1","0","200","200","100","50","80","40","30","20","0","0","39.51","17.739999999999998","11.63","11.38","3.48","5.47","5.18","1.5","0","10.4",,"742001","742002","742003","742004","742005","742006","742007","","","742001",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13008","13008","13008","1","1"
"28113","玛佛里","4","14","1","1020130","30265","0.9","0","206","200","103","52","82","41","31","21","0","0","40.700000000000003","17.739999999999998","11.98","11.72","3.58","5.63","5.34","1.55","0","10.4",,"743001","743002","743003","743004","743005","743006","743007","","","743003",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13007","13007","13007","1","1"
"28114","五火球教主","2","15","2","1020112","30263","1","0","194","200","97","49","78","39","29","19","0","0","36.380000000000003","40.24","5.89","6.08","9.57","7.35","3.53","1.46","10","10.4",,"751001","751002","751003","751004","751005","751006","751007","751008","","751002",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13010","13010","13010","1","1"
"28115","方砖","2","15","2","1020118","30257","1","1","194","200","97","49","78","39","29","19","0","0","36.380000000000003","40.24","5.89","6.08","9.57","7.35","3.53","1.46","10","10.4",,"752001","752002","752003","752004","752005","752006","752007","752008","","752001",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13009","13009","13009","1","1"
"28116","羞花","2","15","2","1020107","30303","1","0","200","200","100","50","80","40","30","20","0","0","37.51","40.24","6.07","6.27","9.8699999999999992","7.58","3.64","1.5","10","10.4",,"753001","753002","753003","753004","753005","753006","753007","","","753002",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13010","13010","13010","1","1"
"28117","卡尔索斯","2","15","2","1020127","30311","0.9","0","206","200","103","52","82","41","31","21","0","0","38.64","40.24","6.25","6.46","10.17","7.81","3.75","1.55","10","10.4",,"754001","754002","754003","754004","754005","754006","754007","","","754001",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13009","13009","13009","1","1"
"28118","闭月","3","16","2","1020124","30307","1","0","194","200","97","49","78","39","29","19","0","0","44.1","34.619999999999997","5.89","7.91","7.21","5.92","6.64","2.23","0","10.4",,"761001","761002","761003","761004","761005","761006","761007","","","761003",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13012","13012","13012","1","1"
"28119","大奶铜须","3","16","2","1010147","30225","1","0","194","200","97","49","78","39","29","19","0","0","44.1","34.619999999999997","5.89","7.91","7.21","5.92","6.64","2.23","0","10.4",,"762001","762002","762003","762004","762005","762006","762007","","","762002",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13011","13011","13011","1","1"
"28120","沐丝","3","16","2","1020114","30203","1","2","200","200","100","50","80","40","30","20","0","0","45.46","34.619999999999997","6.07","8.15","7.43","6.1","6.85","2.2999999999999998","0","10.4",,"763001","763002","763003","763004","763005","763006","763007","","","763002",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13011","13011","13011","1","1"
"28121","不朽者","3","16","2","1020129","30312","0.9","0","206","200","103","52","82","41","31","21","0","0","46.82","34.619999999999997","6.25","8.39","7.65","6.28","7.06","2.37","0","10.4",,"764001","764002","764003","764004","764005","764006","764007","","","764002",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13011","13011","13011","1","1"
"28122","傻馒","2","17","2","1020105","30245","1","0","194","200","97","49","78","39","29","19","0","0","36.380000000000003","40.24","5.89","6.08","9.57","7.35","3.53","1.46","0","10.4",,"771001","771002","771003","771004","771005","771006","771007","","","771004",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13013","13013","13013","1","1"
"28123","娘子","2","17","2","1020120","30254","1","0","200","200","100","50","80","40","30","20","0","0","37.51","40.24","6.07","6.27","9.8699999999999992","7.58","3.64","1.5","0","10.4",,"772001","772002","772003","772004","772005","772006","772007","","","772001",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13013","13013","13013","1","1"
"28124","炮姐","2","17","2","1020123","30304","1","0","206","200","103","52","82","41","31","21","0","0","38.64","40.24","6.25","6.46","10.17","7.81","3.75","1.55","0","10.4",,"773001","773002","773003","773004","773005","773006","773007","","","773003",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13014","13014","13014","1","1"
"28125","沃尔金","2","17","2","1020138","30302","1","0","212","200","106","53","85","42","32","21","0","0","39.76","40.24","6.43","6.65","10.46","8.0299999999999994","3.86","1.59","0","10.4",,"774001","774002","774003","774004","774005","774006","774007","","","774001",,"216","648","1944",,"108000","324000","972000",,"0","0","0","13100","13013","13013","13013","1","1"
"28126","呆贼","1","18","1","1020103","30202","1","2","194","200","97","49","78","39","29","19","0","0","36.380000000000003","17.739999999999998","12.7","7.05","3.38","5.45","5.0199999999999996","1.46","0","10.4",,"781001","781002","781003","781004","781005","781006","781007","","","781001",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13016","13016","13016","1","1"
"28127","女贼","1","18","1","1020121","30259","1","0","200","200","100","50","80","40","30","20","0","0","37.51","17.739999999999998","13.09","7.27","3.48","5.62","5.18","1.5","0","10.4",,"782001","782002","782003","782004","782005","782006","782007","","","782003",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13015","13015","13015","1","1"
"28128","女王希尔","1","18","1","1000108","30310","1","0","206","200","103","52","82","41","31","21","0","0","38.64","17.739999999999998","13.48","7.49","3.58","5.79","5.34","1.55","0","10.4",,"783001","783002","783003","783004","783005","783006","783007","","","783003",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13015","13015","13015","1","1"
"28129","术士大妈","5","19","2","1020110","30262","1","0","194","200","97","49","78","39","29","19","0","0","36.380000000000003","34.619999999999997","5.89","8.4600000000000009","6.33","5.92","7.52","1.46","10.3","10.4",,"791001","791002","791003","791004","791005","791006","791007","","","791002",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13017","13017","13017","1","1"
"28130","阿撸高","5","19","2","1010123","30247","1","0","194","200","97","49","78","39","29","19","0","0","36.380000000000003","34.619999999999997","5.89","8.4600000000000009","6.33","5.92","7.52","1.46","10.3","10.4",,"792001","792002","792003","792004","792005","792006","792007","792008","","792002",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13017","13017","13017","1","1"
"28131","死骑瑞文","5","19","2","1010149","30287","1","0","194","200","97","49","78","39","29","19","0","0","36.380000000000003","34.619999999999997","5.89","8.4600000000000009","6.33","5.92","7.52","1.46","10.3","10.4",,"793001","793002","793003","793004","793005","793006","793007","792008","","793004",,"120","360","1080",,"60000","180000","540000",,"0","0","0","13100","13017","13017","13017","1","1"
"28132","时空游龙","5","19","2","1020136","30204","1","0","200","200","100","50","80","40","30","20","0","0","37.51","34.619999999999997","6.07","8.7200000000000006","6.53","6.1","7.75","1.5","10.3","10.4",,"794001","794002","794003","794004","794005","794006","794007","794008","","794001",,"152","456","1368",,"76000","228000","684000",,"0","0","0","13100","13018","13018","13018","1","1"
"28133","古尔迪安","5","19","2","1020140","30265","0.9","0","206","200","103","52","82","41","31","21","0","0","38.64","34.619999999999997","6.25","8.98","6.73","6.28","7.98","1.55","10.3","10.4",,"795001","795002","795003","795004","795005","795006","795007","","","795004",,"184","552","1656",,"92000","276000","828000",,"0","0","0","13100","13017","13017","13017","1","1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,
