"序号","物品类型","id","备注名","逻辑类型","珍品","值1","显示1","区间1","区间2","区间3","区间4","区间5","区间6","区间7","区间8","区间9","区间10","区间11","区间12","2级菜单ID","1级菜单ID","默认货币类型","默认价格1","默认价格2","默认价格3","默认价格4","默认价格5","默认价格6","默认价格7","默认价格8","默认价格9","默认价格10","默认价格11","基准成交量","基准挂单量","可见等级","可购买等级下限","可购买等级上限","价格上限","价格下限","浮动价格系数"
"2009","3","6040102","蓝锤子","1","1","40","40级",,,,,"","","","","","","","","201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2010","3","6050102","蓝锤子","1","1","50","50级",,,,,"","","","","","","","","201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2011","3","6060102","蓝锤子","1","1","60","60级",,,,,"","","","","","","","","201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2012","3","6070102","蓝锤子","1","1","70","70级",,,,,"","","","","","","","","201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2013","3","6080102","蓝锤子","1","1","80","80级",,,,,"","","","","","","","","201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2014","3","6090102","蓝锤子","1","1","90","90级",,,,,"","","","","","","","","201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2015","3","6100102","蓝锤子","1","1","100","100级",,,,,"","","","","","","","","201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2016","3","6030103","蓝匕首","1","1","30","30级",,,,,"","","","","","","","","202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2017","3","6040103","蓝匕首","1","1","40","40级",,,,,"","","","","","","","","202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2018","3","6050103","蓝匕首","1","1","50","50级",,,,,"","","","","","","","","202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2019","3","6060103","蓝匕首","1","1","60","60级",,,,,"","","","","","","","","202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2020","3","6070103","蓝匕首","1","1","70","70级",,,,,"","","","",,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2021","3","6080103","蓝匕首","1","1","80","80级",,,,,"","","","",,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2022","3","6090103","蓝匕首","1","1","90","90级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2023","3","6100103","蓝匕首","1","1","100","100级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2024","3","6030104","蓝爪","1","1","30","30级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2025","3","6040104","蓝爪","1","1","40","40级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2026","3","6050104","蓝爪","1","1","50","50级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2027","3","6060104","蓝爪","1","1","60","60级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2028","3","6070104","蓝爪","1","1","70","70级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2029","3","6080104","蓝爪","1","1","80","80级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2030","3","6090104","蓝爪","1","1","90","90级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2031","3","6100104","蓝爪","1","1","100","100级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2032","3","6030105","蓝魔棒","1","1","30","30级",,,,,,,,,,,,,"204","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2033","3","6040105","蓝魔棒","1","1","40","40级",,,,,,,,,,,,,"204","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2034","3","6050105","蓝魔棒","1","1","50","50级",,,,,,,,,,,,,"204","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2035","3","6060105","蓝魔棒","1","1","60","60级",,,,,,,,,,,,,"204","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2036","3","6070105","蓝魔棒","1","1","70","70级",,,,,,,,,,,,,"204","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2037","3","6080105","蓝魔棒","1","1","80","80级",,,,,,,,,,,,,"204","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2038","3","6090105","蓝魔棒","1","1","90","90级",,,,,,,,,,,,,"204","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2039","3","6100105","蓝魔棒","1","1","100","100级",,,,,,,,,,,,,"204","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2040","3","6030106","蓝法杖","1","1","30","30级",,,,,,,,,,,,,"205","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2041","3","6040106","蓝法杖","1","1","40","40级",,,,,,,,,,,,,"205","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2042","3","6050106","蓝法杖","1","1","50","50级",,,,,,,,,,,,,"205","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2043","3","6060106","蓝法杖","1","1","60","60级",,,,,,,,,,,,,"205","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2044","3","6070106","蓝法杖","1","1","70","70级",,,,,,,,,,,,,"205","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2045","3","6080106","蓝法杖","1","1","80","80级",,,,,,,,,,,,,"205","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2046","3","6090106","蓝法杖","1","1","90","90级",,,,,,,,,,,,,"205","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2047","3","6100106","蓝法杖","1","1","100","100级",,,,,,,,,,,,,"205","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2048","3","6030207","蓝男衣","1","1","30","30级",,,,,,,,,,,,,"206","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2049","3","6040207","蓝男衣","1","1","40","40级",,,,,,,,,,,,,"206","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2050","3","6050207","蓝男衣","1","1","50","50级",,,,,,,,,,,,,"206","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2051","3","6060207","蓝男衣","1","1","60","60级",,,,,,,,,,,,,"206","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2052","3","6070207","蓝男衣","1","1","70","70级",,,,,,,,,,,,,"206","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2053","3","6080207","蓝男衣","1","1","80","80级",,,,,,,,,,,,,"206","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2054","3","6090207","蓝男衣","1","1","90","90级",,,,,,,,,,,,,"206","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2055","3","6100207","蓝男衣","1","1","100","100级",,,,,,,,,,,,,"206","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2056","3","6030208","蓝女衣","1","1","30","30级",,,,,,,,,,,,,"207","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2057","3","6040208","蓝女衣","1","1","40","40级",,,,,,,,,,,,,"207","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2058","3","6050208","蓝女衣","1","1","50","50级",,,,,,,,,,,,,"207","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2059","3","6060208","蓝女衣","1","1","60","60级",,,,,,,,,,,,,"207","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2060","3","6070208","蓝女衣","1","1","70","70级",,,,,,,,,,,,,"207","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2061","3","6080208","蓝女衣","1","1","80","80级",,,,,,,,,,,,,"207","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2062","3","6090208","蓝女衣","1","1","90","90级",,,,,,,,,,,,,"207","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2063","3","6100208","蓝女衣","1","1","100","100级",,,,,,,,,,,,,"207","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2064","3","6030309","蓝男头","1","1","30","30级",,,,,,,,,,,,,"208","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2065","3","6040309","蓝男头","1","1","40","40级",,,,,,,,,,,,,"208","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2066","3","6050309","蓝男头","1","1","50","50级",,,,,,,,,,,,,"208","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2067","3","6060309","蓝男头","1","1","60","60级",,,,,,,,,,,,,"208","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2068","3","6070309","蓝男头","1","1","70","70级",,,,,,,,,,,,,"208","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2069","3","6080309","蓝男头","1","1","80","80级",,,,,,,,,,,,,"208","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2070","3","6090309","蓝男头","1","1","90","90级",,,,,,,,,,,,,"208","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2071","3","6100309","蓝男头","1","1","100","100级",,,,,,,,,,,,,"208","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2072","3","6030310","蓝女头","1","1","30","30级",,,,,,,,,,,,,"209","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2073","3","6040310","蓝女头","1","1","40","40级",,,,,,,,,,,,,"209","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2074","3","6050310","蓝女头","1","1","50","50级",,,,,,,,,,,,,"209","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2075","3","6060310","蓝女头","1","1","60","60级",,,,,,,,,,,,,"209","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2076","3","6070310","蓝女头","1","1","70","70级",,,,,,,,,,,,,"209","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2077","3","6080310","蓝女头","1","1","80","80级",,,,,,,,,,,,,"209","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2078","3","6090310","蓝女头","1","1","90","90级",,,,,"","","","","","","","","209","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2079","3","6100310","蓝女头","1","1","100","100级",,,,,"","","","","","","","","209","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2080","3","6030411","蓝项链","1","1","30","30级",,,,,"","","","","","","","","210","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2081","3","6040411","蓝项链","1","1","40","40级",,,,,"","","","","","","","","210","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2082","3","6050411","蓝项链","1","1","50","50级",,,,,"","","","","","","","","210","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2083","3","6060411","蓝项链","1","1","60","60级",,,,,"","","","","","","","","210","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2084","3","6070411","蓝项链","1","1","70","70级",,,,,"","","","","","","","","210","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2085","3","6080411","蓝项链","1","1","80","80级",,,,,"","","","","","","","","210","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2086","3","6090411","蓝项链","1","1","90","90级",,,,,"","","","","","","","","210","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2087","3","6100411","蓝项链","1","1","100","100级",,,,,"","","","","","","","","210","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2088","3","6030512","蓝腰带","1","1","30","30级",,,,,"","","","","","","","","211","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2089","3","6040512","蓝腰带","1","1","40","40级",,,,,"","","","","","","","","211","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2090","3","6050512","蓝腰带","1","1","50","50级",,,,,"","","","","","","","","211","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2091","3","6060512","蓝腰带","1","1","60","60级",,,,,"","","","","","","","","211","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2092","3","6070512","蓝腰带","1","1","70","70级",,,,,"","","","","","","","","211","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2093","3","6080512","蓝腰带","1","1","80","80级",,,,,"","","","","","","","","211","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2094","3","6090512","蓝腰带","1","1","90","90级",,,,,"","","","","","","","","211","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2095","3","6100512","蓝腰带","1","1","100","100级",,,,,"","","","","","","","","211","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2096","3","6030613","蓝鞋","1","1","30","30级",,,,,"","","","","","","","","212","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2097","3","6040613","蓝鞋","1","1","40","40级",,,,,"","","","","","","","","212","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2098","3","6050613","蓝鞋","1","1","50","50级",,,,,"","","","",,,,,"212","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2099","3","6060613","蓝鞋","1","1","60","60级",,,,,"","","","",,,,,"212","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2100","3","6070613","蓝鞋","1","1","70","70级",,,,,,,,,,,,,"212","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2101","3","6080613","蓝鞋","1","1","80","80级",,,,,,,,,,,,,"212","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2102","3","6090613","蓝鞋","1","1","90","90级",,,,,,,,,,,,,"212","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2103","3","6100613","蓝鞋","1","1","100","100级",,,,,,,,,,,,,"212","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2104","3","7030101","紫剑","1","1","30","30级",,,,,,,,,,,,,"200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2105","3","7040101","紫剑","1","1","40","40级",,,,,,,,,,,,,"200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2106","3","7050101","紫剑","1","1","50","50级",,,,,,,,,,,,,"200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2107","3","7060101","紫剑","1","1","60","60级",,,,,,,,,,,,,"200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2108","3","7070101","紫剑","1","1","70","70级",,,,,,,,,,,,,"200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2109","3","7080101","紫剑","1","1","80","80级",,,,,,,,,,,,,"200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2110","3","7090101","紫剑","1","1","90","90级",,,,,,,,,,,,,"200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2111","3","7100101","紫剑","1","1","100","100级",,,,,,,,,,,,,"200","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2112","3","7030102","紫锤子","1","1","30","30级",,,,,,,,,,,,,"201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2113","3","7040102","紫锤子","1","1","40","40级",,,,,,,,,,,,,"201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2114","3","7050102","紫锤子","1","1","50","50级",,,,,,,,,,,,,"201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2115","3","7060102","紫锤子","1","1","60","60级",,,,,,,,,,,,,"201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2116","3","7070102","紫锤子","1","1","70","70级",,,,,,,,,,,,,"201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2117","3","7080102","紫锤子","1","1","80","80级",,,,,,,,,,,,,"201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2118","3","7090102","紫锤子","1","1","90","90级",,,,,,,,,,,,,"201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2119","3","7100102","紫锤子","1","1","100","100级",,,,,,,,,,,,,"201","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2120","3","7030103","紫匕首","1","1","30","30级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2121","3","7040103","紫匕首","1","1","40","40级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2122","3","7050103","紫匕首","1","1","50","50级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2123","3","7060103","紫匕首","1","1","60","60级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2124","3","7070103","紫匕首","1","1","70","70级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2125","3","7080103","紫匕首","1","1","80","80级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2126","3","7090103","紫匕首","1","1","90","90级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2127","3","7100103","紫匕首","1","1","100","100级",,,,,,,,,,,,,"202","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2128","3","7030104","紫爪","1","1","30","30级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2129","3","7040104","紫爪","1","1","40","40级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
"2130","3","7050104","紫爪","1","1","50","50级",,,,,,,,,,,,,"203","3","","","","","","","","","","","","",,,"1","1","155","","",""
