"技能ID","技能名称","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用"
"722005","神谕责难","","true","false","false","0","1","","true","1","7","480","0",,"10+2*gradea",,,"7220050,7220051,7220052,7220053,7220054,7220055","0,0,0,0,0,0",,,"1",,,
"722006","贵族血统","","false","false","false","0","","","true","1","10","1","0","","0","","","7220060","0",,,"",,,
"722007","王者馈赠","","false","false","false","0","","","true","1","","","","","0","","","","",,,"",,,
"723001","审判之锤","true","true","true","false","0","1","1","true","1","4","480","0","","10+2*gradea","","","7230010,7230011,7230012,7230013,7230014,7230015,7230016","0,0,0,0,0,0,1000",,,"1","1",,
"723002","无边定罪",,"true","true","false","0","","","true","1","3","480","0","","10+2*gradea","","","7230020,7230021","0,-1",,,"1","1",,
"723003","复仇之盾","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7230030,7230031,7230032,7230033","0,0,0,0",,,"1",,,"1"
"723004","圣光洗礼","","true","false","false","0","","","true","1","5","4127","0",,"10+2*gradea",,,"7230040","0",,,"1",,,
"723005","神谕责难","","true","false","false","0","1","","true","1","7","480","0",,"10+2*gradea",,,"7230050,7230051,7230052,7230053,7230054,7230055","0,0,0,0,0,0",,,"1",,,
"723006","大姐之怒","","false","false","false","0","","","true","1","","","","","0","","","","",,,"",,,
"723007","沉默爆发","","false","false","false","0","","","true","1","10","1","0","","0","","","7230060","0",,,"",,,
"724001","审判之锤","true","true","true","false","0","1","1","true","1","4","480","0","","10+2*gradea","","","7240010,7240011,7240012,7240013,7240014,7240015,7240016","0,0,0,0,0,0,1000",,,"1","1",,
"724002","无边定罪",,"true","true","false","0","","","true","1","3","480","0","","10+2*gradea","","","7240020,7240021","0,-1",,,"1","1",,
"724003","复仇之盾","","true","false","false","0","","","true","1","8","480","0",,"10+2*gradea",,,"7240030,7240031,7240032,7240033","0,0,0,0",,,"1",,,"1"
"724004","圣光洗礼","","true","false","false","0","","","true","1","5","4127","0",,"10+2*gradea",,,"7240040","0",,,"1",,,
"724005","神谕责难","","true","false","false","0","1","","true","1","7","480","0",,"10+2*gradea",,,"7240050,7240051,7240052,7240053,7240054,7240055","0,0,0,0,0,0",,,"1",,,
"724006","光明使者",,"false","false","false","0","","","true","1","13","4127","0",,"0",,,"7240060","0",,,"",,,
"724007","圣光意志",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"731000","狩猎姿态","","true","false","false","0","","","true","1","7","1","0","","0","","","7310000","0",,,"1",,,
"731001","多重打击",,"true","false","false","0","","1","true","1","2","480","0","","0","","","7310010,7310011,7310012,7310013,7310014,7310015,7310016,7310017","0,-1,-1,-1,-1,-1,-1,-1",,,"1","1",,
"731002","穿刺打击",,"true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7310020,7310021","0,-1",,,"1","1",,
"731003","野性召唤",,"true","false","false","0","","","true","1","7","10","0","","10+1.2*gradea","","","7310030,7310031","0,-1",,,"1",,,
"731004","生命献祭",,"true","true","false","0","","","true","1","3","10","0",,"10+1.2*gradea",,,"7310040,7310041,7310042","0,-1,-1",,,"1",,,
"731005","精准打击",,"true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7310050,7310051,7310052,7310053,7310054,7310055,7310056,7310057","0,-1,-1,-1,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"731006","美屡气质",,"false","false","false","0","","","true","1","10","1","0",,"0",,,"7310060","0",,,"",,,
"731007","智商压制",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"731008","美女野兽",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"732000","狩猎姿态","","true","false","false","0","","","true","1","7","1","0","","0","","","7320000","0",,,"1",,,
"732001","多重打击",,"true","false","false","0","","1","true","1","2","480","0","","0","","","7320010,7320011,7320012,7320013,7320014,7320015,7320016,7320017","0,-1,-1,-1,-1,-1,-1,-1",,,"1","1",,
"732002","穿刺打击",,"true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7320020,7320021","0,-1",,,"1","1",,
"732003","野性召唤",,"true","false","false","0","","","true","1","7","10","0","","10+1.2*gradea","","","7320030,7320031","0,-1",,,"1",,,
"732004","生命献祭",,"true","true","false","0","","","true","1","3","10","0",,"10+1.2*gradea",,,"7320040,7320041,7320042","0,-1,-1",,,"1",,,
"732005","精准打击",,"true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7320050,7320051,7320052,7320053,7320054,7320055,7320056,7320057","0,-1,-1,-1,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"732006","战斗技巧",,"false","false","false","0","","","true","1","10","1","0",,"0",,,"7320060","0",,,"",,,
"732007","不留活口",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"732008","美女野兽",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"733000","狩猎姿态","","true","false","false","0","","","true","1","7","1","0","","0","","","7330000","0",,,"1",,,
"733001","多重打击",,"true","false","false","0","","1","true","1","2","480","0","","0","","","7330010,7330011,7330012,7330013,7330014,7330015,7330016,7330017,7330018","0,-1,-1,-1,-1,-1,-1,-1,-1",,,"1","1",,
"733002","穿刺打击",,"true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7330020,7330021","0,-1",,,"1","1",,
"733003","野性召唤",,"true","false","false","0","","","true","1","7","10","0","","10+1.2*gradea","","","7330030,7330031","0,-1",,,"1",,,
"733004","生命献祭",,"true","true","false","0","","","true","1","3","10","0",,"10+1.2*gradea",,,"7330040,7330041,7330042","0,-1,-1",,,"1",,,
"733005","精准打击",,"true","false","false","0","","","true","1","1","480","0",,"10+1.2*gradea",,,"7330050,7330051,7330052,7330053,7330054,7330055,7330056,7330057","0,-1,-1,-1,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"733006","强击光环",,"false","false","false","0","","","true","1","13","4127","0",,"0",,,"7330060","0",,,"",,,
"733007","兽王专精",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"733008","美女野兽",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"741001","撕裂横扫","","true","false","false","0","","1","true","1","2","480","0","","0","","","7410010,7410011,7410012,7410013,7410014,7410015,7410016","0,400,700,1000,1300,1600,-1",,,"1","1",,
"741002","绿之潮","","true","false","false","0","","","true","1","7","480","0","","10+1.2*gradea","","","7410020,7410021,7410022,7410023,7410024,7410025,7410026,7410027","0,0,0,0,0,0,0,0",,,"1",,,
"741003","黄昏花蕾","","true","false","false","0","","","true","1","6","4117","0",,"10+1.2*gradea",,,"7410030","0",,,"1","1",,
"741004","灵熊爪击","","true","false","false","0","","1","true","1","2","480","0",,"10+1.2*gradea",,,"7410040,7410041,7410042,7410043,7410044,7410045,7410046","0,400,700,1000,1300,1600,-1",,,"1","1",,
"741005","自然之眼","","true","false","false","0","","","true","1","7","4127","0",,"10+1.2*gradea",,,"7410050,7410051,7410052,7410053,7410054,7410055","0,0,0,0,0,0",,,"1",,,
"741006","良心商人","","false","false","false","0","","","true","1","10","13","4127","","0","","","7410060","0",,,"",,,
"741007","持久力强","","false","false","false","0","","","true","1","","","","","0","","","","",,,"",,,
"742001","撕裂横扫","","true","false","false","0","","1","true","1","2","480","0","","0","","","7420010,7420011,7420012,7420013,7420014,7420015,7420016","0,400,700,1000,1300,1600,-1",,,"1","1",,
"742002","绿之潮","","true","false","false","0","","","true","1","7","480","0","","10+1.2*gradea","","","7420020,7420021,7420022,7420023,7420024,7420025,7420026","0,0,0,0,0,0,0",,,"1",,,
"742003","黄昏花蕾","","true","false","false","0","","","true","1","6","4117","0",,"10+1.2*gradea",,,"7420030","0",,,"1","1",,
"742004","灵熊爪击","","true","false","false","0","","1","true","1","2","480","0",,"10+1.2*gradea",,,"7420040,7420041,7420042,7420043,7420044,7420045,7420046","0,400,700,1000,1300,1600,-1",,,"1","1",,
"742005","自然之眼","","true","false","false","0","","","true","1","7","4127","0",,"10+1.2*gradea",,,"7420050,7420051,7420052,7420053,7420054,7420055","0,0,0,0,0,0",,,"1",,,
"742006","自然姌合","","false","false","false","0","","","true","1","","","","","0","","","","",,,"",,,
"742007","孀妇哀怨","","false","false","false","0","","","true","1","","","","","0","","","","",,,"",,,
"743001","撕裂横扫","","true","false","false","0","","1","true","1","2","480","0","","0","","","7430010,7430011,7430012,7430013,7430014,7430015,7430016","0,400,700,1000,1300,1600,-1",,,"1","1",,
"743002","绿之潮","","true","false","false","0","","","true","1","7","480","0","","10+1.2*gradea","","","7430020,7430021,7430022,7430023,7430024,7430025,7430026","0,0,0,0,0,0,0",,,"1",,,
"743003","黄昏花蕾","","true","false","false","0","","","true","1","6","4117","0",,"10+1.2*gradea",,,"7430030","0",,,"1","1",,
"743004","灵熊爪击","","true","false","false","0","","1","true","1","2","480","0",,"10+1.2*gradea",,,"7430040,7430041,7430042,7430043,7430044,7430045,7430046","0,400,700,1000,1300,1600,-1",,,"1","1",,
"743005","自然之眼","","true","false","false","0","","","true","1","7","4127","0",,"10+1.2*gradea",,,"7430050,7430051,7430052,7430053,7430054,7430055","0,0,0,0,0,0",,,"1",,,
"743006","月神庇护",,"false","false","false","0","","","true","1","10","1","0",,"0",,,"7430060","0",,,"",,,
"743007","大地守护",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"751001","暴风雪","true","true","true","false","0","","1","true","1","4","480","0","","10+2.4*gradea","","","7510010,7510011,7510012,7510013,7510014,7510015,7510016,7510017","0,0,0,0,0,0,0,-1",,,"1","1",,
"751002","奥术冲击",,"true","true","false","0","","","true","1","3","480","0","","10+2.4*gradea","","","7510020,7510021,7510022","0,-1,-1",,,"1","1",,
"751003","变形术","","true","false","false","0","","","true","1","8","480","0","","10+2.4*gradea","","","7510030,7510031","0,-1",,,"1",,,"1"
"751004","魔爆术",,"true","true","false","0","","","true","1","4","480","0",,"10+2.4*gradea",,,"7510040,7510041","0,-1",,,"1","1",,
"751005","冰霜血脉",,"true","false","false","0","","","true","1","7","4127","0",,"10+2.4*gradea",,,"7510050,7510051","0,-1",,,"1",,,
"751006","神教奥义",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"751007","称霸世界",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"751008","老头乐",,"false","false","false","0","","","true","1","13","4127","0",,"0",,,"7510060","0",,,"",,,
"752001","暴风雪","true","true","true","false","0","","1","true","1","4","480","0","","10+2.4*gradea","","","7520010,7520011,7520012,7520013,7520014,7520015,7520016","0,0,0,0,0,0,0",,,"1","1",,
"752002","奥术冲击",,"true","true","false","0","","","true","1","3","480","0","","10+2.4*gradea","","","7520020","0",,,"1","1",,
"752003","变形术","","true","false","false","0","","","true","1","8","480","0","","10+2.4*gradea","","","7520030","0",,,"1",,,"1"
"752004","魔爆术",,"true","true","false","0","","","true","1","4","480","0",,"10+2.4*gradea",,,"7520040","0",,,"1","1",,
"752005","冰霜血脉",,"true","false","false","0","","","true","1","7","4127","0",,"10+2.4*gradea",,,"7520050","0",,,"1",,,
"752006","江湖老练",,"false","false","false","0","","","true","1","10","1","0",,"0",,,"7520070","0",,,"",,,
"752007","老谋深算",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"752008","老头乐",,"false","false","false","0","","","true","1","13","4127","0",,"0",,,"7520060","0",,,"",,,
"753001","暴风雪","true","true","true","false","0","","1","true","1","4","480","0","","10+2.4*gradea","","","7530010,7530011,7530012,7530013,7530014,7530015,7530016","0,0,0,0,0,0,0",,,"1","1",,
"753002","奥术冲击",,"true","true","false","0","","","true","1","3","480","0","","10+2.4*gradea","","","7530020","0",,,"1","1",,
"753003","变形术","","true","false","false","0","","","true","1","8","480","0","","10+2.4*gradea","","","7530030","0",,,"1",,,"1"
"753004","魔爆术",,"true","true","false","0","","","true","1","4","480","0",,"10+2.4*gradea",,,"7530040","0",,,"1","1",,
"753005","冰霜血脉",,"true","false","false","0","","","true","1","7","4127","0",,"10+2.4*gradea",,,"7530050","0",,,"1",,,
"753006","腹黑魅影",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"753007","傲娇气质",,"false","false","false","0","","","true","1","10","1","0",,"0",,,"7530060","0",,,"",,,
"754001","暴风雪","true","true","true","false","0","","1","true","1","4","480","0","","10+2.4*gradea","","","7540010,7540011,7540012,7540013,7540014,7540015,7540016","0,0,0,0,0,0,0",,,"1","1",,
"754002","奥术冲击",,"true","true","false","0","","","true","1","3","480","0","","10+2.4*gradea","","","7540020","0",,,"1","1",,
"754003","变形术","","true","false","false","0","","","true","1","8","480","0","","10+2.4*gradea","","","7540030","0",,,"1",,,"1"
"754004","魔爆术",,"true","true","false","0","","","true","1","4","480","0",,"10+2.4*gradea",,,"7540040","0",,,"1","1",,
"754005","冰霜血脉",,"true","false","false","0","","","true","1","7","4127","0",,"10+2.4*gradea",,,"7540050","0",,,"1",,,
"754006","王者壁垒",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"754007","逐日力量",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"761001","神圣新星","true","true","true","false","0","","1","true","1","4","480","0","","10+2*gradea","","","7610010,7610011,7610012,7610013,7610014,7610015","0,0,0,0,0,0",,,"1","1",,
"761002","治疗祷言","true","true","false","false","0","","","true","1","6","4127","0","","10+2*gradea","","","7610020,7610021,7610022,7610023,7610024,7610025","0,0,0,0,0,0",,,"1",,,
"761003","复生","","true","false","false","0","","","true","1","7","4126","0",,"10+2*gradea",,,"7610030,7610031","0,-1",,,"1",,,
"761004","心灵之火","","true","false","false","0","","","true","1","7","4127","0",,"10+2*gradea",,,"7610040,7610041,7610042,7610043,7610044,7610045,7610046","0,0,0,0,0,0,0",,,"1",,,
"761005","神圣救赎",,"true","false","false","0","","","true","1","7","4127","0",,"10+2*gradea",,,"7610050","0",,,"1",,,
"761006","第一梯队",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"761007","强化复生",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"762001","神圣新星","true","true","true","false","0","","1","true","1","4","480","0","","10+2*gradea","","","7620010,7620011,7620012,7620013,7620014,7620015","0,0,0,0,0,0",,,"1","1",,
"762002","治疗祷言","true","true","false","false","0","","","true","1","6","4127","0","","10+2*gradea","","","7620020,7620021,7620022,7620023,7620024,7620025,7620026","0,0,0,0,0,0,0",,,"1",,,
"762003","复生","","true","false","false","0","","","true","1","7","4126","0",,"10+2*gradea",,,"7620030,7620031","0,-1",,,"1",,,
"762004","心灵之火","","true","false","false","0","","","true","1","7","4127","0",,"10+2*gradea",,,"7620040,7620041,7620042,7620043,7620044,7620045,7620046","0,0,0,0,0,0,0",,,"1",,,
"762005","神圣救赎",,"true","false","false","0","","","true","1","7","4127","0",,"10+2*gradea",,,"7620050","0",,,"1",,,
"762006","王族血脉",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"762007","圣光信仰",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"763001","神圣新星","true","true","true","false","0","","1","true","1","4","480","0","","10+2*gradea","","","7630010,7630011,7630012,7630013,7630014,7630015","0,0,0,0,0,0",,,"1","1",,
"763002","治疗祷言","true","true","false","false","0","","","true","1","6","4127","0","","10+2*gradea","","","7630020,7630021,7630022,7630023,7630024,7630025","0,0,0,0,0,0",,,"1",,,
"763003","复生","","true","false","false","0","","","true","1","7","4126","0",,"10+2*gradea",,,"7630030,7630031","0,-1",,,"1",,,
"763004","心灵之火","","true","false","false","0","","","true","1","7","4127","0",,"10+2*gradea",,,"7630040,7630041,7630042,7630043,7630044,7630045,7630046","0,0,0,0,0,0,0",,,"1",,,
"763005","神圣救赎",,"true","false","false","0","","","true","1","7","4127","0",,"10+2*gradea",,,"7630050","0",,,"1",,,
"763006","瀑流",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"763007","能量灌注",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"764001","神圣新星","true","true","true","false","0","","1","true","1","4","480","0","","10+2*gradea","","","7640010,7640011,7640012,7640013,7640014,7640015,7640016","0,0,0,0,0,0,-1",,,"1","1",,
"764002","治疗祷言","true","true","false","false","0","","","true","1","6","4127","0","","10+2*gradea","","","7640020,7640021,7640022,7640023,7640024,7640025,7640026","0,0,0,0,0,0,-1",,,"1",,,
"764003","复生","","true","false","false","0","","","true","1","7","4126","0",,"10+2*gradea",,,"7640030,7640031,7640032","0,-1,-1",,,"1",,,
"764004","心灵之火","","true","false","false","0","","","true","1","7","4127","0",,"10+2*gradea",,,"7640040,7640041,7640042,7640043,7640044,7640045,7640046,7640047","0,0,0,0,0,0,0,-1",,,"1",,,
"764005","神圣救赎",,"true","false","false","0","","","true","1","7","4127","0",,"10+2*gradea",,,"7640050,7640051","0,-1",,,"1",,,
"764006","专注意志",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"764007","圣赞美诗",,"false","false","false","0","","","true","1",,"","",,"0",,,"","",,,"",,,
"771001","闪电链","true","true","true","false","0","","1","true","1","4","480","0",,"10+2.4*gradea",,,"7710010,7710011,7710012,7710013,7710014,7710015","0,0,0,0,0,0",,,"1","1",,
"771002","治疗图腾","","true","true","false","0","","","true","1","15","8192","0",,"10+2.4*gradea",,,"7710020","0",,,"1",,,
"771003","闪电箭","","true","false","false","0","","","true","1","3","480","0",,"10+2.4*gradea",,,"7710030","0",,,"1","1",,
"771004","先祖之魂","","true","false","false","0","","","true","1","7","4127","0",,"10+2.4*gradea",,,"7710040,7710041","0,-1",,,"1",,,
"771005","狂热图腾","","true","false","false","0","","","true","1","15","8192","0",,"10+2.4*gradea",,,"7710050","0",,,"1",,,
"771006","特训成果","","false","false","false","0","","","true","1","13","4127","0",,"0",,,"7710060","0",,,"",,,
"771007","杨教授之吻","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"772001","闪电链","true","true","true","false","0","","1","true","1","4","480","0",,"10+2.4*gradea",,,"7720010,7720011,7720012,7720013,7720014,7720015","0,0,0,0,0,0",,,"1","1",,
"772002","治疗图腾","","true","true","false","0","","","true","1","15","8192","0",,"10+2.4*gradea",,,"7720020","0",,,"1",,,
"772003","闪电箭","","true","false","false","0","","","true","1","3","480","0",,"10+2.4*gradea",,,"7720030","0",,,"1","1",,
"772004","先祖之魂","","true","false","false","0","","","true","1","7","4127","0",,"10+2.4*gradea",,,"7720040,7720041","0,-1",,,"1",,,
"772005","狂热图腾","","true","false","false","0","","","true","1","15","8192","0",,"10+2.4*gradea",,,"7720050","0",,,"1",,,
"772006","白富美","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7720060","0",,,"",,,
"772007","强力党","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"773001","闪电链","true","true","true","false","0","","1","true","1","4","480","0",,"10+2.4*gradea",,,"7730010,7730011,7730012,7730013,7730014,7730015","0,0,0,0,0,0",,,"1","1",,
"773002","治疗图腾","","true","true","false","0","","","true","1","15","8192","0",,"10+2.4*gradea",,,"7730020","0",,,"1",,,
"773003","闪电箭","","true","false","false","0","","","true","1","3","480","0",,"10+2.4*gradea",,,"7730030","0",,,"1","1",,
"773004","先祖之魂","","true","false","false","0","","","true","1","7","4127","0",,"10+2.4*gradea",,,"7730040,7730041","0,-1",,,"1",,,
"773005","狂热图腾","","true","false","false","0","","","true","1","15","8192","0",,"10+2.4*gradea",,,"7730050","0",,,"1",,,
"773006","离子炮","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"773007","强力母牛","","false","false","false","0","","","true","1",,,"",,"0",,,"","",,,"",,,
"774001","闪电链","true","true","true","false","0","","1","true","1","4","480","0",,"10+2.4*gradea",,,"7740010,7740011,7740012,7740013,7740014,7740015,7740016,7740017","0,0,0,0,0,0,0,0",,,"1","1",,
"774002","治疗图腾","","true","true","false","0","","","true","1","15","8192","0",,"10+2.4*gradea",,,"7740020","0",,,"1",,,
"774003","闪电箭","","true","false","false","0","","","true","1","3","480","0",,"10+2.4*gradea",,,"7740030","0",,,"1","1",,
"774004","先祖之魂","","true","false","false","0","","","true","1","7","4127","0",,"10+2.4*gradea",,,"7740040,7740041","0,-1",,,"1",,,
"774005","狂热图腾","","true","false","false","0","","","true","1","15","8192","0",,"10+2.4*gradea",,,"7740050","0",,,"1",,,
"774006","妖术灵动","","false","false","false","0","","","true","1","10","1","0",,"0",,,"7740060","0",,,"",,,
