"子技能ID","子技能名称","属性状态需求","属性状态不符提示","过滤状态","需求状态","关联技能","何种情况下不能执行本技能","选择目标方","选择目标单位类型","选择目标单位关系","生效精准职业编号","生效精确怪物，伙伴ID号","索敌类型","索敌个数","索敌多个.排序变量","子技能触发几率","法术技能最小伤害","主BUFF序号","BUFF0.BUFFID","BUFF0.命中","BUFF0.持续回合","BUFF0.效果","buff0属性状态需求","buff0.buff状态过滤","buff0.buff状态需求","buff0触发几率","BUFF1.BUFFID","BUFF1.命中","BUFF1.持续回合","BUFF1.效果","buff1属性状态需求","buff1.buff状态过滤","buff1.buff状态需求","buff1触发几率","BUFF2.BUFFID","BUFF2.命中","BUFF2.持续回合","BUFF2.效果","buff2属性状态需求","buff2.buff状态过滤","buff2.buff状态需求","buff2触发几率","BUFF3.BUFFID","BUFF3.命中","BUFF3.持续回合","BUFF3.效果","buff3属性状态需求","buff3.buff状态过滤","buff3.buff状态需求","buff3触发几率","脚本配置文件"
"1000330","宁神花",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510135","1","0","curmp_value=100",,,,,"510135","1","0","curmp_value=10",,,"508038",,,,,,,,,,,,,,,,,,
"1000340","皇血草",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510134","1","0","curhp_value=300",,,,,"510134","1","0","curhp_value=30",,,"508038",,,,,,,,,,,,,,,,,,
"1000350","荆棘藻",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510134","1","0","curhp_value=250",,,,,"510134","1","0","curhp_value=25",,,"508038",,,,,,,,,,,,,,,,,,
"1000360","魔皇草",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510135","1","0","curmp_value=150",,,,,"510135","1","0","curmp_value=15",,,"508038",,,,,,,,,,,,,,,,,,
"1000370","雨燕草",,,,,"0",,"1",,,,,"1","1",,"1",,"0","510135","1","0","curmp_value=100",,,,,"510135","1","0","curmp_value=10",,,"508038",,,,,,,,,,,,,,,,,,
"1000400","恢复合剂(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000410","治疗药水(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=quality*12+150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000420","法力药水(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500010","1","0","curmp_value=quality*5+50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000500","活根草(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000510","野钢花(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000520","银叶草(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500010","1","0","curmp_value=150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000530","宁神花(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500010","1","0","curmp_value=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000540","皇血草(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000550","荆棘藻(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000560","魔皇草(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500010","1","0","curmp_value=150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000570","雨燕草(战斗外)",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500010","1","0","curmp_value=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000900","番茄浓汤",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500009","1","0","curhp_value=10000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1000910","翡翠浓汤",,,,,"0",,"1",,,,,"1","1",,"1",,"0","500010","1","0","curmp_value=10000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1001000","强身",,,,,"0",,"3",,,,,"1","1",,"1",,"0","500275",,,"maxhp_value=skilllevela*10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1001010","冥想",,,,,"0",,"3",,,,,"1","1",,"1",,"0","500276",,,"maxmp_value=skilllevela*10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060010","暴击",,,,,"0",,,,,,,,,,"1",,"0","509001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060020","连击",,,,,"0",,,,,,,,,,"1",,"0","509002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060030","强力",,,,,"0",,,,,,,,,,"1",,"0","509003",,,"phyattack_value=gradea*0.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060040","穿刺",,,,,"0",,,,,,,,,,"1",,"0","509004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060050","偷袭",,,,,"0",,,,,,,,,,"1",,"0","509005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060060","法术暴击",,,,,"0",,,,,,,,,,"1",,"0","509006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060070","法术连击",,,,,"0",,,,,,,,,,"1",,"0","509007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060080","法术波动",,,,,"0",,,,,,,,,,"1",,"0","509008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060090","魔之心",,,,,"0",,,,,,,,,,"1",,"0","509009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060100","法术穿刺",,,,,"0",,,,,,,,,,"1",,"0","509010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060110","冥思",,,,,"0",,,,,,,,,,"1",,"0","509011",,,"curmp_value=gradea*0.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060120","吸血",,,,,"0",,,,,,,,,,"1",,"0","509012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060130","回春",,,,,"0",,,,,,,,,,"1",,"0","509013",,,"curhp_value=gradea*0.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060140","凤凰之心",,,,,"0",,,,,,,,,,"1",,"0","509014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060150","格挡",,,,,"0",,,,,,,,,,"1",,"0","509015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060160","反弹",,,,,"0",,,,,,,,,,"1",,"0","509016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060170","神迹",,,,,"0",,,,,,,,,,"1",,"0","509017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060180","反击",,,,,"0",,,,,,,,,,"1",,"0","509018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060190","灵敏",,,,,"0",,,,,,,,,,"1",,"0","509019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060200","强壮",,,,,"0",,,,,,,,,,"1",,"0","509020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060210","防御",,,,,"0",,,,,,,,,,"1",,"0","509021",,,"defend_value=gradea*0.8;magicrevise_value=-0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060220","固法",,,,,"0",,,,,,,,,,"1",,"0","509022",,,"magicdef_value=gradea*0.8;physicrevise_value=-0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060230","幸运",,,,,"0",,,,,,,,,,"1",,"0","509023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060240","迟钝",,,,,"0",,,,,,,,,,"1",,"0","509024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060250","火元素吸收",,,,,"0",,,,,,,,,,"1",,"0","509025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060260","水元素吸收",,,,,"0",,,,,,,,,,"1",,"0","509026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060270","土元素吸收",,,,,"0",,,,,,,,,,"1",,"0","509027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060280","雷元素吸收",,,,,"0",,,,,,,,,,"1",,"0","509028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060290","不死亡魂",,,,,"0",,,,,,,,,,"1",,"0","509029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060300","驱魔",,,,,"0",,,,,,,,,,"1",,"0","509030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060310","潜行",,,,,"0",,,,,,,,,,"1",,"0","509031","1","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060320","夜枭感知",,,,,"0",,,,,,,,,,"1",,"0","509032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060330","永恒",,,,,"0",,,,,,,,,,"1",,"0","509033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060340","精神集中",,,,,"0",,,,,,,,,,"1",,"0","509034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060350","瘟疫",,,,,"0",,,,,,,,,,"1",,"0","509035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060360","追击",,,,,"0",,,,,,,,,,"1",,"0","509036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060370","溅射",,,,,"0",,,,,,,,,,"1",,"0","509037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060380","高级暴击",,,,,"0",,,,,,,,,,"1",,"0","509038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060390","高级连击",,,,,"0",,,,,,,,,,"1",,"0","509039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060400","高级强力",,,,,"0",,,,,,,,,,"1",,"0","509040",,,"phyattack_value=gradea*1.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060410","高级穿刺",,,,,"0",,,,,,,,,,"1",,"0","509041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060420","高级偷袭",,,,,"0",,,,,,,,,,"1",,"0","509042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060430","高级法术暴击",,,,,"0",,,,,,,,,,"1",,"0","509043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060440","高级法术连击",,,,,"0",,,,,,,,,,"1",,"0","509044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060450","高级法术波动",,,,,"0",,,,,,,,,,"1",,"0","509045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060460","高级魔之心",,,,,"0",,,,,,,,,,"1",,"0","509046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060470","高级法术穿刺",,,,,"0",,,,,,,,,,"1",,"0","509047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060480","高级冥思",,,,,"0",,,,,,,,,,"1",,"0","509048",,,"curmp_value=gradea*0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060490","高级吸血",,,,,"0",,,,,,,,,,"1",,"0","509049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060500","高级回春",,,,,"0",,,,,,,,,,"1",,"0","509050",,,"curhp_value=gradea*1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060510","高级凤凰之心",,,,,"0",,,,,,,,,,"1",,"0","509051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060520","高级格挡",,,,,"0",,,,,,,,,,"1",,"0","509052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060530","高级反弹",,,,,"0",,,,,,,,,,"1",,"0","509053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060540","高级神迹",,,,,"0",,,,,,,,,,"1",,"0","509054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060550","高级反击",,,,,"0",,,,,,,,,,"1",,"0","509055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060560","高级灵敏",,,,,"0",,,,,,,,,,"1",,"0","509056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060570","高级强壮",,,,,"0",,,,,,,,,,"1",,"0","509057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060580","高级防御",,,,,"0",,,,,,,,,,"1",,"0","509058",,,"defend_value=gradea*1.2;magicrevise_value=-0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060590","高级固法",,,,,"0",,,,,,,,,,"1",,"0","509059",,,"magicdef_value=gradea*1.2;physicrevise_value=-0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060600","高级幸运",,,,,"0",,,,,,,,,,"1",,"0","509060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060610","高级迟钝",,,,,"0",,,,,,,,,,"1",,"0","509061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060620","高级火元素吸收",,,,,"0",,,,,,,,,,"1",,"0","509062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060630","高级水元素吸收",,,,,"0",,,,,,,,,,"1",,"0","509063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060640","高级土元素吸收",,,,,"0",,,,,,,,,,"1",,"0","509064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060650","高级雷元素吸收",,,,,"0",,,,,,,,,,"1",,"0","509065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060660","高级不死亡魂",,,,,"0",,,,,,,,,,"1",,"0","509066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060670","高级驱魔",,,,,"0",,,,,,,,,,"1",,"0","509067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060680","高级潜行",,,,,"0",,,,,,,,,,"1",,"0","509068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060690","高级夜枭感知",,,,,"0",,,,,,,,,,"1",,"0","509069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060700","高级永恒",,,,,"0",,,,,,,,,,"1",,"0","509070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060710","高级精神集中",,,,,"0",,,,,,,,,,"1",,"0","509071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060720","高级瘟疫",,,,,"0",,,,,,,,,,"1",,"0","509072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060730","高级追击",,,,,"0",,,,,,,,,,"1",,"0","509073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2060740","高级溅射",,,,,"0",,,,,,,,,,"1",,"0","509074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070010","烈火",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510117","1",,"curhp_value=-(magicattacka*2.2-magicdefb+2*gradea)*0.5",,,,,"509075","0.1",,,,,,,,,,,,,,,,,,,,,,,
"2070020","霜冻",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510118","1",,"curhp_value=-(magicattacka*2.2-magicdefb+2*gradea)*0.5",,,,,"509076","0.1",,,,,,,,,,,,,,,,,,,,,,,
"2070030","陨石",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510119","1",,"curhp_value=-(magicattacka*2.2-magicdefb+2*gradea)*0.5",,,,,"509077","0.1",,,,,,,,,,,,,,,,,,,,,,,
"2070040","雷击",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510120","1",,"curhp_value=-(magicattacka*2.2-magicdefb+2*gradea)*0.5",,,,,"510133","0.1",,,,,,,,,,,,,,,,,,,,,,,
"2070050","地狱烈火1",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510117","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509075","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070051","地狱烈火2",,,,,"2070050","4","2",,,,,"5","1","speed","1","3*gradea","0","510117","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509075","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070052","地狱烈火3","gradea>=60",,,,"2070051","4","2",,,,,"5","1","speed","1","3*gradea","0","510117","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509075","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070060","霜冻新星1",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510118","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509076","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070061","霜冻新星2",,,,,"2070060","4","2",,,,,"5","1","speed","1","3*gradea","0","510118","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509076","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070062","霜冻新星3","gradea>=60",,,,"2070061","4","2",,,,,"5","1","speed","1","3*gradea","0","510118","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509076","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070070","天崩地裂1",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510119","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509077","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070071","天崩地裂2",,,,,"2070070","4","2",,,,,"5","1","speed","1","3*gradea","0","510119","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509077","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070072","天崩地裂3","gradea>=60",,,,"2070071","4","2",,,,,"5","1","speed","1","3*gradea","0","510119","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"509077","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070080","雷神之怒1",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510120","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"510133","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070081","雷神之怒2",,,,,"2070080","4","2",,,,,"5","1","speed","1","3*gradea","0","510120","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"510133","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070082","雷神之怒3","gradea>=60",,,,"2070081","4","2",,,,,"5","1","speed","1","3*gradea","0","510120","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"510133","0.05",,,,,,,,,,,,,,,,,,,,,,,
"2070090","壁垒击破",,,,,"0",,"2",,,,,"1","1",,"1",,"0","510113","1",,"curhp_value=-(phyattacka*1-defendb*0.9+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070100","剑舞1",,,,,"0",,"2",,,,,"1","1",,"1",,"0","510113","1",,"curhp_value=-(phyattacka*1.05-defendb+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070101","剑舞2",,,,,"2070100","4","2",,,,,"5","1","speed","1",,"0","510113","1",,"curhp_value=-(phyattacka*0.9-defendb+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070102","剑舞3",,,,,"2070101","4","2",,,,,"5","1","speed","1",,"0","510113","1",,"curhp_value=-(phyattacka*0.75-defendb+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070103","剑舞归位",,,,,"2070100","4","3",,,,,,,,"1",,"0","509147","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070110","舍命击打击",,,,,"0",,"2",,,,,"1","1",,"1",,"0","510113","1",,"curhp_value=-(phyattacka*1.1-defendb+1*gradea)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070111","舍命击反噬",,,,,"2070110","4","3",,,,,"0","1",,"1",,"0","509078","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070120","散失之刃",,,,,"0",,"2",,,,,"1","1",,"1",,"0","510113","1",,"curhp_value=-(phyattacka*1-defendb+1*gradea)",,,,,"510104","1",,"curmp_value=maindamage*0.5*((random()*(1.05-0.95))+0.95)",,,,,,,,,,,,,,,,,,,,,
"2070130","英勇打击",,,,,"0",,"2",,,,,"1","1",,"1",,"0","510113","1",,"curhp_value=-(phyattacka*1-defendb+1*gradea+max((phyattacka-phyattackb)*0.25,0))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2070140","灵魂禁锢",,,,,"0",,"2",,,,,"1","1",,"1",,"0","510113","1",,"curhp_value=-(phyattacka*1-defendb+1*gradea)",,,,,"509081","0.33",,,,,,,,,,,,,,,,,,,,,,,
"2070150","法力燃烧1",,,,,"0",,"2",,,,,"1","1",,"1","3*gradea","0","510114","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"510104","1",,"curmp_value=maindamage*0.6*0.5*((random()*(1.05-0.95))+0.95)",,,,,,,,,,,,,,,,,,,,,
"2070151","法力燃烧2",,,,,"2070150","4","2",,,,,"5","1","speed","1","3*gradea","0","510114","1",,"curhp_value=-(magicattacka*1.4-magicdefb+2*gradea)*(0.5+0.05*(2-preaimcount))",,,,,"510104","1",,"curmp_value=maindamage*0.6*0.5*((random()*(1.05-0.95))+0.95)",,,,,,,,,,,,,,,,,,,,,
