"id","改变形象","触发隐藏剧情","改变战场地图","改变场景时的渐变特效","有无客户端动作","播放战场特效","播放音乐","动作类型","技能ID","调用伙伴几号槽里技能","技能等级系数","技能等级常数","逃跑几率","召唤","目标","场景AI是否指定主角","策划备注","说话信息","说话信息是否显示到聊天框","语音资源名","语音信息是否显示到聊天框","语音信息时长","提示框信息"
"53411","0","","0","1","true","","0","2","","3@1","1","0","","","94033","0","黄昏花蕾",,,,,,
"53412","0","","0","1","true","","0","2","","2@1","1","0","","","","0","绿之潮",,,,,,
"53501","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53502","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53503","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53504","0","","0","1","true","","0","2","","3@1","1","0","","","94035","0","变形术",,,,,,
"53505","0","","0","1","true","","0","2","","5@1","1","0","","","94036","0","冰霜血脉",,,,,,
"53506","0","","0","1","true","","0","2","","1@0.5;2@0.5","1","0","","","94037","0","暴风雪|0.5 奥术冲击|0.5",,,,,,
"53507","0","","0","1","true","","0","2","","1@0.5;2@0.5","1","0","","","","0","暴风雪|0.5 奥术冲击|0.5",,,,,,
"53508","0","","0","1","true","","0","2","","2@1","1","0","","","","0","奥术冲击",,,,,,
"53509","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53510","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53511","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53512","0","","0","1","true","","0","2","","3@1","1","0","","","94035","0","变形术",,,,,,
"53513","0","","0","1","true","","0","2","","5@1","1","0","","","94036","0","冰霜血脉",,,,,,
"53514","0","","0","1","true","","0","2","","2@1","1","0","","","94037","0","奥术冲击",,,,,,
"53515","0","","0","1","true","","0","2","","2@1","1","0","","","","0","奥术冲击",,,,,,
"53516","0","","0","1","true","","0","2","","2@1","1","0","","","","0","奥术冲击",,,,,,
"53601","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53602","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53603","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53604","0","","0","1","true","","0","2","","2@1","1","0","","","94038","0","治疗祷言",,,,,,
"53605","0","","0","1","true","","0","2","","3@1","1","0","","","94039","0","复生",,,,,,
"53606","0","","0","1","true","","0","2","","2@1","1","0","","","94028","0","治疗祷言",,,,,,
"53607","0","","0","1","true","","0","2","","4@1","1","0","","","","0","心灵之火",,,,,,
"53608","0","","0","1","true","","0","2","","5@1","1","0","","","94041","0","神圣救赎",,,,,,
"53609","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53610","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53611","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53612","0","","0","1","true","","0","2","","3@1","1","0","","","94038","0","复生",,,,,,
"53613","0","","0","1","true","","0","2","","2@1","1","0","","","94028","0","治疗祷言",,,,,,
"53614","0","","0","1","true","","0","2","","2@1","1","0","","","94039","0","治疗祷言",,,,,,
"53615","0","","0","1","true","","0","2","","4@1","1","0","","","","0","心灵之火",,,,,,
"53616","0","","0","1","true","","0","2","","5@1","1","0","","","94041","0","神圣救赎",,,,,,
"53701","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53702","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53703","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53704","0","","0","1","true","","0","2","","4@1","1","0","","","94039","0","先祖之魂",,,,,,
"53705","0","","0","1","true","","0","2","","1@0.5;3@0.5","1","0","","","94037","0","闪电链|0.5 闪电箭|0.5",,,,,,
"53706","0","","0","1","true","","0","2","","1@0.5;3@0.5","1","0","","","","0","闪电链|0.5 闪电箭|0.5",,,,,,
"53707","0","","0","1","true","","0","2","","3@1","1","0","","","","0","闪电箭",,,,,,
"53708","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53709","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53710","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53711","0","","0","1","true","","0","2","","4@1","1","0","","","94039","0","先祖之魂",,,,,,
"53712","0","","0","1","true","","0","2","","3@1","1","0","","","94037","0","闪电箭",,,,,,
"53713","0","","0","1","true","","0","2","","3@1","1","0","","","","0","闪电箭",,,,,,
"53714","0","","0","1","true","","0","2","","3@1","1","0","","","","0","闪电箭",,,,,,
"53801","0","","0","1","true","","0","1","","","1","0","","","","0","普攻操作",,,,,,
"53802","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53803","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53804","0","","0","1","true","","0","2","","5@1","1","0","","","94035","0","闷棍",,,,,,
"53805","0","","0","1","true","","0","2","","3@1","1","0","","","94029","0","剔骨",,,,,,
"53806","0","","0","1","true","","0","2","","3@0.5;2@0.5","1","0","","","94029","0","剔骨|0.5 穿刺影袭|0.5",,,,,,
"53807","0","","0","1","true","","0","2","","2@1","1","0","","","94029","0","穿刺影袭",,,,,,
"53808","0","","0","1","true","","0","2","","3@1","1","0","","","","0","剔骨",,,,,,
"53809","0","","0","1","true","","0","2","","3@0.5;2@0.5","1","0","","","","0","剔骨|0.5 穿刺影袭|05",,,,,,
"53810","0","","0","1","true","","0","2","","2@1","1","0","","","","0","穿刺影袭",,,,,,
"53811","0","","0","1","true","","0","1","","","1","0","","","","0","普攻操作",,,,,,
"53812","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53813","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53814","0","","0","1","true","","0","2","","5@1","1","0","","","94035","0","闷棍",,,,,,
"53815","0","","0","1","true","","0","2","","3@1","1","0","","","94029","0","剔骨",,,,,,
"53816","0","","0","1","true","","0","2","","3@0.5;1@0.5","1","0","","","94029","0","剔骨|0.5 淬毒刀扇|0.5",,,,,,
"53817","0","","0","1","true","","0","2","","1@1","1","0","","","94029","0","淬毒刀扇",,,,,,
"53818","0","","0","1","true","","0","2","","3@1","1","0","","","","0","剔骨",,,,,,
"53819","0","","0","1","true","","0","2","","3@0.5;1@0.5","1","0","","","","0","剔骨|0.5 淬毒刀扇|0.5",,,,,,
"53820","0","","0","1","true","","0","2","","1@1","1","0","","","","0","淬毒刀扇",,,,,,
"53901","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53902","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53903","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53904","0","","0","1","true","","0","2","","2@1","1","0","","","94035","0","沉默诅咒",,,,,,
"53905","0","","0","1","true","","0","2","","2@0.5;4@0.5","1","0","","","94044","0","沉默诅咒|0.5 恶魔降临3|0.5",,,,,,
"53906","0","","0","1","true","","0","2","","3@1","1","0","","","","0","生命虹吸",,,,,,
"53907","0","","0","1","true","","0","2","","2@0.5;4@0.5","1","0","","","94044","0","沉默诅咒|0.5 恶魔降临3|0.5",,,,,,
"53908","0","","0","1","true","","0","2","","5@1","1","0","","","","0","虚弱诅咒",,,,,,
"53909","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53910","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53911","0","","0","1","true","","0","4","","","1","0","","","","0","防御",,,,,,
"53912","0","","0","1","true","","0","2","","2@1","1","0","","","94035","0","沉默诅咒",,,,,,
"53913","0","","0","1","true","","0","2","","1@0.7;4@0.3","1","0","","","94044","0","火焰之雨|0.7 恶魔降临3|0.3",,,,,,
"53914","0","","0","1","true","","0","2","","3@1","1","0","","","","0","生命虹吸",,,,,,
"53915","0","","0","1","true","","0","2","","2@0.5;4@0.5","1","0","","","94044","0","沉默诅咒|0.5 恶魔降临3|0.5",,,,,,
"53916","0","","0","1","true","","0","2","","5@1","1","0","","","","0","虚弱诅咒",,,,,,
"54001","0","","0","1","true","","0","1","","","1","0","","","","0","普攻","","","","","",""
"54002","0","","0","1","true","","0","4","","","1","0","","","","0","防御","","","","","",""
"54003","0","","0","1","true","","0","2","","1@1","1","0","","","","0","所有伙伴的群攻","","","","","",""
"54101","0","","0","1","true","","0","2","","2@1","1","0","","","","0","毁2@1","","","","","",""
"54102","0","","0","1","true","","0","2","","3@0.5;1@0.5","1","0","","","","0","蓄3@0.5 幻1@0.5","","","","","",""
"54103","0","","0","1","true","","0","2","","1@0.7;2@0.3","1","0","","","","0","幻1@0.7 毁2@0.3","","","","","",""
"54104","0","","0","1","true","","0","2","","3@0.5;1@0.5","1","0","","","","0","蓄3@0.5 幻1@0.5","","","","","",""
"54201","0","","0","1","true","","0","2","","2@0.7;3@0.3","1","0","","","94005","0","神2@0.7 处3@0.3","","","","","",""
"54202","0","","0","1","true","","0","2","","4@0.7;3@0.3","1","0","","","94005","0","混4@0.7 处3@0.3","","","","","",""
"54203","0","","0","1","true","","0","2","","1@1","1","0","","","94005","0","无1@1","","","","","",""
"54204","0","","0","1","true","","0","2","","1@0.7;2@0.3","1","0","","","94005","0","无1@0.7 神2@0.3","","","","","",""
"54205","0","","0","1","true","","0","2","","2@0.7;1@0.3","1","0","","","94005","0","神2@0.7 无1@0.3","","","","","",""
"54301","0","","0","1","true","","0","2","","1@0.5;3@0.5","1","0","","","","0","多1@0.5 稳3@0.5","","","","","",""
"54302","0","","0","1","true","","0","2","","2@1","1","0","","","94005","0","诱2@1","","","","","",""
"54303","0","","0","1","true","","0","2","","1@0.5;2@0.5","1","0","","","94005","0","多1@0.5 诱2@0.5","","","","","",""
"54304","0","","0","1","true","","0","2","","3@1","1","0","","","","0","稳3@1","","","","","",""
"54305","0","","0","1","true","","0","2","","1@0.5;3@0.5","1","0","","","","0","多1@0.5 稳3@0.5","","","","","",""
"54401","0","","0","1","true","","0","2","","3@1","1","0","","","94011","0","落3@1","","","","","",""
"54402","0","","0","1","true","","0","2","","3@1","1","0","","","","0","落3@1","","","","","",""
"54403","0","","0","1","true","","0","2","","4@1","1","0","","","","0","心4@1","","","","","",""
"54404","0","","0","1","true","","0","2","","2@1","1","0","","","94010","0","绿2@1","","","","","",""
"54501","0","","0","1","true","","0","2","","1@0.5;4@0.5","1","0","","","94012","0","暴1@0.5 从4@0.5","","","","","",""
"54502","0","","0","1","true","","0","2","","1@0.7;2@0.3","1","0","","","94013","0","暴1@0.7 奥2@0.3","","","","","",""
"54503","0","","0","1","true","","0","2","","1@0.7;2@0.3","1","0","","","","0","暴1@0.7 奥2@0.3","","","","","",""
"54504","0","","0","1","true","","0","2","","1@0.5;4@0.5","1","0","","","94012","0","暴1@0.5 从4@0.5","","","","","",""
"54505","0","","0","1","true","","0","2","","2@0.7;1@0.3","1","0","","","94013","0","奥2@0.7 暴1@0.3","","","","","",""
"54506","0","","0","1","true","","0","2","","2@0.7;1@0.3","1","0","","","","0","奥2@0.7 暴1@0.3","","","","","",""
"54507","0","","0","1","true","","0","2","","4@1","1","0","","","94012","0","从4@1","","","","","",""
"54508","0","","0","1","true","","0","2","","1@0.7;2@0.3","1","0","","","94013","0","暴1@0.7 奥2@0.3","","","","","",""
"54509","0","","0","1","TRUE","","0","2","","1@0.7;2@0.3","1","0","","","","0","暴1@0.7 奥2@0.3","","","","","",""
"54601","0","","0","1","true","","0","2","","2@1","1","0","","","94016","0","治2@1","","","","","",""
"54602","0","","0","1","true","","0","2","","3@1","1","0","","","94014","0","苏3@1","","","","","",""
"54603","0","","0","1","true","","0","2","","2@1","1","0","","","94015","0","治2@1","","","","","",""
"54604","0","","0","1","true","","0","2","","4@1","1","0","","","94018","0","专4@1","","","","","",""
"54605","0","","0","1","true","","0","2","","3@1","1","0","","","94014","0","苏3@1","","","","","",""
"54606","0","","0","1","true","","0","2","","2@1","1","0","","","94015","0","治2@1","","","","","",""
"54607","0","","0","1","true","","0","2","","4@1","1","0","","","94018","0","专4@1","","","","","",""
"55001","0","","0","1","TRUE","","0","","","","","","","","","0","","你们是什么人,吓死宝宝了!","","","","",""
"55002","0","","0","1","TRUE","","0","9","","","","","100","","","0","","给你机会都抓不住我，不和你玩了。","","","","",""
"55011","0","","0","1","TRUE","","0","","","","","","","","","0","劣人喊话1","不能让他们抢走我的乖乖！","","","","",""
"55012","0","","0","1","TRUE","","0","","","","","","","","","0","劣人喊话2","“哎呀，不小心把修玛打死了……”","","","","",""
"55013","0","","0","1","TRUE","","0","","","","","","","","","0","联盟猎人喊话","我先发现的，这只修玛是我的！","","","","",""
"55014","0","","0","1","TRUE","","0","1","","","","","","","95019","0","修玛无差别攻击（敌我双方）","“嗷呜”","","","","",""
"55015","0","","0","1","TRUE","","0","","","","","","","","95002","1","8601，玩家喊话","你该不会是要教我们怎样抓宝宝吧？","","","","",""
"55016","0","","0","1","TRUE","","0","","","","","","","","","0","8601，劣人喊话1","哎呀，这都被你看出来了，先帮忙拉住他。","","","","",""
"55017","0","","0","1","TRUE","","0","","","","","","","","","0","8601，劣人喊话2","趁现在快去捕捉他。","","","","",""
"55044","0","","0","1","TRUE","","0","10","","","","","","","","0","8601，劣人休息","","","","","",""
"55023","0","","0","1","TRUE","","0","1","","","","","","","95022","0","8601，劣人攻击狮王休玛","","","","","",""
"55018","0","","0","1","TRUE","","0","","","","","","","","","0","8602，会长喊话1","蠢牛，居然敢来偷袭我师父，先过我这一关。","","","","",""
"55019","0","","0","1","TRUE","","0","","","","","","","","","0","8602，会长喊话2","师父真会说笑，待徒儿前去打退他们。","","","","",""
"55020","0","","0","1","TRUE","","0","","","","","","","","","0","8602，盗贼姑娘喊话","原来是会长，真是抱歉！","","","","",""
"55021","0","","0","1","TRUE","","0","","","","","","","","","0","8602，冬喊话1","徒儿什么时候跟这位姑娘这么熟了，该不会是你的相好吧？","","","","",""
"55022","0","","0","1","TRUE","","0","","","","","","","","","0","8602，冬喊话2","这位盗贼姑娘倒是个好手。","","","","",""
"55024","0","","0","1","TRUE","","0","","","","","","","","","0","8603,冬喊话","徒儿们，都看好了！","","","","",""
"55025","0","","0","1","TRUE","","0","","","","","","","","","0","8604，劣人喊话","哎呀！又被你们救了，真是不好意思。","","","","",""
"55026","0","","0","1","TRUE","","0","","","","","","","","95002","1","8604，玩家喊话","有什么话清完怪再说。","","","","",""
"55043","0","","0","1","TRUE","","0","9","","","","","100","","","0","8604，劣人逃跑","唉，打不过，我先闪了！","","","","",""
"55027","0","","0","1","TRUE","","0","","","","","","","","","0","8605，劣人喊话","孙子，我今天一定要让你见识见识菊爆大队的厉害！","","","","",""
"55028","0","","0","1","TRUE","","0","","","","","","","","95023","0","8605，劣人攻击大囧龟","","","","","",""
"55029","0","","0","1","TRUE","","0","2","110002","","1","0","","","","0","8606，哀木涕嘲讽技能","孙子！！！","","","","",""
"55030","0","","0","1","TRUE","","0","","","","","","","","","0","8606，劣人喊话","这头蠢牛居然引来这么多怪！","","","","",""
"55031","0","","0","1","TRUE","","0","","","","","","","","","0","8606，玩家喊话","真是无药可救了！","","","","",""
"55032","0","","0","1","TRUE","","0","","","","","","","","","0","8607，哀木涕喊话","老不死的，你的末日到了。","","","","",""
"55033","0","","0","1","TRUE","","0","","","","","","","","","0","8607，小德喊话","请问要来件银鳞胸甲不？","","","","",""
"55034","0","","0","1","TRUE","","0","2","722002","","1","0","","","","0","8602，大小姐群秒技能","","","","","",""
"55035","0","","0","1","TRUE","","0","2","722003","","1","0","","","","0","8602，大小姐控制技能","","","","","",""
"55036","0","","0","1","TRUE","","0","2","722005","","1","0","","","","0","8602，大小姐辅助技能","","","","","",""
"55037","0","","0","1","TRUE","","0","","","","","","","","","0","8603，哀木涕喊话","嘿嘿！师父果然利害！看来我很快就能强力了。","","","","",""
"55038","0","","0","1","TRUE","","0","","","","","","","","","0","8603,战斗结束冬喊话","这群小怪，一点都不经打，真无聊啊！","","","","",""
"55039","0","","0","1","TRUE","","0","","","","","","","","","0","8604，哀木涕喊话","嘿嘿！又可以掀小软的裙子了！","","","","",""
"55040","0","","0","1","TRUE","","0","12","","","","","","29060@15;29060@16;29060@17;29060@18;29060@19;29060@21;29060@22;29060@23;29060@24;","","0","8606，召唤食人工头","","","","","",""
"55041","0","","0","1","TRUE","","0","","","","","","","","","0","8607，阿鲁高喊话","想不到这种货色也能站在我面前向我挑衅！","","","","",""
"55045","0","","0","1","TRUE","","0","2","741002","","1","0","","","","0","8609，小德喊话1，并降防","哀木涕，去把那只怪拉住！","","","","",""
"55046","0","","0","1","TRUE","","0","","","","","","","","","0","8609，小德喊话2","你这废物牛，让你去拉怪，谁让你引一群怪过来？","","","","",""
"55047","0","","0","1","TRUE","","0","12","","","","","","29091@23;29091@24;29092@15;29092@16;29092@17;29092@18;29092@19","","0","8609，野猪人召唤","","","","","",""
"55048","0","","0","1","TRUE","","0","2","110002","","1","0","","","","0","8609，哀木涕嘲讽","","","","","",""
"55049","0","","0","1","TRUE","","0","2","110001","","1","0","","","","0","8609，哀木涕幻影斩","","","","","",""
"55042","0","","0","1","TRUE","","0","","","","","","","","","0","8607，阿鲁高喊话","愚蠢的动物们，你们会为自己的行为付出代价。",,"","","",""
"56001","0","","0","1","TRUE","","0","12","","","","","","29509@2;29508@3;29505@11","95002","1","主角召唤哀木涕、沐丝、劣人","","","","","",""
"56002","0","","0","1","TRUE","","0","","","","","","","","","0","侏儒战士喊话","来，死狗 （LET'S GO~）","","Aichat/dizhonghai_001.mp3","","",""
"56003","0","","0","1","TRUE","","0","1","","","","","","","95014","0","暗夜男揍侏儒战士","你丫骂谁咧！","","Aichat/anyenan_001.mp3","","",""
"56004","0","","0","1","TRUE","","0","","","","","","","","","0","哀木涕喊话","恐怕他是来杀你的。","","","","",""
"56005","0","","0","1","TRUE","","0","2","761002","","1","0","","","","0","沐丝喊话","别说了，赶紧虐了他。","","","","",""
"56006","0","","0","1","TRUE","","0","","","","","","","","","0","劣人喊话","哎呀呀，好久不见。","","","","",""
"56007","0","","0","1","TRUE","","0","2","761003","","1","0","","","95035","0","沐丝救人","","","","","",""
"56008","0","","0","1","TRUE","","0","2","761002","","1","0","","","95036","0","沐丝治疗","","","","","",""
"56009","0","","0","1","TRUE","","0","2","711002","","1","0","","","","0","哀木涕嘲讽技能","","","","","",""
"56010","0","","0","1","TRUE","","0","","","","","","","","","0","战士喊话，嘲讽BOSS","卑鄙的亡灵，居然攻击无辜的平民。","","","","",""
"56011","0","","0","1","TRUE","","0","12","","","","","","29422@11","95002","1","","欺人太甚，我跟你们拼了！","","","","",""
"56012","0","","0","1","TRUE","","0","","","","","","","","95002","1","","怎么回事，这股力量...我控制不住了。","","Aichat/zhujue_003.mp3","","",""
"56013","0","","0","1","TRUE","","0","","","","","","","","","0","麦迪文喊话","小心！","","","","",""
"56014","0","","0","1","TRUE","","0","2","180001","","1","0","","","95004","0","阿尔萨斯三连击主角","","","","","",""
"56015","0","","0","1","TRUE","","0","2","160003","","","","","","95013","0","","复活吧，我的勇士！","","","","",""
"56016","0","","0","1","TRUE","","0","5","","","","","","","95009","0","麦迪文保护主角","小心！","","","","",""
"56017","0","","0","1","TRUE","","0","",,"","","","","","","0","麦迪文对全体队友释放特技","","","","","",""
"56018","0","","0","1","TRUE","","0","10","","","","","","","","0","辛德拉苟萨吼叫","吼~","","","","",""
"55090","0","","0","1","TRUE","","0","2","150002","","1","0","","","95007","0","普通攻击萨尔","为了艾尔索斯！","","","","",""
"56019","0","","0","1","TRUE","","0","2","150002","","1","0","","","95008","0","普通攻击安度因","为了艾尔索斯！","","","","",""
"56026","0","","0","1","TRUE","","0","12","","","","","","29422@11","95002","1","召唤萨尔","","","","","",""
