"id","单位关系","单位阵营方","战斗单位类型","怪物类型","特殊类型","是否包含死亡","是否包含隐身","本回合累积结果","最小hp百分比","最大hp百分比","最小mp百分比","最大mp百分比","最大连击点","最小连击点","属性排序","buff","性别","职业","等级下限","等级上限","怪物ID","战斗ID","策划备注","关系"
"94042","","2","","","","1","1",,"","",,,,,,"_506306_",,,"0","150",,,"敌方有身上有虚弱诅咒buff的单位（包含死亡）",""
"94043","","3","","","","","1",,"","0.3",,,,,,"",,,"0","150",,,"血量小于等于30%的自己",""
"94044","","2","","","","","1",,"","",,,,,,"!_130_",,,"0","150",,,"敌方没被控制的单位",""
"94045","","1","2","","","","1",,"","",,,,,,"",,,"0","150",,,"己方宠物",""
"94046","","1","2","","","","1",,"","",,,,,,"_503002_",,,"0","150",,,"我方有野性召唤buff的宠物单位",""
"94047","","3","","","","","1",,"","",,,"0",,,"",,,"0","150",,,"连击点大于等于0的自己",""
"94048","","3","","","","","1",,"","",,,"1",,,"",,,"0","150",,,"连击点大于等于1的自己",""
"94049","","3","","","","","1",,"","",,,"2",,,"",,,"0","150",,,"连击点大于等于2的自己",""
"94050","","3","","","","","1",,"","",,,"3",,,"",,,"0","150",,,"连击点大于等于3的自己",""
"94051","","3","","","","","1",,"","",,,"4",,,"",,,"0","150",,,"连击点大于等于4的自己",""
"94052","","3","","","","","1",,"","",,,"5",,,"",,,"0","150",,,"连击点大于等于5的自己",""
"94053","","1","","","","1","1",,"","",,,,,,"_504003_",,,"0","150",,,"我方身上有自然之眼buff的单位（包含死亡）",""
"95001","","2","2","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方宠物",""
"95002","","1","","","","","1",,"","",,,,,,"",,,"0","150",,"1","玩家自己",""
"95003","","1","","","","","1",,"","",,,,,,"",,,"0","150",,,"己方单位",""
"95004","","2","1","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方主角",""
"95005","","","","","","","1",,"","",,,,,,"",,,"0","150","29530",,"剧情战斗8505，目标哀木涕",""
"95006","","","","","","","1",,"","",,,,,,"",,,"0","150","29531",,"剧情战斗8505，目标沐丝",""
"95007","","","","","","","1",,"","",,,,,,"",,,"0","150","29401",,"普通攻击萨尔",""
"95008","","","","","","","1",,"","",,,,,,"",,,"0","150","29405",,"普通攻击安度因",""
"95009","","1","1","","","","1",,"","",,,,,,"",,,"0","150",,,"己方主角",""
"95010","","","","","","","1",,"","",,,,,,"",,,"0","150","29560;29561;29562;29563",,"除主角所有敌人",""
"95011","","","","","","","1",,"","",,,,,,"",,,"0","150","29400",,"普通攻击战士首席",""
"95012","","","","","","","1",,"","",,,,,,"",,,"0","150","29404",,"普通攻击法师首席",""
"95013","","1","1","","","1","1",,"","",,,,,,"",,,"0","150",,,"己方死亡主角",""
"95014","","1","","","","","1",,"","",,,,,,"",,,"0","150","29507",,"剧情战斗8502，目标侏儒战士",""
"95015","","1","","","","","1",,"","",,,,,,"",,,"0","150","29523",,"剧情战斗8504，目标暗夜男",""
"95016","","4","","","","","1",,"","",,,,,,"",,,"0","150","29523",,"剧情战斗8504，目标暗夜男(敌方)",""
"95017","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150","29860",,"剧情战斗8545，目标雷诺（己方）",""
"95018","","1","","","","","1",,"","",,,,,,"",,,"0","150",,,"己方存活单位",""
"95019","","4","","","","","1",,"","",,,,,,"",,,"0","150",,,"敌我双方所有人",""
"95020","","2","","","","1","1",,"","",,,,,,"_500033_",,,"0","150","29002",,"红尘8600，修玛死亡",""
"95021","","1","","","","1","1",,"","0.2",,,,,,"",,,"0","150","29020",,"红尘8602，冬血量小于20%",""
"95022","","2","","","","","1",,"","",,,,,,"",,,"0","150","29002",,"红尘8600，修玛",""
"95023","","2","","","","","1",,"","",,,,,,"",,,"0","150","29050",,"红尘8605，大囧龟",""
"95024","","2","","","","","1",,"","",,,,,,"",,,"0","150",,,"红尘8603，敌方怪",""
"95025","","1","1","","","","1",,"","0.8",,,,"",,,,,"0","150",,,"我方主角血小于等于50%的单位",""
"95026","","1","1","","","1","1",,"","0",,,,"",,,,,"0","150",,,"己方死亡主角",""
"95027","","2","","","","","1",,"","",,,,"",,,,,"0","150","29423",,"敌方冰龙",""
"95028","","2","","","","","1",,"","",,,,"",,,,,"0","150",,,"敌方怪物",""
"95029","","2","5","4","","","1",,"","",,,,,,"!_501010_",,,"0","150",,,"新手战斗BOSS",""
"95030","","2","5;6","2","","","1",,"","",,,,,,"!_130_",,,"0","150",,,"新手战斗冰龙",""
"95031","","","","","","","1",,"","",,,,,,"",,,"0","150","29400",,"新手战斗，单秒战士29400",""
"95032","","","","","","","1",,"","",,,,,,"",,,"0","150","29401",,"新手战斗，单秒小德29401",""
"95033","","","","","","","1",,"","",,,,,,"",,,"0","150","29402",,"新手战斗，单秒法师29402",""
"95034","","","","","","","1",,"","",,,,,,"",,,"0","150","29403",,"新手战斗，单秒牧师29403",""
"95035","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"我方死亡单位",""
"95036","","1","","","","","1",,"","0.5",,,,,"curhp_percent@0","",,,"0","150",,,"我方血小于等于50%单位",""
"95037","","1","","","","","1",,"","0.8",,,,,"curhp_percent@0","",,,"0","150",,,"我方血小于等于80%单位",""
"95038","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"我方死亡单位",""
"95039","","1","","","","1","1",,"","",,,,,,"_506003_",,,"0","150",,,"我方身上有心灵之火buff的单位（包含死亡）",""
"95040","","1","","","","","1",,"","0.6",,,,,,"",,,"0","150",,,"我方血小于等于60%单位",""
"95041","","2","","","","","1",,"","",,,,,,"!_130_",,,"0","150",,,"8551敌方没被控制的单位",""
"95042","","2","","","","","1",,"","",,,,,,"_509082_||_509083_||_506201_",,,"0","150",,,"8551敌方隐身单位",""
"95043","","1","","","","","1",,"","0.8",,,,,"curhp_percent@0","",,,"0","150",,,"8551我方血小于等于80%单位",""
"95044","","1","","","","","1",,"","0.3",,,,,"curhp_percent@0","",,,"0","150",,,"8551我方血小于等于30%单位",""
"95045","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"8551我方死亡单位",""
"95046","","2","","","","","1",,"","",,,,,,"",,,"0","150",,,"8551敌方数量",""
"95047","","2","","","","","1",,"","0.4",,,,,"curhp_percent@0","",,,"0","150",,,"8552对方血小于等于40%的单位",""
"95048","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"8552我方死亡单位",""
"95049","","1","","","","","1",,"","0.8",,,,,"curhp_percent@0","",,,"0","150",,,"8554我方血量少于80%的主角",""
"95050","","2","","","","1","1",,"","",,,,,,"_504002_",,,"0","150",,,"8554敌方中绿之潮的单位（包含死亡）",""
"95051","","2","","","","","1",,"","",,,,,,"!_130_",,,"0","150",,,"8555敌方没被控制的单位",""
"95052","","1","","","","","1",,"","0.5",,,,,"curhp_percent@0","",,,"0","150",,,"8555己方血量小于50%",""
"95053","","3","","","","","1",,"","0.5",,,,,"curhp_percent@0","",,,"0","150",,,"8557自己血量小于50%",""
"95054","","1","","","","1","1",,"","",,,,,,"_506002_",,,"0","150",,,"我方有黄昏花蕾buff的单位（包含死亡）",""
"95055","","1","","","","1","1",,"","",,,,,,"_506003_",,,"0","150",,,"8560我方身上有心灵之火buff的单位（包含死亡）",""
"95056","","2","","","","","1",,"","0.1",,,,,"curhp_percent@0","",,,"0","150",,,"8561血量少于10%的敌人",""
"95057","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"8561我方死亡单位",""
"95058","","2","","","","1","1",,"","",,,,,,"_506306_",,,"0","150",,,"敌方有身上有虚弱诅咒buff的单位（包含死亡）",""
"95059","","2","","","","","1",,"","",,,,,,"_509082_||_509083_||_506201_",,,"0","150",,,"敌方隐身单位",""
"95060","","3","","","","","1",,"0.55000000000000004","",,,,,"curhp_percent@0","",,,"0","150",,,"自己血量大于55%",""
"95061","","1","","","","","1",,"","",,,,,,"",,,"0","150","40090",,"8569伊利丹头颅",""
"95062","","4","","","","","1",,"","0.5",,,,,"curhp_percent@0","",,,"0","150","40130",,"8573阿克蒙德血量50%",""
"95063","","1","","","","1","1",,"","",,,,,,"",,,"0","150",,,"",""
"95064","","1","","","","1","1",,"","",,,,,,"",,,"0","150",,,"",""
"95065","","1","","","","1","1",,"","",,,,,,"",,,"0","150",,,"",""
"95070","","4","","","","1","1",,"","",,,,,,"",,,"0","150","29424",,"新手战斗炎魔",""
"95071","","4","","","","1","1",,"","",,,,,,"",,,"0","150","29425",,"新手战斗大奶铜须",""
"95072","","4","","","","1","1",,"","",,,,,,"",,,"0","150","29428",,"新手战斗火元素",""
"95073","","4","","","","1","1",,"0.95","",,,,,"curhp_percent@0","",,,"0","150","29424",,"新手战斗炎魔血量>=95%",""
"95074","","4","","","","1","1",,"","",,,,,,"",,,"0","150",,,"新手战斗",""
"95075","","4","","","","1","1",,"","",,,,,,"",,,"0","150",,,"新手战斗",""
"95076","","4","","","","1","1",,"","",,,,,,"",,,"0","150",,,"新手战斗",""
"95077","","4","","","","1","1",,"","",,,,,,"",,,"0","150",,,"新手战斗",""
"95078","","4","","","","1","1",,"","",,,,,,"",,,"0","150",,,"新手战斗",""
"","","","","","","","",,"","",,,,,,"",,,"","",,,"",""
"","","","","","","","",,"","",,,,,,"",,,"","",,,"",""
"","","","","","","","",,"","",,,,,,"",,,"","",,,"",""
"","","","","","","","",,"","",,,,,,"",,,"","",,,"",""
"96001","","2","1","","","1","1",,"","",,,,,,"",,"_12_||_14_||_16_||_19_","0","150",,,"对方主角非输出职业",""
"96002","","2","1","","","1","1",,"","",,,,,,"",,,"0","150",,,"对方没有中三控的单位",""
"96003","","2","","","","","1",,"","",,,,,,"!_502002_",,,"0","150",,,"",""
"96004","","2","1","","","1","1",,"","",,,,,,"",,"_11_||_13_||_15_||_17_||_18_","0","150",,,"输出职业",""
"96011","","2","5","4","","","1",,"","0.1",,,,,,"",,,"0","150",,,"公会副本BOSS血量小于等于百分之十",""
"96012","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"怪物数量",""
"96013","","3","5","","","","1",,"","0.1",,,,,,"",,,"0","150",,,"公会副本血量小于10%",""
"96014","","2","1","","","1","1",,"","",,,,,,"",,"_11_","0","150",,,"对方战士职业",""
"96015","","3","","","","","1",,"","",,,,,,"_130_",,,"0","150",,,"公会副本怪自己中了控制",""
"96016","","2","1","","","1","1",,"","",,,,,,"",,"_12_||_14_||_16_","0","150",,,"公会副本敌方有治疗职业逃跑",""
"96017","","","","","","1","1",,"","",,,,,,"",,,"0","150","24154;24174;24175;24176;24177;24178;24179;24180;24181",,"敌方所有敌人",""
"96100","","2","1","","","1","1",,"","",,,,,,"",,"_11_","0","150",,,"（尖牙溶洞）对方战士职业",""
"96101","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"（尖牙溶洞）怪物数量",""
"96102","","3","5","4","","","1",,"","0.5",,,,,,"",,,"0","150",,,"（尖牙溶洞）血小于等于50%",""
"96103","","2","1","","","1","1",,"","",,,,,,"",,"_11_","0","150",,,"有战士逃跑",""
"96104","","2","1","","","1","1",,"","",,,,,,"",,"_12_","0","150",,,"有圣骑逃跑",""
"96105","","2","1","","","1","1",,"","",,,,,,"",,"_13_","0","150",,,"有猎人逃跑",""
"96106","","2","1","","","1","1",,"","",,,,,,"",,"_14_","0","150",,,"有小德逃跑",""
"96107","","2","1","","","1","1",,"","",,,,,,"",,"_15_","0","150",,,"有法师逃跑",""
"96108","","2","1","","","1","1",,"","",,,,,,"",,"_16_","0","150",,,"有牧师逃跑",""
"96109","","2","1","","","1","1",,"","",,,,,,"",,"_17_","0","150",,,"有萨满逃跑",""
"96110","","2","1","","","1","1",,"","",,,,,,"",,"_18_","0","150",,,"有盗贼逃跑",""
"96111","","2","1","","","1","1",,"","",,,,,,"",,"_19_","0","150",,,"有术士逃跑",""
"96112","","2","5","","","","",,"","",,,,,,"",,"","0","150",,,"敌方阵营",""
"96113","","3","","","","1","1",,"","",,,,,,"_506003_",,,"0","150",,,"我方身上有心灵之火buff的单位（包含死亡）",""
"96120","","1","","","","","1",,"","0.8",,,,,,"",,,"0","150",,,"我方血小于等于80%单位",""
"96121","","1","","","","","1",,"","0.8",,,,,,"",,,"0","150",,,"我方血小于等于80%单位",""
"96122","","3","","","","1","1",,"","",,,,,,"_506003_",,,"0","150",,,"我方身上有心灵之火buff的单位（包含死亡）",""
"96123","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"我方死亡单位",""
"96124","","3","5","","","1","",,"","0.01",,,,,,"",,"","0","150",,,"自己血量小于百分之0.01",""
"96200","","2","5","","","","1",,"","",,,,,,"!_501010_",,,"0","150",,,"中嘲讽的敌方单位",""
"96201","","2","5","","","","1",,"","",,,,,,"!_501004_",,,"0","150",,,"中破甲的敌方单位",""
"96202","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96203","","2","5","","","","1",,"","",,,,,,"!_501010_",,,"0","150",,,"中嘲讽的敌方单位",""
"96204","","2","","","","","1",,"","",,,,,,"_509082_||_509083_||_506201_",,,"0","150",,,"敌方隐身单位",""
"96205","","1","","","","","1",,"","0.6",,,,,"curhp_percent@0","",,,"0","150",,,"我方血小于等于60%单位",""
"96206","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96207","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96208","","2","","","","1","1",,"","",,,,,,"_504002_",,,"0","150",,,"敌方中绿之潮的单位（包含死亡）",""
"96209","","1","","","","","1",,"","0.8",,,,,,"",,,"0","150",,,"我方血小于等于80%单位",""
"96210","","1","","","","1","1",,"","",,,,,,"_506003_",,,"0","150",,,"我方身上有心灵之火buff的单位（包含死亡）",""
"96211","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"我方死亡单位",""
"96212","","1","","","","","1",,"","0.8",,,,,"curhp_percent@0","",,,"0","150",,,"我方血小于等于80%单位",""
"96213","","1","","","","","1",,"","",,,,,,"_110_||_120_",,,"0","150",,,"我方中debuff单位",""
"96214","","1","","","","1","1",,"","",,,,,,"_500033_",,,"0","150",,,"我方死亡单位",""
"96215","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96216","","2","","","","","1",,"","",,,,,,"!_130_",,,"0","150",,,"敌方没被控制的单位",""
"96217","","2","","","","1","1",,"","",,,,,,"_506306_",,,"0","150",,,"敌方有身上有虚弱诅咒buff的单位（包含死亡）",""
"96218","","3","","","","","1",,,"0.5",,,,,,"",,,"0","150",,,"血小于50%的自己",""
"96219","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96220","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96221","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96222","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96223","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"96224","","2","5","","","","1",,"","",,,,,,"",,,"0","150",,,"敌方单位",""
"97001","","2","1","","","1","1",,"","",,,,,,"",,"_12_||_14_||_16_||_19_","0","150",,,"对方主角非输出职业",""
"97002","","2","1","","","1","1",,"","",,,,,,"",,,"0","150",,,"对方没有中三控的单位",""
"97003","","2","","","","","1",,"","",,,,,,"!_502002_",,,"0","150",,,"",""
"97004","","2","1","","","1","1",,"","",,,,,,"",,"_11_||_13_||_15_||_17_||_18_","0","150",,,"输出职业",""
"97005","","3","","","","","1",,"","",,,,,,"_130_",,,"0","150",,,"日常副本怪自己中了封印",""
"99001","","2","","","","","1",,"","",,,,,,"",,,"0","150","",,"怪物己方所有敌人",""
"99002","","2","5","4","","","1",,"","",,,,,,"",,,"0","150","",,"boss死亡召唤怪物",""
"99003","","1","5","4","","1","1",,"","",,,,,,"_500033_",,,"0","150","",,"拉boss男",""
