"ID","策划用列","战斗AI类型","底图","背景音乐","战斗等级","战场环境","战场AI","奖励ID","战斗胜利判定","助战","怪物数量","站位配置ID","点1","点2","点3","点4","点5","点6","点7","点8","点9","点10","点11","点12","点13","点14","点15","点16","点17","点18","点19","点20","点21","点22","点23","点24","点25","点26","点27","点28","死亡提醒显示"
"8543","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","29848@100","0","29840@100","29841@100","29842@100","29845@100","29846@100","29845@100","29846@100","29847@100","0","0","0","0","0","0","1"
"8544","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29851@100","29851@100","29851@100","29851@100","29851@100","29850@100","0","0","0","0","0","0","0","0","1"
"8545","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29862@100","29862@100","29862@100","29862@100","29862@100","29860@100","0","29861@100","0","0","0","0","0","0","1"
"8546","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29870@100","29871@100","29872@100","29874@100","29875@100","29874@100","29875@100","29873@100","0","0","0","0","0","0","1"
"8547","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29880@100","29881@100","29881@100","29881@100","29881@100","29881@100","29881@100","29881@100","0","0","0","0","0","0","1"
"8548","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","29896@100","0","29895@100","29895@100","29895@100","29895@100","29895@100","29890@100","29893@100","29894@100","0","0","0","0","0","0","1"
"8549","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29900@100","29901@100","29901@100","29902@100","29902@100","29902@100","29902@100","29902@100","0","0","0","0","0","0","1"
"8550","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29912@100","29912@100","29912@100","29912@100","29912@100","29910@100","29911@100","29911@100","0","0","0","0","0","0","1"
"8551","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","29924@100","0","29920@100","29921@100","29921@100","29922@100","29922@100","29923@100","29923@100","29923@100","0","0","0","0","0","0","1"
"8552","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","29457@100","0","29456@100","29454@100","29454@100","29455@100","29455@100","29450@100","29451@100","29451@100","0","0","0","0","0","0","1"
"8553","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29940@100","29942@100","29942@100","29941@100","29941@100","29941@100","29941@100","29941@100","0","0","0","0","0","0","1"
"8554","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29952@100","29952@100","29952@100","29952@100","29952@100","29950@100","29951@100","29951@100","0","0","0","0","0","0","1"
"8555","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","29968@100","0","29965@100","29966@100","29966@100","29967@100","29967@100","29960@100","29961@100","29962@100","0","0","0","0","0","0","1"
"8556","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","29977@100","0","29973@100","29974@100","29975@100","29971@100","29972@100","29970@100","29976@100","29976@100","0","0","0","0","0","0","1"
"8557","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29983@100","29984@100","29985@100","29981@100","29982@100","29980@100","29986@100","29986@100","0","0","0","0","0","0","1"
"8558","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29995@100","29995@100","29995@100","29995@100","29995@100","29990@100","29991@100","29992@100","0","0","0","0","0","0","1"
"8559","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29445@100","29445@100","29445@100","29445@100","29445@100","29440@100","29441@100","29442@100","0","0","0","0","0","0","1"
"8560","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40000@100","40006@100","40007@100","40001@100","40002@100","40003@100","40004@100","40005@100","0","0","0","0","0","0","1"
"8561","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40010@100","40016@100","40017@100","40011@100","40012@100","40013@100","40014@100","40015@100","0","0","0","0","0","0","1"
"8562","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40020@100","40026@100","40027@100","40021@100","40022@100","40023@100","40024@100","40025@100","0","0","0","0","0","0","1"
"8563","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40030@100","40031@100","40032@100","40036@100","40037@100","40033@100","40034@100","40035@100","0","0","0","0","0","0","1"
"8564","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","40048@100","0","40043@100","40046@100","40047@100","40044@100","40045@100","40040@100","40041@100","40042@100","0","0","0","0","0","0","1"
"8565","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40050@100","40056@100","40057@100","40051@100","40052@100","40053@100","40054@100","40055@100","0","0","0","0","0","0","1"
"8566","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","40068@100","0","40060@100","40061@100","40062@100","40063@100","40064@100","40065@100","40066@100","40067@100","0","0","0","0","0","0","1"
"8567","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","40078@100","0","40070@100","40071@100","40072@100","40073@100","40074@100","40075@100","40076@100","40077@100","0","0","0","0","0","0","1"
"8568","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40083@100","40084@100","40085@100","40086@100","40087@100","40080@100","40081@100","40082@100","0","0","0","0","0","0","1"
"8569","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40091@100","40092@100","40093@100","40094@100","40090@100","0","0","0","0","40095@100","0","0","0","1"
"8570","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","40109@100","0","40100@100","40101@100","40102@100","40103@100","40104@100","40105@100","40106@100","40107@100","40108@100","40108@100","0","0","0","0","1"
"8571","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40116@100","40113@100","40114@100","40115@100","40116@100","40110@100","40111@100","40112@100","0","0","0","0","0","0","1"
"8572","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40120@100","40121@100","40122@100","40123@100","40124@100","40125@100","40126@100","40127@100","0","0","0","0","0","0","1"
"8573","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","40139@100","0","40130@100","40131@100","40132@100","40133@100","40134@100","40135@100","40135@100","40135@100","40135@100","40135@100","0","0","0","0","1"
"8574","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8575","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8576","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8577","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8578","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8579","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8580","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8581","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8582","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8583","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8584","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8585","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8586","","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8600","菊爆大队","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","29003@100","0","0","0","29001@100","29000@100","29002@100","0","0","0","0","0","0","0","0","0","0","0","1"
"8601","菊爆大队","3","100","3","","0","15115","0","1","4","10","7","0","0","0","0","0","0","0","0","0","0","29010@100","0","0","0","29011@100","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8602","菊爆大队","3","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","29025@100","0","0","0","29020@100","29021@100","29022@100","29023@100","29024@100","0","0","0","0","0","0","0","0","0","1"
"8603","菊爆大队","1","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","29032@100","0","0","0","29030@100","29030@100","29030@100","29030@100","29030@100","29031@100","29030@100","29030@100","29030@100","29030@100","0","0","0","0","1"
"8604","菊爆大队","1","100","3","","0","15126","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","29042@100","0","0","0","29040@100","29040@100","29040@100","29040@100","29040@100","29041@100","29040@100","29040@100","29040@100","29040@100","0","0","0","0","1"
"8605","菊爆大队","1","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","29052@100","0","0","0","29051@100","29051@100","29051@100","29051@100","29051@100","29050@100","29051@100","29051@100","29051@100","29051@100","0","0","0","0","1"
"8606","菊爆大队","1","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","29062@100","29063@100","0","0","0","0","0","0","29061@100","0","0","0","0","0","0","0","0","1"
"8607","菊爆大队","1","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","29074@100","29073@100","0","29071@100","29071@100","29071@100","29071@100","29071@100","29070@100","29072@100","29072@100","29071@100","29071@100","0","0","0","0","1"
"8608","菊爆大队","1","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29081@100","29081@100","29081@100","29081@100","29081@100","29080@100","29082@100","29083@100","29082@100","29083@100","0","0","0","0","1"
"8609","菊爆大队","1","100","3","","0","","0","3","4","10","7","0","0","0","0","0","0","0","0","0","0","29093@100","0","29094@100","0","0","0","0","0","0","29090@100","29091@100","29095@100","0","0","0","0","0","0","1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,
