"装备属性编号","属性1ID","属性1名称","属性2ID","属性2名称","属性3ID","属性3名称","属性1波动段1min","属性1波动段1max","属性1波动段2min","属性1波动段2max","属性1波动段3min","属性1波动段3max","属性1波动段4min","属性1波动段4max","属性1波动段5min","属性1波动段5max","属性1波动段1权重","属性1波动段2权重","属性1波动段3权重","属性1波动段4权重","属性1波动段5权重","属性2波动段1min","属性2波动段1max","属性2波动段2min","属性2波动段2max","属性2波动段3min","属性2波动段3max","属性2波动段4min","属性2波动段4max","属性2波动段5min","属性2波动段5max","属性2波动段1权重","属性2波动段2权重","属性2波动段3权重","属性2波动段4权重","属性2波动段5权重","属性3波动段1min","属性3波动段1max","属性3波动段2min","属性3波动段2max","属性3波动段3min","属性3波动段3max","属性3波动段4min","属性3波动段4max","属性3波动段5min","属性3波动段5max","属性3波动段1权重","属性3波动段2权重","属性3波动段3权重","属性3波动段4权重","属性3波动段5权重"
"4020104","130","phyattack_value","150","magicattack_value","170","medical_value","115","115","115","115","115","115","115","115","115","115","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","30","30","30","30","30","30","30","30","30","30","4546","2909","1636","727","182"
"4020105","130","phyattack_value","150","magicattack_value","170","medical_value","115","115","115","115","115","115","115","115","115","115","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","30","30","30","30","30","30","30","30","30","30","4546","2909","1636","727","182"
"4020106","130","phyattack_value","150","magicattack_value","170","medical_value","115","115","115","115","115","115","115","115","115","115","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","30","30","30","30","30","30","30","30","30","30","4546","2909","1636","727","182"
"4020207","60","maxhp_value","140","defend_value","","","92","92","92","92","92","92","92","92","92","92","4546","2909","1636","727","182","29","29","29","29","29","29","29","29","29","29","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4020208","60","maxhp_value","140","defend_value","","","92","92","92","92","92","92","92","92","92","92","4546","2909","1636","727","182","29","29","29","29","29","29","29","29","29","29","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4020309","90","maxmp_value","140","defend_value","","","115","115","115","115","115","115","115","115","115","115","4546","2909","1636","727","182","17","17","17","17","17","17","17","17","17","17","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4020310","90","maxmp_value","140","defend_value","","","115","115","115","115","115","115","115","115","115","115","4546","2909","1636","727","182","17","17","17","17","17","17","17","17","17","17","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4020411","150","magicattack_value","160","magicdef_value","","","32","32","32","32","32","32","32","32","32","32","4546","2909","1636","727","182","17","17","17","17","17","17","17","17","17","17","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4020512","60","maxhp_value","140","defend_value","","","138","138","138","138","138","138","138","138","138","138","4546","2909","1636","727","182","11","11","11","11","11","11","11","11","11","11","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4020613","160","magicdef_value","200","speed_value","","","17","17","17","17","17","17","17","17","17","17","4546","2909","1636","727","182","13","13","13","13","13","13","13","13","13","13","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4030101","130","phyattack_value","150","magicattack_value","170","medical_value","172","172","172","172","172","172","172","172","172","172","4546","2909","1636","727","182","39","39","39","39","39","39","39","39","39","39","4546","2909","1636","727","182","45","45","45","45","45","45","45","45","45","45","4546","2909","1636","727","182"
"4030102","130","phyattack_value","150","magicattack_value","170","medical_value","172","172","172","172","172","172","172","172","172","172","4546","2909","1636","727","182","39","39","39","39","39","39","39","39","39","39","4546","2909","1636","727","182","45","45","45","45","45","45","45","45","45","45","4546","2909","1636","727","182"
"4030103","130","phyattack_value","150","magicattack_value","170","medical_value","172","172","172","172","172","172","172","172","172","172","4546","2909","1636","727","182","39","39","39","39","39","39","39","39","39","39","4546","2909","1636","727","182","45","45","45","45","45","45","45","45","45","45","4546","2909","1636","727","182"
"4030104","130","phyattack_value","150","magicattack_value","170","medical_value","172","172","172","172","172","172","172","172","172","172","4546","2909","1636","727","182","39","39","39","39","39","39","39","39","39","39","4546","2909","1636","727","182","45","45","45","45","45","45","45","45","45","45","4546","2909","1636","727","182"
"4030105","130","phyattack_value","150","magicattack_value","170","medical_value","172","172","172","172","172","172","172","172","172","172","4546","2909","1636","727","182","39","39","39","39","39","39","39","39","39","39","4546","2909","1636","727","182","45","45","45","45","45","45","45","45","45","45","4546","2909","1636","727","182"
"4030106","130","phyattack_value","150","magicattack_value","170","medical_value","172","172","172","172","172","172","172","172","172","172","4546","2909","1636","727","182","39","39","39","39","39","39","39","39","39","39","4546","2909","1636","727","182","45","45","45","45","45","45","45","45","45","45","4546","2909","1636","727","182"
"4030207","60","maxhp_value","140","defend_value","","","138","138","138","138","138","138","138","138","138","138","4546","2909","1636","727","182","43","43","43","43","43","43","43","43","43","43","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4030208","60","maxhp_value","140","defend_value","","","138","138","138","138","138","138","138","138","138","138","4546","2909","1636","727","182","43","43","43","43","43","43","43","43","43","43","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4030309","90","maxmp_value","140","defend_value","","","172","172","172","172","172","172","172","172","172","172","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4030310","90","maxmp_value","140","defend_value","","","172","172","172","172","172","172","172","172","172","172","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4030411","150","magicattack_value","160","magicdef_value","","","47","47","47","47","47","47","47","47","47","47","4546","2909","1636","727","182","25","25","25","25","25","25","25","25","25","25","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4030512","60","maxhp_value","140","defend_value","","","207","207","207","207","207","207","207","207","207","207","4546","2909","1636","727","182","17","17","17","17","17","17","17","17","17","17","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4030613","160","magicdef_value","200","speed_value","","","25","25","25","25","25","25","25","25","25","25","4546","2909","1636","727","182","20","20","20","20","20","20","20","20","20","20","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4040101","130","phyattack_value","150","magicattack_value","170","medical_value","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","52","52","52","52","52","52","52","52","52","52","4546","2909","1636","727","182","60","60","60","60","60","60","60","60","60","60","4546","2909","1636","727","182"
"4040102","130","phyattack_value","150","magicattack_value","170","medical_value","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","52","52","52","52","52","52","52","52","52","52","4546","2909","1636","727","182","60","60","60","60","60","60","60","60","60","60","4546","2909","1636","727","182"
"4040103","130","phyattack_value","150","magicattack_value","170","medical_value","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","52","52","52","52","52","52","52","52","52","52","4546","2909","1636","727","182","60","60","60","60","60","60","60","60","60","60","4546","2909","1636","727","182"
"4040104","130","phyattack_value","150","magicattack_value","170","medical_value","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","52","52","52","52","52","52","52","52","52","52","4546","2909","1636","727","182","60","60","60","60","60","60","60","60","60","60","4546","2909","1636","727","182"
"4040105","130","phyattack_value","150","magicattack_value","170","medical_value","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","52","52","52","52","52","52","52","52","52","52","4546","2909","1636","727","182","60","60","60","60","60","60","60","60","60","60","4546","2909","1636","727","182"
"4040106","130","phyattack_value","150","magicattack_value","170","medical_value","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","52","52","52","52","52","52","52","52","52","52","4546","2909","1636","727","182","60","60","60","60","60","60","60","60","60","60","4546","2909","1636","727","182"
"4040207","60","maxhp_value","140","defend_value","","","184","184","184","184","184","184","184","184","184","184","4546","2909","1636","727","182","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4040208","60","maxhp_value","140","defend_value","","","184","184","184","184","184","184","184","184","184","184","4546","2909","1636","727","182","57","57","57","57","57","57","57","57","57","57","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4040309","90","maxmp_value","140","defend_value","","","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","34","34","34","34","34","34","34","34","34","34","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4040310","90","maxmp_value","140","defend_value","","","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","34","34","34","34","34","34","34","34","34","34","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4040411","150","magicattack_value","160","magicdef_value","","","63","63","63","63","63","63","63","63","63","63","4546","2909","1636","727","182","34","34","34","34","34","34","34","34","34","34","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4040512","60","maxhp_value","140","defend_value","","","276","276","276","276","276","276","276","276","276","276","4546","2909","1636","727","182","23","23","23","23","23","23","23","23","23","23","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4040613","160","magicdef_value","200","speed_value","","","34","34","34","34","34","34","34","34","34","34","4546","2909","1636","727","182","26","26","26","26","26","26","26","26","26","26","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4050101","130","phyattack_value","150","magicattack_value","170","medical_value","287","287","287","287","287","287","287","287","287","287","4546","2909","1636","727","182","65","65","65","65","65","65","65","65","65","65","4546","2909","1636","727","182","75","75","75","75","75","75","75","75","75","75","4546","2909","1636","727","182"
"4050102","130","phyattack_value","150","magicattack_value","170","medical_value","287","287","287","287","287","287","287","287","287","287","4546","2909","1636","727","182","65","65","65","65","65","65","65","65","65","65","4546","2909","1636","727","182","75","75","75","75","75","75","75","75","75","75","4546","2909","1636","727","182"
"4050103","130","phyattack_value","150","magicattack_value","170","medical_value","287","287","287","287","287","287","287","287","287","287","4546","2909","1636","727","182","65","65","65","65","65","65","65","65","65","65","4546","2909","1636","727","182","75","75","75","75","75","75","75","75","75","75","4546","2909","1636","727","182"
"4050104","130","phyattack_value","150","magicattack_value","170","medical_value","287","287","287","287","287","287","287","287","287","287","4546","2909","1636","727","182","65","65","65","65","65","65","65","65","65","65","4546","2909","1636","727","182","75","75","75","75","75","75","75","75","75","75","4546","2909","1636","727","182"
"4050105","130","phyattack_value","150","magicattack_value","170","medical_value","287","287","287","287","287","287","287","287","287","287","4546","2909","1636","727","182","65","65","65","65","65","65","65","65","65","65","4546","2909","1636","727","182","75","75","75","75","75","75","75","75","75","75","4546","2909","1636","727","182"
"4050106","130","phyattack_value","150","magicattack_value","170","medical_value","287","287","287","287","287","287","287","287","287","287","4546","2909","1636","727","182","65","65","65","65","65","65","65","65","65","65","4546","2909","1636","727","182","75","75","75","75","75","75","75","75","75","75","4546","2909","1636","727","182"
"4050207","60","maxhp_value","140","defend_value","","","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","72","72","72","72","72","72","72","72","72","72","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4050208","60","maxhp_value","140","defend_value","","","230","230","230","230","230","230","230","230","230","230","4546","2909","1636","727","182","72","72","72","72","72","72","72","72","72","72","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4050309","90","maxmp_value","140","defend_value","","","287","287","287","287","287","287","287","287","287","287","4546","2909","1636","727","182","43","43","43","43","43","43","43","43","43","43","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4050310","90","maxmp_value","140","defend_value","","","287","287","287","287","287","287","287","287","287","287","4546","2909","1636","727","182","43","43","43","43","43","43","43","43","43","43","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4050411","150","magicattack_value","160","magicdef_value","","","79","79","79","79","79","79","79","79","79","79","4546","2909","1636","727","182","42","42","42","42","42","42","42","42","42","42","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4050512","60","maxhp_value","140","defend_value","","","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","29","29","29","29","29","29","29","29","29","29","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4050613","160","magicdef_value","200","speed_value","","","42","42","42","42","42","42","42","42","42","42","4546","2909","1636","727","182","33","33","33","33","33","33","33","33","33","33","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4060101","130","phyattack_value","150","magicattack_value","170","medical_value","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","77","77","77","77","77","77","77","77","77","77","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182"
"4060102","130","phyattack_value","150","magicattack_value","170","medical_value","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","77","77","77","77","77","77","77","77","77","77","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182"
"4060103","130","phyattack_value","150","magicattack_value","170","medical_value","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","77","77","77","77","77","77","77","77","77","77","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182"
"4060104","130","phyattack_value","150","magicattack_value","170","medical_value","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","77","77","77","77","77","77","77","77","77","77","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182"
"4060105","130","phyattack_value","150","magicattack_value","170","medical_value","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","77","77","77","77","77","77","77","77","77","77","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182"
"4060106","130","phyattack_value","150","magicattack_value","170","medical_value","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","77","77","77","77","77","77","77","77","77","77","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182"
"4060207","60","maxhp_value","140","defend_value","","","276","276","276","276","276","276","276","276","276","276","4546","2909","1636","727","182","86","86","86","86","86","86","86","86","86","86","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4060208","60","maxhp_value","140","defend_value","","","276","276","276","276","276","276","276","276","276","276","4546","2909","1636","727","182","86","86","86","86","86","86","86","86","86","86","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4060309","90","maxmp_value","140","defend_value","","","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","52","52","52","52","52","52","52","52","52","52","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4060310","90","maxmp_value","140","defend_value","","","344","344","344","344","344","344","344","344","344","344","4546","2909","1636","727","182","52","52","52","52","52","52","52","52","52","52","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4060411","150","magicattack_value","160","magicdef_value","","","95","95","95","95","95","95","95","95","95","95","4546","2909","1636","727","182","50","50","50","50","50","50","50","50","50","50","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4060512","60","maxhp_value","140","defend_value","","","413","413","413","413","413","413","413","413","413","413","4546","2909","1636","727","182","34","34","34","34","34","34","34","34","34","34","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4060613","160","magicdef_value","200","speed_value","","","50","50","50","50","50","50","50","50","50","50","4546","2909","1636","727","182","39","39","39","39","39","39","39","39","39","39","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4070101","130","phyattack_value","150","magicattack_value","170","medical_value","402","402","402","402","402","402","402","402","402","402","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182","105","105","105","105","105","105","105","105","105","105","4546","2909","1636","727","182"
"4070102","130","phyattack_value","150","magicattack_value","170","medical_value","402","402","402","402","402","402","402","402","402","402","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182","105","105","105","105","105","105","105","105","105","105","4546","2909","1636","727","182"
"4070103","130","phyattack_value","150","magicattack_value","170","medical_value","402","402","402","402","402","402","402","402","402","402","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182","105","105","105","105","105","105","105","105","105","105","4546","2909","1636","727","182"
"4070104","130","phyattack_value","150","magicattack_value","170","medical_value","402","402","402","402","402","402","402","402","402","402","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182","105","105","105","105","105","105","105","105","105","105","4546","2909","1636","727","182"
"4070105","130","phyattack_value","150","magicattack_value","170","medical_value","402","402","402","402","402","402","402","402","402","402","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182","105","105","105","105","105","105","105","105","105","105","4546","2909","1636","727","182"
"4070106","130","phyattack_value","150","magicattack_value","170","medical_value","402","402","402","402","402","402","402","402","402","402","4546","2909","1636","727","182","90","90","90","90","90","90","90","90","90","90","4546","2909","1636","727","182","105","105","105","105","105","105","105","105","105","105","4546","2909","1636","727","182"
"4070207","60","maxhp_value","140","defend_value","","","321","321","321","321","321","321","321","321","321","321","4546","2909","1636","727","182","100","100","100","100","100","100","100","100","100","100","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4070208","60","maxhp_value","140","defend_value","","","321","321","321","321","321","321","321","321","321","321","4546","2909","1636","727","182","100","100","100","100","100","100","100","100","100","100","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4070309","90","maxmp_value","140","defend_value","","","402","402","402","402","402","402","402","402","402","402","4546","2909","1636","727","182","60","60","60","60","60","60","60","60","60","60","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4070310","90","maxmp_value","140","defend_value","","","402","402","402","402","402","402","402","402","402","402","4546","2909","1636","727","182","60","60","60","60","60","60","60","60","60","60","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4070411","150","magicattack_value","160","magicdef_value","","","110","110","110","110","110","110","110","110","110","110","4546","2909","1636","727","182","59","59","59","59","59","59","59","59","59","59","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4070512","60","maxhp_value","140","defend_value","","","482","482","482","482","482","482","482","482","482","482","4546","2909","1636","727","182","40","40","40","40","40","40","40","40","40","40","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
"4070613","160","magicdef_value","200","speed_value","","","59","59","59","59","59","59","59","59","59","59","4546","2909","1636","727","182","46","46","46","46","46","46","46","46","46","46","4546","2909","1636","727","182","","","","","","","","","","","4546","2909","1636","727","182"
