"装备ID","装备分类","等级","制造图纸ID","制造图纸数量","千年寒铁ID","千年寒铁数量","材料铁1","材料铁数量1","材料铁2","材料铁数量2","材料铁3","材料铁数量3","材料铁4","材料铁数量4","材料铁5","材料铁数量5","材料铁6","材料铁数量6","材料铁7","材料铁数量7","材料铁8","材料铁数量8","材料铁9","材料铁数量9","材料铁10","材料铁数量10","材料铁11","材料铁数量11","材料铁12","材料铁数量12","材料铁13","材料铁数量13","材料铁14","材料铁数量14","材料铁15","材料铁数量15","制造符ID","制造符数量","制造符1","制造符数量1","制造符2","制造符数量2","制造符3","制造符数量3","制造符4","制造符数量4","制造符5","制造符数量5","制造符6","制造符数量6","制造符7","制造符数量7","制造符8","制造符数量8","制造符9","制造符数量9","制造符10","制造符数量10","制造符11","制造符数量11","制造符12","制造符数量12","制造符13","制造符数量13","制造符14","制造符数量14","制造符15","制造符数量15","强化材料ID","强化材料数量","打造金钱消耗","打造消耗金钱类型","强化打造产出装备ID","普通打造装备ID1","普通打造装备概率1","普通打造装备ID2","普通打造装备概率2","普通打造装备ID3","普通打造装备概率3","普通打造装备ID4","普通打造装备概率4","普通打造装备ID5","普通打造装备概率5","强化打造装备ID1","强化打造装备概率1","强化打造装备ID2","强化打造装备概率2","强化打造装备ID3","强化打造装备概率3","强化打造装备ID4","强化打造装备概率4","强化打造装备ID5","强化打造装备概率5"
"40117","1288","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40117",,,,,,,,,,,,,,,,,,,,
"40200","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40200",,,,,,,,,,,,,,,,,,,,
"40201","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40201",,,,,,,,,,,,,,,,,,,,
"40202","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40202",,,,,,,,,,,,,,,,,,,,
"40203","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40203",,,,,,,,,,,,,,,,,,,,
"40204","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40204",,,,,,,,,,,,,,,,,,,,
"40205","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40205",,,,,,,,,,,,,,,,,,,,
"40206","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40206",,,,,,,,,,,,,,,,,,,,
"40207","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40207",,,,,,,,,,,,,,,,,,,,
"40208","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40208",,,,,,,,,,,,,,,,,,,,
"40216","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40216",,,,,,,,,,,,,,,,,,,,
"40217","1032","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40217",,,,,,,,,,,,,,,,,,,,
"40300","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40300",,,,,,,,,,,,,,,,,,,,
"40301","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40301",,,,,,,,,,,,,,,,,,,,
"40302","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40302",,,,,,,,,,,,,,,,,,,,
"40303","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40303",,,,,,,,,,,,,,,,,,,,
"40304","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40304",,,,,,,,,,,,,,,,,,,,
"40305","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40305",,,,,,,,,,,,,,,,,,,,
"40306","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40306",,,,,,,,,,,,,,,,,,,,
"40307","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40307",,,,,,,,,,,,,,,,,,,,
"40308","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40308",,,,,,,,,,,,,,,,,,,,
"40316","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40316",,,,,,,,,,,,,,,,,,,,
"40317","264","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40317",,,,,,,,,,,,,,,,,,,,
"40400","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40400",,,,,,,,,,,,,,,,,,,,
"40401","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40401",,,,,,,,,,,,,,,,,,,,
"40402","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40402",,,,,,,,,,,,,,,,,,,,
"40403","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40403",,,,,,,,,,,,,,,,,,,,
"40404","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40404",,,,,,,,,,,,,,,,,,,,
"40405","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40405",,,,,,,,,,,,,,,,,,,,
"40406","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40406",,,,,,,,,,,,,,,,,,,,
"40407","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40407",,,,,,,,,,,,,,,,,,,,
"40408","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40408",,,,,,,,,,,,,,,,,,,,
"40416","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40416",,,,,,,,,,,,,,,,,,,,
"40417","776","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40417",,,,,,,,,,,,,,,,,,,,
"40500","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40500",,,,,,,,,,,,,,,,,,,,
"40501","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40501",,,,,,,,,,,,,,,,,,,,
"40502","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40502",,,,,,,,,,,,,,,,,,,,
"40503","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40503",,,,,,,,,,,,,,,,,,,,
"40504","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40504",,,,,,,,,,,,,,,,,,,,
"40505","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40505",,,,,,,,,,,,,,,,,,,,
"40506","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40506",,,,,,,,,,,,,,,,,,,,
"40507","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40507",,,,,,,,,,,,,,,,,,,,
"40508","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40508",,,,,,,,,,,,,,,,,,,,
"40516","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40516",,,,,,,,,,,,,,,,,,,,
"40517","520","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40517",,,,,,,,,,,,,,,,,,,,
"40600","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40600",,,,,,,,,,,,,,,,,,,,
"40601","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40601",,,,,,,,,,,,,,,,,,,,
"40602","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40602",,,,,,,,,,,,,,,,,,,,
"40603","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40603",,,,,,,,,,,,,,,,,,,,
"40604","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40604",,,,,,,,,,,,,,,,,,,,
"40605","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40605",,,,,,,,,,,,,,,,,,,,
"40606","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40606",,,,,,,,,,,,,,,,,,,,
"40607","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40607",,,,,,,,,,,,,,,,,,,,
"40608","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40608",,,,,,,,,,,,,,,,,,,,
"40616","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40616",,,,,,,,,,,,,,,,,,,,
"40617","2568","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40617",,,,,,,,,,,,,,,,,,,,
"40700","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40700",,,,,,,,,,,,,,,,,,,,
"40701","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40701",,,,,,,,,,,,,,,,,,,,
"40702","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40702",,,,,,,,,,,,,,,,,,,,
"40703","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40703",,,,,,,,,,,,,,,,,,,,
"40704","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40704",,,,,,,,,,,,,,,,,,,,
"40705","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40705",,,,,,,,,,,,,,,,,,,,
"40706","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40706",,,,,,,,,,,,,,,,,,,,
"40707","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40707",,,,,,,,,,,,,,,,,,,,
"40708","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40708",,,,,,,,,,,,,,,,,,,,
"40716","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40716",,,,,,,,,,,,,,,,,,,,
"40717","2312","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40717",,,,,,,,,,,,,,,,,,,,
"40800","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40800",,,,,,,,,,,,,,,,,,,,
"40801","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40801",,,,,,,,,,,,,,,,,,,,
"40802","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40802",,,,,,,,,,,,,,,,,,,,
"40803","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40803",,,,,,,,,,,,,,,,,,,,
"40804","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40804",,,,,,,,,,,,,,,,,,,,
"40805","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40805",,,,,,,,,,,,,,,,,,,,
"40806","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40806",,,,,,,,,,,,,,,,,,,,
"40807","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40807",,,,,,,,,,,,,,,,,,,,
"40808","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40808",,,,,,,,,,,,,,,,,,,,
"40816","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40816",,,,,,,,,,,,,,,,,,,,
"40817","2056","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40817",,,,,,,,,,,,,,,,,,,,
"40900","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40900",,,,,,,,,,,,,,,,,,,,
"40901","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40901",,,,,,,,,,,,,,,,,,,,
"40902","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40902",,,,,,,,,,,,,,,,,,,,
"40903","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40903",,,,,,,,,,,,,,,,,,,,
"40904","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40904",,,,,,,,,,,,,,,,,,,,
"40905","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40905",,,,,,,,,,,,,,,,,,,,
"40906","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40906",,,,,,,,,,,,,,,,,,,,
"40907","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40907",,,,,,,,,,,,,,,,,,,,
"40908","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40908",,,,,,,,,,,,,,,,,,,,
"40916","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40916",,,,,,,,,,,,,,,,,,,,
"40917","1800","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","40917",,,,,,,,,,,,,,,,,,,,
"41000","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41000",,,,,,,,,,,,,,,,,,,,
"41001","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41001",,,,,,,,,,,,,,,,,,,,
"41002","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41002",,,,,,,,,,,,,,,,,,,,
"41003","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41003",,,,,,,,,,,,,,,,,,,,
"41004","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41004",,,,,,,,,,,,,,,,,,,,
"41005","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41005",,,,,,,,,,,,,,,,,,,,
"41006","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41006",,,,,,,,,,,,,,,,,,,,
"41007","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41007",,,,,,,,,,,,,,,,,,,,
"41008","1544","2","40011","1","40008","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40009","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40010","1","10000","1","41008",,,,,,,,,,,,,,,,,,,,
