"附加属性id","名称","颜色","属性id","属性名称","区间","buffid","技能id"
"1","体质+&","FF00b1ff","10","cons_value","1;1","0","0"
"119","耐力+&","FF00b1ff","40","endu_value","13;20","0","0"
"120","敏捷+&","FF00b1ff","50","agi_value","13;21","0","0"
"121","体质+&","FF00b1ff","10","cons_value","14;19","0","0"
"122","智力+&","FF00b1ff","20","iq_value","14;20","0","0"
"123","力量+&","FF00b1ff","30","str_value","14;21","0","0"
"124","耐力+&","FF00b1ff","40","endu_value","14;22","0","0"
"125","敏捷+&","FF00b1ff","50","agi_value","14;23","0","0"
"126","体质+&","FF00b1ff","10","cons_value","15;21","0","0"
"127","智力+&","FF00b1ff","20","iq_value","15;22","0","0"
"128","力量+&","FF00b1ff","30","str_value","15;23","0","0"
"129","耐力+&","FF00b1ff","40","endu_value","15;24","0","0"
"130","敏捷+&","FF00b1ff","50","agi_value","15;25","0","0"
"131","体质+&","FF00b1ff","10","cons_value","17;23","0","0"
"132","智力+&","FF00b1ff","20","iq_value","17;24","0","0"
"133","力量+&","FF00b1ff","30","str_value","17;25","0","0"
"134","耐力+&","FF00b1ff","40","endu_value","17;26","0","0"
"135","敏捷+&","FF00b1ff","50","agi_value","17;27","0","0"
"136","体质+&","FF00b1ff","10","cons_value","18;24","0","0"
"137","智力+&","FF00b1ff","20","iq_value","18;25","0","0"
"138","力量+&","FF00b1ff","30","str_value","18;26","0","0"
"139","耐力+&","FF00b1ff","40","endu_value","18;27","0","0"
"140","敏捷+&","FF00b1ff","50","agi_value","18;28","0","0"
"141","体质+&","FF00b1ff","10","cons_value","20;26","0","0"
"142","智力+&","FF00b1ff","20","iq_value","20;27","0","0"
"143","力量+&","FF00b1ff","30","str_value","20;28","0","0"
"144","耐力+&","FF00b1ff","40","endu_value","20;29","0","0"
"145","敏捷+&","FF00b1ff","50","agi_value","20;30","0","0"
"146","体质+&","FF00b1ff","10","cons_value","21;28","0","0"
"147","智力+&","FF00b1ff","20","iq_value","21;29","0","0"
"148","力量+&","FF00b1ff","30","str_value","21;30","0","0"
"149","耐力+&","FF00b1ff","40","endu_value","21;31","0","0"
"150","敏捷+&","FF00b1ff","50","agi_value","21;32","0","0"
"151","体质+&","FF00b1ff","10","cons_value","2;3","0","0"
"152","智力+&","FF00b1ff","20","iq_value","2;4","0","0"
"153","力量+&","FF00b1ff","30","str_value","2;5","0","0"
"154","耐力+&","FF00b1ff","40","endu_value","2;6","0","0"
"155","敏捷+&","FF00b1ff","50","agi_value","2;7","0","0"
"156","体质+&","FF00b1ff","10","cons_value","4;5","0","0"
"157","智力+&","FF00b1ff","20","iq_value","4;6","0","0"
"158","力量+&","FF00b1ff","30","str_value","4;7","0","0"
"159","耐力+&","FF00b1ff","40","endu_value","4;8","0","0"
"160","敏捷+&","FF00b1ff","50","agi_value","4;9","0","0"
"161","体质+&","FF00b1ff","10","cons_value","6;8","0","0"
"162","智力+&","FF00b1ff","20","iq_value","6;9","0","0"
"163","力量+&","FF00b1ff","30","str_value","6;10","0","0"
"164","耐力+&","FF00b1ff","40","endu_value","6;11","0","0"
"165","敏捷+&","FF00b1ff","50","agi_value","6;12","0","0"
"166","体质+&","FF00b1ff","10","cons_value","8;10","0","0"
"167","智力+&","FF00b1ff","20","iq_value","8;11","0","0"
"168","力量+&","FF00b1ff","30","str_value","8;12","0","0"
"169","耐力+&","FF00b1ff","40","endu_value","8;13","0","0"
"170","敏捷+&","FF00b1ff","50","agi_value","8;14","0","0"
"171","体质+&","FF00b1ff","10","cons_value","9;13","0","0"
"172","智力+&","FF00b1ff","20","iq_value","9;14","0","0"
"173","力量+&","FF00b1ff","30","str_value","9;15","0","0"
"174","耐力+&","FF00b1ff","40","endu_value","9;16","0","0"
"175","敏捷+&","FF00b1ff","50","agi_value","9;17","0","0"
"176","体质+&","FF00b1ff","10","cons_value","11;15","0","0"
"177","智力+&","FF00b1ff","20","iq_value","11;16","0","0"
"178","力量+&","FF00b1ff","30","str_value","11;17","0","0"
"179","耐力+&","FF00b1ff","40","endu_value","11;18","0","0"
"180","敏捷+&","FF00b1ff","50","agi_value","11;19","0","0"
"181","体质+&","FF00b1ff","10","cons_value","13;18","0","0"
"182","智力+&","FF00b1ff","20","iq_value","13;19","0","0"
"183","力量+&","FF00b1ff","30","str_value","13;20","0","0"
"184","耐力+&","FF00b1ff","40","endu_value","13;21","0","0"
"185","敏捷+&","FF00b1ff","50","agi_value","13;22","0","0"
"186","体质+&","FF00b1ff","10","cons_value","15;20","0","0"
"187","智力+&","FF00b1ff","20","iq_value","15;21","0","0"
"188","力量+&","FF00b1ff","30","str_value","15;22","0","0"
"189","耐力+&","FF00b1ff","40","endu_value","15;23","0","0"
"190","敏捷+&","FF00b1ff","50","agi_value","15;24","0","0"
"191","体质+&","FF00b1ff","10","cons_value","17;23","0","0"
"192","智力+&","FF00b1ff","20","iq_value","17;24","0","0"
"193","力量+&","FF00b1ff","30","str_value","17;25","0","0"
"194","耐力+&","FF00b1ff","40","endu_value","17;26","0","0"
"195","敏捷+&","FF00b1ff","50","agi_value","17;27","0","0"
"196","体质+&","FF00b1ff","10","cons_value","19;25","0","0"
"197","智力+&","FF00b1ff","20","iq_value","19;26","0","0"
"198","力量+&","FF00b1ff","30","str_value","19;27","0","0"
"199","耐力+&","FF00b1ff","40","endu_value","19;28","0","0"
"200","敏捷+&","FF00b1ff","50","agi_value","19;29","0","0"
"201","体质+&","FF00b1ff","10","cons_value","21;28","0","0"
"202","智力+&","FF00b1ff","20","iq_value","21;29","0","0"
"203","力量+&","FF00b1ff","30","str_value","21;30","0","0"
"204","耐力+&","FF00b1ff","40","endu_value","21;31","0","0"
"205","敏捷+&","FF00b1ff","50","agi_value","21;32","0","0"
"206","体质+&","FF00b1ff","10","cons_value","23;30","0","0"
"207","智力+&","FF00b1ff","20","iq_value","23;31","0","0"
"208","力量+&","FF00b1ff","30","str_value","23;32","0","0"
"209","耐力+&","FF00b1ff","40","endu_value","23;33","0","0"
"210","敏捷+&","FF00b1ff","50","agi_value","23;34","0","0"
"211","体质+&","FF00b1ff","10","cons_value","24;33","0","0"
"212","智力+&","FF00b1ff","20","iq_value","24;34","0","0"
"213","力量+&","FF00b1ff","30","str_value","24;35","0","0"
"214","耐力+&","FF00b1ff","40","endu_value","24;36","0","0"
"215","敏捷+&","FF00b1ff","50","agi_value","24;37","0","0"
"216","体质+&","FF00b1ff","10","cons_value","26;35","0","0"
"217","智力+&","FF00b1ff","20","iq_value","26;36","0","0"
"218","力量+&","FF00b1ff","30","str_value","26;37","0","0"
"219","耐力+&","FF00b1ff","40","endu_value","26;38","0","0"
"220","敏捷+&","FF00b1ff","50","agi_value","26;39","0","0"
"221","体质+&","FF00b1ff","10","cons_value","28;38","0","0"
"222","智力+&","FF00b1ff","20","iq_value","28;39","0","0"
"223","力量+&","FF00b1ff","30","str_value","28;40","0","0"
"224","耐力+&","FF00b1ff","40","endu_value","28;41","0","0"
"225","敏捷+&","FF00b1ff","50","agi_value","28;42","0","0"
"226","体质+&","FF00b1ff","10","cons_value","-1;-1","0","0"
"227","智力+&","FF00b1ff","20","iq_value","-1;-1","0","0"
"228","力量+&","FF00b1ff","30","str_value","-1;-1","0","0"
"229","耐力+&","FF00b1ff","40","endu_value","-1;-1","0","0"
"230","敏捷+&","FF00b1ff","50","agi_value","-1;-1","0","0"
"231","体质+&","FF00b1ff","10","cons_value","-1;-1","0","0"
"232","智力+&","FF00b1ff","20","iq_value","-1;-1","0","0"
"233","力量+&","FF00b1ff","30","str_value","-1;-1","0","0"
"234","耐力+&","FF00b1ff","40","endu_value","-1;-1","0","0"
"235","敏捷+&","FF00b1ff","50","agi_value","-1;-1","0","0"
"236","体质+&","FF00b1ff","10","cons_value","-2;-2","0","0"
"237","智力+&","FF00b1ff","20","iq_value","-2;-2","0","0"
"238","力量+&","FF00b1ff","30","str_value","-2;-2","0","0"
"239","耐力+&","FF00b1ff","40","endu_value","-2;-2","0","0"
"240","敏捷+&","FF00b1ff","50","agi_value","-2;-2","0","0"
"241","体质+&","FF00b1ff","10","cons_value","-2;-3","0","0"
"242","智力+&","FF00b1ff","20","iq_value","-2;-3","0","0"
"243","力量+&","FF00b1ff","30","str_value","-2;-3","0","0"
"244","耐力+&","FF00b1ff","40","endu_value","-2;-3","0","0"
"245","敏捷+&","FF00b1ff","50","agi_value","-2;-3","0","0"
"246","体质+&","FF00b1ff","10","cons_value","-3;-3","0","0"
"247","智力+&","FF00b1ff","20","iq_value","-3;-3","0","0"
"248","力量+&","FF00b1ff","30","str_value","-3;-3","0","0"
"249","耐力+&","FF00b1ff","40","endu_value","-3;-3","0","0"
"250","敏捷+&","FF00b1ff","50","agi_value","-3;-3","0","0"
"251","体质+&","FF00b1ff","10","cons_value","-3;-4","0","0"
"252","智力+&","FF00b1ff","20","iq_value","-3;-4","0","0"
"253","力量+&","FF00b1ff","30","str_value","-3;-4","0","0"
"254","耐力+&","FF00b1ff","40","endu_value","-3;-4","0","0"
"255","敏捷+&","FF00b1ff","50","agi_value","-3;-4","0","0"
"256","体质+&","FF00b1ff","10","cons_value","-4;-4","0","0"
"257","智力+&","FF00b1ff","20","iq_value","-4;-4","0","0"
"258","力量+&","FF00b1ff","30","str_value","-4;-4","0","0"
"259","耐力+&","FF00b1ff","40","endu_value","-4;-4","0","0"
"260","敏捷+&","FF00b1ff","50","agi_value","-4;-4","0","0"
"261","体质+&","FF00b1ff","10","cons_value","-4;-5","0","0"
"262","智力+&","FF00b1ff","20","iq_value","-4;-5","0","0"
"263","力量+&","FF00b1ff","30","str_value","-4;-5","0","0"
"264","耐力+&","FF00b1ff","40","endu_value","-4;-5","0","0"
"265","敏捷+&","FF00b1ff","50","agi_value","-4;-5","0","0"
"266","体质+&","FF00b1ff","10","cons_value","-5;-6","0","0"
"267","智力+&","FF00b1ff","20","iq_value","-5;-6","0","0"
"268","力量+&","FF00b1ff","30","str_value","-5;-6","0","0"
"269","耐力+&","FF00b1ff","40","endu_value","-5;-6","0","0"
"270","敏捷+&","FF00b1ff","50","agi_value","-5;-6","0","0"
"271","体质+&","FF00b1ff","10","cons_value","-5;-6","0","0"
"272","智力+&","FF00b1ff","20","iq_value","-5;-6","0","0"
"273","力量+&","FF00b1ff","30","str_value","-5;-6","0","0"
"274","耐力+&","FF00b1ff","40","endu_value","-5;-6","0","0"
"275","敏捷+&","FF00b1ff","50","agi_value","-5;-6","0","0"
"276","体质+&","FF00b1ff","10","cons_value","-6;-7","0","0"
"277","智力+&","FF00b1ff","20","iq_value","-6;-7","0","0"
"278","力量+&","FF00b1ff","30","str_value","-6;-7","0","0"
"279","耐力+&","FF00b1ff","40","endu_value","-6;-7","0","0"
"280","敏捷+&","FF00b1ff","50","agi_value","-6;-7","0","0"
"281","体质+&","FF00b1ff","10","cons_value","-6;-8","0","0"
"282","智力+&","FF00b1ff","20","iq_value","-6;-8","0","0"
"283","力量+&","FF00b1ff","30","str_value","-6;-8","0","0"
"284","耐力+&","FF00b1ff","40","endu_value","-6;-8","0","0"
"285","敏捷+&","FF00b1ff","50","agi_value","-6;-8","0","0"
"286","体质+&","FF00b1ff","10","cons_value","-7;-8","0","0"
"287","智力+&","FF00b1ff","20","iq_value","-7;-8","0","0"
"288","力量+&","FF00b1ff","30","str_value","-7;-8","0","0"
"289","耐力+&","FF00b1ff","40","endu_value","-7;-8","0","0"
"290","敏捷+&","FF00b1ff","50","agi_value","-7;-8","0","0"
"291","体质+&","FF00b1ff","10","cons_value","-7;-9","0","0"
"292","智力+&","FF00b1ff","20","iq_value","-7;-9","0","0"
"293","力量+&","FF00b1ff","30","str_value","-7;-9","0","0"
"294","耐力+&","FF00b1ff","40","endu_value","-7;-9","0","0"
"295","敏捷+&","FF00b1ff","50","agi_value","-7;-9","0","0"
"296","体质+&","FF00b1ff","10","cons_value","-8;-9","0","0"
"297","智力+&","FF00b1ff","20","iq_value","-8;-10","0","0"
"298","力量+&","FF00b1ff","30","str_value","-8;-11","0","0"
"299","耐力+&","FF00b1ff","40","endu_value","-8;-12","0","0"
"300","敏捷+&","FF00b1ff","50","agi_value","-8;-13","0","0"
"301","体质+&","FF00b1ff","10","cons_value","1;2","0","0"
"302","智力+&","FF00b1ff","20","iq_value","1;3","0","0"
"303","力量+&","FF00b1ff","30","str_value","1;4","0","0"
"304","耐力+&","FF00b1ff","40","endu_value","1;5","0","0"
"305","敏捷+&","FF00b1ff","50","agi_value","1;6","0","0"
"306","体质+&","FF00b1ff","10","cons_value","3;4","0","0"
"307","智力+&","FF00b1ff","20","iq_value","3;5","0","0"
"308","力量+&","FF00b1ff","30","str_value","3;6","0","0"
"309","耐力+&","FF00b1ff","40","endu_value","3;7","0","0"
"310","敏捷+&","FF00b1ff","50","agi_value","3;8","0","0"
"311","体质+&","FF00b1ff","10","cons_value","4;7","0","0"
"312","智力+&","FF00b1ff","20","iq_value","4;8","0","0"
"313","力量+&","FF00b1ff","30","str_value","4;9","0","0"
"314","耐力+&","FF00b1ff","40","endu_value","4;10","0","0"
"315","敏捷+&","FF00b1ff","50","agi_value","4;11","0","0"
"316","体质+&","FF00b1ff","10","cons_value","5;9","0","0"
"317","智力+&","FF00b1ff","20","iq_value","5;10","0","0"
"318","力量+&","FF00b1ff","30","str_value","5;11","0","0"
"319","耐力+&","FF00b1ff","40","endu_value","5;12","0","0"
"320","敏捷+&","FF00b1ff","50","agi_value","5;13","0","0"
"321","体质+&","FF00b1ff","10","cons_value","6;11","0","0"
"322","智力+&","FF00b1ff","20","iq_value","6;12","0","0"
"323","力量+&","FF00b1ff","30","str_value","6;13","0","0"
"324","耐力+&","FF00b1ff","40","endu_value","6;14","0","0"
"325","敏捷+&","FF00b1ff","50","agi_value","6;15","0","0"
"326","体质+&","FF00b1ff","10","cons_value","8;13","0","0"
"327","智力+&","FF00b1ff","20","iq_value","8;14","0","0"
"328","力量+&","FF00b1ff","30","str_value","8;15","0","0"
"329","耐力+&","FF00b1ff","40","endu_value","8;16","0","0"
"330","敏捷+&","FF00b1ff","50","agi_value","8;17","0","0"
"331","体质+&","FF00b1ff","10","cons_value","9;15","0","0"
"332","智力+&","FF00b1ff","20","iq_value","9;16","0","0"
"333","力量+&","FF00b1ff","30","str_value","9;17","0","0"
"334","耐力+&","FF00b1ff","40","endu_value","9;18","0","0"
"335","敏捷+&","FF00b1ff","50","agi_value","9;19","0","0"
"336","体质+&","FF00b1ff","10","cons_value","10;18","0","0"
"337","智力+&","FF00b1ff","20","iq_value","10;19","0","0"
"338","力量+&","FF00b1ff","30","str_value","10;20","0","0"
"339","耐力+&","FF00b1ff","40","endu_value","10;21","0","0"
"340","敏捷+&","FF00b1ff","50","agi_value","10;22","0","0"
"341","体质+&","FF00b1ff","10","cons_value","11;20","0","0"
"342","智力+&","FF00b1ff","20","iq_value","11;21","0","0"
"343","力量+&","FF00b1ff","30","str_value","11;22","0","0"
"344","耐力+&","FF00b1ff","40","endu_value","11;23","0","0"
"345","敏捷+&","FF00b1ff","50","agi_value","11;24","0","0"
"346","体质+&","FF00b1ff","10","cons_value","13;22","0","0"
"347","智力+&","FF00b1ff","20","iq_value","13;23","0","0"
"348","力量+&","FF00b1ff","30","str_value","13;24","0","0"
"349","耐力+&","FF00b1ff","40","endu_value","13;25","0","0"
"350","敏捷+&","FF00b1ff","50","agi_value","13;26","0","0"
"351","体质+&","FF00b1ff","10","cons_value","14;24","0","0"
"352","智力+&","FF00b1ff","20","iq_value","14;25","0","0"
"353","力量+&","FF00b1ff","30","str_value","14;26","0","0"
"354","耐力+&","FF00b1ff","40","endu_value","14;27","0","0"
"355","敏捷+&","FF00b1ff","50","agi_value","14;28","0","0"
"356","体质+&","FF00b1ff","10","cons_value","15;26","0","0"
"357","智力+&","FF00b1ff","20","iq_value","15;27","0","0"
"358","力量+&","FF00b1ff","30","str_value","15;28","0","0"
"359","耐力+&","FF00b1ff","40","endu_value","15;29","0","0"
"360","敏捷+&","FF00b1ff","50","agi_value","15;30","0","0"
"361","体质+&","FF00b1ff","10","cons_value","16;28","0","0"
"362","智力+&","FF00b1ff","20","iq_value","16;29","0","0"
"363","力量+&","FF00b1ff","30","str_value","16;30","0","0"
"364","耐力+&","FF00b1ff","40","endu_value","16;31","0","0"
"365","敏捷+&","FF00b1ff","50","agi_value","16;32","0","0"
"366","体质+&","FF00b1ff","10","cons_value","18;31","0","0"
"367","智力+&","FF00b1ff","20","iq_value","18;32","0","0"
"368","力量+&","FF00b1ff","30","str_value","18;33","0","0"
"369","耐力+&","FF00b1ff","40","endu_value","18;34","0","0"
"370","敏捷+&","FF00b1ff","50","agi_value","18;35","0","0"
"371","体质+&","FF00b1ff","10","cons_value","19;33","0","0"
"372","智力+&","FF00b1ff","20","iq_value","19;34","0","0"
"373","力量+&","FF00b1ff","30","str_value","19;35","0","0"
"374","耐力+&","FF00b1ff","40","endu_value","19;36","0","0"
"375","敏捷+&","FF00b1ff","50","agi_value","19;37","0","0"
"376","体质+&","FF00b1ff","10","cons_value","2;3","0","0"
"377","智力+&","FF00b1ff","20","iq_value","2;4","0","0"
"378","力量+&","FF00b1ff","30","str_value","2;5","0","0"
"379","耐力+&","FF00b1ff","40","endu_value","2;6","0","0"
"380","敏捷+&","FF00b1ff","50","agi_value","2;7","0","0"
"381","体质+&","FF00b1ff","10","cons_value","4;7","0","0"
"382","智力+&","FF00b1ff","20","iq_value","4;8","0","0"
"383","力量+&","FF00b1ff","30","str_value","4;9","0","0"
"384","耐力+&","FF00b1ff","40","endu_value","4;10","0","0"
"385","敏捷+&","FF00b1ff","50","agi_value","4;11","0","0"
"386","体质+&","FF00b1ff","10","cons_value","6;10","0","0"
"387","智力+&","FF00b1ff","20","iq_value","6;11","0","0"
"388","力量+&","FF00b1ff","30","str_value","6;12","0","0"
"389","耐力+&","FF00b1ff","40","endu_value","6;13","0","0"
"390","敏捷+&","FF00b1ff","50","agi_value","6;14","0","0"
"391","体质+&","FF00b1ff","10","cons_value","8;13","0","0"
"392","智力+&","FF00b1ff","20","iq_value","8;14","0","0"
"393","力量+&","FF00b1ff","30","str_value","8;15","0","0"
"394","耐力+&","FF00b1ff","40","endu_value","8;16","0","0"
"395","敏捷+&","FF00b1ff","50","agi_value","8;17","0","0"
"396","体质+&","FF00b1ff","10","cons_value","9;16","0","0"
"397","智力+&","FF00b1ff","20","iq_value","9;17","0","0"
"398","力量+&","FF00b1ff","30","str_value","9;18","0","0"
"399","耐力+&","FF00b1ff","40","endu_value","9;19","0","0"
"400","敏捷+&","FF00b1ff","50","agi_value","9;20","0","0"
"401","体质+&","FF00b1ff","10","cons_value","11;20","0","0"
"402","智力+&","FF00b1ff","20","iq_value","11;21","0","0"
"403","力量+&","FF00b1ff","30","str_value","11;22","0","0"
"404","耐力+&","FF00b1ff","40","endu_value","11;23","0","0"
"405","敏捷+&","FF00b1ff","50","agi_value","11;24","0","0"
"406","体质+&","FF00b1ff","10","cons_value","13;23","0","0"
"407","智力+&","FF00b1ff","20","iq_value","13;24","0","0"
"408","力量+&","FF00b1ff","30","str_value","13;25","0","0"
"409","耐力+&","FF00b1ff","40","endu_value","13;26","0","0"
"410","敏捷+&","FF00b1ff","50","agi_value","13;27","0","0"
"411","体质+&","FF00b1ff","10","cons_value","15;26","0","0"
"412","智力+&","FF00b1ff","20","iq_value","15;27","0","0"
"413","力量+&","FF00b1ff","30","str_value","15;28","0","0"
"414","耐力+&","FF00b1ff","40","endu_value","15;29","0","0"
"415","敏捷+&","FF00b1ff","50","agi_value","15;30","0","0"
"416","体质+&","FF00b1ff","10","cons_value","17;30","0","0"
"417","智力+&","FF00b1ff","20","iq_value","17;31","0","0"
"418","力量+&","FF00b1ff","30","str_value","17;32","0","0"
"419","耐力+&","FF00b1ff","40","endu_value","17;33","0","0"
"420","敏捷+&","FF00b1ff","50","agi_value","17;34","0","0"
"421","体质+&","FF00b1ff","10","cons_value","19;33","0","0"
"422","智力+&","FF00b1ff","20","iq_value","19;34","0","0"
"423","力量+&","FF00b1ff","30","str_value","19;35","0","0"
"424","耐力+&","FF00b1ff","40","endu_value","19;36","0","0"
