"技能ID","技能名称","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用"
"430003","法术暴击 +8","","false","false","false","0","","","false","2","11","1","","","","","","4300030","0","","","1","","",""
"430004","法术抗暴 +8","","false","false","false","0","","","false","2","11","1","","","","","","4300040","0","","","1","","",""
"430005","控制命中 +6","","false","false","false","0","","","false","2","11","1","","","","","","4300050","0","","","1","","",""
"430006","控制抵抗 +6","","false","false","false","0","","","false","2","11","1","","","","","","4300060","0","","","1","","",""
"430007","治疗暴击 +5","","false","false","false","0","","","false","2","11","1","","","","","","4300070","0","","","1","","",""
"430008","被治疗暴击 +5","","false","false","false","0","","","false","2","11","1","","","","","","4300080","0","","","1","","",""
"430009","物理暴击 +16","","false","false","false","0","","","false","2","11","1","","","","","","4300090","0","","","1","","",""
"430010","物理抗暴 +16","","false","false","false","0","","","false","2","11","1","","","","","","4300100","0","","","1","","",""
"430011","法术暴击 +16","","false","false","false","0","","","false","2","11","1","","","","","","4300110","0","","","1","","",""
"430012","法术抗暴 +16","","false","false","false","0","","","false","2","11","1","","","","","","4300120","0","","","1","","",""
"430013","控制命中 +12","","false","false","false","0","","","false","2","11","1","","","","","","4300130","0","","","1","","",""
"430014","控制抵抗 +12","","false","false","false","0","","","false","2","11","1","","","","","","4300140","0","","","1","","",""
"430015","治疗暴击 +10","","false","false","false","0","","","false","2","11","1","","","","","","4300150","0","","","1","","",""
"430016","被治疗暴击 +10","","false","false","false","0","","","false","2","11","1","","","","","","4300160","0","","","1","","",""
"430017","物理暴击 +24","","false","false","false","0","","","false","2","11","1","","","","","","4300170","0","","","1","","",""
"430018","物理抗暴 +24","","false","false","false","0","","","false","2","11","1","","","","","","4300180","0","","","1","","",""
"430019","法术暴击 +24","","false","false","false","0","","","false","2","11","1","","","","","","4300190","0","","","1","","",""
"430020","法术抗暴 +24","","false","false","false","0","","","false","2","11","1","","","","","","4300200","0","","","1","","",""
"430021","控制命中 +18","","false","false","false","0","","","false","2","11","1","","","","","","4300210","0","","","1","","",""
"430022","控制抵抗 +18","","false","false","false","0","","","false","2","11","1","","","","","","4300220","0","","","1","","",""
"430023","治疗暴击 +15","","false","false","false","0","","","false","2","11","1","","","","","","4300230","0","","","1","","",""
"430024","被治疗暴击 +15","","false","false","false","0","","","false","2","11","1","","","","","","4300240","0","","","1","","",""
"430025","愤怒","","false","false","false","0","","","true","2","10","1","","","","","","4300250","0","","","1","","",""
"430026","暴怒","","false","false","false","0","","","true","2","10","1","","","","","","4300260","0","","","1","","",""
"430027","凤凰之心","","false","false","false","0","","","true","2","10","1","","","","","","4300270","0","","","1","","",""
"430028","药师","","false","false","false","0","","","true","2","10","1","","","","","","4300280","0","","","1","","",""
"430029","回春","","false","false","false","0","","","true","2","10","1","","","","","","4300290","0","","","1","","",""
"430030","专注","","false","false","false","0","","","true","2","10","1","","","","","","4300300","0","","","1","","",""
"430031","斩杀","","false","false","false","0","","","true","2","10","1","","","","","","4300310","0","","","1","","",""
"430032","迷踪",,"false","false","false","0","","","true","2","10","1",,,,"","","4300320","0",,,"1",,,
"430033","狩猎",,"false","false","false","0","","","true","2","10","1",,,,"","","4300330","0",,,"1",,,
"430034","简易",,"false","false","false","0","","","true","2","10","1",,,,"","","4300340","0",,,"1",,,
"430035","无等级限制",,"false","false","false","0","","","true","2","10","1",,,,"","","4300350","0",,,"1",,,
"430036","洞察",,"false","false","false","0","","","true","2","10","1",,,,"","","4300360","0",,,"1",,,
