"ID","提示对话框类型","提示内容","备注"
"140710","2","今天的题你已经答完了，明天再来吧。",
"140740","1","<T t=""$parameter1$"" c=""ff33ff33""></T><T t=""正在偷看你哦^_^""></T>",
"140742","1","对方不在线，不能查看啦~",
"140797","1","<T t=""恭喜你，打造成功了，你获得了""></T><T t=""$parameter1$"" c=""$parameter2$"" ></T><T t=""！""></T>",
"140830","2","恭喜你们成功完成冠军试炼，你们可以前往吉安娜处再次开始任务。",
"140851","1","<T t=""$parameter1$"" c=""ff33ff33""></T><T t=""拒绝了你的邀请。""></T>",
"140855","1","你已经在队伍中了。",
"140869","1","该道具已经不存在了。",
"140880","1","你正在召唤队员。",
"140982","1,15","<T t=""你获得了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><I s='linshi' i='jy'/>",
"140984","1,15","<T t=""你获得了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><I s='linshi' i='yb'/>",
"140986","1","<T t=""这个道具只能""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""性玩家之间互相赠送。""></T>",
"141037","1,15","<T t=""你获得了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""FF693F00""></T><T t=""$parameter2$""c=""FF693F00"" ></T><T t=""$parameter3$"" c=""ff00ff00""></T><T t=""！"" c=""FF693F00""></T>",
"141038","3,15","<T t=""你使用了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""FF693F00""></T><T t=""$parameter2$"" c=""FF693F00"" ></T><T t=""$parameter3$"" c=""ff00ff00""></T><T t=""！"" c=""FF693F00""></T>",
"141039","3,15","<T t=""你使用了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""点经验！"" c=""FF693F00""></T>",
"141041","3,15","<T t=""你使用了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""银币！"" c=""FF693F00""></T>",
"141049","1","你退出了队伍！",
"141050","1","10秒内不能邀请同一玩家。",
"141053","1","你还没有公会，不能使用公会频道。",
"141056","1","你不在队伍，无法成为队长。",
"141073","1","解锁成功。",
"141078","1","它处于加锁状态，不能进行该操作。",
"141086","5","你确定要放弃任务吗？",
"141095","1","你的包裹栏没有足够的空位，请至少清理出$parameter1$个空位。",
"141118","1","<T t=""你摧毁了""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""$parameter2$""></T><T t=""$parameter3$"" c=""ff00ff00""></T><T t=""。""></T>",
"141127","1","该物品不能摧毁。",
"141133","1","你已经发起了单挑决斗，不能进行组队操作。",
"141146","1","组队状态下只有队长才能这么做。",
"141154","1,15","<T t=""你获得了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""经验。"" c=""FF693F00""></T><B></B><T t=""参战宠物高于人物5级，无法获得经验。"" c=""FF693F00""></T>",
"141156","1,15","<T t=""你获得了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><I s='linshi' i='jy'/>",
"141157","1,15","<T t=""参战宠物获得了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><I s='linshi' i='jy'/>",
"141161","1","你已经被禁言了！$parameter1$分钟后将自动解禁。",
"141163","1","目前无法进行该操作。",
"141174","1","该道具只能在战斗中使用。",
"141176","2","一个道具不能拆分。",
"141191","1","对方已经在队伍中。",
"141192","1","你不是队长，不能进行交换队员操作。",
"141193","1","暂离或离线队员不能交换位置。",
"141198","1,13","<T t=""$parameter1$"" c=""FF02972C""></T><T t=""离开了队伍。"" c=""FF693F00""></T>",
"141201","1","对方组队开关关闭，无法组队。",
"141202","1","对方正在被其他人邀请中。",
"141203","1","<T t=""你加入了""></T><T t=""$parameter1$"" c=""ffffd700""></T><T t=""的队伍。"" c=""FF693F00""></T>",
"141205","1","距离过远，不能归队。",
"141206","1","你不是队长，不能进行此操作。",
"141207","1","你的等级不符合队伍要求。",
"141208","1,13","<T t=""$parameter1$"" c=""FF02972C""></T><T t=""被请离了队伍。"" c=""FF693F00""></T>",
"141209","1","队伍1分钟只能更换一次队长。",
"141210","1","已发出更换队长申请，等待回应中。",
"141214","1","你正在战斗，无法传送。",
"141216","1","你在队伍中，无法传送。请队长操作！",
"141217","1","你正在护送，无法传送。",
"141219","1","你正在拍卖，无法传送。",
"141227","1","你的银币不够，不能进行升级。",
"141228","1","你的经验不够，不能进行升级。",
"141229","1","这个技能已经冲到最高级了，再看看其他技能吧。",
"141230","1","<T t=""升级此技能需要人物等级""></T><T t=""$parameter1$级"" c=""ff00ff00""></T>",
"141231","1","<T t=""这个技能的等级不能超过""></T><T t="""" c=""ff00ff00""></T><T t=""$parameter1$的等级，请先学习""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""。""></T>",
"141232","1","<T t=""提升这个技能需要你""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""技能达到""></T><T t=""$parameter2$级"" c=""ff00ff00""></T><T t=""。""></T>",
"141236","1","技能等级不能超过人物等级哦",
"141251","3","提出更换队长请求成功，请等待对方响应。",
"141316","1","这个名字已经有人用过了，请重新取名。",
"141317","1","你还没为你的角色取名呢，快给你的角色取一个响亮的名字吧。",
"141389","1","双方属于同一个队伍，不能发起攻击！",
"141390","4","<T t=""尊敬的玩家请注意，服务器将在"" c=""ffffff33""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""分钟后关闭。"" c=""ffffff33""></T>",
"141391","15","<T t=""尊敬的玩家请注意，服务器将在"" c=""ff00ff00""></T><T t=""$parameter1$"" c=""FF74FDFF""></T><T t=""分钟后关闭。"" c=""ff00ff00""></T>",
"141392","1","你的宠物寿命低于50，不能参加战斗。",
"141394","1","你的宠物已经高于你自身等级10级，无法参加战斗。",
"141404","1","<T t=""你的宠物"" c=""FF693F00""></T><T t=""$parameter1$"" c=""$parameter2$""></T><T t=""等级提升了。"" c=""FF693F00""></T>",
"141412","1","当前状态无法回归队伍。",
"141413","1","你的包裹栏没有足够的空位啦。",
"141443","3","镶嵌成功。",
"141484","1","此任务不可放弃。",
"141488","1","操作失败。",
"141546","2","你没有任务啊，不要捣乱~",
"141564","1","你确定要使用[colour='ff00ff00']$parameter1$[colour='ffffffff']吗？",
"141565","1","当前状态下不能整理包裹。",
"141584","1","请自动寻路至目标区域使用道具。",
"141610","1","你不满足该宠物的携带等级要求，无法获得该宠物。",
"141618","1","当前状态下不能进行组队操作。",
"141619","1","对方目前不能接受组队邀请。",
"141650","1","你的银币不够。",
"141661","4","<T t=""$parameter1$"" c=""ffffff33""></T>",
"141671","1","暂离队伍的玩家不能提升为队长。",
"141677","1","新手玩家无法进入目标地图，请先完成引导任务。",
"141678","5","目标地图的怪物等级为[colour='ffffff33']$parameter1$[colour='ffffffff']级，你确定要进入该地图吗？",
"141679","1","由于状态限定，或者离传送点过远，无法进入地图",
"141682","3","<T t=""队伍中的某人以迅雷不及掩耳盗铃儿响叮当之势，抢得"" c=""ffb6b6b6""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""$parameter2$"" c=""ffb6b6b6""></T><T t=""$parameter3$"" c=""ff00ff00""></T><T t=""。""></T>",
"141683","3","<T t=""队伍中有人获得了"" c=""ffb6b6b6""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""$parameter2$""  c=""ffb6b6b6""></T><T t=""$parameter3$"" c=""ff00ff00""></T><T t=""。""></T>",
"141684","3","出错了",
"141700","1","你的宠物已经拥有这个技能了，不能再使用这个技能的秘籍了。",
"141701","1","对方不在线。",
"141705","1","<T t=""恭喜！你的宠物"" c=""FFFFFFFF""></T><T t=""$parameter1$"" c=""$parameter2$""></T><T t=""成功领悟了"" c=""FFFFFFFF""></T><T t=""$parameter3$"" c=""ff00ff00""></T><T t=""。""></T>",
"141711","1","请离开队伍后再继续任务。",
"141714","1","你现在还没有完成此任务。",
"141782","14","<T t=""$parameter1$"" c=""FF33FF33""></T><T t=""在挑战领袖弟子"" c=""FFFFFF33""></T><T t=""$parameter2$"" c=""FF33FF33""></T><T t=""时侥幸得胜，真是后生可畏，大家为其鼓掌啊！"" c=""FFFFFF33""></T>",
"141798","1","达到50级后才能发布收徒信息。",
"141799","1","你目前无法收新的徒弟。",
"141800","1","10级到79级的玩家才能发布拜师信息。",
"141801","1","你已经有师父了，无法发布拜师信息。",
"141802","1","40级以上的玩家才能发布征婚信息。",
"141804","1","10级以上的玩家才能发布征友信息。",
"141813","1","你撤消了发布的收徒信息，所缴纳的押金被系统扣除。",
"141814","1","你撤消了发布的拜师信息。",
"141815","1","你撤消了发布的征婚信息。",
"141816","1","你撤消了发布的征友信息。",
"141825","1","该角色不存在。",
"141828","1","你被GM传送到了此地。",
"141834","1","禁言成功。",
"141835","1","解除禁言成功。",
"141836","1","该玩家未被禁言。",
"141838","1","禁止角色登陆成功。",
"141839","1","取消禁止角色登陆成功。",
"141841","1","指定角色踢下线成功。",
"141843","1","指定角色所处战斗强制终止成功。",
"141845","1","开启服务成功。",
"141847","1","关闭服务成功。",
"141861","1","对方已加入别的队伍。",
"141865","1","对方在决斗状态下，无法接受组队邀请。",
"141866","1","你已发起决斗申请，不能再邀请他人入队了。",
"141867","1","对方已在决斗状态下，不能申请加入他的队伍了。",
"141896","5","当前已有该药效，再次使用药效数值将会相加，确定要使用吗？",
"141983","1","不在竞选领袖弟子时间段内，请稍后再来。",
"141995","1","你的生命已满，不需要再使用补充生命的药了。",
"141996","1","你的魔法已满，不需要再使用补充魔法的药了。",
"142022","1","<T t=""GM接收消息的功能尚未开发完呢，请不要随便调戏啊！""></T>",
"142027","5","你确定要将[colour='ffffff33']$parameter1$[colour='ff33ff33']($parameter2$)[colour='ffffffff']放入藏宝阁么？放入后将获得其等价值的银币，但不可再取出。",
"142074","1","对方目前不在战斗中。",
"142081","1","你的状态已满，不需要再使用补充生命或魔法的药了。",
"142094","1","你没有受伤啊，还是不要使用这个物品了。",
"142109","1","你整理的太频繁了。",
"142217","1","提示出错了",
"142258","1","放生成功。",
"142260","1","名称中含有非法字符，请重新输入。",
"142261","1","内容中含有非法字符，发布失败。",
"142282","1","宠物名称颜色限定，该宠物无法拥有此技能格。",
"142291","5","[colour='ff33ff33']$parameter1$[colour='ffffffff']是任务物品，摧毁后可能无法完成相关任务，请谨慎摧毁。",
"142292","5","[colour='ffffffff']你确定要摧毁[colour='ff33ff33']$parameter1$[colour='ffffffff']吗？一定要在任务完成后才能丢弃任务道具哦~",
"142293","1","请输入公会名称",
"142294","1","名称包含了过多的特殊字符。",
"142307","1","使用成功，恭喜你增加了5个包裹格。",
"142320","1","本次测试开放最高等级为$parameter1$，请先享受顶级的乐趣，多体验下MT里其他玩法吧！",
"142338","1","你包裹的空间不够或物品达到堆叠上限了，清理一下再来吧！",
"142355","5","你确定要丢弃$parameter1$吗？",
"142358","3","你已发出邀请，请等待……",
"142369","1","你与对方的距离过远，还是靠近点再说吧。",
"142375","1","装备栏的道具无法直接摧毁，请先放回包裹栏。",
"142377","1","你的宠物背包已满，无法获取新的宠物。",
"142378","1,15","<T t=""你获得了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""，带着他一起去冒险吧！"" c=""FF693F00""></T>",
"142383","1","战斗中不能进行此项操作。",
"142402","1","该公会名已经被其他公会占用了，请换一个公会名吧。",
"142465","2","你输入的兑换码无效，请确认后重新输入。",
"142471","1","<T t=""反外挂验证成功，奖励"" ></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""经验。"" ></T>",
"142483","1","你当前没有设置参战宠物啊，这个食品给谁用呢？请先设置参战宠吧。",
"142508","1","你现在储存的经验太多，已经超过当前升级所需经验的30倍了，还是赶快用掉一部分吧，否则你将无法在游戏中继续获得经验。",
"142520","1","<T t=""成功领取""></T><T t=""$parameter1$"" c=""FF33FF33""></T><T t=""，《我叫MT3》开发组祝您游戏愉快！"" ></T>",
"142532","2","你已经领取过一次了，不要贪心哦。",
"142535","1","<T t=""你需要达到""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""级才能使用此道具。"" ></T>",
"142543","5","你确定要使用洗髓经重置所有属性点吗？",
"142585","3","$parameter1$解散了队伍。",
"142586","1","<T t=""你的银币不足了，你还可以""></T><T t=""使用银币"" c=""ff00ff00""></T><T t=""来购买。""></T>",
"142587","1","<T t=""购买物品""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""$parameter2$$parameter3$，共花费""></T><T t=""$parameter4$"" c=""ff00ff00""></T><T t=""银币。""></T>",
"142596","2","你的生命不满80%，进入此战斗会有一定的危险，确定要进入吗？",
"142599","1","你发送的装备或宠物曾经移动过位置，无法发送了，请重新输入超链接。",
"142603","1","你转发链接的装备或宠物曾经移动过位置或不在了，无法发送。",
"142607","1","你查看的装备或宠物曾经移动过位置或不在了，无法查看。",
"142663","1","战斗/小游戏中不能更换角色",
"142665","1","你的宠物已经加锁，不能进行此项操作。",
"142686","1","你的符石数量不足，无法购买。",
"142719","8","<T t=""恭喜"" c=""ff00ff00""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""抓到了一只"" c=""ff00ff00""></T><T t=""$parameter2$"" c=""$parameter3$""></T><T t=""，真是太幸运了！"" c=""ff00ff00""></T>",
"142728","15","<T t=""恭喜"" c=""ff00ff00""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""抓到了一只"" c=""ff00ff00""></T><T t=""$parameter2$"" c=""$parameter3$""></T><T t=""，真是太幸运了！"" c=""ff00ff00""></T>",
"142752","1","<T t=""您拥有的道具$parameter1$的数量已经达到了最大拥有数量上限，不能再获得更多了。""></T>",
"142763","16","<T t=""【公会"" c=""FF693F00""></T><T t=""$parameter1$"" c=""FF02972C""></T><T t=""的群体消息】"" c=""FF693F00""></T><B></B><T t=""$parameter3$"" c=""FF693F00""></T><B></B><T t=""                       "" c=""FF6EE6FF""></T><T t=""发送者："" c=""FF693F00""></T><T t=""$parameter2$"" c=""FF02972C""></T>",
"142848","1","你操作的太频繁了。",
"142856","1","你的包裹栏满了，不能获得奖励。",
"142857","1","由于你的包裹栏已满，只获得部分奖励。",
"142920","1","<T t=""任务完成""></T>",
"142924","1","",
"142925","1","",
"142929","2","你的宠物寿命已经达到上限，不用再补充了。",
"142945","1","只有队长才能创建一个新副本。",
"142946","1","你们的副本$parameter1$还在进行中且因其中有人等原因无法销毁，暂时不能创建新副本。",
"142947","1","该副本最多容纳$parameter1$人，副本内人数已满，不可进入。",
"142951","1","<T t=""你的等级不足""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""，不能创建""></T><T t=""$parameter2$"" c=""FF33FF33""></T><T t=""副本。""></T>",
"142983","1","<T t=""你的等级超过""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""，不能创建""></T><T t=""$parameter2$"" c=""FF33FF33""></T><T t=""副本。""></T>",
"142984","1","<T t=""你的等级不足""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""，不能进入""></T><T t=""$parameter2$"" c=""FF33FF33""></T><T t=""副本。""></T>",
"142985","1","<T t=""你的等级超过""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""，不能进入""></T><T t=""$parameter2$"" c=""FF33FF33""></T><T t=""副本。""></T>",
"142991","1","<T t=""回收任务物品""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""，任务完成。""></T>",
"142995","1","宠物名字最多六个汉字。",
"143001","1","<T t=""恭喜你获得了""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""称谓，可以打开人物信息界面进行查看。""></T>",
"143011","1","<T t=""你的宠物""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""获得了""></T><T t=""$parameter2$"" c=""FFFFFF33""></T><T t=""点潜能点数""></T>",
"143012","1","<T t=""你的宠物""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""没有可以重置的""></T><T t=""$parameter2$"" c=""FFFFFF33""></T><T t=""点数，所以不能使用""></T><T t=""$parameter3$"" c=""FFFFFF33""></T>",
"143031","1","该副本最多容纳$parameter1$人，队伍人数过多，不可进入。",
"143126","1","提示出错了",
"143127","1","提示出错了",
"143128","1","提示出错了",
"143129","1","点击购买扩格道具。",
"143163","5","[colour='ff00ff00']$parameter1$[colour='ffffffff']要召唤你归队，是否同意？",
"143190","1","<T t=""$parameter1$"" c=""ffffff33""></T><T t=""是一个""></T><T t=""$parameter2$"" c=""ff00ff00""></T><T t=""人副本，必须$parameter2$人同时才可创建。（且队伍中不能有暂离成员）""></T>",
"143221","1","<T t=""队伍中的""></T><T t=""$parameter1$"" c=""FFFFFF33""></T><T t=""等级不到$parameter2$级，无法领取任务。""></T>",
"143246","1","你今日单人《冰封王座》副本次数不足，无法进入副本。",
"143247","1","当前角色等级高于副本等级，挑战记录不更新排行榜。",
"143264","3","由于已达今日出售上限，优先扣除了价值较高的物品。",
"143363","1","该场景内不能组队。",
"143417","1","你身上的宠物栏已经满了，请清理一下再领取吧。",
"143432","1","<T t=""你的活力不足""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""点。""></T>",
"143512","1","<T t=""让我们以饱满的热情，向神圣的""></T><G t=""$parameter1$"" m=""$parameter2$"" x=""$parameter3$"" y=""$parameter4$"" c=""FF33FF33""></G><T t=""迈进。GO！GO！GO！(到达目的地后右键单击包裹栏任务框中的导游图可完成任务,限时5分钟。）""></T>",
"143583","1","<T t=""任务道具栏已满，无法获得""></T><T t=""$parameter1$"" c=""ff00ff00""></T><T t=""。""></T>",
"143585","8","当前任务道具栏剩余空间不多，无用的任务道具可以丢弃。",
"143586","1","你当前没有设定参战宠物，无法使用该宠物道具。",
"143713","1","提示出错了",
"143731","1","<T t=""等级未达到""></T><T t=""$parameter1$"" c=""ffffff33""></T><T t=""级，无法使用此道具。""></T>",
"143740","1","此账号已被服务器禁止登录，请联系客服。",
"143911","1","<T t=""队员""></T><T t=""$parameter1$"" c=""ffffff33""></T><T t=""缺少任务道具""></T><T t=""$parameter2$"" c=""ff00ff00""></T><T t=""，任务进度未同步。""></T>",
"143928","16","<T t=""您的物品已于""></T><T t=""$parameter1$年$parameter2$月$parameter3$日$parameter4$时$parameter5$分"" c=""FF33FF33""></T><T t=""找回，请在包裹内查收。""></T>",
"143936","16","订单已提交成功，您选择了$parameter1$充值，购买符石$parameter2$个，折扣后金额为$parameter3$元。",
"143937","1","折扣信息有变化，以免你的充值金额与实际花费金额不符，请重新充值。",
"143947","16","<T t=""你因第1次使用外挂类程序被封停10分钟，下次使用将会被""></T><T t=""封停24小时""  c=""ff00ff00""></T><T t=""，请珍惜自己的账号及好友，拒绝使用外挂。""></T>",
"143948","16","<T t=""你因第2次使用外挂类程序被封停24小时，下次使用将会被""></T><T t=""封停7天""  c=""ff00ff00""></T><T t=""！请珍惜自己的账号及好友，拒绝使用外挂！！""></T>",
"143951","1","<T t=""你获得了""></T><T t=""$parameter1$""  c=""ffffff33""></T><T t=""符石。""></T>",
"144004","1","你包裹栏中没有该道具了。",
"144097","1","你已经被禁言，还剩$parameter1$，如有疑问请联系客服。",
"144293","5","$parameter1$已开启，您是否参与？",
"144297","1","<T t=""本场比赛你的战斗次数已满""></T><T t=""$parameter1$""></T><T t=""次，无法再加入队列""></T>",
"144298","1","当前不是比赛时间，无法加入队列。",
"144299","1","你的等级超出了本赛场等级限制，无法加入队列。",
"144300","1","你当前在队伍中，无法加入队列。",
"144346","16","<T t=""你因第3次使用外挂类程序被封停7天，下次使用将会被""></T><T t=""永久封停""  c=""ff00ff00""></T><T t=""！请珍惜自己的账号及好友，拒绝使用外挂！！""></T>",
"144348","1","您还没有该表情的使用权限，请到杂货店小学徒处购买该表情。",
"144350","1","此表情使用权限还剩余%d天%d小时%d分",
"144385","15","<T/><T t=""你的用户信息不足，请"" c=""ff00ff00""></T><Http t=""立即点击登录"" address=""http://passport.wanmei.com/sso/accounts/serviceLogin?service=passport&amp;continue=http://passport.wanmei.com/SSOServerLogin&amp;location=2f616464496e64756c67652f616464496e64756c67652e6a7370""></Http><T t=""完善用户信息。完善信息后再次登录可在"" c=""ff00ff00""></T><G t=""嘉兴MT"" npcid=""10963""></G><T t=""或"" c=""ff00ff00""></T><G t=""临安MT"" npcid=""10964""></G><T t=""处领取神秘大礼。"" c=""ff00ff00""></T>",
"144418","1","这不是我要的宠物啊！请仔细核对宠物类别，另外任务里只要野生的宠物哦。",
"144480","1","等级不足20级不能在职业频道发言。",
"144483","5","当前服务器是维护状态，无法进入（如果在非维护时，所有服务器呈维护状态，请重启游戏再试）",
"144499","1","提示出错了",
"144518","1","此表情使用权限为永久",
"144618","1","只有归队状态才能抱抱。",
"144619","1","只能是异性才能抱起哦。",
"144621","1","这位都已经在热情的拥抱了呢，下次趁早啊。",
"144622","1","队长不能被抱起哦。",
"144623","1","成功发出邀请了，请等待……",
"144625","1","<T t=""你已经成功抱起""></T><T t=""$parameter1$"" c=""FF33FF33""></T><T t=""。""></T>",
"144626","1","<T t=""你已成功被""></T><T t=""$parameter1$"" c=""FF33FF33""></T><T t=""抱起。""></T>",
"144627","1","<T t=""$parameter1$"" c=""FF33FF33""></T><T t=""不愿意被你抱起哦。""></T>",
"144629","1","<T t=""$parameter1$"" c=""FF33FF33""></T><T t=""不愿意抱你哦。""></T>",
"144632","1","解除成功。",
"144633","1","对方解除了抱抱的状态哦。",
"144659","1","你已经有该道具，不用再次购买了。",
"144660","1","你在30天之内已经购买过此道具了。",
"144661","1","请在单人状态下来改名。",
"144663","1","你新建的姓名不合法。",
"144664","1","角色名已存在。",
"144746","1","提示出错了",
"144774","1,15","<T t=""你获得了"" c=""FF693F00""></T><T t=""$parameter1$"" c=""ff00ff00""></T><I s='linshi' i='yb'/>",
"144784","1","请输入账号密码后再登陆。",
"144798","1","此功能尚未开放，敬请期待。",
"144801","1","你的银币不足。",
"144806","1","你已成为队长！",
"144808","1","该账号已在另一台设备登陆，你被迫下线，请注意账号安全。",
"144815","1","您的等级不符合道具要求，请确认后再使用。",
"144817","1","<T t=""$parameter1$"" c=""ff33ff33""></T><T t=""申请加入您的队伍，可在队伍-申请列表中查看。""></T>",
"144838","1","您的任务失败或已超时，请离开副本重新接取任务。",
