"技能ID","技能名称","策划备注","是否预先统计目标数","是否主动","能否连击","能否被反击","是否禁止防御和保护","是否忽略隐身","是否默认自动技能","战斗内外使用","服务器分类","技能归类","选择目标类型","先发速度","消耗Hp","消耗Mp","消耗Sp","消耗Ep","串联子技能ID","子技能ID播放时间调控","脚本配置文件","技能名冒字资源","是否显示技能名冒字","是否被嘲讽影响","技能特殊延长时间","是否PVP不能使用"
"100101","冥想","冥想","","false","false","false","0","","","true","0","11","1","0","","","","","1001010","0",,,"1",,,
"110000","武器大师","武器大师","","false","false","false","0","","","false","1","10","1","0","","0","","","1100000","0",,,"1",,,
"110001","幻影冲锋","幻影冲锋","","true","false","false","0","","1","true","1","2","480","0","","10+1.2*skilllevela","","","1100010,1100011,1100012,1100013,1100014","0,1000,1300,1600,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"110002","嘲讽","挫志怒吼","","true","false","false","0","","","true","1","8","480","0","","10+1.2*skilllevela","","","1100020,1100021,1100022,1100023","0,1200,1200,1200",,,"1",,,"1"
"110003","毁灭打击","毁灭打击","","true","false","true","0","","","true","1","1","480","0","","0","","","1100030,1100031,1100032,1100033","0,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"110004","蓄力猛击","蓄力猛击","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*skilllevela",,,"1100040,1100041","0,0",,"geffect/sprite/skillbanner/luoshishu","1",,,
"110005","破甲","破甲","","true","false","true","0","","","true","1","1","480","0",,"10+1.2*skilllevela",,,"1100050","0",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"110006","附魔：钢铁之躯","附魔：钢铁之躯","","true","false","false","0","","","false","1","11","1","0",,"0",,,"1100060","0",,,"1",,,
"110007","无敌斩","无敌斩","","true","false","false","3","","","true","1","1","480","0",,"0","120","","1100070,1100071,1100072,1100073,1100074,1100075,1100076,1100077,1100078,1100079","0,-1,-1,-1,-1,-1,-1,-1,-1,-1",,,"1","1",,
"110008","战士被动1","战士被动1","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1100080","0",,,"1",,,
"110009","战士被动2","战士被动2","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1100090","0",,,"1",,,
"110010","战士被动3","战士被动3","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1100100","0",,,"1",,,
"110011","猛击","蓄力猛击之猛击","","true","false","true","0","","","true","1","1","480","1000",,"0",,,"1100110,1100111","0,-1",,,"1","1",,
"120000","王者祝福","王者祝福","","false","false","false","0","","","false","1","10","1","0","","0","","","1200000","0",,,"1",,,
"120001","审判之锤","审判之锤","true","true","true","false","0","1","1","true","1","4","480","0","","10+2*skilllevela","","","1200010,1200011,1200012,1200013,1200014,1200015,1200016","0,0,0,0,0,0,1000",,,"1","1",,
"120002","无边定罪","无边定罪",,"true","true","false","0","","","true","1","3","480","0","","10+2*skilllevela","","","1200020,1200021","0,-1",,,"1","1",,
"120003","复仇之盾","复仇之盾","","true","false","false","0","","","true","1","8","480","0",,"10+2*skilllevela",,,"1200030,1200031,1200032,1200033","0,0,0,0",,,"1",,,"1"
"120004","圣光洗礼","圣光洗礼","","true","false","false","0","","","true","1","5","4127","0",,"10+2*skilllevela",,,"1200040","0",,,"1",,,
"120005","神谕责难","神谕责难","","true","false","false","0","1","","true","1","7","480","0",,"10+2*skilllevela",,,"1200050,1200051,1200052,1200053,1200054,1200055","0,0,0,0,0,0",,,"1",,,
"120006","附魔：神圣庇护","附魔：神圣庇护","","true","false","false","0","","","false","1","11","1","0",,"0",,,"1200060","0",,,"1",,,
"120007","守护圣盾","守护圣盾","","true","false","false","0","","","true","1","7","4127","0",,"0","120","","1200070,1200071,1200072,1200073,1200074,1200075","0,0,0,0,0,-1",,,"1",,,
"120008","圣骑士被动1","圣骑士被动1","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1200080","0",,,"1",,,
"120009","圣骑士被动2","圣骑士被动2","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1200090","0",,,"1",,,
"120010","圣骑士被动3","圣骑士被动3","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1200100","0",,,"1",,,
"130000","狩猎姿态","狩猎姿态","","true","false","false","0","","","true","1","7","1","0","","0","","","1300000","0",,,"1",,,
"130001","多重打击","多重打击",,"true","false","false","0","","1","true","1","2","480","0","","0","","","1300010,1300011,1300012,1300013,1300014,1300015,1300016","0,-1,-1,-1,-1,-1,-1",,,"1","1",,
"130002","穿刺打击","穿刺打击",,"true","false","false","0","","","true","1","1","480","0",,"10+1.2*skilllevela",,,"1300020","0",,,"1","1",,
"130003","野性召唤","野性召唤",,"true","false","false","0","","","true","1","7","10","0","","10+1.2*skilllevela","","","1300030","0",,,"1",,,
"130004","生命献祭","生命献祭",,"true","true","false","0","","","true","1","3","10","0",,"10+1.2*skilllevela",,,"1300040,1300041","0,-1",,,"1",,,
"130005","精准打击","精准打击",,"true","false","false","0","","","true","1","1","480","0",,"10+1.2*skilllevela",,,"1300050,1300051,1300052,1300053,1300054,1300055,1300056","0,-1,-1,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"130006","附魔：不羁之怒","附魔：不羁之怒",,"true","false","false","0","","","false","1","11","1","0",,"0",,,"1300060","0",,,"1",,,
"130007","美拉冲击","美拉冲击",,"true","false","false","0","","","true","1","2","480","0",,"0","120","","1300070,1300071,1300072,1300073,1300074,1300075","0,0,0,0,0,-1",,,"1","1",,
"130008","猎人被动1","猎人被动1","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1300080","0",,,"1",,,
"130009","猎人被动2","猎人被动2","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1300090","0",,,"1",,,
"130010","猎人被动3","猎人被动3","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1300100","0",,,"1",,,
"130011","狩猎姿态被动","狩猎姿态被动","","false","false","false","0","","","false","1","10","1","0","","0","","","1300110","0",,,"1",,,
"140000","伊瑟拉之赐","伊瑟拉之赐","","false","false","false","0","","","false","1","10","1","0","","0","","","1400000","0",,,"1",,,
"140001","撕裂横扫","撕裂横扫","","true","false","false","0","","1","true","1","2","480","0","","0","","","1400010,1400011,1400012,1400013,1400014,1400015,1400016","0,400,700,1000,1300,1600,-1",,,"1","1",,
"140002","绿之潮","绿之潮","","true","false","false","0","","","true","1","7","480","0","","10+1.2*skilllevela","","","1400020,1400021,1400022,1400023,1400024,1400025,1400026","0,0,0,0,0,0,0",,,"1",,,
"140003","黄昏花蕾","黄昏花蕾","","true","false","false","0","","","true","1","6","4117","0",,"10+1.2*skilllevela",,,"1400030","0",,,"1","1",,
"140004","灵熊爪击","灵熊爪击","","true","false","false","0","","1","true","1","2","480","0",,"10+1.2*skilllevela",,,"1400040,1400041,1400042,1400043,1400044,1400045,1400046","0,400,700,1000,1300,1600,-1",,,"1","1",,
"140005","自然之眼","自然之眼","","true","false","false","0","","","true","1","7","4127","0",,"10+1.2*skilllevela",,,"1400050,1400051,1400052,1400053,1400054,1400055","0,0,0,0,0,0",,,"1",,,
"140006","附魔：自然亲和","附魔：自然亲和","","true","false","false","0","","","false","1","11","1","0",,"0",,,"1400060","0",,,"1",,,
"140007","纠缠根须","纠缠根须","","true","false","false","0","","","true","1","7","480","0",,"0","120","","1400070,1400071,1400072,1400073","0,0,0,-1",,,"1","1",,
"140008","德鲁伊被动1","德鲁伊被动1","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1400080","0",,,"1",,,
"140009","德鲁伊被动2","德鲁伊被动2","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1400090","0",,,"1",,,
"140010","德鲁伊被动3","德鲁伊被动3","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1400100","0",,,"1",,,
"150000","奥术智慧","奥术智慧","","false","false","false","0","","","false","1","11","1","0","","0","","","1500000","0",,,"1",,,
"150001","暴风雪","暴风雪","true","true","true","false","0","","1","true","1","4","480","0","","10+2.4*skilllevela","","","1500010,1500011,1500012,1500013,1500014,1500015,1500016","0,0,0,0,0,0,0",,,"1","1",,
"150002","奥术冲击","奥术冲击",,"true","true","false","0","","","true","1","3","480","0","","10+2.4*skilllevela","","","1500020","0",,,"1","1",,
"150003","变形术","变形术","","true","false","false","0","","","true","1","8","480","0","","10+2.4*skilllevela","","","1500030","0",,,"1",,,"1"
"150004","魔爆术","魔爆术",,"true","true","false","0","","","true","1","4","480","0",,"10+2.4*skilllevela",,,"1500040","0",,,"1","1",,
"150005","冰霜血脉","冰霜血脉",,"true","false","false","0","","","true","1","7","4127","0",,"10+2.4*skilllevela",,,"1500050","0",,,"1",,,
"150006","附魔：魔能武器","附魔：魔能武器",,"true","false","false","0","","","false","1","11","1","0",,"0",,,"1500060","0",,,"1",,,
"150007","烈焰风暴","烈焰风暴",,"true","false","false","0","","","true","1","4","480","0",,"0","120","","1500070,1500071","0,-1",,,"1","1",,
"150008","法师被动1","法师被动1","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1500080","0",,,"1",,,
"150009","法师被动2","法师被动2","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1500090","0",,,"1",,,
"150010","法师被动3","法师被动3","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1500100","0",,,"1",,,
"160000","虔诚信仰","虔诚信仰","","false","false","false","0","","","false","1","11","1","0","","0","","","1600000","0",,,"1",,,
"160001","神圣新星","神圣新星","true","true","true","false","0","","1","true","1","4","480","0","","10+2*skilllevela","","","1600010,1600011,1600012,1600013,1600014,1600015","0,0,0,0,0,0",,,"1","1",,
"160002","治疗祷言","治疗祷言","true","true","false","false","0","","","true","1","6","4127","0","","10+2*skilllevela","","","1600020,1600021,1600022,1600023,1600024,1600025","0,0,0,0,0,0",,,"1",,,
"160003","复生","复生","","true","false","false","0","","","true","1","7","4126","0",,"10+2*skilllevela",,,"1600030,1600031","0,-1",,,"1",,,
"160004","心灵之火","心灵之火","","true","false","false","0","","","true","1","7","4127","0",,"10+2*skilllevela",,,"1600040,1600041,1600042,1600043,1600044,1600045,1600046","0,0,0,0,0,0,0",,,"1",,,
"160005","神圣救赎","神圣救赎",,"true","false","false","0","","","true","1","7","4127","0",,"10+2*skilllevela",,,"1600050","0",,,"1",,,
"160006","附魔：纳鲁恩赐","附魔：纳鲁恩赐","","true","false","false","0","","","false","1","11","1","0",,"0",,,"1600060","0",,,"1",,,
"160007","天定之国","天定之国","","true","false","false","0","","","true","1","7","4127","0",,"0","120","","1600070,1600071","0,-1",,,"1",,,
"160008","牧师被动1","牧师被动1","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1600080","0",,,"1",,,
"160009","牧师被动2","牧师被动2","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1600090","0",,,"1",,,
"160010","牧师被动3","牧师被动3","","false","false","false","0","","","false","1","10","1","0",,"0",,,"1600100","0",,,"1",,,
"161000","先祖智慧","先祖智慧","","false","false","false","0","","","false","1","11","1","0","","0","","","1610000","0",,,"1",,,
"161001","闪电链","闪电链","true","true","true","false","0","","1","true","1","4","480","0",,"10+2.4*skilllevela",,,"1610010,1610011,1610012,1610013,1610014,1610015","0,0,0,0,0,0",,,"1","1",,
"161002","治疗图腾","治疗图腾","","true","true","false","0","","","true","1","15","8192","0",,"10+2.4*skilllevela",,,"1610020","0",,,"1",,,
"161003","闪电箭","闪电箭","","true","false","false","0","","","true","1","3","480","0",,"10+2.4*skilllevela",,,"1610030","0",,,"1","1",,
"161004","先祖之魂","先祖之魂","","true","false","false","0","","","true","1","7","4127","0",,"10+2.4*skilllevela",,,"1610040,1610041","0,-1",,,"1",,,
"161005","狂热图腾","狂热图腾","","true","false","false","0","","","true","1","15","8192","0",,"10+2.4*skilllevela",,,"1610050","0",,,"1",,,
"161006","附魔：元素之怒","附魔：元素之怒","","true","false","false","0","","","false","1","11","1","0",,"0",,,"1610060","0",,,"1",,,
"161007","风暴轰击","风暴轰击","","true","false","false","0","","","true","1","4","480","0",,"0","120",,"1610070,1610071","0,-1",,,"1","1",,
"161008","萨满被动1","萨满被动1","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1610080","0",,,"1",,,
"161009","萨满被动2","萨满被动2","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1610090","0",,,"1",,,
"161010","萨满被动3","萨满被动3","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1610100","0",,,"1",,,
"161011","治疗图腾（消亡）","治疗图腾（消亡）","","false","false","false","0","","","true","1","10","1","0",,"0",,,"1610110","0",,,"0",,,
"161012","狂热图腾（消亡）","狂热图腾（消亡）","","false","false","false","0","","","true","1","10","1","0",,"0",,,"1610120","0",,,"0",,,
"161013","治疗图腾（光环）","治疗图腾（光环）","","false","false","false","0","","","true","1","16","1","0",,"0",,,"1610130","0",,,"0",,,
"161014","狂热图腾（光环）","狂热图腾（光环）","","false","false","false","0","","","true","1","16","1","9000",,"0",,,"1610140","0",,,"0",,,
"162000","盗贼尊严","盗贼尊严","","false","false","false","0","","","false","1","11","1","0","","0","","","1620000","0",,,"1",,,
"162001","淬毒刀扇","淬毒刀扇","","true","false","false","0","","1","true","1","2","480","0",,"10+1.2*skilllevela",,,"1620010,1620011,1620012,1620013,1620014,1620015,1620016","0,1000,1300,1600,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"162002","穿刺影袭","穿刺影袭","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*skilllevela",,,"1620020,1620021","0,-1",,,"1","1",,
"162003","剔骨","剔骨","","true","false","true","0","","","true","1","1","480","0",,"0",,,"1620030,1620031,1620032,1620132,1620033,1620133,1620034,1620134,1620035","0,-1,-1,-1,-1,-1,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"162004","潜行","潜行","","true","false","false","0","","","true","1","7","1","0",,"10+1.2*skilllevela",,,"1620040","0",,,"1",,,
"162005","闷棍","闷棍","","true","false","false","0","","","true","1","1","480","0",,"10+1.2*skilllevela",,,"1620050,1620051,1620052","0,-1,-1",,,"1","1",,
"162006","附魔：鲜血饥渴","附魔：鲜血饥渴","","true","false","false","0","","","false","1","11","1","0",,"0",,,"1620060","0",,,"1",,,
"162007","杀戮盛筵","杀戮盛筵","","true","false","false","3","","","true","1","1","480","0",,"0","120",,"1620070,1620071,1620072,1620073,1620074,1620075,1620076,16200770,16200771,16201770,16200772,16200773,16201772,16200774,16200775,16201774,1620078","0,1400,1800,2200,2600,3000,3400,3800,4200,-1,4600,5000,-1,5400,5800,-1,-1",,,"1","1",,
"162008","盗贼被动1","盗贼被动1","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1620080","0",,,"1",,,
"162009","盗贼被动2","盗贼被动2","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1620090","0",,,"1",,,
"162010","盗贼被动3","盗贼被动3","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1620100","0",,,"1",,,
"163000","恶魔学识","恶魔学识","","false","false","false","0","","","false","1","11","1","0","","0","","","1630000","0",,,"1",,,
"163001","火焰之雨","火焰之雨","true","true","true","false","0","","1","true","1","4","480","0",,"10+2*skilllevela",,,"1630010,1630011,1630012,1630013,1630014,1630015","0,0,0,0,0,0",,,"1","1",,
"163002","沉默诅咒","沉默诅咒","","true","false","false","0","","","true","1","8","480","0",,"10+2*skilllevela",,,"1630020","0",,,"1",,,
"163003","生命虹吸","生命虹吸","","true","true","false","0","","","true","1","3","480","0",,"10+2*skilllevela",,,"1630030,1630031","0,1400",,,"1","1",,
"163004","恶魔降临","恶魔降临","","true","false","false","0","","","true","1","8","480","0",,"10+2*skilllevela",,,"1630040","0",,,"1",,,
"163005","虚弱诅咒","虚弱诅咒","","true","false","false","0","","","true","1","7","480","0",,"10+2*skilllevela",,,"1630050,1630051,1630052,1630053,1630054,1630055,1630056","0,0,0,0,0,0,0",,,"1",,,
"163006","附魔：暗影之力","附魔：暗影之力","","true","false","false","0","","","false","1","11","1","0",,"0",,,"1630060","0",,,"1",,,
"163007","群魔乱舞","群魔乱舞","","true","false","false","0","","","true","1","8","480","0",,"0","120",,"1630070,1630071,1630072,1630073,1630074,1630075","0,0,0,0,0,-1",,,"1","1",,
"163008","术士被动1","术士被动1","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1630080","0",,,"1",,,
"163009","术士被动2","术士被动2","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1630090","0",,,"1",,,
"163010","术士被动3","术士被动3","","false","false","false","0","","","false","1","11","1","0",,"0",,,"1630100","0",,,"1",,,
"171006","剑刃风暴","新手剑刃风暴","","true","false","false","3","","","true","1","1","480","0",,"",,,"1710060,1710061,1710062,1710063,1710064,1710065,1710066,1710067,1710068,1710069","0,-1,-1,-1,-1,-1,-1,-1,-1,-1",,,"1","1",,
"172006","律法圣盾","新手律法圣盾","","true","false","false","0","","","true","1","8","4126","0",,"","","","1720060,1720061,1720062,1720063,1720064,1720065","0,0,0,0,0,-1",,,"1",,,
"173006","美拉冲击","新手美拉冲击",,"true","false","false","3","","","true","1","2","480","0",,"","","","1730060,1730061,1730062,1730063,1730064,1730065","0,0,0,0,0,-1",,,"1","1",,
"174006","纠缠根须","新手末日战场","","true","false","false","0","","","true","1","7","480","0",,"","","","1740060,1740061,1740062,1740063","0,0,0,-1",,,"1","1",,
"175006","虚空乱流","新手虚空乱流",,"true","false","false","0","","","true","1","4","480","0",,"","","","1750060,1750061","0,-1",,,"1","1",,
"176006","天定之国","新手天定之国","","true","false","false","0","","","true","1","7","4127","0",,"","","","1760060,1760061","0,-1",,,"1",,,
"177006","风暴轰击","新手风暴轰击","","true","false","false","0","","","true","1","4","480","0",,"",,,"1770070,1770071","0,-1",,,"1","1",,
"178006","杀戮盛筵","新手杀戮盛筵","","true","false","false","3","","","true","1","1","480","0",,"",,,"1780070,1780071,1780072,1780073,1780074,1780075,1780076,17800770,17800771,17800772,17800773,17800774,17800775,1780078","0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600,7200,-1",,,"1","1",,
"179006","群魔乱舞","新手群魔乱舞","","true","false","false","0","","","true","1","8","480","0",,"",,,"1790070,1790071,1790072,1790073,1790074,1790075","0,0,0,0,0,-1",,,"1","1",,
"180000","冰霜惩击","新手bossAOE",,"true","false","false","0","","","true","1","4","480","0",,"","","","1800000","0",,,"1","1",,
"180001","毁灭打击","新手boss三连","","true","false","true","0","","","true","1","1","480","0","","","","","1800010,1800011,1800012,1800013","0,-1,-1,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"180002","毁灭打击","剧情boss单体物理秒杀","","true","false","true","0","","","true","1","1","480","0","","",,,"1800020","0",,,"1","1",,
"180003","魔爆术","剧情boss单体法系秒杀","","true","false","true","0","","","true","1","3","480","0",,,,,"1800030","0",,,"1","1",,
"180004","暴风雪","剧情bossAOE法系秒杀","","true","false","false","0","","","true","1","4","480","0","","","","","1800040","0",,,"1","1",,
"180005","幻影斩","新手助战幻影斩","","true","false","false","0","","","true","1","2","480","0","","","","","1800050,1800051,1800052,1800053,1800054","0,1000,1300,1600,-1",,"geffect/sprite/skillbanner/luoshishu","1","1",,
"180006","无边定罪","新手助战无边定罪","","true","true","false","0","","","true","1","4","480","0","","","","","1800060,1800061,1800062,1800063,1800064,1800065,1800066","0,0,0,0,0,0,1000",,,"1","1",,
"180007","多重打击","新手助战多重打击",,"true","false","false","0","","","true","1","2","480","0","","","","","1800070,1800071,1800072,1800073,1800074,1800075,1800076","0,-1,-1,-1,-1,-1,-1",,,"1","1",,
"180008","月蚀","新手助战月蚀","","true","true","false","0","","","true","1","4","480","0","","","","","1800080,1800081,1800082,1800083,1800084,1800085,1800086","0,400,700,1000,1300,1600,-1",,,"1","1",,
"180009","暴风雪","新手助战暴风雪",,"true","true","false","0","","","true","1","4","480","0","","","","","1800090,1800091,1800092,1800093,1800094,1800095,1800096","0,0,0,0,0,0,0",,,"1","1",,
"180010","神圣新星","新手助战神圣新星","","true","true","false","0","","","true","1","4","480","0","","","","","1800100,1800101,1800102,1800103,1800104,1800105","0,0,0,0,0,0",,,"1","1",,
"180011","怪物三控","怪物三控","","true","false","false","0","","","true","1","8","480","0","","","","","1800110","0",,,"1",,,
"180012","魔爆术","剧情单体残血（90%）","","true","false","false","0","","","true","1","3","480","0","","",,,"1800120","0",,,"1","1",,
"180013","寒冰吐息","剧情全体残血（80%）","","true","false","false","0","","","true","1","4","480","0","","","","","1800130","0",,,"1","1",,
"180014","暴风雪","剧情单体无伤害技能","","true","false","false","0","","","true","1","3","480","0","","",,,"1800140","0",,,"1","1",,
"180015","暴风雪","剧情全体无伤害技能","","true","false","false","0","","","true","1","4","480","0","","","","","1800150","0",,,"1","1",,
"180016","单体加满血","剧情单体加满血技能","","true","false","false","0","","","true","1","6","4127","0",,"",,,"1800160","0",,,"1",,,
"180017","群体加满血","剧情群体加满血技能","","true","false","false","0","","","true","1","6","4127","0",,"",,,"1800170","0",,,"1",,,
"180018","万物复苏","剧情群体复活","","true","false","false","0","","","true","1","7","4127","0","","","","","1800180,1800181","0,0",,,"1",,,
"900001","攻法专精","攻击修炼","","false","false","false","0","","","true","1","10","1","0",,,,,"9000010","0",,,"1",,,
"900002","物抗专精","物防修炼","","false","false","false","0","","","true","1","10","1","0",,,,,"9000020","0",,,"1",,,
"900003","法抗专精","魔防修炼","","false","false","false","0","","","true","1","10","1","0",,,,,"9000030","0",,,"1",,,
"900004","守护专精","抗控修炼","","false","false","false","0","","","true","1","10","1","0",,,,,"9000040","0",,,"1",,,
"180019","阿迦玛甘之佑","剧情多体无伤害技能","","true","false","false","0","",,"true","1","7","4127","0",,,,,"1800190","0",,,"1","",,
"180020","阿迦玛甘之力","剧情单体全血恢复","","true","false","false","0","",,"true","1","5","4127","0",,,,,"1800200","0",,,"1","",,
"180021","阿迦玛甘之怒","使用后，获得物理伤害、法术伤害加成","","true","false","false","0","",,"true","1","7","4127","0",,,,,"1800210","0",,,"1","",,
"180022","超电磁炮","剧情多体伤害技能","","true","false","false","0","",,"true","1","4","480","0",,,,,"1800220","0",,,"1","1",,
"180023","落雷","剧情多体伤害技能","","true","false","false","0","",,"true","1","4","480","0",,,,,"1800230","0",,,"1","1",,
"180024","暴风雪","剧情多体秒4伤害技能","","true","false","false","0","",,"true","1","4","480","0",,,,,"1800240","0",,,"1","1",,
