"ID","字符串","策划备注"
"11176","<T t=""1、禁言""></T><B/><T t=""   公会管理中会长、副会长和军团长有禁言和解除禁言权限，被禁言的成员   将无法在公会频道发言""></T><T t=""2小时后""c=""ff17d604""></T><T t=""禁言将自动解除。""></T><B/><T t=""2、公会贡献""></T><B/><T t=""   学习公会技能需要消耗一定数额的公会贡献，同时公会修炼会对历史贡献   （你在当前公会所获得的公会贡献总数）有一定的要求。公会贡献通过完   成""></T><T t=""公会任务""，c=""ff17d604""></T><T t=""或者参与一些与公会相关的""></T><T t=""团体活动""c=""ff17d604""></T><T t=""来获得，例如公会竞赛，   公会副本，公会援助等。""></T><B/><T t=""3、冻结公会贡献""></T><B/><T t=""   你退出公会时未消耗的公会贡献将冻结50%，公会解散时未消耗公会贡献    将全部冻结。如果未加入其他公会的情况下重新加入原公会将恢复原有公   会贡献和历史公会贡献。被冻结的公会贡献在进入新的公会3天后获得,公   会贡献将在获取时1:1返还。你当前被冻结的公会贡献为""></T><T t=""$parameter1$""c=""ff17d604""></T><B/><T t=""4、援助""></T><B/><T t=""   帮助本公会成员完成""></T><T t=""30级以上""c=""ff17d604""></T><T t=""主线、支线剧情战斗任务，可增加援助次数   ，并且获得丰厚奖励。""></T><B/><T t=""   玩家离开公会时，援助次数将清零。""></T>","公会成员列表界面说明"
"11177","<T t=""该物品已经领取"" c=""ffe22626""></T>","签到文本"
"11178","<T t=""领取要求:累计签到还需要$parameter1$天"" c=""ff00ff00""></T>","签到文本"
"11179","未开启","技能界面文字显示"
"11180","所有技能达到$parameter1$级","技能界面绝技解锁文本"
"11181","$parameter1$达到$parameter2$级","技能界面普通技能解锁文本"
"11182","回合","战斗中BUFF显示文本"
"11183","普通攻击","战斗中指令显示文本"
"11184","保护","战斗中指令显示文本"
"11185","捕捉","战斗中指令显示文本"
"11190","生命","技能TIPS属性"
"11191","魔法","技能TIPS属性"
"11192","怒气","技能TIPS属性"
"11193","价格","拍卖菜单"
"11194","关注","拍卖菜单"
"11195","职业榜",
"11196","重新上架",
"11197","取回",
"11198","已过期",
"11199","下架",
"11200","当\n前","任务"
"11201","可\n接","任务"
"11202","<T t=""在"" c=""fffff2df""></T><T t=""$MapName$"" c=""ff00ff00""></T><T t=""击杀怪物有概率获得任务物品，剩余时间为"" c=""fffff2df""></T><T t=""$time$"" c=""fffff2df""></T>","任务传说提示"
"11203","$parameter1$级礼包","升级大礼包"
"11204","榜外","排行榜"
"11205","使用$parameter1$符石任性",
"11206","使用$parameter1$声望任性",
"11209","出战状态不能提交",
"11216","<T t=""精通:优先使用"" c=""fffcff00""></T>","伙伴技能"
"11231","信\n息","公会成员列表"
"11232","成\n员","公会成员列表"
"11233","福\n利","公会成员列表"
"11234","活\n动","公会成员列表"
"11235","双倍点数:$parameter1$","挂机提示"
"11236","已领取:$parameter1$","挂机提示"
"11237","$parameter1$级$parameter2$","公会升级界面"
"11238","需要金库、药房、旅馆等级总和达到$parameter1$级","公会升级界面"
"11239","<T t=""1、公会等级决定其他建筑等级上限，决定公会专精等级上限""c=""ff693f00""></T><B/><T t=""2、推荐优先升级""c=""ff693f00""></T>","公会大厅描述"
"11240","<T t=""1、公会金库升级可使公会任务获得的公会分红增加""c=""ff693f00""></T><B/><T t=""2、公会初始提供1000万公会资金上限""c=""ff693f00""></T><B/><T t=""3、每级金库额外增加1500万公会资金上限""c=""ff693f00""></T>","公会金库描述"
"11241","<T t=""1、公会药房升级会影响药房药品的种类和产出数量""c=""ff693f00""></T><B/><T t=""2、1级药房每次刷新药材4个，之后每级增加3个""c=""ff693f00""></T><B/><T t=""3、当公会等级低于药房等级时，药房产药数量根据公会等级而产出""c=""ff693f00""></T>","公会药房描述"
"11242","<T t=""1、公会旅馆可以增加公会人数上限""c=""ff693f00""></T><B/><T t=""2、公会初始容纳100人，每级旅馆增加30个人数上限""c=""ff693f00""></T>","公会旅馆描述"
"11243","公会",
"11244","金库",
"11245","药房",
"11246","旅馆",
"11247","需要公会等级达到$parameter1$级","公会建筑升级条件"
"11249","未通过",
"11250","已通过$parameter1$次",
"11251","已通过",
"11252","本周开启",
"11253","下周开启",
"11254","普通组队循环副本，每日首次通关副本可获得丰厚的奖励，再次通关副本可获得声望奖励。\n每日00:00刷新",
"11255","精英组队循环副本，每周首次通关副本可获得丰厚的奖励，再次通关副本可获得声望奖励。\n每周一00:00刷新",
"11256","下下周开启",
"11258","专精等级上限说明","修炼等级上限说明"
"11259","<T t=""公会等级影响:""></T><B/><T t=""  1级公会专精等级上限为10。"" ></T><B/><T t=""  2级公会专精等级上限为15。""></T><B/><T t=""  3级及以上公会专精等级上限为20(最高)。""></T><B/><T t=""  当前上限为:$parameter1$"" c=""$color1$""></T><B/><B/><T t=""人物等级影响:""></T><B/><T t=""  45级开启人物专精，55级开启宠物专精。""></T><B/><T t=""  45/50/55/60/65级专精上限分别为1/2/4/8/12。""></T><B/><T t=""  65级之后人物每升5级，专精等级上限提升2。""></T><B/><T t=""  85级以后专精等级上限为20。""></T><B/><T t=""  当前上限为:$parameter2$""  c=""$color2$""></T><B/><B/><T t=""历史贡献影响:""></T><B/><T t=""  上限不高于（历史贡献/150）+5级。""></T><B/><T t=""  您在本公会的历史贡献为$parameter3$点。""></T><B/><T t=""  当前上限为:$parameter4$"" c=""$color4$""></T><B/><T t="" ""></T><B/><T t=""综合得出当前专精等级上限为:$parameter5$"" c=""$color5$""></T>","修炼说明"
"11260","副本已完成","修炼说明"
"11261","光环已开启",
"11262","光环未开启","兑换银币说明"
"11263","我的符石",
"11264","重连失败，请重新登陆",
"11265","$parameter1$天","加入公会天数显示"
"11266","刚刚","加入公会天数显示"
"11267","我的金币","兑换银币说明"
"11268","重试",
"11269","打造：",
"11274","20(最高)","修炼说明"
"11275","公会曾用名:$parameter1$","公会曾用名"
"11277","声望值","兑换商店"
"11278","荣誉值","兑换商店"
"11281","<T t='今日已经购买' c='FF845C33'/><T t='num' c='FF00FF00'/><T t='个，每日限制购买' c='FF845C33'/><T t='limit' c='FF00FF00'/><T t='个。' c='FF845C33'/>","兑换商店"
"11283","公会奖金说明","公会界面TIP标题"
"11284","关于公会学徒","公会界面TIP标题"
"11285","界面说明","公会界面TIP标题"
"11286","临时",
"11287","有效期至",
"11288","剩余",
"11289","公会领地","公会地图名称"
"11290","无公会","公会界面提示"
"11291","无法普通修理",
"11292","$parameter1$/天","公会维护费用提示"
"11293","禁言","公会成员菜单显示"
"11294","解除禁言","公会成员菜单显示"
"11295","[colour='ff693f00']你确定要将[colour='ff06cc11']$parameter1$[colour='ff693f00']禁言吗？","公会禁言提示"
"11296","[colour='ff693f00']你确定要对[colour='ff06cc11']$parameter1$[colour='ff693f00']解除禁言吗？","公会解除禁言提示"
"11298","品质：","道具品质显示"
"11299","分解",
"11300","<T t=""1.日常副本：带小于自己10级以上的玩家进行日常副本，可获得声望奖励.""></T><B/><T t=""2.精英副本：自己的精英副本已经处于CD状态（即获得奖励的次数用完）,帮助其他队友通关副本，可获得声望奖励.""></T><B/><T t=""3.帮助剧情战斗：帮助其他玩家完成30级以上的剧情任务的战斗，且援助者不低于队长5级，可获得声望奖励.""></T><B/><T t=""4.援助声望统计记录每周重置一次，玩家可以继续通过援助行为获得声望奖励.""></T>",
"11301","<T t=""1.援助主线任务：帮助其他玩家完成30级以上的剧情任务的战斗，且援助者不低于队长5级，可获得经验奖励.""></T><B/><T t=""2,援助经验统计记录每日重置一次，玩家可以继续通过援助行为获得经验奖励.""></T>",
"11302","<T t=""1.帮助同公会成员完成30级以上的剧情任务的战斗，且援助者不低于队长5级,可获得公会贡献和声望奖励.""></T><B/><T t=""2,援助公会贡献统计记录每周重置一次，玩家可以继续通过援助行为获得公会贡献奖励.""></T>",
"11303","指\n引",
"11304","成\n就",
"11305","秘\n籍",
"11306","<R t=""[申请加入]"" leaderid=""$leaderid$"" c=""ff02972c"" />",
"11308","[colour='ff693f00']你确定要取消[colour='ff06cc11']$parameter1$[colour='ff693f00']公会的入会申请吗？ ","公会取消操作提示"
"11309","读取中...","拍卖"
"11310","你的网络不给力啊，快去检查一下吧！","创建角色时断网提示"
"11311","获取服务器列表失败，请确认网络顺畅后重试","选择服务器界面断网提示"
"11312","声望说明",
"11313","经验说明",
"11314","公会贡献说明",
"11316","精英组","竞技场分组"
"11317","神威组","竞技场分组"
"11318","王者组","竞技场分组"
"11319","公会药房说明","公会药房TIP说明"
"11320","<T t=""1、每人每天限制购买100个""></T><B/><B/><T t=""2、公会等级决定每次刷新药品的个数。""></T><B/><B/><T t=""3、当前药房等级：""></T><T t=""$parameter1$"" c=""ff02972c""></T><B/><B/><T t=""4、每种药品每次刷新数量：""></T><T t=""$parameter2$"" c=""ff02972c""></T><B/><B/><T t=""5、每次购买操作只能购买一个药材。""></T><B/><B/><T t=""6、双倍产药每次刷新出4种药品，每次刷新消耗""></T><T t=""$parameter3$"" c=""ff02972c""></T><T t=""万公会资金。消耗资金与药房等级相关，当公会资金不足800万时，此功能失效。""></T><B/><B/><T t=""7、三倍产药每次刷新出6种药品，每次刷新消耗""></T><T t=""$parameter4$"" c=""ff02972c""></T><T t=""万公会资金。消耗资金与药房等级相关，当公会资金不足1000万时，此功能失效。""></T>","公会药房描述"
"11321","筛选中，请稍后...",
"11322","回$parameter1$","回职业描述"
"11323","<T t='$parameter1$' c='ff02972c'/><T t='请求一张' c='FF693F00'/><T t='$parameter2$' c='FF693F00'/>","公会符文捐赠提示"
"11324","<T t='$parameter1$' c='ff02972c'/><T t='向'  c='FF693F00'/><T t='$parameter2$' c='ff02972c'/><T t='捐赠了一张' c='FF693F00'/><T t='$parameter3$' c='FF693F00'/>","公会符文捐赠提示"
"11325","隐藏称谓","称谓"
"11326","隐藏称谓,更能彰显我的低调","称谓描述"
"11327","无限次","活动次数"
"11328","经验系统","描述"
"11329","<T t=""盈福经验""c=""FF06cc11""></T><B/><T t=""1、未完成的日常活动，日常任务所错过的经验，会按照一定的比例转换为盈福经验""></T><B/><T t=""2、在完成一些日常活动时，盈福经验会转换为人物经验""></T><B/><T t=""3、最多保留3000000盈福经验，达到上限后不能继续获得盈福经验""></T>","盈福经验描述"
"11330","Lv.","竞技场"
"11331","公会榜","排行榜"
"11332","公会副本竞速","排行榜"
"11333","$parameter1$分钟前","公会符文捐赠提示"
"11334","[colour='ff693f00']你是否将产药模式切换为[colour='ff06cc11']$parameter1$[colour='ff693f00']倍产药？每次刷新会消耗[colour='ff06cc11']$parameter2$[colour='ff693f00']万公会资金。 ","公会药房刷新提示"
"11337","开始匹配",
"11339","冰封王座",
"11340","[colour='ff693f00']切换为正常产药后每次刷新不会消耗公会资金，但最多产出2种药材。 ","公会正常产药提示"
"11341","连击点:   $parameter1$/5","竞技场奖励"
"11342","首胜奖励","竞技场奖励"
"11343","十战奖励","竞技场奖励"
"11344","五胜奖励","竞技场奖励"
"11345","五战奖励","竞技场奖励"
"11346","暂未打符","公会符文请求提示"
"11348","<T t='$parameter1$' c='FF693F00'/><T t='级 ' c='FF693F00'/><T t='捐符数：' c='FF693F00'/><T t='$parameter2$' c='FF693F00'/><T t=' 收符数：' c='FF693F00'/><T t='$parameter3$' c='FF693F00'/><T t='（' c='FF693F00'/><T t='$parameter4$' c='FF693F00'/><T t='分钟前）' c='FF693F00'/>","公会符文捐赠对象信息"
"11349","适合角色：$parameter$","武器tips"
"11350","<T t=""已绑定不可交易""c=""FFD21207""></T>","装备tips"
"11351","匹配中...",
"11352","职业贡献","积分兑换"
"11353","竞技场","竞技场活动名称"
"11354","3v3竞技场","竞技场活动名称"
"11356","竞技场拉人","竞技场拉人"
"11357","3v3竞技场拉人","3v3竞技场拉人"
"11359","职业贡献积分不足,不能兑换","职业贡献消耗"
"11360","$parameter1$-本日排行","冰封王座"
"11361","第","答题文字"
"11362","题","答题文字"
"11363","角斗场上暂时找不到单人对手哦","角斗场文字"
"11364","角斗场上暂时找不到可以观看的战斗","角斗场文字"
"11365","单人","角斗场文字"
"11366","染色方案$parameter1$","染色文本"
"11367","<T t=""拍卖出售冷冻期："" c=""FFff2e2e""></T><T t=""$parameter1$"" c=""FFff2e2e""></T>","拍卖冷冻期tips显示文本"
"11368","当前服务器人数已满","服务器人数已满提示"
"11369","正常","公会药房刷新提示"
"11371","$parameter1$小时","公会成员加入时间"
"11374","角斗场上暂时找不到组队对手哦","切磋提示"
"11375","查看装备","角色菜单"
"11376","菊爆大队","剧情列表分类显示"
"11377","已使用当前符文","公会符文请求提示"
"11378","战 士",
"11379","圣 骑",
"11380","猎 人",
"11381","德鲁伊",
"11382","法 师",
"11383","牧 师",
"11384","萨 满",
"11385","盗 贼",
"11386","术 士",
"11387","全 部",
"11389","活动剩余时间:",
"11390","开启剩余时间:",
"11391","暂时没有好友在线","邀请好友界面显示"
"11392","暂时没有成员在线","邀请公会成员界面显示"
"11393","骑乘","坐骑"
"11394","休息","坐骑"
"11395","<T t=""宠物评分为您当前等级可出战的$parameter1$只宠物最高评分相加的总和.""></T>","宠物评分"
"11396","宠物评分","宠物评分"
"11397","检测到游戏内容有更新，请退出后重新打开游戏","版本更新"
"11398","本装备无法镶嵌任何宝石","无法镶嵌宝石的装备的显示"
"11399","无限","buff回合"
"11400","变异",
"11401","非变异",
"11402","角色","染色"
"11403","衣橱","染色"
"11404","宠物","染色"
"11405","欢迎来到智慧试炼的世界~~~~","智慧试炼"
"11406","智慧试炼1","智慧试炼"
"11407","智慧试炼2","智慧试炼"
"11408","智慧试炼3","智慧试炼"
"11409","朋\n友\n圈",
"11410","留\n言\n板",
"11411","状\n态",
"11412","智慧试炼1已经开始，您是否参加？","智慧试炼"
"11413","智慧试炼2已经开始，您是否参加？","智慧试炼"
"11414","智慧试炼3已经开始，您是否参加？","智慧试炼"
