"id","名称","物品id1","物品id1权重","物品id2","物品id2权重","物品id3","物品id3权重","物品id4","物品id4权重","物品id5","物品id5权重","物品id6","物品id6权重","物品id7","物品id7权重","物品id8","物品id8权重","物品id9","物品id9权重","物品id10","物品id10权重","物品id11","物品id11权重","物品id12","物品id12权重","物品id13","物品id13权重","物品id14","物品id14权重","物品id15","物品id15权重","物品id16","物品id16权重","物品id17","物品id17权重","物品id18","物品id18权重","物品id19","物品id19权重","物品id20","物品id20权重","物品id21","物品id21权重","物品id22","物品id22权重","物品id23","物品id23权重","物品id24","物品id24权重","物品id25","物品id25权重","物品id26","物品id26权重","物品id27","物品id27权重","物品id28","物品id28权重","物品id29","物品id29权重","物品id30","物品id30权重","物品id31","物品id31权重","物品id32","物品id32权重","物品id33","物品id33权重","物品id34","物品id34权重","物品id35","物品id35权重","物品id36","物品id36权重","物品id37","物品id37权重","物品id38","物品id38权重","物品id39","物品id39权重","物品id40","物品id40权重","物品id41","物品id41权重","物品id42","物品id42权重","物品id43","物品id43权重","物品id44","物品id44权重","物品id45","物品id45权重","物品id46","物品id46权重","物品id47","物品id47权重","物品id48","物品id48权重","物品id49","物品id49权重","物品id50","物品id50权重","物品id51","物品id51权重","物品id52","物品id52权重","物品id53","物品id53权重","物品id54","物品id54权重","物品id55","物品id55权重","物品id56","物品id56权重"
"200011","一级宝石奖励","35001","100","35002","100","35003","100","35004","100","35005","100","35006","100","35007","100","35008","100","35009","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200012","二级宝石奖励","35010","100","35011","100","35012","100","35013","100","35014","100","35015","100","35016","100","35017","100","35018","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200013","三级宝石奖励","35019","100","35020","100","35021","100","35022","100","35023","100","35024","100","35025","100","35026","100","35027","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200014","魔宠秘籍","311001","100","311002","100","311003","100","311004","100","311005","100","311006","100","311007","100","311008","100","311009","100","311010","100","311011","100","311012","100","311013","100","311014","100","311015","100","311016","100","311017","100","311018","100","311019","100","311020","100","311021","100","311022","100","311023","100","311024","100","311025","100","311026","100","311027","100","311028","100","311029","100","311030","100","311031","100","311032","100","311033","100","311034","100","311035","100","311036","100","311037","100","311075","100","311076","100","311077","100","311078","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200015","高级魔宠秘籍","311038","100","311039","100","311040","100","311041","100","311042","100","311043","100","311044","100","311045","100","311046","100","311047","100","311048","100","311049","100","311050","100","311051","100","311052","100","311053","100","311054","100","311055","100","311056","100","311057","100","311058","100","311059","100","311060","100","311061","100","311062","100","311063","100","311064","100","311065","100","311066","100","311067","100","311068","100","311069","100","311070","100","311071","100","311072","100","311073","100","311074","100","311079","100","311080","100","311081","100","311082","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200016","远古宝藏宝箱","331350","20","331351","20","331352","50","331353","100","331354","100",,"",,"",,"",,"",,"",,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200017","40级蓝装库","6040101","50","6040102","50","6040103","50","6040104","50","6040105","50","6040106","50","6040207","100","6040208","100","6040309","100","6040310","100","6040411","100","6040512","100","6040613","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200018","50级蓝装库","6050101","50","6050102","50","6050103","50","6050104","50","6050105","50","6050106","50","6050207","100","6050208","100","6050309","100","6050310","100","6050411","100","6050512","100","6050613","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200019","60级蓝装库","6060101","50","6060102","50","6060103","50","6060104","50","6060105","50","6060106","50","6060207","100","6060208","100","6060309","100","6060310","100","6060411","100","6060512","100","6060613","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200020","40级紫装库","7040101","50","7040102","50","7040103","50","7040104","50","7040105","50","7040106","50","7040207","100","7040208","100","7040309","100","7040310","100","7040411","100","7040512","100","7040613","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200021","50级紫装库","7050101","50","7050102","50","7050103","50","7050104","50","7050105","50","7050106","50","7050207","100","7050208","100","7050309","100","7050310","100","7050411","100","7050512","100","7050613","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200022","60级紫装库","7060101","50","7060102","50","7060103","50","7060104","50","7060105","50","7060106","50","7060207","100","7060208","100","7060309","100","7060310","100","7060411","100","7060512","100","7060613","100",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200023","二级药库","320150","100","320151","100","320152","100","320153","100",,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200024","公会二级药库","320154","100","320155","100","320156","100","320157","100",,"",,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200025","40-50蓝装混合库","6040101","35","6040102","35","6040103","35","6040104","35","6040105","35","6040106","35","6040207","70","6040208","70","6040309","70","6040310","70","6040411","70","6040512","70","6040613","70","6050101","15","6050102","15","6050103","15","6050104","15","6050105","15","6050106","15","6050207","30","6050208","30","6050309","30","6050310","30","6050411","30","6050512","30","6050613","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200026","40-50紫装混合库A","7040101","50","7040102","50","7040103","50","7040104","50","7040105","50","7040106","50","7040207","100","7040208","100","7040309","100","7040310","100","7040411","100","7040512","100","7040613","100","7050101","10","7050102","10","7050103","10","7050104","10","7050105","10","7050106","10","7050207","20","7050208","20","7050309","20","7050310","20","7050411","20","7050512","20","7050613","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200027","40-50紫装混合库B","7040101","50","7040102","50","7040103","50","7040104","50","7040105","50","7040106","50","7040207","100","7040208","100","7040309","100","7040310","100","7040411","100","7040512","100","7040613","100","7050101","15","7050102","15","7050103","15","7050104","15","7050105","15","7050106","15","7050207","30","7050208","30","7050309","30","7050310","30","7050411","30","7050512","30","7050613","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200028","40-50-60蓝装混合库","6040101","30","6040102","30","6040103","30","6040104","30","6040105","30","6040106","30","6040207","60","6040208","60","6040309","60","6040310","60","6040411","60","6040512","60","6040613","60","6050101","30","6050102","30","6050103","30","6050104","30","6050105","30","6050106","30","6050207","60","6050208","60","6050309","60","6050310","60","6050411","60","6050512","60","6050613","60","6060101","5","6060102","5","6060103","5","6060104","5","6060105","5","6060106","5","6060207","10","6060208","10","6060309","10","6060310","10","6060411","10","6060512","10","6060613","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200029","40-50-60紫装混合库","7040101","20","7040102","20","7040103","20","7040104","20","7040105","20","7040106","20","7040207","40","7040208","40","7040309","40","7040310","40","7040411","40","7040512","40","7040613","40","7050101","15","7050102","15","7050103","15","7050104","15","7050105","15","7050106","15","7050207","30","7050208","30","7050309","30","7050310","30","7050411","30","7050512","30","7050613","30","7060101","2","7060102","2","7060103","2","7060104","2","7060105","2","7060106","2","7060207","4","7060208","4","7060309","4","7060310","4","7060411","4","7060512","4","7060613","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200030","50-60蓝装混合库","6050101","30","6050102","30","6050103","30","6050104","30","6050105","30","6050106","30","6050207","60","6050208","60","6050309","60","6050310","60","6050411","60","6050512","60","6050613","60","6060101","10","6060102","10","6060103","10","6060104","10","6060105","10","6060106","10","6060207","20","6060208","20","6060309","20","6060310","20","6060411","20","6060512","20","6060613","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200031","50-60紫装混合库","7050101","15","7050102","15","7050103","15","7050104","15","7050105","15","7050106","15","7050207","30","7050208","30","7050309","30","7050310","30","7050411","30","7050512","30","7050613","30","7060101","5","7060102","5","7060103","5","7060104","5","7060105","5","7060106","5","7060207","10","7060208","10","7060309","10","7060310","10","7060411","10","7060512","10","7060613","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200032","40-50精铁库","341104","50","341105","50",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200033","50-60-70精铁库","341105","50","341106","50","341107","10","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200034","40级环装库","4040101","80","4040102","80","4040103","80","4040104","80","4040105","80","4040106","80","4040207","80","4040208","80","4040309","80","4040310","80","4040411","80","4040512","80","4040613","80","5040101","20","5040102","20","5040103","20","5040104","20","5040105","20","5040106","20","5040207","20","5040208","20","5040309","20","5040310","20","5040411","20","5040512","20","5040613","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200035","50级环装库","4050101","80","4050102","80","4050103","80","4050104","80","4050105","80","4050106","80","4050207","80","4050208","80","4050309","80","4050310","80","4050411","80","4050512","80","4050613","80","5050101","20","5050102","20","5050103","20","5050104","20","5050105","20","5050106","20","5050207","20","5050208","20","5050309","20","5050310","20","5050411","20","5050512","20","5050613","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200036","60级环装库","4060101","80","4060102","80","4060103","80","4060104","80","4060105","80","4060106","80","4060207","80","4060208","80","4060309","80","4060310","80","4060411","80","4060512","80","4060613","80","5060101","20","5060102","20","5060103","20","5060104","20","5060105","20","5060106","20","5060207","20","5060208","20","5060309","20","5060310","20","5060411","20","5060512","20","5060613","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200037","10-20-30精铁库","341101","20","341102","20","341103","20","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200038","30-40精铁库","341103","50","341104","50",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200039","30-40-50精铁库","341103","50","341104","50","341105","50","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200040","40-50-60精铁库","341104","50","341105","50","341106","50","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200041","50-60精铁库","341105","50","341106","50",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200042","10-20-30制作书","350100","50","350101","50","350102","50","350103","50","350104","50","350105","50","350106","50","350107","50","350108","50","350109","50","350110","50","350111","50","350112","50","350200","50","350201","50","350202","50","350203","50","350204","50","350205","50","350206","50","350207","50","350208","50","350209","50","350210","50","350211","50","350212","50","350300","50","350301","50","350302","50","350303","50","350304","50","350305","50","350306","50","350307","50","350308","50","350309","50","350310","50","350311","50","350312","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200043","30-40制作书","350300","50","350301","50","350302","50","350303","50","350304","50","350305","50","350306","50","350307","50","350308","50","350309","50","350310","50","350311","50","350312","50","350400","50","350401","50","350402","50","350403","50","350404","50","350405","50","350406","50","350407","50","350408","50","350409","50","350410","50","350411","50","350412","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200044","30-40-50制作书","350300","50","350301","50","350302","50","350303","50","350304","50","350305","50","350306","50","350307","50","350308","50","350309","50","350310","50","350311","50","350312","50","350400","50","350401","50","350402","50","350403","50","350404","50","350405","50","350406","50","350407","50","350408","50","350409","50","350410","50","350411","50","350412","50","350500","50","350501","50","350502","50","350503","50","350504","50","350505","50","350506","50","350507","50","350508","50","350509","50","350510","50","350511","50","350512","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200045","40-50-60制作书","350400","50","350401","50","350402","50","350403","50","350404","50","350405","50","350406","50","350407","50","350408","50","350409","50","350410","50","350411","50","350412","50","350500","50","350501","50","350502","50","350503","50","350504","50","350505","50","350506","50","350507","50","350508","50","350509","50","350510","50","350511","50","350512","50","350600","50","350601","50","350602","50","350603","50","350604","50","350605","50","350606","50","350607","50","350608","50","350609","50","350610","50","350611","50","350612","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200046","50-60制作书","350500","50","350501","50","350502","50","350503","50","350504","50","350505","50","350506","50","350507","50","350508","50","350509","50","350510","50","350511","50","350512","50","350600","50","350601","50","350602","50","350603","50","350604","50","350605","50","350606","50","350607","50","350608","50","350609","50","350610","50","350611","50","350612","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200047","40-50环装库","4040101","80","4040102","80","4040103","80","4040104","80","4040105","80","4040106","80","4040207","80","4040208","80","4040309","80","4040310","80","4040411","80","4040512","80","4040613","80","5040101","20","5040102","20","5040103","20","5040104","20","5040105","20","5040106","20","5040207","20","5040208","20","5040309","20","5040310","20","5040411","20","5040512","20","5040613","20","4050101","80","4050102","80","4050103","80","4050104","80","4050105","80","4050106","80","4050207","80","4050208","80","4050309","80","4050310","80","4050411","80","4050512","80","4050613","80","5050101","20","5050102","20","5050103","20","5050104","20","5050105","20","5050106","20","5050207","20","5050208","20","5050309","20","5050310","20","5050411","20","5050512","20","5050613","20",,,,,,,,
"200048","50-60环装库","4050101","80","4050102","80","4050103","80","4050104","80","4050105","80","4050106","80","4050207","80","4050208","80","4050309","80","4050310","80","4050411","80","4050512","80","4050613","80","5050101","20","5050102","20","5050103","20","5050104","20","5050105","20","5050106","20","5050207","20","5050208","20","5050309","20","5050310","20","5050411","20","5050512","20","5050613","20","4060101","80","4060102","80","4060103","80","4060104","80","4060105","80","4060106","80","4060207","80","4060208","80","4060309","80","4060310","80","4060411","80","4060512","80","4060613","80","5060101","20","5060102","20","5060103","20","5060104","20","5060105","20","5060106","20","5060207","20","5060208","20","5060309","20","5060310","20","5060411","20","5060512","20","5060613","20",,,,,,,,
"200049","光环库","360001","50","360002","50","360003","50","360004","50","360005","50","360006","50","360007","50","360008","50","360009","50","360010","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200050","时读星读库","334100","50","334101","50",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200051","强化石库","40008","50","40009","50","40010","50","40011","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200052","光环箱子","360001","50","360002","50","360003","50","360004","50","360005","50","360006","50","360007","50","360008","50","360009","50","360010","50",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,"",,""
"200053","冠军试炼宝箱","331350","200","331351","200","311001","100","311002","100","311006","100","311007","100","331301","200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200054","冰封王座宝箱","331350","20","331351","20","331352","80","331353","80","331354","80","311002","50","311012","50","311001","50","311038","5","311039","5","311040","5","311041","5","311042","5","311043","5","311044","5","311045","5","311046","5","311047","5","311048","5","311049","5","311050","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200055","冠军试炼普通掉落","320150","60","320151","60","320152","60","320153","60","320154","60","320155","60","320156","60","320157","60","35001","50","35002","50","35003","50","35004","50","35005","50","35006","50","35007","50","35008","50","35009","50","331352","25","331353","25","331354","25","331350","5","331351","5","331300","50","311001","3","311002","3","311003","5","311004","5","311005","3","311006","3","311007","3","311008","5","311009","3","311010","5","311011","5","311012","5","311013","5","311014","5","311015","5","311016","5","311017","5","311018","5","311019","5","311020","5","311021","5","311022","5","311023","5","311024","5","311025","5","311026","5","311027","5","311028","5","311029","5","311030","5","311031","5","311032","5","311033","5"
"200056","亚龙奖励","32037","60","32038","60","360000","30","35001","10","35002","10","35003","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200057","巨龙奖励","360000","40","331300","50","35004","20","35005","20","331354","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200058","巨龙精英奖励","360000","40","331300","50","35004","20","35005","20","331354","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200059","冠军试炼宝箱","331350","150","331351","150","311003","150","311004","150","311008","150","311009","150","331301","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200060","冠军试炼宝箱","331350","100","331351","100","311002","100","311005","250","311007","100","311010","250","331301","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"220000","冰封王座宝箱","311001","100","311002","100","311003","100","311004","100","311005","100","311006","100","311007","100","311008","100","311009","100","311010","100","311011","100","311012","100","311013","100","311014","100","311015","100","311016","100","311017","100","311018","100","311019","100","311020","100","311021","100","311022","100","311023","100","311024","100","311025","100","311026","100","311027","100","311028","100","311029","100","311030","100","311031","100","311032","100","311033","100","311034","100","311035","100","311036","100","311037","100","311075","100","311076","100","311077","100","311078","100","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,
"220001","冰封王座宝箱","40008","100","40009","100","40010","100","40011","100","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200061","小血瓶蓝瓶库","32037","100","32038","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200062","大血瓶蓝瓶库","32014","100","32015","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"200063","一级药库","320150","100","320151","100","320152","100","320153","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
