"序号","活动ID","服务器id","开启时间","开始时间显示","开启时间2","结束时间","是否提醒","活动实际推迟时间","提前提醒时间","周循环活动","活动名"
"211002","211","0","20:25:00","211002","20:30:00","21:10:00","1","0","5","4","1v1竞技场"
"211003","211","0","20:25:00","211003","20:30:00","21:10:00","1","0","5","6","1v1竞技场"
"213001","213","0","11:00:00","213001","11:00:00","23:59:59","1","0","0","1","答题"
"213002","213","0","11:00:00","213002","11:00:00","23:59:59","1","0","0","2","答题"
"213003","213","0","11:00:00","213003","11:00:00","23:59:59","1","0","0","3","答题"
"213004","213","0","11:00:00","213004","11:00:00","23:59:59","1","0","0","4","答题"
"213005","213","0","11:00:00","213005","11:00:00","23:59:59","1","0","0","5","答题"
"213006","213","0","11:00:00","213006","11:00:00","23:59:59","1","0","0","6","答题"
"213007","213","0","11:00:00","213007","11:00:00","23:59:59","1","0","0","7","答题"
"214001","214","0","17:00:00","214001","17:00:00","23:59:59","1","0","0","1","智慧试炼1"
"214002","214","0","17:00:00","214002","17:00:00","23:59:59","1","0","0","2","智慧试炼1"
"214003","214","0","17:00:00","214003","17:00:00","23:59:59","1","0","0","3","智慧试炼1"
"214004","214","0","17:00:00","214004","17:00:00","23:59:59","1","0","0","4","智慧试炼1"
"214005","214","0","17:00:00","214005","17:00:00","23:59:59","1","0","0","5","智慧试炼1"
"215001","215","0","17:00:00","215001","17:00:00","20:59:59","1","0","0","6","智慧试炼2"
"216001","216","0","17:00:00","216001","17:00:00","20:59:59","1","0","0","6","智慧试炼3"
"217001","217","0","00:00:00","217001","00:00:00","23:59:59","1","0","0","1","冲级活动"
"217002","217","0","00:00:00","217002","00:00:00","23:59:59","1","0","0","2","冲级活动"
"217003","217","0","00:00:00","217003","00:00:00","23:59:59","1","0","0","3","冲级活动"
"217004","217","0","00:00:00","217004","00:00:00","23:59:59","1","0","0","4","冲级活动"
"217005","217","0","00:00:00","217005","00:00:00","23:59:59","1","0","0","5","冲级活动"
"217006","217","0","00:00:00","217006","00:00:00","23:59:59","1","0","0","6","冲级活动"
"217007","217","0","00:00:00","217007","00:00:00","23:59:59","1","0","0","7","冲级活动"
"218001","218","0","21:25:00","218001","21:25:00","22:30:00","1","0","0","2","熔火之心"
"218002","218","0","21:25:00","218002","21:25:00","22:30:00","1","0","0","4","熔火之心"
"218003","218","0","21:25:00","218003","21:25:00","22:30:00","1","0","0","6","熔火之心"
"218004","219","0","21:25:00","218004","21:25:00","22:30:00","1","0","0","2","纳克萨玛斯"
"218005","219","0","21:25:00","218005","21:25:00","22:30:00","1","0","0","4","纳克萨玛斯"
"218006","219","0","21:25:00","218006","21:25:00","22:30:00","1","0","0","6","纳克萨玛斯"
"220001","220","0","00:00:00","220001","00:00:00","23:59:59","1","0","0","1","公会副本竞速赛"
"220002","220","0","00:00:00","220002","00:00:00","23:59:59","1","0","0","2","公会副本竞速赛"
"220003","220","0","00:00:00","220003","00:00:00","23:59:59","1","0","0","3","公会副本竞速赛"
"220004","220","0","00:00:00","220004","00:00:00","23:59:59","1","0","0","4","公会副本竞速赛"
"220005","220","0","00:00:00","220005","00:00:00","23:59:59","1","0","0","5","公会副本竞速赛"
"220006","220","0","00:00:00","220006","00:00:00","23:59:59","1","0","0","6","公会副本竞速赛"
"220007","220","0","00:00:00","220007","00:00:00","23:59:59","1","0","0","7","公会副本竞速赛"
"221001","221","0","00:00:00","221001","00:00:00","23:59:59","1","0","0","1","全民来找茬"
"221002","221","0","00:00:00","221002","00:00:00","23:59:59","1","0","0","2","全民来找茬"
"221003","221","0","00:00:00","221003","00:00:00","23:59:59","1","0","0","3","全民来找茬"
"221004","221","0","00:00:00","221004","00:00:00","23:59:59","1","0","0","4","全民来找茬"
"221005","221","0","00:00:00","221005","00:00:00","23:59:59","1","0","0","5","全民来找茬"
"221006","221","0","00:00:00","221006","00:00:00","23:59:59","1","0","0","6","全民来找茬"
"221007","221","0","00:00:00","221007","00:00:00","23:59:59","1","0","0","7","全民来找茬"
"212001","212","0","21:25:00","212001","21:30:00","22:30:00","1","0","5","1","3v3竞技场"
"212002","212","0","21:25:00","212002","21:30:00","22:30:00","1","0","5","3","3v3竞技场"
"212003","212","0","21:25:00","212003","21:30:00","22:30:00","1","0","5","5","3v3竞技场"
"212004","212","0","21:25:00","212004","21:30:00","22:30:00","1","0","5","7","3v3竞技场"
"230001","230","0","09:59:59","230001","09:59:59","23:59:59","1","0","0","1","幸运转盘"
"230002","230","0","09:59:59","230002","09:59:59","23:59:59","1","0","0","2","幸运转盘"
"230003","230","0","09:59:59","230003","09:59:59","23:59:59","1","0","0","3","幸运转盘"
"230004","230","0","09:59:59","230004","09:59:59","23:59:59","1","0","0","4","幸运转盘"
"230005","230","0","09:59:59","230005","09:59:59","23:59:59","1","0","0","5","幸运转盘"
"230006","230","0","09:59:59","230006","09:59:59","23:59:59","1","0","0","6","幸运转盘"
"230007","230","0","09:59:59","230007","09:59:59","23:59:59","1","0","0","7","幸运转盘"
"231001","231","0","09:59:59","231001","09:59:59","23:59:59","1","0","0","1","幸运转盘"
"231002","231","0","09:59:59","231002","09:59:59","23:59:59","1","0","0","2","幸运转盘"
"231003","231","0","09:59:59","231003","09:59:59","23:59:59","1","0","0","3","幸运转盘"
"231004","231","0","09:59:59","231004","09:59:59","23:59:59","1","0","0","4","幸运转盘"
"231005","231","0","09:59:59","231005","09:59:59","23:59:59","1","0","0","5","幸运转盘"
"231006","231","0","09:59:59","231006","09:59:59","23:59:59","1","0","0","6","幸运转盘"
"231007","231","0","09:59:59","231007","09:59:59","23:59:59","1","0","0","7","幸运转盘"
