"序列","题","步骤","题目","选项1","选项1图","选项1小图","选项2","选项2图","选项2小图","选项3","选项3图","选项3小图","正确答案","正确奖励id","错误奖励id"
"31","29","0","《我叫MT》动漫中长相被傻馒称为葱头的是谁?","术士大妈","9038","30262","美屡","9011","30261","大小姐","9003","30242","1","5840","5850"
"32","30","0","《我叫MT》动漫中像灰太狼一样的好男人是谁?","神棍德","9041","30255","暗夜男","9000","30253","劣人","9007","30260","2","5840","5850"
"33","31","0","《我叫MT》中谁喜欢调戏暗夜男？","傻馒","9016","30245","沐丝","9012","30203","女德","9102","30305","3","5840","5850"
"34","32","0","《我叫MT》中美屡和谁是姐妹花？","傻馒","9016","30245","沐丝","9012","30203","大小姐","9003","30242","1","5840","5850"
"35","33","0","《我叫MT》中和美屡是一对的是？","哀木涕","9013","30244","呆贼","9004","30202","劣人","9007","30260","3","5840","5850"
"36","34","0","《我叫MT》四暗影中谁脑袋会反光？","落雁","9009","30308","沉鱼","9002","30205","闭月","9104","30307","1","5840","5850"
"37","35","0","《我叫MT》动漫中的话唠是谁？","沐丝","9012","30203","会长","9006","30243","傻馒","9016","30245","3","5840","5850"
"38","36","0","《我叫MT》动漫里面金钱控是谁？","哀木涕","9013","30244","暗夜男","9000","30253","血精灵","9001","30251","1","5840","5850"
"39","37","0","《我叫MT》劣人最早的好朋友是？","沐丝","9012","30203","呆贼","9004","30202","暗夜男","9000","30253","2","5840","5850"
"40","38","0","《我叫MT》中以下哪个人被称为最无耻的？","呆贼","9004","30202","沐丝","9012","30203","会长","9006","30243","3","5840","5850"
"41","39","0","《我叫MT》中以下主角中谁是光头？","沉鱼","9002","30205","落雁","9009","30308","闭月","9104","30307","2","5840","5850"
"42","40","0","《我叫MT》中以下人物谁最老实？","呆贼","9004","30202","神棍德","9041","30255","哀木涕","9013","30244","1","5840","5850"
"43","41","0","《我叫MT》动漫中最先叫MT哥哥的是？","傻馒","9016","30245","呆贼","9004","30202","沐丝","9012","30203","3","5840","5850"
"44","42","0","《我叫MT》中以下哪个是屌丝？","神棍德","9041","30255","劣人","9007","30260","呆贼","9004","30202","3","5840","5850"
"45","43","0","《我叫MT》中谁的奶量最足？","沐丝","9012","30203","傻馒","9016","30245","大小姐","9003","30242","1","5840","5850"
"46","44","0","《我叫MT》曾经要1个铜钱买一件假的银鳞胸甲的是谁？","呆贼","9004","30202","哀木涕","9013","30244","劣人","9007","30260","2","5840","5850"
"47","45","0","《我叫MT》中被称为小三的是谁？","羞花","9100","30303","傻馒","9016","30245","沐丝","9012","30203","3","5840","5850"
"48","46","0","《我叫MT》动漫中表面憨厚内心狂野的女兽人是？","术士大妈","9038","30262","傻馒","9016","30245","沐丝","9012","30203","1","5840","5850"
"49","47","0","《我叫MT》中菊爆大队是谁创建的？","哀木涕","9013","30244","劣人","9007","30260","会长","9006","30243","2","5840","5850"
"50","48","0","《我叫MT》动漫中被称为PVE小白的是？","傻馒","9016","30245","会长","9006","30243","劣人","9007","30260","2","5840","5850"
"51","49","0","《我叫MT》中痴情伴侣中劣人为谁神魂颠倒？","美屡","9011","30261","羞花","9100","30303","术士大妈","9038","30262","1","5840","5850"
"52","50","0","《我叫MT》中菊爆大队包括谁？","会长","9006","30243","哀木涕","9013","30244","大小姐","9003","30242","2","5840","5850"
"53","50","1","《我叫MT》中菊爆大队包括谁？","劣人","9007","30260","暗夜男","9000","30253","炮姐","9101","30304","1","5840","5850"
"54","50","2","《我叫MT》中菊爆大队包括谁？","沉鱼","9002","30205","地中海","9042","30252","呆贼","9004","30202","3","5840","5850"
"55","51","0","《我叫MT》中迪奥布斯包括谁？","哀木涕","9013","30244","大小姐","9003","30242","术士大妈","9038","30262","2","5840","5850"
"56","51","1","《我叫MT》中迪奥布斯包括谁？","方砖","9005","30257","傻馒","9016","30245","女德","9102","30305","1","5840","5850"
"57","51","2","《我叫MT》中迪奥布斯包括谁？","呆贼","9004","30202","劣人","9007","30260","会长","9006","30243","3","5840","5850"
"58","52","0","《我叫MT》中四暗影包括谁？","美屡","9011","30261","羞花","9100","30303","傻馒","9016","30245","2","5840","5850"
"59","52","1","《我叫MT》中四暗影包括谁？","大小姐","9003","30242","沐丝","9012","30203","闭月","9104","30307","3","5840","5850"
"60","52","2","《我叫MT》中四暗影包括谁？","落雁","9009","30308","大大姐","9066","30201","血精灵","9001","30251","1","5840","5850"
"61","53","0","《我叫MT》中谁会嘲讽技能？","哀木涕","9013","30244","傻馒","9016","30245","术士大妈","9038","30262","1","5840","5850"
"62","53","1","《我叫MT》中谁会嘲讽技能？","羞花","9100","30303","会长","9006","30243","女德","9102","30305","2","5840","5850"
"63","53","2","《我叫MT》中谁会嘲讽技能？","劣人","9007","30260","呆贼","9004","30202","暗夜男","9000","30253","3","5840","5850"
"64","54","0","《我叫MT》中以下人物中谁能把敌人变羊？","呆贼","9004","30202","方砖","9005","30257","劣人","9007","30260","2","5840","5850"
"65","54","1","《我叫MT》中以下人物中谁能把敌人变羊？","会长","9006","30243","大小姐","9003","30242","血精灵","9001","30251","3","5840","5850"
"66","54","2","《我叫MT》中以下人物中谁能把敌人变羊？","发丝","9040","30256","地中海","9042","30252","神棍德","9041","30255","1","5840","5850"
"67","55","0","《我叫MT》中谁能给队友加奶?","沐丝","9012","30203","劣人","9007","30260","方砖","9005","30257","1","5840","5850"
"68","55","1","《我叫MT》中谁能给队友加奶?","会长","9006","30243","大小姐","9003","30242","美屡","9011","30261","2","5840","5850"
"69","55","2","《我叫MT》中谁能给队友加奶?","地中海","9042","30252","血精灵","9001","30251","傻馒","9016","30245","3","5840","5850"
"70","56","0","《我叫MT》中最早认识MT的都有谁?","劣人","9007","30260","术士大妈","9038","30262","炮姐","9101","30304","1","5840","5850"
"71","56","1","《我叫MT》中最早认识MT的都有谁?","会长","9006","30243","呆贼","9004","30202","羞花","9100","30303","2","5840","5850"
"72","56","2","《我叫MT》中最早认识MT的都有谁?","方砖","9005","30257","闭月","9104","30307","傻馒","9016","30245","3","5840","5850"
"73","57","0","《我叫MT》中谁是公会会长?","呆贼","9004","30202","会长","9006","30243","方砖","9005","30257","2","5840","5850"
"74","57","1","《我叫MT》中谁是公会会长?","沉鱼","9002","30205","傻馒","9016","30245","劣人","9007","30260","3","5840","5850"
"75","58","0","《我叫MT》中谁会隐身？","方砖","9005","30257","术士大妈","9038","30262","呆贼","9004","30202","3","5840","5850"
"76","58","1","《我叫MT》中谁会隐身？","劣人","9007","30260","女德","9102","30305","会长","9006","30243","2","5840","5850"
"77","58","2","《我叫MT》中谁会隐身？","女贼","9039","30259","哀木涕","9013","30244","沐丝","9012","30203","1","5840","5850"
