"id","特效路径","策划备注"
"10069","particle/psl/ui/expfull",
"10070","particle/psl/exp",
"10071","particle/psl/ui/expget",
"10072","particle/psl/ui/itemcell",
"10073","particle/psl/firework2",
"10074","particle/psl/formlight",
"10075","particle/psl/button",
"10076","particle/psl/jiemian/shan guang",
"10077","particle/psl/jiemian/shan guang xiao",
"10078","particle/psl/jiemian/mayi",
"10079","particle/psl/jiemian/taohuaban",
"10080","particle/psl/jiemian/yinghuochong",
"10081","particle/psl/jiemian/denglujiemian lizi",
"10082","particle/psl/jiemian/shu ye",
"10083","particle/psl/窗口飘光点",
"10084","geffect/ui/chaorao03",
"10085","geffect/function/zaxue/lianliankan",
"10086","geffect/function/zaxue/lianliankanlianxian",
"10087","geffect/function/zaxue/lianliankanxiaoshi",
"10088","geffect/function/zaxue/lianliankanxuangkuang01chixu",
"10089","geffect/function/zaxue/lianliankanxuangkuang01kaishi",
"10090","geffect/function/zaxue/lianliankanxuangkuang02chixu",
"10091","geffect/function/dream/1024",
"10092","geffect/function/zaxue/puzzle189_183",
"10093","geffect/function/zaxue/puzzlebegin",
"10094","geffect/function/zaxue/puzzlefireworks",
"10095","geffect/function/zaxue/shakehands",
"10096","geffect/function/zaxue/zaxuetip",
"10097","inception.psl",
"10098","geffect/function/zaxue/zaxuetip",
"10099","geffect/map/caihongmen/map008",
"10100","geffect/map/qiqiu/qiqiu",
"10101","geffect/number/baojiaddhp/1",
"10102","geffect/number/baojiaddhp/2",
"10103","geffect/number/baojiaddhp/3",
"10104","geffect/number/baojiaddhp/4",
"10105","geffect/number/baojiaddhp/5",
"10106","geffect/number/baojiaddhp/6",
"10107","geffect/number/baojiaddhp/7",
"10108","geffect/number/baojiaddhp/8",
"10109","geffect/number/baojiaddhp/9",
"10110","geffect/number/baojisubhp/0",
"10111","geffect/number/baojisubhp/1",
"10112","geffect/number/baojisubhp/2",
"10113","geffect/number/baojisubhp/3",
"10114","geffect/number/baojisubhp/4",
"10115","geffect/number/baojisubhp/5",
"10116","geffect/number/baojisubhp/6",
"10117","geffect/number/baojisubhp/7",
"10118","geffect/number/baojisubhp/8",
"10119","geffect/number/baojisubhp/9",
"10120","geffect/number/subhp/0",
"10121","geffect/number/subhp/1",
"10122","geffect/number/subhp/2",
"10123","geffect/number/subhp/3",
"10124","geffect/number/subhp/4",
"10125","geffect/number/subhp/5",
"10126","geffect/number/subhp/6",
"10127","geffect/number/subhp/7",
"10128","geffect/number/subhp/8",
"10129","geffect/number/subhp/9",
"10130","geffect/number/submp/0",
"10131","geffect/number/submp/1",
"10132","geffect/number/submp/2",
"10133","geffect/number/submp/3",
"10134","geffect/number/submp/4",
"10135","geffect/number/submp/5",
"10136","geffect/number/submp/6",
"10137","geffect/number/submp/7",
"10138","geffect/number/submp/8",
"10139","geffect/number/submp/9",
"10140","geffect/function/pet/colourhere",
"10141","geffect/function/pet/getskill",
"10142","geffect/function/pet/getskillpethead",
"10143","geffect/shengji/renwu",
"10144","geffect/sprite/newfemale/attack1",
"10145","geffect/sprite/newfemale/magic1",
"10146","geffect/sprite/newfemale/yunvjianfa",
"10147","geffect/sprite/npc/zhandou",
"10148","geffect/sprite/npc/wenhao2",
"10149","geffect/sprite/npc/wenhao1",
"10150","geffect/sprite/npc/zhuxian",
"10151","geffect/sprite/npc/tanhao",
"10152","animation/sprite/di/di3",
"10153","animation/sprite/di/di2",
"10154","animation/sprite/di/di1",
"10155","geffect/sprite/addhp",
"10156","geffect/sprite/addmp",
"10157","geffect/sprite/gongji",
"10158","geffect/sprite/attackedflash",
"10159","geffect/sprite/automonster",
"10160","geffect/sprite/battle/battleoffline",
"10161","geffect/sprite/battle/zhunbei",
"10162","geffect/sprite/critical",
"10163","geffect/sprite/mianyi",
"10164","geffect/sprite/inbattle",
"10165","geffect/sprite/teamleader",
"10166","geffect/sprite/techangreen",
"10167","geffect/sprite/techanpurple",
"10168","geffect/sprite/techanwhite",
"10169","geffect/sprite/watchbattle",
"10170","geffect/sprite/miss",
"10171","geffect/sprite/刀剑受击",
"10172","geffect/ui/sysinfo/sysinfobottom",
"10173","geffect/ui/sysinfo/sysinfoin",
"10174","geffect/ui/sysinfo/sysinfoout",
"10175","geffect/function/equip/gemmounting",
"10176","geffect/ui/qianghuachenggong/qianghuachenggong",
"10177","geffect/function/equip/starfail",
"10178","geffect/function/equip/refine",
"10179","geffect/function/equip/recast",
"10180","geffect/ui/server",
"10181","geffect/function/dragonboat/fire",
"10182","geffect/装备强化/big_yellow",
"10183","geffect/ui/accepttask",
"10184","geffect/aperture",
"10185","geffect/ui/chaorao04",
"10186","geffect/ui/calendar",
"10187","geffect/function/pet/catchpet",
"10188","geffect/ui/head/characterhead",
"10189","geffect/ui/getskill/jumpguide",
"10190","particle/psl/jumpguide",
"10191","geffect/function/dream/dearmblue",
"10192","geffect/function/dream/dearmpink",
"10193","geffect/ui/enlargebag",
"10194","geffect/function/dragonboat/familyfireworks",
"10195","geffect/ui/schoolfireworks",
"10196","geffect/friend",
"10197","geffect/guidepoint",
"10198","geffect/ui/production_fire",
"10199","geffect/ui/interest",
"10200","geffect/ui/lovefireworks",
"10201","geffect/map/maplocate",
"10202","geffect/map/minimap",
"10203","geffect/ui/money",
"10204","geffect/ui/chatminimize",
"10205","geffect/ui/wedding",
"10206","geffect/ui/newprogress",
"10207","geffect/scenemovie/se/sandstorm",
"10208","geffect/function/pet/petlight",
"10209","geffect/point",
"10210","geffect/ui/rightclickitem",
"10211","geffect/ui/shortkeybar",
"10212","geffect/function/targetarrow",
"10213","geffect/ui/weddingfireworks",
"10214","geffect/targetarrow2",
"10215","geffect/taskfinish",
"10216","geffect/ui/gift",
"10217","geffect/zhaohuanjieguo",
"10218","geffect/sprite/battle/criticalattack",
"10219","geffect/shining",
"10220","geffect/sprite/battle/battlegameguard",
"10221","geffect/ui/itemshining",
"10222","geffect/sprite/battle/combinationattack",
"10223","geffect/ui/head/redshining",
"10224","geffect/ui/head/redrise",
"10225","geffect/ui/head/blueshining",
"10226","geffect/ui/head/bluerise",
"10227","geffect/ui/head/yellowshining",
"10228","geffect/ui/head/redshiningpet",
"10229","geffect/ui/greenuparrow",
"10230","",
"10231","geffect/ui/guidearrow_down",
"10232","geffect/ui/guidearrow_right",
"10233","geffect/ui/guidearrow_left",
"10234","geffect/ui/hornchannel",
"10235","geffect/other/taopaojieguo",
"10236","geffect/other/taopaoqishou",
"10237","3d/effect/other/fxo0002_qinggongguiji01",
"10238","3d/effect/other/fxo0002_qinggongguiji02",
"10239","3d/effect/other/fxo0002_qinggongguiji03",
"10240","3d/effect/other/fxo0002_qinggongguiji04",
"10241","3d/effect/other/fxo0002_qinggongguiji05",
"10242","geffect/function/equip/equipuiback",
"10243","geffect/function/pet/petreturnbaby",
"10244","geffect/ui/testright",
"10245","geffect/ui/testwrong",
"10246","geffect/ui/selectrole_eagle",
"10247","geffect/ui/selectrole_back",
"10248","geffect/ui/selectrole_selected",
"10249","geffect/ui/selectrole_hover",
"10250","geffect/ui/mainbtn_friend",
"10251","geffect/ui/mainbtn_team",
"10252","geffect/ui/mainbtn_faction",
"10253","geffect/ui/acupoint_selected",
"10254","geffect/ui/acupoint_male",
"10255","geffect/ui/acupoint_female",
"10256","geffect/ui/chaorao04",
"10257","geffect/ui/round",
"10258","geffect/sprite/wine",
"10259","geffect/sprite/cartoon",
"10260","geffect/map/clickground_sand",
"10261","geffect/map/clickground_leaf",
"10262","geffect/map/clickground_water",
"10263","geffect/map/huabanground",
"10264","geffect/sprite/autowalking",
"10265","geffect/function/gangbattle/goods1",
"10266","geffect/function/gangbattle/goods2",
"10267","geffect/function/gangbattle/goods3",
"10268","geffect/function/gangbattle/repair1",
"10269","geffect/function/gangbattle/repair2",
"10270","geffect/function/gangbattle/repair3",
"10271","geffect/function/dragonboat/thumb",
"10272","geffect/function/dragonboat/wrong",
"10273","geffect/function/dragonboat/turnto",
"10274","geffect/function/equip/4starbottom",
"10275","geffect/function/equip/8starbottom",
"10276","geffect/function/equip/10starbottom",
"10277","geffect/function/equip/10startop",
"10278","geffect/function/equip/12starbottom",
"10279","geffect/function/equip/12startop",
"10280","geffect/shengji/xiaoshengji",
"10281","geffect/shengji/xiaoshengji",
"10282","geffect/shengji/xiaoshengjilizi",
"10283","geffect/ui/music",
"10284","geffect/ui/teamfast",
"10285","geffect/kiss",
"10286","geffect/ui/sign",
"10287","geffect/ui/pvp",
"10288","geffect/ui/ready",
"10289","geffect/map/caihongmen/map006",
"10290","geffect/snow01",
"10291","geffect/map/diaoyuanbao/yuanbao_01",
"10292","3d/effect/other/fxo0002_qinggongguiji06",
"10293","geffect/ui/weddingfireworksa",
"10294","geffect/ui/yistar_b",
"10295","geffect/shengji/shengji10",
"10296","geffect/ui/fanpai",
"10297","geffect/map/jiemian",
"10298","geffect/ui/button",
"10299","geffect/shining",
"10300","geffect/sprite/targetring",
"10301","geffect/ui/shouzhi/5_1",
"10302","geffect/ui/shouzhi/5_2",
"10303","geffect/ui/shouzhi/5_4",
"10304","geffect/ui/shouzhi/5_3",
"10305","geffect/ui/jiehun/huabanfense",
"10306","geffect/ui/chaorao02",
"10307","geffect/ui/jiaqiangfengyin",
"10308","geffect/ui/fengyinkangxing",
"10309","geffect/ui/neigongfangyu",
"10310","geffect/ui/fashugongji",
"10311","geffect/ui/sudu",
"10312","geffect/ui/wulifangyu",
"10313","geffect/ui/wuligongji",
"10314","geffect/ui/mofa2",
"10315","geffect/ui/shengming",
"10316","geffect/ui/exp",
"10317","geffect/ui/yinliang",
"10318","geffect/ui/blue0",
"10319","geffect/ui/blue1",
"10320","geffect/ui/blue2",
"10321","geffect/ui/blue3",
"10322","geffect/ui/blue4",
"10323","geffect/ui/blue5",
"10324","geffect/ui/blue6",
"10325","geffect/ui/blue7",
"10326","geffect/ui/blue8",
"10327","geffect/ui/blue9",
"10328","geffect/ui/blue+",
"10329","geffect/ui/green0",
"10330","geffect/ui/green1",
"10331","geffect/ui/green2",
"10332","geffect/ui/green3",
"10333","geffect/ui/green4",
"10334","geffect/ui/green5",
"10335","geffect/ui/green6",
"10336","geffect/ui/green7",
"10337","geffect/ui/green8",
"10338","geffect/ui/green9",
"10339","geffect/ui/green+",
"10340","geffect/ui/red0",
"10341","geffect/ui/red1",
"10342","geffect/ui/red2",
"10343","geffect/ui/red3",
"10344","geffect/ui/red4",
"10345","geffect/ui/red5",
"10346","geffect/ui/red6",
"10347","geffect/ui/red7",
"10348","geffect/ui/red8",
"10349","geffect/ui/red9",
"10350","geffect/ui/red+",
"10351","geffect/ui/yellow0",
"10352","geffect/ui/yellow1",
"10353","geffect/ui/yellow2",
"10354","geffect/ui/yellow3",
"10355","geffect/ui/yellow4",
"10356","geffect/ui/yellow5",
"10357","geffect/ui/yellow6",
"10358","geffect/ui/yellow7",
"10359","geffect/ui/yellow8",
"10360","geffect/ui/yellow9",
"10361","geffect/ui/yellow+",
"10362","geffect/ui/anniuzhongji",
"10363","geffect/ui/zhiyin02",
"10364","geffect/ui/wancheng",
"10365","geffect/ui/arrow",
"10366","geffect/ui/goon",
"10367","geffect/number/baoji",
"10368","geffect/number/shanbi",
"10369","geffect/ui/task/taskover",
"10370","geffect/ui/task/taskstart",
"10371","geffect/ui/chuizizaji/jushiwushuang",
"10372","geffect/ui/texiaowenzi/shengli",
"10373","geffect/ui/yaoqianshu",
"10374","geffect/ui/additem",
"10375","geffect/ui/smallarrow",
"10376","geffect/ui/smallstar",
"10377","geffect/ui/smallstone",
"10378","geffect/function/equip/starsuccess",
"10379","geffect/ui/texiaowenzi/jinhuachenggong",
"10380","geffect/ui/texiaowenzi/jinengtisheng",
"10381","geffect/ui/texiaowenzi/xingjitisheng",
"10382","geffect/ui/chuizizaji",
"10383","geffect/function/equip/starsuccess",
"10384","geffect/function/equip/starsuccess",
"10385","geffect/function/equip/starsuccess",
"10386","geffect/ui/texiaowenzi/jinhuachenggong",
"10387","geffect/ui/yichenggongjiarudangkoumeng/yichenggongjiarudangkoumeng",
"10388","geffect/ui/yichenggongjiarutiejiawei/yichenggongjiarutiejiawei",
"10389","geffect/ui/zhenyinggongnengjiesuo/zhenyinggongnengjiesuo",
"10390","geffect/function/equip/starrefresh",
"10391","geffect/ui/chongxingchenggong/chongxingchenggong",
"10392","geffect/ui/xiulianbaoji/xiulianbaoji",
"10393","geffect/ui/fanpai",
"10394","geffect/ui/chuizizaji/wanmeishilian",
"10395","geffect/ui/pointer",
"10396","geffect/ui/xiulianbaoji/guwuchenggong",
"10397","geffect/ui/xiulianbaoji/guwushibai",
"10398","geffect/ui/xiulianbaoji/guwubaoji",
"10399","geffect/ui/qianghuachenggong/dazaochenggong",
"10400","geffect/ui/shipin/jinglian",
"10401","geffect/ui/award_big",
"10402","geffect/ui/chacha",
"10403","geffect/map/shengdanjie/001",
"10404","geffect/ui/yanhua/yanhua_01",
"10405","geffect/ui/yanhua/yanhua_02",
"10406","geffect/ui/yanhua/yanhua_03",
"10407","geffect/ui/yanhua/yanhua_04",
"10408","geffect/ui/yanhua/yanhua_05",
"10409","geffect/ui/yanhua/yanhua",
"10410","geffect/map/bianpao/bianpao",
"10411","geffect/map/mashangchenggong",
"10412","geffect/ui/chaorao01",
"10413","geffect/ui/chaorao06",
"10414","geffect/skill/shendiaohuti/shendiaohuti",
"10415","geffect/ui/chaorao07",
"10416","geffect/ui/chaorao08",
"10417","geffect/ui/shuibowen",
"10418","geffect/ui/shenbingjiangshi",
"10419","geffect/skill/hongyundangtou/hongyundangtou",
"10420","geffect/ui/jiaosexuanzhejiemian",
"10421","geffect/ui/jiaosechuangjian",
"10422","geffect/ui/createcharacter/duguyue_small",
"10423","geffect/ui/createcharacter/hanyi_small",
"10424","geffect/ui/createcharacter/lingxiaoyu_small",
"10425","geffect/ui/createcharacter/qinshaoyou_small",
"10426","geffect/ui/createcharacter/simachangfeng_small",
"10427","geffect/ui/createcharacter/yangkongyue_small",
"10428","geffect/ui/createcharacter/yanchongguang_small",
"10429","geffect/ui/createcharacter/yunxi_small",
"10430",,
"10431","geffect/ui/xuewei/xuewei_caise",
"10432","geffect/ui/xuewei/xuewei_jinse",
"10433","geffect/ui/xuewei/xuewei_nor",
"10434","geffect/ui/xuewei/xuewei_zise",
"10435","geffect/ui/vip",
"10436","geffect/ui/xiakexiuxing/xuankuang",
"10437","geffect/ui/xiakexiuxing/xuankuang2",
"10438","geffect/ui/xiakexiuxing/faguanghongse",
"10439","geffect/ui/xiakexiuxing/faguanghuangse",
"10440","geffect/ui/xiakexiuxing/faguangzise",
"10441","geffect/ui/xiakexiuxing/faguangzuizhong",
"10442","geffect/ui/xiakexiuxing/jihuohongse",
"10443","geffect/ui/xiakexiuxing/jihuohuangse",
"10444","geffect/ui/xiakexiuxing/jihuozise",
"10445","geffect/ui/xiakexiuxing/jihuozuizhong",
"10446","geffect/ui/xiakexiuxing/zhenzhihuajing",
"10447","geffect/ui/zhufuchenggong",
"10448","geffect/ui/suolian",
"10449","geffect/ui/jiehunzhufu",
"10450","geffect/ui/wujuelingfanpai",
"10451","geffect/map/huabanground",
"10452","geffect/ui/jiehun/huabanfense",
"10453","geffect/ui/jiehun/huabanhongse",
"10454","geffect/ui/jiehun/huabanhuangse",
"10455","geffect/ui/jiehun/huabanzise",
"10456","geffect/child/dongfang",
"10457","geffect/ui/xiakexiuxing/zhishijiantou",
"10458","geffect/skill/shendiaohuti/shendiaohuti",
"10459","geffect/skill/nuqiteji/yuyanggong/yuyanggong",
"10460","geffect/ui/smallxingyunshi",
"10461","geffect/ui/xiakexiuxing/xiuxingyishi1",
"10462","geffect/ui/xiakexiuxing/xiuxingyishi2",
"10463","geffect/ui/xiakexiuxing/yijinduangu",
"10464","geffect/ui/xiakexiuxing/qiyunzhoutian",
"10465","geffect/ui/xiakexiuxing/yuanshewuzong",
"10466","geffect/ui/xiakexiuxing/huoyanhuangse",
"10467","geffect/ui/xiakexiuxing/huoyanzise",
"10468","geffect/ui/menpaizuyin/menpaizuyin1",
"10469","geffect/ui/menpaizuyin/menpaizuyin2",
"10470","geffect/ui/menpaizuyin/menpaizuyin3",
"10471","geffect/ui/xingxingpiaoluo/xingxingpiaoluo1",
"10472","geffect/ui/xingxingpiaoluo/xingxingpiaoluo2",
"10473","geffect/ui/xingxingpiaoluo/xingxingpiaoluo3",
"10474","geffect/ui/xingxingpiaoluo/xingxingpiaoluo4",
"10475","geffect/ui/xingxingpiaoluo/xingxingpiaoluo5",
"10476","geffect/ui/xingxingpiaoluo/xingxingpiaoluo6",
"10477","geffect/ui/xingxingpiaoluo/xingxingpiaoluo7",
"10478","geffect/ui/xingxingpiaoluo/xingxingpiaoluo8",
"10479","geffect/ui/xingxingpiaoluo/xingxingpiaoluo9",
"10480","geffect/ui/qiandaofaguang",
"10481","geffect/ui/chaorao09",
"10482","geffect/ui/jiehunzhufu",
"10483","geffect/ui/xiakexiuxing/faguangzuizhong",
"10484","geffect/ui/xiakexiuxing/jihuozuizhong",
"10485","geffect/ui/chuizizaji/jushiwushuang",
"10486","geffect/skill/hongyundangtou/hongyundangtou",
"10487","geffect/ui/xiakexiuxing/huoyanhuangse",
"11001","geffect/number/baoji2","法术暴击特效"
"11002","geffect/number/baoji3","治疗暴击特效"
"11003","geffect/function/zaxue/puzzlefireworks","宠物洗练成功属性处特效"
"11004","geffect/sprite/targetring","宠物洗练成功模型出特效"
"11005","geffect/ui/mt_hechong/mt_hechong","宠物合成时特效"
"11006","geffect/number/tuimo","打蓝"
"11007","","吸收"
"11008","geffect/number/xishou","吸收冒字"
"11009","","物理破防"
"11010","","法术破防"
"11011","geffect/skill/mt_xixue/mt_xixue","吸血特效"
"11012","geffect/number/shenyou","神佑特效"
"11013","geffect/skill/buff/hunluan","捕捉特效"
"11014","geffect/number/gedang","格挡特效"
"11015","geffect/number/fangyu","防御特效"
"11016","geffect/ui/fight/xingdong_shibai","技能未释放出特效"
"11017","geffect/xuexijineng","技能升级"
"11018","particle/psl/guidepoint","技能升级移动"
"11019","geffect/ui/xiaoditu/xiaoditu","小地图特效"
"11020","geffect/ui/xiaoditu/button1","主界面特效"
"11021","geffect/ui/wulifangyu2","冒字特效"
"11022","geffect/ui/wuligongji2","冒字特效"
"11023","geffect/ui/sudu2","冒字特效"
"11024","geffect/ui/fashufangyu","冒字特效"
"11025","geffect/ui/zhiliaoqiangdu2","冒字特效"
"11026","geffect/ui/zhiliaoqiangdu","冒字特效"
"11027","geffect/ui/shengming2","冒字特效"
"11028","geffect/ui/mofa","冒字特效"
"11029","geffect/ui/red-","冒字特效"
"11030","geffect/ui/kongzhimingzhong","冒字特效"
"11031","geffect/ui/kongzhimingzhong2","冒字特效"
"11032","geffect/ui/kongzhikangxing","冒字特效"
"11033","geffect/ui/kongzhikangxing1","冒字特效"
"11034","geffect/ui/fashugongji2","冒字特效"
"11035","geffect/ui/fashufangyu2","冒字特效"
"11040","geffect/function/dream/dearmblue","附魔成功特效"
"11041","geffect/ui/shouzhi/a4_1","引导出现前的屏幕提醒特效_左上"
"11042","geffect/ui/shouzhi/a1_1","引导出现前的屏幕提醒特效_左下"
"11043","geffect/ui/shouzhi/a3_1","引导出现前的屏幕提醒特效_右上"
"11044","geffect/ui/shouzhi/a2_1","引导出现前的屏幕提醒特效_右下"
"11045","geffect/skill/mt_shouliezitai/mt_shouliezitai","变模型特效"
"11046","geffect/skill/mt3_zhaohuan/mt3_zhaohuan_shang","召唤特效"
"11047","geffect\ui\mt_shengji\mt_shengji","人物升级特效"
"11048","geffect/ui/mt_chongwuxilian/mt_chongwuxilian","宠物洗练特效"
"11049","geffect/ui/mt_gensui","跟随npc特效"
"11050","geffect/ui/mt_nuqi/mt_nuqi","连击点增加特效"
"11051","geffect/number/jianshe","溅射"
"11052","geffect/number/fanzheng","反震"
"11053","geffect/number/fanji","反击"
"11054","geffect/number/zhuiji","追击"
"11055","geffect/number/lianji","物理连击"
"11056","geffect/number/fashulianji","法术连击"
"11060","geffect/number/xishou","备用"
"11061","geffect/ui/mt_zhuangbeiyanse/mt_zhuangbei_lan","装备品质特效蓝"
"11062","geffect/ui/mt_zhuangbeiyanse/mt_zhuangbei_zi","装备品质特效紫"
"11063","geffect/ui/mt_zhuangbeiyanse/mt_zhuangbei_cheng","装备品质特效橙"
"11064","geffect/ui/mt_duanxian/mt_duanxian","断线重连"
"11065","geffect/ui/mt_xuanzhongkuang/mt_xuanzhongkuang","选中框特效"
"11066","geffect/ui/mt_xiaozhushou/mt_xiaozhushou_quan","圆形引导特效"
"11067","geffect/ui/yanhua/yanhua","烟花特效"
"11068","geffect/ui/mt_xiaozhushou/mt_xiaozhushou_shou","引导手势特效"
"11069","particle/psl/ui/tuowei_lan","蓝色吃血特效"
"11070","geffect/ui/rightclickitem","引导提醒特效"
