"id","光环等级","升级经验","光环id","描述1","描述2","描述3","描述4","描述5","描述6","描述7","描述8","描述9","描述10","被克描述1","被克描述2","被克描述3","被克描述4","被克描述5","被克描述6","被克描述7","被克描述8","被克描述9","被克描述10","效果1","效果2","效果3","效果4","效果5","效果6","效果7","效果8","效果9","效果10","被克效果1","被克效果2","被克效果3","被克效果4","被克效果5","被克效果6","被克效果7","被克效果8","被克效果9","被克效果10"
"11","5","50000","2","<T t=""防御+15%""></T>","<T t=""防御+15%""></T>","<T t=""防御+15%""></T>","<T t=""伤害+10%""></T>","<T t=""速度+15%""></T>","","","","","","<T t=""伤害+12.5%(被克制)""></T><B></B><T t=""防御-10%""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""伤害+12.5%(被克制)""></T><B></B><T t=""防御-10%""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","onphysicrevise_value=0.15;onmagicrevise_value=0.15","onphysicrevise_value=0.15;onmagicrevise_value=0.15","onphysicrevise_value=0.15;onmagicrevise_value=0.15","physicrevise_value=0.1;magicrevise_value=0.1","speed_percent=0.15","","","","","","phyattack_percent=0.125;magicattack_percent=0.125;defend_percent=-0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","speed_percent=0.075","speed_percent=0.075","phyattack_percent=0.125;magicattack_percent=0.125;defend_percent=-0.1","defend_percent=0.075;magicdef_percent=0.075","defend_percent=0.075;magicdef_percent=0.075","speed_percent=0.075","speed_percent=0.075"
"12","1","0","3","<T t=""伤害+12%""></T>","<T t=""伤害+6%""></T>","<T t=""伤害+6%""></T>","<T t=""速度+6%""></T>","<T t=""速度+6%""></T>","","","","","","<T t=""速度+2%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+2%(被克制)""></T>","<T t=""防御+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","physicrevise_value=0.12;magicrevise_value=0.12","physicrevise_value=0.06;magicrevise_value=0.06","physicrevise_value=0.06;magicrevise_value=0.06","speed_percent=0.06","speed_percent=0.06","","","","","","speed_percent=0.02","defend_percent=0.015;magicdef_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.02","defend_percent=0.015;magicdef_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01"
"13","2","20000","3","<T t=""伤害+14%""></T>","<T t=""伤害+7%""></T>","<T t=""伤害+7%""></T>","<T t=""速度+7%""></T>","<T t=""速度+7%""></T>","","","","","","<T t=""速度+4%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+4%(被克制)""></T>","<T t=""防御+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","physicrevise_value=0.14;magicrevise_value=0.14","physicrevise_value=0.07;magicrevise_value=0.07","physicrevise_value=0.07;magicrevise_value=0.07","speed_percent=0.07","speed_percent=0.07","","","","","","speed_percent=0.04","defend_percent=0.03;magicdef_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.04","defend_percent=0.03;magicdef_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02"
"14","3","30000","3","<T t=""伤害+16%""></T>","<T t=""伤害+8%""></T>","<T t=""伤害+8%""></T>","<T t=""速度+8%""></T>","<T t=""速度+8%""></T>","","","","","","<T t=""速度+6%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""防御+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","physicrevise_value=0.16;magicrevise_value=0.16","physicrevise_value=0.08;magicrevise_value=0.08","physicrevise_value=0.08;magicrevise_value=0.08","speed_percent=0.08","speed_percent=0.08","","","","","","speed_percent=0.06","defend_percent=0.045;magicdef_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.06","defend_percent=0.045;magicdef_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03"
"15","4","40000","3","<T t=""伤害+18%""></T>","<T t=""伤害+9%""></T>","<T t=""伤害+9%""></T>","<T t=""速度+9%""></T>","<T t=""速度+9%""></T>","","","","","","<T t=""速度+8%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+8%(被克制)""></T>","<T t=""防御+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","physicrevise_value=0.18;magicrevise_value=0.18","physicrevise_value=0.09;magicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","speed_percent=0.09","speed_percent=0.09","","","","","","speed_percent=0.08","defend_percent=0.06;magicdef_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.08","defend_percent=0.06;magicdef_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04"
"16","5","50000","3","<T t=""伤害+20%""></T>","<T t=""伤害+10%""></T>","<T t=""伤害+10%""></T>","<T t=""速度+10%""></T>","<T t=""速度+10%""></T>","","","","","","<T t=""速度+10%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+10%(被克制)""></T>","<T t=""防御+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","physicrevise_value=0.2;magicrevise_value=0.2","physicrevise_value=0.10;magicrevise_value=0.10","physicrevise_value=0.10;magicrevise_value=0.10","speed_percent=0.10","speed_percent=0.10","","","","","","speed_percent=0.1","defend_percent=0.075;magicdef_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.1","defend_percent=0.075;magicdef_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05"
"17","1","0","4","<T t=""伤害+15%""></T>","<T t=""防御+6%""></T>","<T t=""防御+6%""></T>","<T t=""伤害+6%""></T>","<T t=""伤害+6%""></T>","","","","","","<T t=""伤害+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""伤害+1.5%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""伤害+1%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","<T t=""速度+1.5%(被克制)""></T>","physicrevise_value=0.15;magicrevise_value=0.15","onphysicrevise_value=0.06;onmagicrevise_value=0.06","onphysicrevise_value=0.06;onmagicrevise_value=0.06","physicrevise_value=0.06;magicrevise_value=0.06","physicrevise_value=0.06;magicrevise_value=0.06","","","","","","phyattack_percent=0.015;magicattack_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.015","speed_percent=0.015","phyattack_percent=0.015;magicattack_percent=0.015","phyattack_percent=0.01;magicattack_percent=0.01","phyattack_percent=0.01;magicattack_percent=0.01","speed_percent=0.015","speed_percent=0.015"
"18","2","20000","4","<T t=""伤害+17.5%""></T>","<T t=""防御+7%""></T>","<T t=""防御+7%""></T>","<T t=""伤害+7%""></T>","<T t=""伤害+7%""></T>","","","","","","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""伤害+2%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","<T t=""速度+3%(被克制)""></T>","physicrevise_value=0.175;magicrevise_value=0.175","onphysicrevise_value=0.07;onmagicrevise_value=0.07","onphysicrevise_value=0.07;onmagicrevise_value=0.07","physicrevise_value=0.07;magicrevise_value=0.07","physicrevise_value=0.07;magicrevise_value=0.07","","","","","","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.03","speed_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.02;magicattack_percent=0.02","phyattack_percent=0.02;magicattack_percent=0.02","speed_percent=0.03","speed_percent=0.03"
"19","3","30000","4","<T t=""伤害+20%""></T>","<T t=""防御+8%""></T>","<T t=""防御+8%""></T>","<T t=""伤害+8%""></T>","<T t=""伤害+8%""></T>","","","","","","<T t=""伤害+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""伤害+4.5%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""伤害+3%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","<T t=""速度+4.5%(被克制)""></T>","physicrevise_value=0.20;magicrevise_value=0.20","onphysicrevise_value=0.08;onmagicrevise_value=0.08","onphysicrevise_value=0.08;onmagicrevise_value=0.08","physicrevise_value=0.08;magicrevise_value=0.08","physicrevise_value=0.08;magicrevise_value=0.08","","","","","","phyattack_percent=0.045;magicattack_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.045","speed_percent=0.045","phyattack_percent=0.045;magicattack_percent=0.045","phyattack_percent=0.03;magicattack_percent=0.03","phyattack_percent=0.03;magicattack_percent=0.03","speed_percent=0.045","speed_percent=0.045"
"20","4","40000","4","<T t=""伤害+22.5%""></T>","<T t=""防御+9%""></T>","<T t=""防御+9%""></T>","<T t=""伤害+9%""></T>","<T t=""伤害+9%""></T>","","","","","","<T t=""伤害+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""伤害+6%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""伤害+4%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","<T t=""速度+6%(被克制)""></T>","physicrevise_value=0.225;magicrevise_value=0.225","onphysicrevise_value=0.09;onmagicrevise_value=0.09","onphysicrevise_value=0.09;onmagicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","physicrevise_value=0.09;magicrevise_value=0.09","","","","","","phyattack_percent=0.06;magicattack_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.06","speed_percent=0.06","phyattack_percent=0.06;magicattack_percent=0.06","phyattack_percent=0.04;magicattack_percent=0.04","phyattack_percent=0.04;magicattack_percent=0.04","speed_percent=0.06","speed_percent=0.06"
"21","5","50000","4","<T t=""伤害+25%""></T>","<T t=""防御+10%""></T>","<T t=""防御+10%""></T>","<T t=""伤害+10%""></T>","<T t=""伤害+10%""></T>","","","","","","<T t=""伤害+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""伤害+7.5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""伤害+5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","<T t=""速度+7.5%(被克制)""></T>","physicrevise_value=0.25;magicrevise_value=0.25","onphysicrevise_value=0.10;onmagicrevise_value=0.10","onphysicrevise_value=0.10;onmagicrevise_value=0.10","physicrevise_value=0.10;magicrevise_value=0.10","physicrevise_value=0.10;magicrevise_value=0.10","","","","","","phyattack_percent=0.075;magicattack_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075","phyattack_percent=0.075;magicattack_percent=0.075","phyattack_percent=0.05;magicattack_percent=0.05","phyattack_percent=0.05;magicattack_percent=0.05","speed_percent=0.075","speed_percent=0.075"
