"等级","等级下限","等级上限","挂机区","升级经验","金钱上限","可达到技能等级上限","宠物出战上限","加点方案数量","离线每分钟经验值","每点双倍点数经验","基准经验","基准银币",""
"42","40","45","无","754284","5000000","42","2","2","280","0","16800","42000",
"43","40","45","无","808991","5000000","43","2","2","287","0","17200","43000",
"44","40","45","无","919944","5000000","44","2","2","293","0","17600","44000",
"45","45","50","无","983065","5000000","45","2","2","300","0","18000","45000",
"46","45","50","无","1048702","5000000","46","2","2","307","0","18400","46000",
"47","45","50","无","1117100","5000000","47","2","2","313","0","18800","47000",
"48","45","50","无","1188107","5000000","48","2","2","320","0","19200","48000",
"49","45","50","无","1483303","5000000","49","2","2","327","0","19600","49000",
"50","50","55","无","1694672","10020000","50","2","2","333","0","20000","50000",
"51","50","55","无","1795234","10424000","51","2","2","340","0","20400","51000",
"52","50","55","无","1899632","10836000","52","2","2","347","0","20800","52000",
"53","50","55","无","2007729","11256000","53","2","2","353","0","21200","53000",
"54","50","55","无","2550136","11684000","54","2","2","360","0","21600","54000",
"55","55","60","无","2689843","12120000","55","2","2","367","0","22000","55000",
"56","55","60","无","2834313","12564000","56","2","2","373","0","22400","56000",
"57","55","60","无","2983823","13016000","57","2","2","380","0","22800","57000",
"58","55","60","无","3138254","13476000","58","2","2","387","0","23200","58000",
"59","55","60","无","4694028","13944000","59","2","2","393","0","23600","59000",
"60","60","65","无","6708792","14420000","60","3","2","400","0","24000","60000",
"61","60","65","无","8580561","14904000","61","3","2","407","0","24400","61000",
"62","60","65","无","10614113","15396000","62","3","2","413","0","24800","62000",
"63","60","65","无","12816981","15896000","63","3","2","420","0","25200","63000",
"64","60","65","无","16971665","16404000","64","3","2","427","0","25600","64000",
"65","65","70","无","19619551","16920000","65","3","2","433","0","26000","65000",
"66","65","70","无","22462885","17444000","66","3","2","440","0","26400","66000",
"67","65","70","无","27541898","17976000","67","3","2","447","0","26800","67000",
"68","65","70","无","33014934","18516000","68","3","2","453","0","27200","68000",
"69","65","70","无","38898607","19064000","69","3","2","460","0","27600","69000",
"70","70","75","无","45349850","19620000","70","4","2","467","0","28000","70000",
"71","70","75","无","52110711","20184000","71","4","2","473","0","28400","71000",
"72","70","75","无","59334159","20756000","72","4","2","480","0","28800","72000",
"73","70","75","无","61799358","21336000","73","4","2","487","0","29200","73000",
"74","70","75","无","64331936","21924000","74","4","2","493","0","29600","74000",
"75","75","80","无","66933005","22520000","75","4","2","500","0","30000","75000",
"76","75","80","无","69603278","23124000","76","4","2","507","0","30400","76000",
"77","75","80","无","72343865","23736000","77","4","2","513","0","30800","77000",
"78","75","80","无","75155480","24356000","78","4","2","520","0","31200","78000",
"79","75","80","无","78039034","24984000","79","4","2","527","0","31600","79000",
"80","80","85","无","80995640","25620000","80","5","2","533","0","32000","80000",
"81","80","85","无","84026008","26264000","81","5","2","540","0","32400","81000",
"82","80","85","无","87131252","26916000","82","5","2","547","0","32800","82000",
"83","80","85","无","90312084","27576000","83","5","2","553","0","33200","83000",
"84","80","85","无","93569415","28244000","84","5","2","560","0","33600","84000",
"85","85","90","无","96904358","28920000","85","5","2","567","0","34000","85000",
"86","85","90","无","100317624","29604000","86","5","2","573","0","34400","86000",
"87","85","90","无","103810326","30296000","87","5","2","580","0","34800","87000",
"88","85","90","无","107383175","30996000","88","5","2","587","0","35200","88000",
"89","85","90","无","111037085","31704000","89","5","2","593","0","35600","89000",
"90","90","95","无","114773166","32420000","90","6","3","600","0","36000","90000",
"91","90","95","无","118592130","33144000","91","6","3","607","0","36400","91000",
"92","90","95","无","122495091","33876000","92","6","3","613","0","36800","92000",
"93","90","95","无","126482759","34616000","93","6","3","620","0","37200","93000",
"94","90","95","无","130556047","35364000","94","6","3","627","0","37600","94000",
"95","95","100","无","134716068","36120000","95","6","3","633","0","38000","95000",
"96","95","100","无","138963532","36884000","96","6","3","640","0","38400","96000",
"97","95","100","无","143299552","37656000","97","6","3","647","0","38800","97000",
"98","95","100","无","147724840","38436000","98","6","3","653","0","39200","98000",
"99","95","100","无","152240309","39224000","99","6","3","660","0","39600","99000",
"100","100","105","无","156847070","40020000","100","6","3","667","0","40000","100000",
"101","100","105","无","161545834","40824000","101","6","3","673","0","40400","101000",
"102","100","105","无","166337715","41636000","102","6","3","680","0","40800","102000",
"103","100","105","无","171223425","42456000","103","6","3","687","0","41200","103000",
"104","100","105","无","176203874","43284000","104","6","3","693","0","41600","104000",
"105","105","110","无","181280176","44120000","105","6","3","700","0","42000","105000",
"106","105","110","无","186453043","44964000","106","6","3","707","0","42400","106000",
"107","105","110","无","191723586","45816000","107","6","3","713","0","42800","107000",
"108","105","110","无","197092517","46676000","108","6","3","720","0","43200","108000",
"109","105","110","无","202560749","47544000","109","6","3","727","0","43600","109000",
"110","110","115","无","208129394","48420000","110","6","3","733","0","44000","110000",
"111","110","115","无","213799163","49304000","111","6","3","740","0","44400","111000",
"112","110","115","无","219571168","50196000","112","6","3","747","0","44800","112000",
"113","110","115","无","225446123","51096000","113","6","3","753","0","45200","113000",
"114","110","115","无","231424938","52004000","114","6","3","760","0","45600","114000",
"115","115","120","无","237508726","52920000","115","6","3","767","0","46000","115000",
"116","115","120","无","243698199","53844000","116","6","3","773","0","46400","116000",
"117","115","120","无","249994469","54776000","117","6","3","780","0","46800","117000",
"118","115","120","无","256398247","55716000","118","6","3","787","0","47200","118000",
"119","115","120","无","262910447","56664000","119","6","3","793","0","47600","119000",
"120","120","125","无","269532180","57620000","120","6","3","800","0","48000","120000",
"121","120","125","无","276264157","58584000","121","6","3","807","0","48400","121000",
"122","120","125","无","283107492","59556000","122","6","3","813","0","48800","122000",
"123","120","125","无","290062896","60536000","123","6","3","820","0","49200","123000",
"124","120","125","无","297131281","61524000","124","6","3","827","0","49600","124000",
"125","125","155","无","304313759","62520000","125","6","3","833","0","50000","125000",
"126","125","155","无","311611042","63524000","126","6","3","840","0","50400","126000",
"127","125","155","无","319024243","64536000","127","6","3","847","0","50800","127000",
"128","125","155","无","326554073","65556000","128","6","3","853","0","51200","128000",
"129","125","155","无","334201445","66584000","129","6","3","860","0","51600","129000",
"130","125","155","无","341967470","67620000","130","6","3","867","0","52000","130000",
"131","125","155","无","349852860","68664000","131","6","3","873","0","52400","131000",
"132","125","155","无","357858728","69716000","132","6","3","880","0","52800","132000",
"133","125","155","无","365985785","70776000","133","6","3","887","0","53200","133000",
"134","125","155","无","374234944","71844000","134","6","3","893","0","53600","134000",
"135","125","155","无","382607317","72920000","135","6","3","900","0","54000","135000",
"136","125","155","无","391103615","74004000","136","6","3","907","0","54400","136000",
"137","125","155","无","399724951","75096000","137","6","3","913","0","54800","137000",
"138","125","155","无","408472037","76196000","138","6","3","920","0","55200","138000",
"139","125","155","无","417345784","77304000","139","6","3","927","0","55600","139000",
"140","125","155","无","426347306","78420000","140","6","3","933","0","56000","140000",
"141","125","155","无","435477313","79544000","141","6","3","940","0","56400","141000",
"142","125","155","无","444736918","80676000","142","6","3","947","0","56800","142000",
"143","125","155","无","454126833","81816000","143","6","3","953","0","57200","143000",
"144","125","155","无","463647970","82964000","144","6","3","960","0","57600","144000",
"145","125","155","无","473301441","84120000","145","6","3","967","0","58000","145000",
"146","125","155","无","483087959","85284000","146","6","3","973","0","58400","146000",
"147","125","155","无","493008634","86456000","147","6","3","980","0","58800","147000",
"148","125","155","无","503064180","87636000","148","6","3","987","0","59200","148000",
"149","125","155","无","513255507","88824000","149","6","3","993","0","59600","149000",
"150","125","155","无","523583730","90020000","150","6","3","1000","0","60000","150000",
"151","125","155","无","523583730","91224000","151","6","3","1000","0","60000","150000",
"152","125","155","无","523583730","92436000","152","6","3","1000","0","60000","150000",
"153","125","155","无","523583730","93656000","153","6","3","1000","0","60000","150000",
"154","125","155","无","523583730","94884000","154","6","3","1000","0","60000","150000",
"155","125","155","无","523583730","96120000","155","6","3","1000","0","60000","150000",
