"收集物品类id","收集物品组","职业","地图备注","等级段min","等级段max","地图id","怪物id","物品id","物品数量"
"119","1","15","废矿一层","30","32","1626@100","22006","50376","1"
"120","1","15","废矿二层","33","35","1627@100","22009","50377","1"
"121","1","15","废矿三层","36","39","1628@100","22011","50378","1"
"122","1","15","银堡一层","40","42","1629@100","22012","50379","1"
"123","1","15","银堡二层","43","45","1630@100","22015","50380","1"
"124","1","15","银堡三层","46","49","1631@100","22017","50381","1"
"125","1","15","荒泽一层","50","52","1602@100","22018","50382","1"
"126","1","15","荒泽二层","53","55","1632@100","22021","50383","1"
"127","1","15","荒泽三层","56","59","1633@100","22023","50384","1"
"128","1","15","教堂一层","60","62","1634@100","22024","50385","1"
"129","1","15","教堂二层","63","65","1635@100","22027","50386","1"
"130","1","15","教堂三层","66","69","1636@100","22029","50387","1"
"131","1","15","埋股圣地一层","70","71","1603@100","22030","50388","1"
"132","1","15","埋股圣地二层","72","73","1637@100","22033","50389","1"
"133","1","15","埋股圣地三层","74","75","1638@100","22035","50390","1"
"134","1","15","遗迹一层","76","77","1639@100","22036","50391","1"
"135","1","15","遗迹二层","78","79","1640@100","22039","50392","1"
"136","1","15","遗迹三层","80","81","1641@100","22041","50393","1"
"137","1","15","祭坛一层","82","83","1604@100","22042","50394","1"
"138","1","15","祭坛二层","84","85","1642@100","22045","50395","1"
"139","1","15","祭坛三层","86","87","1643@100","22047","50396","1"
"140","1","15","深渊一层","88","89","1644@100","22048","50397","1"
"141","1","15","深渊二层","90","91","1645@100","22051","50398","1"
"142","1","15","深渊三层","92","93","1646@100","22053","50399","1"
"143","1","15","雾都一层","94","95","1647@100","22054","50400","1"
"144","1","15","雾都二层","96","97","1648@100","22057","50401","1"
"145","1","15","雾都三层","98","100","1649@100","22059","50402","1"
"146","1","16","溶洞二层","15","24","1624@100","22003","50374","1"
"147","1","16","溶洞三层","25","29","1625@100","22005","50375","1"
"148","1","16","废矿一层","30","32","1626@100","22006","50376","1"
"149","1","16","废矿二层","33","35","1627@100","22009","50377","1"
"150","1","16","废矿三层","36","39","1628@100","22011","50378","1"
"151","1","16","银堡一层","40","42","1629@100","22012","50379","1"
"152","1","16","银堡二层","43","45","1630@100","22015","50380","1"
"153","1","16","银堡三层","46","49","1631@100","22017","50381","1"
"154","1","16","荒泽一层","50","52","1602@100","22018","50382","1"
"155","1","16","荒泽二层","53","55","1632@100","22021","50383","1"
"156","1","16","荒泽三层","56","59","1633@100","22023","50384","1"
"157","1","16","教堂一层","60","62","1634@100","22024","50385","1"
"158","1","16","教堂二层","63","65","1635@100","22027","50386","1"
"159","1","16","教堂三层","66","69","1636@100","22029","50387","1"
"160","1","16","埋股圣地一层","70","71","1603@100","22030","50388","1"
"161","1","16","埋股圣地二层","72","73","1637@100","22033","50389","1"
"162","1","16","埋股圣地三层","74","75","1638@100","22035","50390","1"
"163","1","16","遗迹一层","76","77","1639@100","22036","50391","1"
"164","1","16","遗迹二层","78","79","1640@100","22039","50392","1"
"165","1","16","遗迹三层","80","81","1641@100","22041","50393","1"
"166","1","16","祭坛一层","82","83","1604@100","22042","50394","1"
"167","1","16","祭坛二层","84","85","1642@100","22045","50395","1"
"168","1","16","祭坛三层","86","87","1643@100","22047","50396","1"
"169","1","16","深渊一层","88","89","1644@100","22048","50397","1"
"170","1","16","深渊二层","90","91","1645@100","22051","50398","1"
"171","1","16","深渊三层","92","93","1646@100","22053","50399","1"
"172","1","16","雾都一层","94","95","1647@100","22054","50400","1"
"173","1","16","雾都二层","96","97","1648@100","22057","50401","1"
"174","1","16","雾都三层","98","100","1649@100","22059","50402","1"
"175","1","17","溶洞二层","15","24","1624@100","22003","50374","1"
"176","1","17","溶洞三层","25","29","1625@100","22005","50375","1"
"177","1","17","废矿一层","30","32","1626@100","22006","50376","1"
"178","1","17","废矿二层","33","35","1627@100","22009","50377","1"
"179","1","17","废矿三层","36","39","1628@100","22011","50378","1"
"180","1","17","银堡一层","40","42","1629@100","22012","50379","1"
"181","1","17","银堡二层","43","45","1630@100","22015","50380","1"
"182","1","17","银堡三层","46","49","1631@100","22017","50381","1"
"183","1","17","荒泽一层","50","52","1602@100","22018","50382","1"
"184","1","17","荒泽二层","53","55","1632@100","22021","50383","1"
"185","1","17","荒泽三层","56","59","1633@100","22023","50384","1"
"186","1","17","教堂一层","60","62","1634@100","22024","50385","1"
"187","1","17","教堂二层","63","65","1635@100","22027","50386","1"
"188","1","17","教堂三层","66","69","1636@100","22029","50387","1"
"189","1","17","埋股圣地一层","70","71","1603@100","22030","50388","1"
"190","1","17","埋股圣地二层","72","73","1637@100","22033","50389","1"
"191","1","17","埋股圣地三层","74","75","1638@100","22035","50390","1"
"192","1","17","遗迹一层","76","77","1639@100","22036","50391","1"
"193","1","17","遗迹二层","78","79","1640@100","22039","50392","1"
"194","1","17","遗迹三层","80","81","1641@100","22041","50393","1"
"195","1","17","祭坛一层","82","83","1604@100","22042","50394","1"
"196","1","17","祭坛二层","84","85","1642@100","22045","50395","1"
"197","1","17","祭坛三层","86","87","1643@100","22047","50396","1"
"198","1","17","深渊一层","88","89","1644@100","22048","50397","1"
"199","1","17","深渊二层","90","91","1645@100","22051","50398","1"
"200","1","17","深渊三层","92","93","1646@100","22053","50399","1"
"201","1","17","雾都一层","94","95","1647@100","22054","50400","1"
"202","1","17","雾都二层","96","97","1648@100","22057","50401","1"
"203","1","17","雾都三层","98","100","1649@100","22059","50402","1"
"204","1","18","溶洞二层","15","24","1624@100","22003","50374","1"
"205","1","18","溶洞三层","25","29","1625@100","22005","50375","1"
"206","1","18","废矿一层","30","32","1626@100","22006","50376","1"
"207","1","18","废矿二层","33","35","1627@100","22009","50377","1"
"208","1","18","废矿三层","36","39","1628@100","22011","50378","1"
"209","1","18","银堡一层","40","42","1629@100","22012","50379","1"
"210","1","18","银堡二层","43","45","1630@100","22015","50380","1"
"211","1","18","银堡三层","46","49","1631@100","22017","50381","1"
"212","1","18","荒泽一层","50","52","1602@100","22018","50382","1"
"213","1","18","荒泽二层","53","55","1632@100","22021","50383","1"
"214","1","18","荒泽三层","56","59","1633@100","22023","50384","1"
"215","1","18","教堂一层","60","62","1634@100","22024","50385","1"
"216","1","18","教堂二层","63","65","1635@100","22027","50386","1"
"217","1","18","教堂三层","66","69","1636@100","22029","50387","1"
"218","1","18","埋股圣地一层","70","71","1603@100","22030","50388","1"
"219","1","18","埋股圣地二层","72","73","1637@100","22033","50389","1"
"220","1","18","埋股圣地三层","74","75","1638@100","22035","50390","1"
"221","1","18","遗迹一层","76","77","1639@100","22036","50391","1"
"222","1","18","遗迹二层","78","79","1640@100","22039","50392","1"
"223","1","18","遗迹三层","80","81","1641@100","22041","50393","1"
"224","1","18","祭坛一层","82","83","1604@100","22042","50394","1"
"225","1","18","祭坛二层","84","85","1642@100","22045","50395","1"
"226","1","18","祭坛三层","86","87","1643@100","22047","50396","1"
"227","1","18","深渊一层","88","89","1644@100","22048","50397","1"
"228","1","18","深渊二层","90","91","1645@100","22051","50398","1"
"229","1","18","深渊三层","92","93","1646@100","22053","50399","1"
"230","1","18","雾都一层","94","95","1647@100","22054","50400","1"
"231","1","18","雾都二层","96","97","1648@100","22057","50401","1"
"232","1","18","雾都三层","98","100","1649@100","22059","50402","1"
"233","1","19","溶洞二层","15","24","1624@100","22003","50374","1"
"234","1","19","溶洞三层","25","29","1625@100","22005","50375","1"
"235","1","19","废矿一层","30","32","1626@100","22006","50376","1"
"236","1","19","废矿二层","33","35","1627@100","22009","50377","1"
"237","1","19","废矿三层","36","39","1628@100","22011","50378","1"
"238","1","19","银堡一层","40","42","1629@100","22012","50379","1"
"239","1","19","银堡二层","43","45","1630@100","22015","50380","1"
"240","1","19","银堡三层","46","49","1631@100","22017","50381","1"
"241","1","19","荒泽一层","50","52","1602@100","22018","50382","1"
"242","1","19","荒泽二层","53","55","1632@100","22021","50383","1"
"243","1","19","荒泽三层","56","59","1633@100","22023","50384","1"
"244","1","19","教堂一层","60","62","1634@100","22024","50385","1"
"245","1","19","教堂二层","63","65","1635@100","22027","50386","1"
"246","1","19","教堂三层","66","69","1636@100","22029","50387","1"
"247","1","19","埋股圣地一层","70","71","1603@100","22030","50388","1"
"248","1","19","埋股圣地二层","72","73","1637@100","22033","50389","1"
"249","1","19","埋股圣地三层","74","75","1638@100","22035","50390","1"
"250","1","19","遗迹一层","76","77","1639@100","22036","50391","1"
"251","1","19","遗迹二层","78","79","1640@100","22039","50392","1"
"252","1","19","遗迹三层","80","81","1641@100","22041","50393","1"
"253","1","19","祭坛一层","82","83","1604@100","22042","50394","1"
"254","1","19","祭坛二层","84","85","1642@100","22045","50395","1"
"255","1","19","祭坛三层","86","87","1643@100","22047","50396","1"
"256","1","19","深渊一层","88","89","1644@100","22048","50397","1"
"257","1","19","深渊二层","90","91","1645@100","22051","50398","1"
"258","1","19","深渊三层","92","93","1646@100","22053","50399","1"
"259","1","19","雾都一层","94","95","1647@100","22054","50400","1"
"260","1","19","雾都二层","96","97","1648@100","22057","50401","1"
"261","1","19","雾都三层","98","100","1649@100","22059","50402","1"
