"技能等级","需求等级1","需求等级2","需求等级3","需求等级4","需求等级5","消耗银币1","消耗公会贡献1","消耗银币2","消耗公会贡献2","消耗银币3","消耗公会贡献3","消耗银币4","消耗公会贡献4","消耗银币5","消耗公会贡献5","消耗银币6","消耗公会贡献6","消耗银币7","消耗公会贡献7","消耗银币8","消耗公会贡献8","消耗银币9","消耗公会贡献9","消耗银币10","消耗公会贡献10","消耗活力1","消耗活力2","消耗活力3","消耗活力4","消耗活力5","消耗活力6","消耗活力7","消耗活力8","消耗活力9","消耗活力10"
"113","103","113","0",,,"11300","73","22500","73",,,,,,,,,,,,,,,,,"110","76","100","81",,,,,,
"114","104","114","0",,,"11400","74","22700","74",,,,,,,,,,,,,,,,,"110","77","100","82",,,,,,
"115","105","115","0",,,"11500","75","22900","75",,,,,,,,,,,,,,,,,"110","77","100","83",,,,,,
"116","106","116","0",,,"11600","76","23100","76",,,,,,,,,,,,,,,,,"110","78","100","83",,,,,,
"117","107","117","0",,,"11700","77","23300","77",,,,,,,,,,,,,,,,,"110","78","100","84",,,,,,
"118","108","118","0",,,"11800","78","23500","78",,,,,,,,,,,,,,,,,"110","79","100","85",,,,,,
"119","109","119","0",,,"11900","79","23700","79",,,,,,,,,,,,,,,,,"110","79","100","85",,,,,,
"120","110","120","0",,,"12000","80","23900","80",,,,,,,,,,,,,,,,,"120","80","100","86",,,,,,
"121","111","121","0",,,"12100","81","24100","81",,,,,,,,,,,,,,,,,"120","80","100","87",,,,,,
"122","112","122","0",,,"12200","82","24300","82",,,,,,,,,,,,,,,,,"120","81","100","87",,,,,,
"123","113","123","0",,,"12300","83","24500","83",,,,,,,,,,,,,,,,,"120","81","100","88",,,,,,
"124","114","124","0",,,"12400","84","24700","84",,,,,,,,,,,,,,,,,"120","82","100","89",,,,,,
"125","115","125","0",,,"12500","85","24900","85",,,,,,,,,,,,,,,,,"120","82","100","89",,,,,,
"126","116","126","0",,,"12600","86","25100","86",,,,,,,,,,,,,,,,,"120","83","100","90",,,,,,
"127","117","127","0",,,"12700","87","25300","87",,,,,,,,,,,,,,,,,"120","83","100","91",,,,,,
"128","118","128","0",,,"12800","88","25500","88",,,,,,,,,,,,,,,,,"120","84","100","91",,,,,,
"129","119","129","0",,,"12900","89","25700","89",,,,,,,,,,,,,,,,,"120","84","100","92",,,,,,
"130","120","130","0",,,"13000","90","25900","90",,,,,,,,,,,,,,,,,"130","85","100","93",,,,,,
"131","121","131","0",,,"13100","91","26100","91",,,,,,,,,,,,,,,,,"130","85","100","93",,,,,,
"132","122","132","0",,,"13200","92","26300","92",,,,,,,,,,,,,,,,,"130","86","100","94",,,,,,
"133","123","133","0",,,"13300","93","26500","93",,,,,,,,,,,,,,,,,"130","86","100","95",,,,,,
"134","124","134","0",,,"13400","94","26700","94",,,,,,,,,,,,,,,,,"130","87","100","95",,,,,,
"135","125","135","0",,,"13500","95","26900","95",,,,,,,,,,,,,,,,,"130","87","100","96",,,,,,
"136","126","136","0",,,"13600","96","27100","96",,,,,,,,,,,,,,,,,"130","88","100","97",,,,,,
"137","127","137","0",,,"13700","97","27300","97",,,,,,,,,,,,,,,,,"130","88","100","97",,,,,,
"138","128","138","0",,,"13800","98","27500","98",,,,,,,,,,,,,,,,,"130","89","100","98",,,,,,
"139","129","139","0",,,"13900","99","27700","99",,,,,,,,,,,,,,,,,"130","89","100","99",,,,,,
"140","130","140","0",,,"14000","100","27900","100",,,,,,,,,,,,,,,,,"140","90","100","99",,,,,,
"141","131","141","0",,,"14100","101","28100","101",,,,,,,,,,,,,,,,,"140","90","100","100",,,,,,
"142","132","142","0",,,"14200","102","28300","102",,,,,,,,,,,,,,,,,"140","91","100","101",,,,,,
"143","133","143","0",,,"14300","103","28500","103",,,,,,,,,,,,,,,,,"140","91","100","101",,,,,,
"144","134","144","0",,,"14400","104","28700","104",,,,,,,,,,,,,,,,,"140","92","100","102",,,,,,
"145","135","145","0",,,"14500","105","28900","105",,,,,,,,,,,,,,,,,"140","92","100","103",,,,,,
"146","136","146","0",,,"14600","106","29100","106",,,,,,,,,,,,,,,,,"140","93","100","103",,,,,,
"147","137","147","0",,,"14700","107","29300","107",,,,,,,,,,,,,,,,,"140","93","100","104",,,,,,
"148","138","148","0",,,"14800","108","29500","108",,,,,,,,,,,,,,,,,"140","94","100","105",,,,,,
"149","139","149","0",,,"14900","109","29700","109",,,,,,,,,,,,,,,,,"140","94","100","105",,,,,,
"150","140","150","0",,,"15000","110","29900","110",,,,,,,,,,,,,,,,,"150","95","100","106",,,,,,
"151","141","151","0",,,"15100","111","30100","111",,,,,,,,,,,,,,,,,"150","95","100","107",,,,,,
"152","142","152","0",,,"15200","112","30300","112",,,,,,,,,,,,,,,,,"150","96","100","107",,,,,,
"153","143","153","0",,,"15300","113","30500","113",,,,,,,,,,,,,,,,,"150","96","100","108",,,,,,
"154","144","154","0",,,"15400","114","30700","114",,,,,,,,,,,,,,,,,"150","97","100","109",,,,,,
"155","145","155","0",,,"15500","115","30900","115",,,,,,,,,,,,,,,,,"150","97","100","109",,,,,,
"156","146","156","0",,,"15600","116","31100","116",,,,,,,,,,,,,,,,,"150","98","100","110",,,,,,
"157","147","157","0",,,"15700","117","31300","117",,,,,,,,,,,,,,,,,"150","98","100","111",,,,,,
"158","148","158","0",,,"15800","118","31500","118",,,,,,,,,,,,,,,,,"150","99","100","111",,,,,,
"159","149","159","0",,,"15900","119","31700","119",,,,,,,,,,,,,,,,,"150","99","100","112",,,,,,
"160","150","160","0",,,"16000","120","31900","120",,,,,,,,,,,,,,,,,"160","100","100","113",,,,,,
