"阶段ID","技能描述（策划）","阶段类型","执行方式","播放延时","动作类型","动作最长时间","移动类型","同步保护","目的x","目的y","残影对象编号","残影对象透明度","移动时间","特效类型","特效位置类型","有痕迹","有方向","特效名","特效图层","音效","结果类型","执行结果最长时间","结果受击复位时间","瞬移类型","瞬移时间","保留","瞬移最长时间","多结果标示"
"11000110","幻影斩2-移动","1","0","0","0","0","0","1","0","2","2","188","0","0","0","0","0",,"0","","0","0","200","0","0","0","0","1"
"11000111","幻影斩2-攻击动作","0","1","0","8","1100","0","0","0","2","2","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000112","幻影斩2-受击特效上","2","1","400","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_2/mt3_zs_2_xia_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000113","幻影斩1-受击特效下","2","1","200","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_2/mt3_zs_2_shang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000114","幻影斩2-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","600","200","0","0","0","0","1"
"11000115","幻影斩2-残影消失","1","0","0","0","0","3","2","0","0","2","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000120","幻影斩3-移动","1","0","0","0","0","0","1","0","2","3","188","0","0","0","0","0",,"0","","0","0","200","0","0","0","0","1"
"11000121","幻影斩3-攻击动作","0","1","0","8","1100","0","0","0","2","3","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000122","幻影斩3-受击特效上","2","1","400","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_2/mt3_zs_2_xia_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000123","幻影斩3-受击特效下","2","1","200","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_2/mt3_zs_2_shang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000124","幻影斩3-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","600","200","0","0","0","0","1"
"11000125","幻影斩3-残影消失","1","0","0","0","0","3","2","0","0","3","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000130","幻影斩4-移动","1","0","0","0","0","0","1","0","2","4","188","0","0","0","0","0",,"0","","0","0","200","0","0","0","0","1"
"11000131","幻影斩4-攻击动作","0","1","0","8","1100","0","0","0","2","4","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000132","幻影斩4-受击特效上","2","1","400","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_2/mt3_zs_2_xia_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000133","幻影斩4-受击特效下","2","1","200","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_2/mt3_zs_2_shang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000134","幻影斩4-受击结算","4","1","400","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","600","200","0","0","0","0","1"
"11000135","幻影斩4-残影消失","1","0","0","0","0","3","2","0","0","4","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000140","幻影斩5-现身","6","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000200","挫志怒吼1-移动","1","0","0","0","0","0","1","0","12","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000201","挫志怒吼1-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000202","挫志怒吼1-施法特效上","2","1","600","0","0","0","0","0","0","0","188","0","0","0","0","1","geffect/skill/mt3_zs_3/mt3_zs_3_xia_","-2","feilongzaitian","0","0","200","0","0","0","0","1"
"11000203","挫志怒吼1-施法特效下","2","1","600","0","0","0","0","0","0","0","188","0","0","0","0","1","geffect/skill/mt3_zs_3/mt3_zs_3_shang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000204","挫志怒吼1-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11000205","挫志怒吼1-返回","1","0","0","0","0","2","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000210","挫志怒吼2-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11000220","挫志怒吼3-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11000230","挫志怒吼4-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11000300","毁灭打击1-移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000301","毁灭打击1-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000302","毁灭打击1-受击特效上","2","1","200","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_4/mt_daoguang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000303","毁灭打击1-受击结算","4","1","500","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","700","200","0","0","0","0","1"
"11000304","毁灭打击1-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000310","毁灭打击2-保护者移动","1","0","0","0","0","0","11","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000311","毁灭打击2-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000312","毁灭打击2-受击特效上","2","1","200","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_4/mt_daoguang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000313","毁灭打击2-受击结算","4","1","500","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","700","200","0","0","0","0","1"
"11000314","毁灭打击2-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000320","毁灭打击3-保护者移动","1","0","0","0","0","0","11","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000321","毁灭打击3","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000322","毁灭打击3-受击特效上","2","1","200","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_4/mt_daoguang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11000323","毁灭打击3-受击结算","4","1","500","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","700","200","0","0","0","0","1"
"11000324","毁灭打击3-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000330","毁灭打击4-返回","1","0","0","0","0","2","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000331","毁灭打击4-休息结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11000400","蓄力猛击-选择目标","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11000410","蓄力猛击-施法动作","0","1","0","9","1100","0","0","0","8","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000411","蓄力猛击-施法特效上","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_5/mt3_zs_5_shifa","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000412","蓄力猛击-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11001100","蓄力猛击之猛击-移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11001101","蓄力猛击之猛击-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11001102","蓄力猛击之猛击-受击特效","2","1","400","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_5/mt3_zs_5_mingzhong_","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11001103","蓄力猛击之猛击-结算","4","1","500","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","700","200","0","0","0","0","1"
"11001104","蓄力猛击之猛击-返回","1","0","0","0","0","2","2","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11001110","蓄力猛击之猛击完驱散蓄力-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11000500","破甲-移动","1","0","0","0","0","0","1","0","2","0","188","0","0","0","0","0","","0","","0","0","200","0","0","0","0","1"
"11000501","破甲-攻击动作","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000502","破甲-受击特效","2","1","400","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_6/mt3_zs_6","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000503","破甲-结算","4","1","600","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","800","200","0","0","0","0","1"
"11000504","破甲-返回","1","0","0","0","0","2","2","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000700","剑刃风暴1-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11000701","剑刃风暴1-受击特效","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_1","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000702","剑刃风暴1-结算","4","1","750","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","950","200","0","0","0","0","1"
"11000710","剑刃风暴2-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_2","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000711","剑刃风暴2-结算","4","1","150","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","350","200","0","0","0","0","1"
"11000720","剑刃风暴3-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_3","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000721","剑刃风暴3-结算","4","1","150","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","350","200","0","0","0","0","1"
"11000730","剑刃风暴4-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_4","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000731","剑刃风暴4-结算","4","1","150","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","350","200","0","0","0","0","1"
"11000740","剑刃风暴5-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_1","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000741","剑刃风暴5-结算","4","1","150","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","350","200","0","0","0","0","1"
"11000750","剑刃风暴6-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_2","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000751","剑刃风暴6-结算","4","1","150","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","350","200","0","0","0","0","1"
"11000760","剑刃风暴7-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_3","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000761","剑刃风暴7-结算","4","1","150","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","350","200","0","0","0","0","1"
"11000770","剑刃风暴8-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_4","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000771","剑刃风暴8-结算","4","1","150","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","350","200","0","0","0","0","1"
"11000780","剑刃风暴9-受击特效","2","1","0","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_zs_da/mt3_zs_da_5","0","feilongzaitian","0","0","200","0","0","0","0","1"
"11000781","剑刃风暴9-结算","4","1","800","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1000","200","0","0","0","0","1"
"11000790","剑刃风暴10-降防休息结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11100100","幻影斩回血-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11100200","挫志怒吼回血-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11100300","毁灭打击回血-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11100400","毁灭打击回血-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11100500","毁灭打击回血-结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"11100600","毁灭打击5-保护者移动","1","0","0","0","0","0","11","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11100601","毁灭打击5","0","1","0","8","1100","0","0","0","2","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"11100602","毁灭打击5-受击特效上","2","1","200","0","0","0","0","0","0","0","188","0","0","5","0","1","geffect/skill/mt3_zs_4/mt_daoguang_","1","feilongzaitian","0","0","200","0","0","0","0","1"
"11100603","毁灭打击5-受击结算","4","1","500","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","700","200","0","0","0","0","1"
"11100604","毁灭打击5-保护者返回","1","0","0","0","0","0","12","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000100","审判之锤1-施法动作","0","1","0","8","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000101","审判之锤1-施法特效","2","1","400","0","0","0","0","0","0","0","188","0","0","0","0","1","geffect/skill/mt3_sq_2/mt3_sq_2_shifa_","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000102","审判之锤1-残影移动","1","1","600","0","0","0","0","0","5","1","0","300","0","5","0","0",,"0",,"0","50","50","0","0","0","0","1"
"12000103","审判之锤1-弓箭特效移动","2","1","600","0","0","0","0","0","0","1","0","1","0","0","0","1","geffect/skill/mt3_sq_2/mt3_sq_2_chui_","1",,"0","50","50","0","0","0","0","1"
"12000104","审判之锤1-残影消失","1","1","900","0","0","3","0","0","0","1","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000105","审判之锤1-受击特效","2","1","850","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_2/mt3_sq_2_mingzhong","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000106","审判之锤1-受击结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1100","200","0","0","0","0","1"
"12000110","审判之锤2-残影移动","1","1","600","0","0","0","0","0","5","2","0","300","0","5","0","0",,"0",,"0","50","50","0","0","0","0","1"
"12000111","审判之锤2-弓箭特效移动","2","1","600","0","0","0","0","0","0","2","0","1","0","0","0","1","geffect/skill/mt3_sq_2/mt3_sq_2_chui_","1",,"0","50","50","0","0","0","0","1"
"12000112","审判之锤2-残影消失","1","1","900","0","0","3","0","0","0","2","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000113","审判之锤2-受击特效","2","1","850","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_2/mt3_sq_2_mingzhong","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000114","审判之锤2-受击结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1100","200","0","0","0","0","1"
"12000120","审判之锤3-残影移动","1","1","600","0","0","0","0","0","5","3","0","300","0","5","0","0",,"0",,"0","50","50","0","0","0","0","1"
"12000121","审判之锤3-弓箭特效移动","2","1","600","0","0","0","0","0","0","3","0","1","0","0","0","1","geffect/skill/mt3_sq_2/mt3_sq_2_chui_","1",,"0","50","50","0","0","0","0","1"
"12000122","审判之锤3-残影消失","1","1","900","0","0","3","0","0","0","3","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000123","审判之锤3-受击特效","2","1","850","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_2/mt3_sq_2_mingzhong","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000124","审判之锤3-受击结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1100","200","0","0","0","0","1"
"12000130","审判之锤4-残影移动","1","1","600","0","0","0","0","0","5","4","0","300","0","5","0","0",,"0",,"0","50","50","0","0","0","0","1"
"12000131","审判之锤4-弓箭特效移动","2","1","600","0","0","0","0","0","0","4","0","1","0","0","0","1","geffect/skill/mt3_sq_2/mt3_sq_2_chui_","1",,"0","50","50","0","0","0","0","1"
"12000132","审判之锤4-残影消失","1","1","900","0","0","3","0","0","0","4","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000133","审判之锤4-受击特效","2","1","850","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_2/mt3_sq_2_mingzhong","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000134","审判之锤4-受击结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1100","200","0","0","0","0","1"
"12000140","审判之锤5-残影移动","1","1","600","0","0","0","0","0","5","5","0","300","0","5","0","0",,"0",,"0","50","50","0","0","0","0","1"
"12000141","审判之锤5-弓箭特效移动","2","1","600","0","0","0","0","0","0","5","0","1","0","0","0","1","geffect/skill/mt3_sq_2/mt3_sq_2_chui_","1",,"0","50","50","0","0","0","0","1"
"12000142","审判之锤5-残影消失","1","1","900","0","0","3","0","0","0","5","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000143","审判之锤5-受击特效","2","1","850","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_2/mt3_sq_2_mingzhong","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000144","审判之锤5-受击结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1100","200","0","0","0","0","1"
"12000150","审判之锤6-残影移动","1","1","600","0","0","0","0","0","5","6","0","300","0","5","0","0",,"0",,"0","50","50","0","0","0","0","1"
"12000151","审判之锤6-弓箭特效移动","2","1","600","0","0","0","0","0","0","6","0","1","0","0","0","1","geffect/skill/mt3_sq_2/mt3_sq_2_chui_","1",,"0","50","50","0","0","0","0","1"
"12000152","审判之锤6-残影消失","1","1","900","0","0","3","0","0","0","6","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000153","审判之锤6-受击特效","2","1","850","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_2/mt3_sq_2_mingzhong","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000154","审判之锤6-受击结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1100","200","0","0","0","0","1"
"12000160","审判之锤7-首目标净化结算","4","0","0","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","200","200","0","0","0","0","1"
"12000200","无边定罪-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000201","无边定罪-受击特效上","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_3/mt3_sq_3_shang","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000202","无边定罪-受击特效下","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_3/mt3_sq_3_xia","-2","feilongzaitian","0","0","200","0","0","0","0","1"
"12000203","无边定罪-受击结算","4","1","1500","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1700","200","0","0","0","0","1"
"12000210","无边定罪神圣伤害-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000211","无边定罪神圣伤害-受击特效上","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_3/mt3_sq_3_fj_shang","0",,"0","0","200","0","0","0","0","1"
"12000212","无边定罪神圣伤害-受击特效下","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_3/mt3_sq_3_fj_xia","-2",,"0","0","200","0","0","0","0","1"
"12000213","无边定罪神圣伤害-受击结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1100","200","0","0","0","0","1"
"12000300","复仇之盾1-施法动作","0","1","0","9","1100","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000301","复仇之盾1-残影移动","1","1","600","0","0","0","0","0","5","1","0","300","0","5","0","0",,"0",,"0","50","50","0","0","0","0","1"
"12000302","复仇之盾1-弓箭特效移动","2","1","600","0","0","0","0","0","0","1","0","1","0","0","0","0","geffect/skill/mt3_sq_4/mt3_sq_4_dun","1",,"0","50","50","0","0","0","0","1"
"12000303","复仇之盾1-残影消失","1","1","900","0","0","3","0","0","0","1","0","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000304","复仇之盾1-闪电特效","2","1","800","1","0","0","0","0","0","0","188","0","0","5","0","0","electric/mt3_sq_4/fuchouzhidun_guangxian","1","feilongzaitian","0","0","200","0","0","100","400","1"
"12000305","复仇之盾1-受击特效","2","1","800","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_4/mt3_sq_4_mingzhong","1","feilongzaitian","0","0","200","0","0","0","0","1"
"12000306","复仇之盾1-结算","4","1","900","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1100","200","0","0","0","0","1"
"12000310","复仇之盾2-闪电特效","2","1","1100","2","0","0","0","0","0","0","188","0","0","5","0","0","electric/mt3_sq_4/fuchouzhidun_guangxian","1","feilongzaitian","0","0","200","0","0","100","500","1"
"12000311","复仇之盾2-受击特效","2","1","1100","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_4/mt3_sq_4_mingzhong","1","feilongzaitian","0","0","200","0","0","0","0","1"
"12000312","复仇之盾2-结算","4","1","1200","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1400","200","0","0","0","0","1"
"12000320","复仇之盾3-闪电特效","2","1","1300","3","0","0","0","0","0","0","188","0","0","5","0","0","electric/mt3_sq_4/fuchouzhidun_guangxian","1","feilongzaitian","0","0","200","0","0","100","500","1"
"12000321","复仇之盾3-受击特效","2","1","1300","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_4/mt3_sq_4_mingzhong","1","feilongzaitian","0","0","200","0","0","0","0","1"
"12000322","复仇之盾3-结算","4","1","1400","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1600","200","0","0","0","0","1"
"12000330","复仇之盾4-闪电特效","2","1","1500","4","0","0","0","0","0","0","188","0","0","5","0","0","electric/mt3_sq_4/fuchouzhidun_guangxian","1","feilongzaitian","0","0","200","0","0","100","500","1"
"12000331","复仇之盾4-受击特效","2","1","1500","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_4/mt3_sq_4_mingzhong","1","feilongzaitian","0","0","200","0","0","0","0","1"
"12000332","复仇之盾4-结算","4","1","1600","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1800","200","0","0","0","0","1"
"12000400","圣光洗礼-施法动作","0","1","0","9","1100","0","0","0","8","0","188","0","0","0","0","0",,"0",,"0","0","200","0","0","0","0","1"
"12000401","圣光洗礼-受击特效上","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_6/mt3_sq_6_shang","0","feilongzaitian","0","0","200","0","0","0","0","1"
"12000402","圣光洗礼-受击特效下","2","1","600","0","0","0","0","0","0","0","188","0","0","5","0","0","geffect/skill/mt3_sq_6/mt3_sq_6_xia","-2","feilongzaitian","0","0","200","0","0","0","0","1"
"12000403","圣光洗礼-受击结算","4","1","1200","0","0","0","0","0","0","0","188","0","0","0","0","0",,"0",,"0","1400","200","0","0","0","0","1"
