"Buff编号","Buff名称","Buff简述","classname","限制动作","时间","量","清除方式","保存到硬盘","下线保存时间","策划备注类型","Buff类型","针对类型","是否发给客户端","广播类型","发战斗脚本","效果","一次性BUFF","一次性BUFF效果值","计数","自身覆盖类型","覆盖属性","场景状态ID","战斗内是否显示","Tips描述","Buff显示名","图标id","特效","特殊表现","特效优先级","文字特效","文字特效优先级"
"507006","队伍中","队伍中","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","0","-1","false",,"0",,"-1","0",,,"0",,,"-1",,,"0",,"0"
"507007","队长","队长","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","1","2","false",,"0",,"-1","0",,,"0","效果：队长奖励增加10%","队长","900",,,"0",,"0"
"507008","队员","队员","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","0","-1","false",,"0",,"-1","0",,,"0",,,"-1",,,"0",,"0"
"507009","归队队员状态","归队队员状态","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","0","-1","false",,"0",,"-1","0",,,"0",,,"-1",,,"0",,"0"
"507010","暂离队员状态","暂离队员状态","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","0","-1","false",,"0",,"-1","0",,,"0",,,"-1",,,"0",,"0"
"507011","归队中队员","归队中队员","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","0","-1","false",,"0",,"-1","0",,,"0",,,"-1",,,"0",,"0"
"507012","离线队员","离线队员","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","0","-1","false",,"0",,"-1","0",,,"0",,,"-1",,,"0",,"0"
"507020","剧情动画演示状态","剧情动画演示状态","fire.pb.buff.continual.PlayCGBuff",,"1800","-1","1","false","0",,"401","-1","1","-1","false",,"0",,"-1","0",,"8","0",,,"-1",,,"0",,"0"
"507025","ROLL点状态","ROLL点状态","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","0","-1","false",,"0",,"-1","0",,,"0",,,"-1",,,"0",,"0"
"507026","日常副本中状态","日常副本中状态","fire.pb.buff.continual.NullBuff",,"-1","-1","-1","false","0",,"401","-1","0","-1","false",,"0",,"-1","0",,,"0",,,"-1",,,"0",,"0"
"509001","暴击","暴击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","phycruelrate_value=0.1",,,"-1","0",,,"0","普通物理攻击时暴击概率增加10%。","暴击","23",,,"0",,
"509002","连击","连击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","comborate_value=0.45;physicrevise_value=-0.25;phycombolimit_value=1",,,"-1","0",,,"0","普通物理攻击时,有45%概率追加一次攻击,拥有此技能物理伤害结果会降低25%。","连击","23",,,"0",,
"509003","强力","强力","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","提升少量的物理攻击力,如果对方有生物力场或高级生物力场技能,物理伤害结果会减少20%。","强力","23",,,"0",,
"509004","撕裂","撕裂","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","phynodefrate_value=1;phynodefdegree_value=0.08",,,"-1","0",,,"0","物理攻击时忽视对方少量的物理防御。","撕裂","23",,,"0",,
"509005","偷袭","偷袭","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","onfanzhenrate_value=9.99;onfanjinum_value=9.99;physicrevise_value=0.05",,,"-1","0",,,"0","物理攻击不会受到反击和反震,并提高5%的物理伤害结果。","偷袭","23",,,"0",,
"509006","法术暴击","法术暴击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","magiccruel_value=0.1",,,"-1","0",,,"0","法术攻击时暴击概率增加10%。","法术暴击","23",,,"0",,
"509007","法术连击","法术连击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","magicdouble_value=0.2;magiccombo_value=0.5;magiccombolimit=1",,,"-1","0",,,"0","法术攻击时,有20%概率追加一次攻击,伤害是正常伤害的50%。","法术连击","23",,,"0",,
"509008","法术波动","法术波动","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","fashubodong_value=0.15",,,"-1","0",,,"0","每次法术攻击伤害结果在80%至120%之间浮动。","法术波动","23",,,"0",,
"509009","魔之心","魔之心","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","magicrevise_value=0.1",,,"-1","0",,,"0","对敌人的法术伤害结果提高10%。","魔之心","23",,,"0",,
"509010","会心","会心","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","magicnodefrate_value=1;magicnodefdegree=0.05",,,"-1","0",,,"0","法术攻击时忽视对方少量的法术防御。","会心","23",,,"0",,
"509011","冥思","冥思","fire.pb.buff.continual.RoundBuff",,"-1","-1","0","false","0","战斗中hot","220",,"1",,"true",,"510103",,"-1","0",,,"1","战斗中,每回合结束时回复等级*0.3的魔法。","冥思","23",,,"0",,
"509012","吸血","吸血","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","xixuerate_value=1;xixuedegree_value=0.2",,,"-1","0",,,"0","物理攻击时,吸收对方所掉生命的20%。","吸血","23",,,"0",,
"509013","回春","回春","fire.pb.buff.continual.RoundBuff",,"-1","-1","0","false","0","战斗中hot","220",,"1",,"true",,"510101",,"-1","0",,,"1","战斗中,每回合自动回复等级*0.8的生命。","回春","23",,,"0",,
"509014","凤凰之心","凤凰之心","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","reviverate_value=0.2;revivedegree_value=0.6",,,"-1","0",,,"0","死亡时,有20%概率复活,剩余生命为最大生命的60%。","凤凰之心","23",,,"0",,
"509015","格挡","格挡","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","blockrate_value=0.17",,,"-1","0",,,"0","受到物理伤害时的格挡几率提高17%。","格挡","23",,,"0",,
"509016","反弹","反弹","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","fanzhenrate_value=0.3;fanzhendegree_value=0.25",,,"-1","0",,,"0","受到物理攻击时有30%概率进行反震,反震伤害结果等于自己受到伤害的25%。","反弹","23",,,"0",,
"509017","神迹","神迹","fire.pb.buff.continual.GodBuff",,"-1","-1","0","false","0","其他","310",,"1",,"true",,"510132",,"0","0",,,"1","每回合结束时自动解除一切异常状态,包括毒、封印、属性降低等。","神迹","70",,,"0",,
"509018","反击","反击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","fanjirate_value=0.17;fanjidegree_value=0.5",,,"-1","0",,,"0","受到普通物理攻击时有20%概率自动反击,反击的伤害是正常伤害的100%。","反击","23",,,"0",,
"509019","灵敏","灵敏","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","speed_percent=0.1",,,"-1","0",,,"0","自身速度增加10%。","灵敏","23",,,"0",,
"509020","强壮","强壮","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","maxhp_percent=0.1",,,"-1","0",,,"0","自身生命上限提升10%。","强壮","23",,,"0",,
"509021","防御","防御","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","提升等级*0.8的物理防御,但法术伤害结果会降低10%。","防御","23",,,"0",,
"509022","固法","固法","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","提升等级*0.8的法术防御,但物理伤害结果会降低10%。","固法","23",,,"0",,
"509023","幸运","幸运","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","phyoncruelrate_value=0.1",,,"-1","0",,,"0","被物理攻击时,被暴击概率降低10%。","幸运","23",,,"0",,
"509024","迟钝","迟钝","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","speed_percent=-0.1",,,"-1","0",,,"0","减少自身速度的10%。","迟钝","23",,,"0",,
"509025","火元素吸收","火元素吸收","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","fireabsorb_value=0.3;fireabsorbdegree_value=1",,,"-1","0",,,"0","有30%概率吸收火元素法术伤害,回复对应的生命。","火元素吸收","23",,,"0",,
"509026","水元素吸收","水元素吸收","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","waterabsorb_value=0.3;waterabsorbdegree_value=1",,,"-1","0",,,"0","有30%概率吸收水元素法术伤害,回复对应的生命。","水元素吸收","23",,,"0",,
"509027","土元素吸收","土元素吸收","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","stoneabsorb_value=0.3;stoneabsorbdegree_value=1",,,"-1","0",,,"0","有30%概率吸收土元素法术伤害,回复对应的生命。","土元素吸收","23",,,"0",,
"509028","雷元素吸收","雷元素吸收","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","thunderabsorb_value=0.3;thunderabsorbdegree_value=1",,,"-1","0",,,"0","有30%概率吸收雷元素法术伤害,回复对应的生命。","雷元素吸收","23",,,"0",,
"509029","不死亡魂","不死亡魂","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","onpoisonrate_value=9.99;ondeadjingurate_value=9.99",,,"-1","0",,,"0","死亡5回合后自动复活,不受任何状态影响,但也不能使用主动技能和药品回复生命。","不死亡魂","23",,,"0",,
"509030","驱魔","驱魔","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","对敌方拥有不死亡魂术单位的物理、法术伤害效果增加50%,并能将其打飞出场外。","驱魔","23",,,"0",,
"509031","潜行","潜行","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","0","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","自动附加隐身状态2至3回合,隐身状态下物理攻击能力会降低20%,使用技能取消隐身状态。","潜行","23",,,"0",,
"509032","夜枭感知","夜枭感知","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","能探知并攻击敌方隐身状态的单位。","夜枭感知","23",,,"0",,
"509033","永恒","永恒","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","受到的增益状态持续回合数加倍。","永恒","23",,,"0",,
"509034","精神集中","精神集中","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","physicrevise_value=-0.2",,,"-1","0",,,"0","可以抵御控制类异常状态,但自己的物理伤害结果也会降低20%。","精神集中","23",,,"0",,
"509035","瘟疫","瘟疫","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","poisonrate_value=0.15;poisonxue_value=0.1;poisonlan_value=0.05;poisonhuihe_value=3",,,"-1","0",,,"0","普通物理攻击有15%概率使目标中毒,中毒状态下每回合损失10%生命和5%魔法（物理攻击中毒单位时有15%几率被感染）。","瘟疫","23",,,"0",,
"509036","追击","追击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","zhuijirate_value=0.45;zhuijidegree_value=0.5;zhuijinum_value=1",,,"-1","0",,,"0","普通物理攻击杀死对方时,有45%概率对敌方其他目标追加一次攻击,伤害是正常伤害的50%。","追击","23",,,"0",,
"509037","溅射","溅射","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","splashrate_value=0.15;splashdegree_value=0.2;splashnum_value=2",,,"-1","0",,,"0","普通物理攻击时有15%概率对目标周围的两个敌方单位造成溅射伤害,溅射伤害为主体伤害的20%。","溅射","23",,,"0",,
"509038","高级暴击","高级暴击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","phycruelrate_value=0.2",,,"-1","0",,,"0","普通物理攻击时暴击概率增加20%。","高级暴击","23",,,"0",,
"509039","高级连击","高级连击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","comborate_value=0.55;physicrevise_value=-0.2;phycombolimit_value=1",,,"-1","0",,,"0","普通物理攻击时,有55%概率追加一次攻击,拥有此技能物理伤害结果会降低20%。","高级连击","23",,,"0",,
"509040","高级强劲","高级强劲","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","提升一定的物理攻击力,如果对方有生物力场或高级生物力场技能,物理伤害结果会减少20%。","高级强劲","23",,,"0",,
"509041","高级撕裂","高级撕裂","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","phynodefrate_value=1;phynodefdegree_value=0.16",,,"-1","0",,,"0","物理攻击时忽视对方一定的物理防御。","高级撕裂","23",,,"0",,
"509042","高级偷袭","高级偷袭","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","onfanzhenrate_value=9.99;onfanjinum_value=9.99;physicrevise_value=0.1",,,"-1","0",,,"0","物理攻击不会受到反击和反震,并提高10%的物理伤害结果。","高级偷袭","23",,,"0",,
"509043","高级法术暴击","高级法术暴击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","magiccruel_value=0.15",,,"-1","0",,,"0","法术攻击时暴击概率增加15%。","高级法术暴击","23",,,"0",,
"509044","高级法术连击","高级法术连击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","magicdouble_value=0.3;magiccombo_value=0.5;magiccombolimit=1",,,"-1","0",,,"0","法术攻击时,有30%概率追加一次攻击,伤害是第一次的50%。","高级法术连击","23",,,"0",,
"509045","高级法术波动","高级法术波动","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","fashubodong_value=0.45",,,"-1","0",,,"0","每次法术攻击伤害结果在50%至150%之间浮动。","高级法术波动","23",,,"0",,
"509046","高级法术强劲","高级法术强劲","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","magicrevise_value=0.2",,,"-1","0",,,"0","对敌人的法术伤害结果提高20%。","高级法术强劲","23",,,"0",,
"509047","高级法术撕裂","高级法术撕裂","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","magicnodefrate_value=1;magicnodefdegree=0.1",,,"-1","0",,,"0","法术攻击时忽视对方一定的法术防御。","高级法术撕裂","23",,,"0",,
"509048","高级法力重生","高级法力重生","fire.pb.buff.continual.RoundBuff",,"-1","-1","0","false","0","战斗中hot","220",,"1",,"true",,"510102",,"-1","0",,,"1","战斗中,每回合结束时回复等级*0.5的魔法。","高级法力重生","23",,,"0",,
"509049","高级吸血","高级吸血","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","xixuerate_value=1;xixuedegree_value=0.3",,,"-1","0",,,"0","物理攻击时,吸收对方所掉生命的30%。","高级吸血","23",,,"0",,
"509050","高级回春","高级回春","fire.pb.buff.continual.RoundBuff",,"-1","-1","0","false","0","战斗中hot","220",,"1",,"true",,"510101",,"-1","0",,,"1","战斗中,每回合自动回复等级*1.5的生命。","高级回春","23",,,"0",,
"509051","高级凤凰之心","高级凤凰之心","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","reviverate_value=0.3;revivedegree_value=1",,,"-1","0",,,"0","当死亡时,有30%概率满血复活。","高级凤凰之心","23",,,"0",,
"509052","高级格挡","高级格挡","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","blockrate_value=0.27",,,"-1","0",,,"0","受到物理伤害时的格挡几率提高27%","高级格挡","23",,,"0",,
"509053","高级反弹","高级反弹","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","fanzhenrate_value=0.3;fanzhendegree_value=0.5",,,"-1","0",,,"0","受到物理攻击时有30%概率进行反震,反震伤害结果等于自己受到伤害的50%。","高级反弹","23",,,"0",,
"509054","高级神迹","高级神迹","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","onpoisonrate_value=9.99;ondeadjingurate_value=9.99",,,"-1","0",,,"0","不受所有负面状态影响,包括毒、控制等。","高级神迹","23",,,"0",,
"509055","高级反击","高级反击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","fanjirate_value=0.27;fanjidegree_value=0.75",,,"-1","0",,,"0","受到普通物理攻击时有30%概率自动反击,反击的伤害为正常伤害的125%。","高级反击","23",,,"0",,
"509056","高级灵敏","高级灵敏","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","speed_percent=0.2",,,"-1","0",,,"0","自身速度增加20%。","高级灵敏","23",,,"0",,
"509057","高级强壮","高级强壮","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","maxhp_percent=0.2",,,"-1","0",,,"0","自身生命上限提升20%。","高级强壮","23",,,"0",,
"509058","高级防御","高级防御","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","提升等级*1.2的物理防御,但法术伤害结果会降低10%。","高级防御","23",,,"0",,
"509059","高级固法","高级固法","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","提升等级*1.2的法术防御,但物理伤害结果会降低10%。","高级固法","23",,,"0",,
"509060","高级幸运","高级幸运","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","phyoncruelrate_value=0.2",,,"-1","0",,,"0","被物理攻击时,被暴击概率降低20%。","高级幸运","23",,,"0",,
"509061","高级迟钝","高级迟钝","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","speed_percent=-0.2;maxhp_percent=0.05",,,"-1","0",,,"0","减少自身速度的20%,同时增加5%的生命。","高级迟钝","23",,,"0",,
"509062","高级火元素吸收","高级火元素吸收","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","fireabsorb_value=0.3;fireabsorbdegree_value=1",,,"-1","0",,,"0","有30%概率吸收火元素法术伤害,回复对应的生命,吸收失败也可减少火元素法术伤害的30%。","高级火元素吸收","23",,,"0",,
"509063","高级水元素吸收","高级水元素吸收","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","waterabsorb_value=0.3;waterabsorbdegree_value=1",,,"-1","0",,,"0","有30%概率吸收水元素法术伤害,回复对应的生命,吸收失败也可减少水元素法术伤害的30%。","高级水元素吸收","23",,,"0",,
"509064","高级土元素吸收","高级土元素吸收","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","stoneabsorb_value=0.3;stoneabsorbdegree_value=1",,,"-1","0",,,"0","有30%概率吸收土元素法术伤害,回复对应的生命,吸收失败也可减少土元素法术伤害的30%。","高级土元素吸收","23",,,"0",,
"509065","高级雷元素吸收","高级雷元素吸收","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","thunderabsorb_value=0.3;thunderabsorbdegree_value=1",,,"-1","0",,,"0","有30%概率吸收雷元素法术伤害,回复对应的生命,吸收失败也可减少雷元素法术伤害的30%。","高级雷元素吸收","23",,,"0",,
"509066","高级不死亡魂","高级不死亡魂","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","onpoisonrate_value=9.99;ondeadjingurate_value=9.99",,,"-1","0",,,"0","死亡5回合后自动复活,不受异常状态影响。","高级不死亡魂","23",,,"0",,
"509067","高级驱魔","高级驱魔","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","对敌方拥有不死亡魂术单位的物理、法术伤害效果增加100%,并能将其打飞出场外。","高级驱魔","23",,,"0",,
"509068","高级潜行","高级潜行","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","0","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","自动附加隐身状态3至5回合,隐身状态下物理伤害结果会降低15%,使用技能取消隐身状态。","高级潜行","23",,,"0",,
"509069","高级夜枭感知","高级夜枭感知","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","blockrate_value=0.07",,,"-1","0",,,"0","能探知并攻击敌方隐身状态的单位，受到物理伤害时的格挡几率提高7%。","高级夜枭感知","23",,,"0",,
"509070","高级永恒","高级永恒","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true",,,,"-1","0",,,"0","受到的增益状态持续回合数增加为原来的4倍。","高级永恒","23",,,"0",,
"509071","高级精神集中","高级精神集中","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","blockrate_value=0.07;physicrevise_value=-0.2",,,"-1","0",,,"0","可以抵御控制类异常状态,受到物理伤害时的格挡几率提高7%,但自己的物理伤害结果也会降低20%。","高级精神集中","23",,,"0",,
"509072","高级瘟疫","高级瘟疫","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","poisonrate_value=0.2;poisonxue_value=0.1;poisonlan_value=0.05;poisonhuihe_value=3;onpoisonrate_value=9.99",,,"-1","0",,,"0","普通物理攻击有20%概率使目标中毒,中毒状态下每回合损失10%生命和5%魔法,拥有高级毒技能的宠物对毒免疫（物理攻击中毒单位有15%几率被感染）","高级瘟疫","23",,,"0",,
"509073","高级追击","高级追击","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","zhuijirate_value=0.55;zhuijidegree_value=0.75;zhuijinum_value=1",,,"-1","0",,,"0","普通物理攻击杀死对方时,有55%概率对敌方其他目标追加一次攻击,伤害是正常伤害的75%。","高级追击","23",,,"0",,
"509074","高级溅射","高级溅射","fire.pb.buff.continual.ConstantlyBuff",,"-1","-1","1","false","0","其他","310",,"1",,"true","splashrate_value=0.2;splashdegree_value=0.3;splashnum_value=2",,,"-1","0",,,"0","普通物理攻击时有20%概率对目标周围的两个敌方单位造成溅射伤害,溅射伤害为主体伤害的30%。","高级溅射","23",,,"0",,
