"id","题目","选项1","选项2","选项3","选项4","标题","题库id","正确答案"
"39","《我叫MT》动漫中以下谁会隐身？","女贼","MT","大小姐","方砖","MT答题","1","1"
"40","《我叫MT》中被称为小三的是谁？","沐丝","傻馒","美屡","术士大妈","MT答题","1","1"
"41","《我叫MT》动漫中神棍德的老婆是谁？","花花","傻馒","镁铝","术士大妈","MT答题","1","1"
"42","《我叫MT》中桶牛暗恋谁？","沐丝","血精灵","女贼 ","发丝","MT答题","1","1"
"43","《我叫MT》动漫中劣人的暗恋对象是谁？","美屡","女贼","女德","大小姐","MT答题","1","1"
"44","《我叫MT》中菊爆大队是谁创建的？","劣人","傻馒","呆贼","美屡","MT答题","1","1"
"45","《我叫MT》中小软内裤是谁的？","绿小软","红小软","紫小软","哀木涕","MT答题","1","1"
"46","《我叫MT》动漫中小软内裤是谁的最爱？","MT","神棍德","劣人","桶牛","MT答题","1","1"
"47","《我叫MT》中谁的耳朵最长？","冬","野德","炮姐","我也是醉了","MT答题","1","1"
"48","《我叫MT》动漫中劣人总被谁打？","美屡","沐丝","呆贼","MT","MT答题","1","1"
"49","《我叫MT》中谁的耳朵最长？","冬","野德","炮姐","我也是醉了","MT答题","1","1"
"50","《我叫MT》中谁的耳朵最长？","冬","野德","炮姐","我也是醉了","MT答题","1","1"
"51","《我叫MT》中傻馒的师父是谁？","炮姐","泡妹","炮哥","炮弟","MT答题","1","1"
"52","《我叫MT》中以下主角中谁是光头？","落雁","老相好","国足棍棍","大小姐","MT答题","1","1"
"53","《我叫MT》中美屡的皮肤是什么颜色？","蓝色","绿色","黄色","红色","MT答题","1","1"
"54","《我叫MT》动漫中表面憨厚内心狂野的女兽人是？","术士大妈","女德","大小姐","美屡","MT答题","1","1"
"55","《我叫MT》动漫中MT的跟屁虫是谁？","沐丝","大小姐","血精灵","冬","MT答题","1","1"
"56","《我叫MT》中MT和傻馒他们所在的公会名称为？","菊爆大队","开花大队","基友大队","菊花大队","MT答题","1","1"
"57","《我叫MT》中人至贱则无敌的代表者是？","血精灵","傻馒","发丝","沐丝","MT答题","1","1"
"58","我叫MT劣人的皮肤是什么颜色？","蓝色","绿色","黄色","黑色","MT答题","1","1"
"59","我叫MT劣人的皮肤是什么颜色？","蓝色","绿色","黄色","黑色","MT答题","1","1"
"60","我叫MT中谁是高富帅？","劣人","哀木涕","小德","呆贼","MT答题","1","1"
"61","我叫MT中大小姐和谁在一起了？","暗夜男","老相好","方砖","哀木涕","MT答题","1","1"
"62","我叫MT国足一共几个？","6","4","5","3","MT答题","1","1"
"63","以下哪个不是我叫MT国足“圣骑士光棍团”成员？","战战","骑骑","圣圣","光光","MT答题","1","1"
"64","我叫MT中傻馒必杀技是？","杨教授的烈焰红唇","闪电链","闪电箭","狂暴","MT答题","1","1"
"65","我叫MT中哀木涕是什么种族？","牛头人","兽人","人类","巨魔","MT答题","1","1"
"66","我叫MT中哀木涕是什么职业？","战士","圣骑士","德鲁伊","盗贼","MT答题","1","1"
"67","我叫MT中小德说的最多口头禅是？","银鳞胸甲5金一件","孙子","哀木涕在哪儿","我哒哒哒","MT答题","1","1"
"68","我叫MT中谁不是冬的徒弟？","方砖","沉鱼","落雁","闭月","MT答题","1","1"
"69","我叫MT中傻馒的师傅是谁？","炮姐","女德","发丝","冬","MT答题","1","1"
"70","我叫MT中谁不是牛头人？","劣人","哀木涕","傻馒","小德","MT答题","1","1"
