"npcid","名称","备注","所属副本ID","初始状态","服务列表","初始动作","npc类型","状态改变1","状态改变2","状态改变3","状态改变4","所属进度","单次交互人数下限","NPC随机最小数量","NPC随机最大数量","完成宝箱库ID","每人宝箱数","奖励","匹配奖励方式","分级奖励","固定刷新坐标X","固定刷新坐标Y"
"180368","熔火哨兵","铁甲","110","1","100328","190018","1","","","","","9","3","5","7","","","6260","","",,
"180369","熔火法师","抗魔","110","1","100329","190019","1","","","","","9","3","5","7","","","6260","","",,
"180370","鲁西拂","惧封","110","1","100330","190020","1","","","","","1","3","3","3","","","6300","","","",""
"180371","玛格达","铁甲","110","1","100331","190021","1","","","","","2","3","3","3","","","6300","","","",""
"180372","吉纳斯","抗魔","110","1","100332","190022","1","","","","","3","3","3","3","","","6300","","","",""
"180373","加尔罗","惧封","110","1","100333","190023","1","","","","","4","3","3","3","","","6300","","","",""
"180374","嘉顿","铁甲","110","1","100334","190024","1","","","","","5","3","3","3","","","6300","","","",""
"180375","沙思拉","抗魔","110","1","100335","190025","1","","","","","6","3","3","3","","","6300","","","",""
"180376","萨利弗","惧封","110","1","100336","190026","1","","","","","7","3","3","3","","","6300","","","",""
"180377","古雷曼","铁甲","110","1","100337","190027","1","","","","","8","3","3","3","","","6300","","","",""
"180378","埃克图斯","抗魔","110","1","100338","190028","1","","","","","9","3","3","3","","","6300","","","",""
"180379","拉格罗斯","领主","110","1","100339","190029","2","","","","","10","3","1","1","2","20","6280","","","75","32"
"180380","恋宝矮人","恋宝矮人4-6","110","1","100340","190030","1","","","","","4;5;6","1","3","5","","","6260","","",,
"180381","恋宝矮人","恋宝矮人7-8","110","1","100341","190031","1","","","","","7;8;9","1","3","5","","","6260","","",,
"180382","贪食公主","贪食公主4-6","110","1","100342","190032","1","","","","","4;5;6","1","3","5","","","6260","","",,
"180383","贪食公主","贪食公主7-8","110","1","100343","190033","1","","","","","7;8;9","1","3","5","","","6260","","",,
"180401","恋宝矮人","恋宝矮人1-3","111","1","100351","200001","1","","","","","1;2;3","1","3","5","","","6260","","",,
"180402","贪食公主","贪食公主1-3","111","1","100352","200002","1","","","","","1;2;3","1","3","5","","","6260","","",,
"180403","书魂囧龟","","111","1","100353","200003","1","","","","","1;2;3;4;5;6;7;8;9","1","3","5","","","6260","","",,
"180404","宝箱","","111","1","","","1","","","","","10","1","20","20","","","","","",,
"180405","织魂者","","111","1","100355","200005","1","","","","","1;2","3","1","3","","","6260","","",,
"180406","深渊恶魔","","111","1","100356","200006","1","","","","","1;2","3","1","3","","","6260","","",,
"180407","冷酷学徒","","111","1","100357","200007","1","","","","","1;2","3","1","3","","","6260","","",,
"180408","织魂者","","111","1","100358","200008","1","","","","","3;4","3","2","4","","","6260","","",,
"180409","深渊恶魔","","111","1","100359","200009","1","","","","","3;4","3","2","4","","","6260","","",,
"180410","冷酷学徒","","111","1","100360","200010","1","","","","","3;4","3","2","4","","","6260","","",,
"180411","织魂者","","111","1","100361","200011","1","","","","","5;6","3","3","5","","","6260","","",,
"180412","深渊恶魔","","111","1","100362","200012","1","","","","","5;6","3","3","5","","","6260","","",,
"180413","冷酷学徒","","111","1","100363","200013","1","","","","","5;6","3","3","5","","","6260","","",,
"180414","织魂者","","111","1","100364","200014","1","","","","","7;8","3","4","6","","","6260","","",,
"180415","深渊恶魔","","111","1","100365","200015","1","","","","","7;8","3","4","6","","","6260","","",,
"180416","冷酷学徒","","111","1","100366","200016","1","","","","","7;8","3","4","6","","","6260","","",,
"180417","织魂者","","111","1","100367","200017","1","","","","","9","3","5","7","","","6260","","",,
"180418","深渊恶魔","","111","1","100368","200018","1","","","","","9","3","5","7","","","6260","","",,
"180419","冷酷学徒","","111","1","100369","200019","1","","","","","9","3","5","7","","","6260","","",,
"180420","哥斯拉","","111","1","100370","200020","1","","","","","1","3","3","3","","","6300","","",,
"180421","踏地乌斯","","111","1","100371","200021","1","","","","","2","3","3","3","","","6300","","",,
"180422","黑暗女巫","","111","1","100372","200022","1","","","","","3","3","3","3","","","6300","","",,
"180423","亡者教官","","111","1","100373","200023","1","","","","","4","3","3","3","","","6300","","",,
"180424","收割者剃刻","","111","1","100374","200024","1","","","","","5","3","3","3","","","6300","","",,
"180425","死亡骑士","","111","1","100375","200025","1","","","","","6","3","3","3","","","6300","","",,
"180426","瘟疫使者","","111","1","100376","200026","1","","","","","7","3","3","3","","","6300","","","",""
"180427","肮脏的西尔","","111","1","100377","200027","1","","","","","8","3","3","3","","","6300","","",,
"180428","撒肥龙","","111","1","100378","200028","1","","","","","9","3","3","3","","","6300","","",,
"180429","科耳稣迦得","","111","1","100379","200029","2","","","","","10","3","1","1","2","20","6280","","","75","32"
"180430","恋宝矮人","恋宝矮人4-6","111","1","100380","200030","1","","","","","4;5;6","1","3","5","","","6260","","",,
"180431","恋宝矮人","恋宝矮人7-8","111","1","100381","200031","1","","","","","7;8;9","1","3","5","","","6260","","",,
"180432","贪食公主","贪食公主4-6","111","1","100382","200032","1","","","","","4;5;6","1","3","5","","","6260","","",,
"180433","贪食公主","贪食公主7-8","111","1","100383","200033","1","","","","","7;8;9","1","3","5","","","6260","","",,
