"编号","售卖图标ID","名称","名称颜色","宠物品质","售卖商店类型","售卖NPCID","参战等级","携带等级","初始等级","推荐体质","推荐智力","推荐力量","推荐耐力","推荐敏捷","初始属性分配类型","初始属性点","初始寿命","area1colour","area2colour","体资最小值","体资最大值","法资最小值","法资最大值","攻资最小值","攻资最大值","防资最小值","防资最大值","速资最小值","速资最大值","体资固定值","法资固定值","攻资固定值","防资固定值","速资固定值","成长率1","成长率2","成长率3","成长率4","成长率5","成长率6","成长率7","固定成长率","治疗强度成长","控制命中成长","控制抗性成长","类型","对应野生ID","对应宝宝ID","对应变异ID","是否稀有","造型id","技能1","技能2","技能3","技能4","技能5","出现几率1","出现几率2","出现几率3","出现几率4","出现几率5","图鉴是否显示","可出现场景地图ID","出现场景描述","洗宠消耗材料ID","洗宠消耗材料数量","洗练后ID","是否绑定","技能认证花费银币","取消认证花费银币","辅助AI","珍品评分","珍品需要技能数","宠物回收价格","多少次变成满技能"
"500110","32000","地精工匠","FF06cc11","2","1","161505","35","25","36","1","4","0","0","0","1","50","10000","0","0","2930","3350","1630","1860","650","740","650","740","810","930","","","","","","1012","1020","1028","1036","1044","1052","1060","","3","10","10","1","500110","500225","500266","","1010117","207001","206033","206011","206023","","1000","333","333","333","","","1627","废矿2~3层","310102","1","500225@998;500266@2",,"346000","1000000","","99999","3","4500",""
"500111","32000","剪刀手","FF06cc11","2","1","161505","35","25","36","1","0","4","0","0","1","50","10000","0","0","1960","2230","1090","1240","980","1120","810","930","980","1120","","","","","","1012","1020","1028","1036","1044","1052","1060","","3","10","10","1","500111","500226","500267",,"1010118","206004","206001","206018","206033","","1000","333","333","333","",,"1628","废矿3层","310102","1","500226@998;500267@2",,"346000","1000000",,"99999","3","4500",
"500112","32000","野鬼","FF06cc11","2","1","161505","45","35","30","1","4","0","0","0","1","50","10000","0","0","3020","3460","1680","1920","670","770","670","770","840","960","","","","","","1042","1050","1058","1066","1074","1082","1090","","3","10","10","1","500112","500228","500269",,"1010120","206066","207008","206054","206053","","1000","333","333","333","",,"1629","银堡1~3层","310102","1","500228@998;500269@2",,"514000","1000000",,"99999","3","5000",
"500113","32000","野鬼","FF06cc11","2","1","161505","45","35","43","1","4","0","0","0","1","50","10000","0","0","3020","3460","1680","1920","670","770","670","770","840","960","","","","","","1042","1050","1058","1066","1074","1082","1090","","3","10","10","1","500113","500228","500269",,"1010120","206066","207008","206054","206053","","1000","333","333","333","",,"1629","银堡1~3层","310102","1","500228@998;500269@2",,"514000","1000000",,"99999","3","5000",
"500114","32000","野鬼","FF06cc11","2","1","161505","45","35","46","1","4","0","0","0","1","50","10000","0","0","3020","3460","1680","1920","670","770","670","770","840","960","","","","","","1042","1050","1058","1066","1074","1082","1090","","3","10","10","1","500114","500228","500269",,"1010120","206066","207008","206054","206053","","1000","333","333","333","",,"1629","银堡1~3层","310102","1","500228@998;500269@2",,"514000","1000000",,"99999","3","5000",
"500115","32000","狼人","FF06cc11","2","1","161505","45","35","43","1","0","4","0","0","1","50","10000","0","0","2520","2880","1120","1280","1010","1150","670","770","1010","1150","","","","","","1042","1050","1058","1066","1074","1082","1090","","3","10","10","1","500115","500229","500270",,"1010121","206067","206002","206001","206026","","1000","333","333","333","",,"1630","银堡2~3层","310102","1","500229@998;500270@2",,"514000","1000000",,"99999","3","5000",
"500116","32000","狼人","FF06cc11","2","1","161505","45","35","46","1","0","4","0","0","1","50","10000","0","0","2520","2880","1120","1280","1010","1150","670","770","1010","1150","","","","","","1042","1050","1058","1066","1074","1082","1090","","3","10","10","1","500116","500229","500270",,"1010121","206067","206002","206001","206026","","1000","333","333","333","",,"1630","银堡2~3层","310102","1","500229@998;500270@2",,"514000","1000000",,"99999","3","5000",
"500117","32000","死灵哨兵","FF06cc11","2","1","161505","45","35","46","1","0","4","0","0","1","50","10000","0","0","3020","3460","1120","1280","1010","1150","670","770","840","960","","","","","","1042","1050","1058","1066","1074","1082","1090","","3","10","10","1","500117","500230","500271",,"1010122","206066","206003","206033","206016","","1000","333","333","333","",,"1631","银堡3层","310102","1","500230@998;500271@2",,"514000","1000000",,"99999","3","5000",
"500118","32000","野猪","FF06cc11","2","1","161505","55","45","50","1","0","4","0","0","1","50","10000","0","0","3140","3590","1160","1330","1050","1200","870","1000","700","800","","","","","","1072","1080","1088","1096","1104","1112","1120","","3","10","10","1","500118","500232","500273",,"1010124","206053","206050","206037","206020","","1000","333","333","333","",,"1602","学院1~3层","310102","1","500232@998;500273@2",,"714000","1000000",,"99999","3","5500",
"500119","32000","野猪","FF06cc11","2","1","161505","55","45","53","1","0","4","0","0","1","50","10000","0","0","3140","3590","1160","1330","1050","1200","870","1000","700","800","","","","","","1072","1080","1088","1096","1104","1112","1120","","3","10","10","1","500119","500232","500273",,"1010124","206053","206050","206037","206020","","1000","333","333","333","",,"1602","学院1~3层","310102","1","500232@998;500273@2",,"714000","1000000",,"99999","3","5500",
"500120","32000","野猪","FF06cc11","2","1","161505","55","45","56","1","0","4","0","0","1","50","10000","0","0","3140","3590","1160","1330","1050","1200","870","1000","700","800","","","","","","1072","1080","1088","1096","1104","1112","1120","","3","10","10","1","500120","500232","500273",,"1010124","206053","206050","206037","206020","","1000","333","333","333","",,"1602","学院1~3层","310102","1","500232@998;500273@2",,"714000","1000000",,"99999","3","5500",
"500121","32000","吸血蝙蝠","FF06cc11","2","1","161505","55","45","53","1","0","4","0","0","1","50","10000","0","0","2620","3000","1160","1330","1050","1200","700","800","1050","1200","","","","","","1072","1080","1088","1096","1104","1112","1120","","3","10","10","1","500121","500233","500274",,"1010125","206049","206019","206072","206037","","1000","333","333","333","",,"1632","学院2~3层","310102","1","500233@998;500274@2",,"714000","1000000",,"99999","3","5500",
"500122","32000","吸血蝙蝠","FF06cc11","2","1","161505","55","45","56","1","0","4","0","0","1","50","10000","0","0","2620","3000","1160","1330","1050","1200","700","800","1050","1200","","","","","","1072","1080","1088","1096","1104","1112","1120","","3","10","10","1","500122","500233","500274",,"1010125","206049","206019","206072","206037","","1000","333","333","333","",,"1632","学院2~3层","310102","1","500233@998;500274@2",,"714000","1000000",,"99999","3","5500",
"500123","32000","野猪人","FF06cc11","2","1","161505","55","45","56","1","4","0","0","0","1","50","10000","0","0","3140","3590","1750","2000","700","800","870","1000","700","800","","","","","","1072","1080","1088","1096","1104","1112","1120","","3","10","10","1","500123","500234","500275",,"1010126","206058","206030","207001","206014","","1000","333","333","333","",,"1633","学院3层","310102","1","500234@998;500275@2",,"714000","1000000",,"99999","3","5500",
"500124","32000","血色猎犬","FF06cc11","2","1","161505","65","55","60","1","0","4","0","0","1","50","10000","0","0","2720","3110","1210","1380","1090","1240","730","830","1090","1240","","","","","","1102","1110","1118","1126","1134","1142","1150","","3","10","10","1","500124","500236","500277",,"1010128","206005","206019","206037","206001","","1000","333","333","333","",,"1634","教堂1~3层","310102","2","500236@998;500277@2",,"946000","1000000",,"99999","3","6000",
"500125","32000","血色猎犬","FF06cc11","2","1","161505","65","55","63","1","0","4","0","0","1","50","10000","0","0","2720","3110","1210","1380","1090","1240","730","830","1090","1240","","","","","","1102","1110","1118","1126","1134","1142","1150","","3","10","10","1","500125","500236","500277",,"1010128","206005","206019","206037","206001","","1000","333","333","333","",,"1634","教堂1~3层","310102","2","500236@998;500277@2",,"946000","1000000",,"99999","3","6000",
"500126","32000","血色猎犬","FF06cc11","2","1","161505","65","55","66","1","0","4","0","0","1","50","10000","0","0","2720","3110","1210","1380","1090","1240","730","830","1090","1240","","","","","","1102","1110","1118","1126","1134","1142","1150","","3","10","10","1","500126","500236","500277",,"1010128","206005","206019","206037","206001","","1000","333","333","333","",,"1634","教堂1~3层","310102","2","500236@998;500277@2",,"946000","1000000",,"99999","3","6000",
"500127","32000","幽灵","FF06cc11","2","1","161505","65","55","63","1","4","0","0","0","1","50","10000","0","0","2180","2490","1810","2070","730","830","1090","1240","910","1040","","","","","","1102","1110","1118","1126","1134","1142","1150","","3","10","10","1","500127","500237","500278",,"1010129","206029","206032","207003","206006","","1000","333","333","333","",,"1635","教堂2~3层","310102","2","500237@998;500278@2",,"946000","1000000",,"99999","3","6000",
"500128","32000","幽灵","FF06cc11","2","1","161505","65","55","66","1","4","0","0","0","1","50","10000","0","0","2180","2490","1810","2070","730","830","1090","1240","910","1040","","","","","","1102","1110","1118","1126","1134","1142","1150","","3","10","10","1","500128","500237","500278",,"1010129","206029","206032","207003","206006","","1000","333","333","333","",,"1635","教堂2~3层","310102","2","500237@998;500278@2",,"946000","1000000",,"99999","3","6000",
"500129","32000","血色士兵","FF06cc11","2","1","161505","65","55","66","1","0","4","0","0","1","50","10000","0","0","3270","3730","1510","1730","1090","1240","730","830","910","1040","","","","","","1102","1110","1118","1126","1134","1142","1150","","3","10","10","1","500129","500238","500279",,"1010130","206063","206017","206005","206004","206036","1000","1000","333","333","333",,"1636","教堂3层","310102","2","500238@998;500279@2",,"946000","1000000",,"99999","4","6000",
"500130","32000","土元素","FF06cc11","2","1","161505","75","65","70","1","4","0","0","0","1","50","10000","0","0","2820","3230","1880","2150","750","860","1130","1290","750","860","","","","","","1132","1140","1148","1156","1164","1172","1180","","3","10","10","1","500130","500241","500282",,"1010133","206058","207007","206046","206011","","1000","333","333","333","",,"1603","埋股1~3层","310102","2","500241@998;500282@2",,"1210000","1000000",,"99999","3","6500",
"500131","32000","土元素","FF06cc11","2","1","161505","75","65","72","1","4","0","0","0","1","50","10000","0","0","2820","3230","1880","2150","750","860","1130","1290","750","860","","","","","","1132","1140","1148","1156","1164","1172","1180","","3","10","10","1","500131","500241","500282",,"1010133","206058","207007","206046","206011","","1000","333","333","333","",,"1603","埋股1~3层","310102","2","500241@998;500282@2",,"1210000","1000000",,"99999","3","6500",
"500132","32000","土元素","FF06cc11","2","1","161505","75","65","74","1","4","0","0","0","1","50","10000","0","0","2820","3230","1880","2150","750","860","1130","1290","750","860","","","","","","1132","1140","1148","1156","1164","1172","1180","","3","10","10","1","500132","500241","500282",,"1010133","206058","207007","206046","206011","","1000","333","333","333","",,"1603","埋股1~3层","310102","2","500241@998;500282@2",,"1210000","1000000",,"99999","3","6500",
"500133","32000","半人马","FF06cc11","2","1","161505","75","65","72","1","0","4","0","0","1","50","20000","0","0","3390","3870","1250","1430","940","1080","1130","1290","750","860","","","","","","1132","1140","1148","1156","1164","1172","1180","","3","10","10","1","500133","500242","500283",,"1010134","206058","206057","206067","206001","","1000","333","333","333","",,"1637","埋股2~3层","310102","2","500242@998;500283@2",,"1210000","1000000",,"99999","3","6500",
"500134","32000","半人马","FF06cc11","2","1","161505","75","65","74","1","0","4","0","0","1","50","10000","0","0","3390","3870","1250","1430","940","1080","1130","1290","750","860","","","","","","1132","1140","1148","1156","1164","1172","1180","","3","10","10","1","500134","500242","500283",,"1010134","206058","206057","206067","206001","","1000","333","333","333","",,"1637","埋股2~3层","310102","2","500242@998;500283@2",,"1210000","1000000",,"99999","3","6500",
"500135","32000","鞭笞者","FF06cc11","2","1","161505","75","65","74","1","0","4","0","0","1","50","20000","0","0","2820","3230","1250","1430","1130","1290","750","860","1130","1290","","","","","","1132","1140","1148","1156","1164","1172","1180","","3","10","10","1","500135","500243","500284",,"1010135","206050","206039","206001","206019","","1000","333","333","333","",,"1638","埋股3层","310102","2","500243@998;500284@2",,"1210000","1000000",,"99999","3","6500",
"500136","32000","摧毁者","FF06cc11","2","1","161505","80","70","76","1","0","4","0","0","1","50","20000","0","0","3510","4010","1300","1480","1170","1340","780","890","970","1110","","","","","","1162","1170","1178","1186","1194","1202","1210","","3","10","10","1","500136","500245","500286",,"1010137","206058","206039","206037","206023","","1000","333","333","333","",,"1639","遗迹1~3层","310102","2","500245@998;500286@2",,"1354000","1000000",,"99999","3","7000",
"500137","32000","摧毁者","FF06cc11","2","1","161505","80","70","78","1","0","4","0","0","1","50","20000","0","0","3510","4010","1300","1480","1170","1340","780","890","970","1110","","","","","","1162","1170","1178","1186","1194","1202","1210","","3","10","10","1","500137","500245","500286",,"1010137","206058","206039","206037","206023","","1000","333","333","333","",,"1639","遗迹1~3层","310102","2","500245@998;500286@2",,"1354000","1000000",,"99999","3","7000",
"500138","32000","摧毁者","FF06cc11","2","1","161505","80","70","80","1","0","4","0","0","1","50","20000","0","0","3510","4010","1300","1480","1170","1340","780","890","970","1110","","","","","","1162","1170","1178","1186","1194","1202","1210","","3","10","10","1","500138","500245","500286",,"1010137","206058","206039","206037","206023","","1000","333","333","333","",,"1639","遗迹1~3层","310102","2","500245@998;500286@2",,"1354000","1000000",,"99999","3","7000",
"500139","32000","虚空恐魔","FF06cc11","2","1","161505","80","70","78","1","4","0","0","0","1","50","20000","0","0","2340","2670","1950","2230","780","890","1170","1340","970","1110","","","","","","1162","1170","1178","1186","1194","1202","1210","","3","10","10","1","500139","500246","500287",,"1010138","206059","207005","206043","206060","","1000","333","333","333","",,"1640","遗迹2~3层","310102","2","500246@998;500287@2",,"1354000","1000000",,"99999","3","7000",
"500140","32000","虚空恐魔","FF06cc11","2","1","161505","80","70","80","1","4","0","0","0","1","50","20000","0","0","2340","2670","1950","2230","780","890","1170","1340","970","1110","","","","","","1162","1170","1178","1186","1194","1202","1210","","3","10","10","1","500140","500246","500287",,"1010138","206059","207005","206043","206060","","1000","333","333","333","",,"1640","遗迹2~3层","310102","2","500246@998;500287@2",,"1354000","1000000",,"99999","3","7000",
"500141","32000","食人魔","FF06cc11","2","1","161505","80","70","80","1","0","4","0","0","1","50","20000","0","0","3510","4010","1620","1860","1170","1340","780","890","970","1110","","","","","","1162","1170","1178","1186","1194","1202","1210","","3","10","10","1","500141","500247","500288",,"1010139","206066","206072","206003","206028","206033","1000","1000","333","333","333",,"1641","遗迹3层","310102","2","500247@998;500288@2",,"1354000","1000000",,"99999","4","7000",
"500142","32000","绿飞龙","FF06cc11","2","1","161505","85","75","82","1","4","0","0","0","1","50","20000","0","0","3630","4150","2020","2300","810","920","810","920","1010","1150","","","","","","1192","1200","1208","1216","1224","1232","1240","","3","10","10","1","500142","500249","500290",,"1010141","206056","207008","206043","206045","","1000","333","333","333","",,"1604","祭坛1~3层","310102","2","500249@998;500290@2",,"1506000","1000000",,"99999","3","7500",
"500143","32000","绿飞龙","FF06cc11","2","1","161505","85","75","84","1","4","0","0","0","1","50","20000","0","0","3630","4150","2020","2300","810","920","810","920","1010","1150","","","","","","1192","1200","1208","1216","1224","1232","1240","","3","10","10","1","500143","500249","500290",,"1010141","206056","207008","206043","206045","","1000","333","333","333","",,"1604","祭坛1~3层","310102","2","500249@998;500290@2",,"1506000","1000000",,"99999","3","7500",
"500144","32000","绿飞龙","FF06cc11","2","1","161505","85","75","86","1","4","0","0","0","1","50","20000","0","0","3630","4150","2020","2300","810","920","810","920","1010","1150","","","","","","1192","1200","1208","1216","1224","1232","1240","","3","10","10","1","500144","500249","500290",,"1010141","206056","207008","206043","206045","","1000","333","333","333","",,"1604","祭坛1~3层","310102","2","500249@998;500290@2",,"1506000","1000000",,"99999","3","7500",
"500145","32000","预言者","FF06cc11","2","1","161505","85","75","84","1","0","4","0","0","1","50","20000","0","0","2420","2760","1340","1540","1210","1380","1010","1150","1210","1380","","","","","","1192","1200","1208","1216","1224","1232","1240","","3","10","10","1","500145","500250","500291",,"1010142","206001","206056","206065","206005","","1000","333","333","333","",,"1642","祭坛2~3层","310102","2","500250@998;500291@2",,"1506000","1000000",,"99999","3","7500",
"500146","32000","预言者","FF06cc11","2","1","161505","85","75","86","1","0","4","0","0","1","50","20000","0","0","2420","2760","1340","1540","1210","1380","1010","1150","1210","1380","","","","","","1192","1200","1208","1216","1224","1232","1240","","3","10","10","1","500146","500250","500291",,"1010142","206001","206056","206065","206005","","1000","333","333","333","",,"1642","祭坛2~3层","310102","2","500250@998;500291@2",,"1506000","1000000",,"99999","3","7500",
"500147","32000","骨飞龙","FF06cc11","2","1","161505","85","75","86","1","0","0","0","0","1","50","20000","0","0","3020","3460","1340","1540","810","920","1210","1380","1210","1380","","","","","","1192","1200","1208","1216","1224","1232","1240","","3","10","10","1","500147","500251","500292",,"1010143","206060","206050","206058","206059","","1000","333","333","333","",,"1643","祭坛3层","310102","2","500251@998;500292@2",,"1506000","1000000",,"99999","3","7500",
"500148","32000","炎魔使者","FF06cc11","2","1","161505","90","80","88","1","4","0","0","0","1","50","20000","0","0","3750","4290","2080","2380","830","950","1040","1190","830","950","","","","","","1222","1230","1238","1246","1254","1262","1270","","3","10","10","1","500148","500253","500294",,"1010145","206070","207005","206051","206060","","1000","333","333","333","",,"1644","深渊1~3层","310102","2","500253@998;500294@2",,"1666000","1000000",,"99999","3","8000",
"500149","32000","炎魔使者","FF06cc11","2","1","161505","90","80","90","1","4","0","0","0","1","50","10000","0","0","3750","4290","2080","2380","830","950","1040","1190","830","950","","","","","","1222","1230","1238","1246","1254","1262","1270","","3","10","10","1","500149","500253","500294",,"1010145","206070","207005","206051","206060","","1000","333","333","333","",,"1644","深渊1~3层","310102","2","500253@998;500294@2",,"1666000","1000000",,"99999","3","8000",
"500150","32000","炎魔使者","FF06cc11","2","1","161505","90","80","92","1","4","0","0","0","1","50","10000","0","0","3750","4290","2080","2380","830","950","1040","1190","830","950","","","","","","1222","1230","1238","1246","1254","1262","1270","","3","10","10","1","500150","500253","500294",,"1010145","206070","207005","206051","206060","","1000","333","333","333","",,"1644","深渊1~3层","310102","2","500253@998;500294@2",,"1666000","1000000",,"99999","3","8000",
"500151","32000","黑铁矮人","FF06cc11","2","1","161505","90","80","90","1","0","4","0","0","1","50","10000","0","0","3750","4290","1740","1980","1040","1190","1250","1430","830","950","","","","","","1222","1230","1238","1246","1254","1262","1270","","3","10","10","1","500151","500254","500295",,"1010146","206050","206058","206057","206067","","1000","333","333","333","",,"1645","深渊2~3层","310102","2","500254@998;500295@2",,"1666000","1000000",,"99999","3","8000",
"500152","32000","黑铁矮人","FF06cc11","2","1","161505","90","80","92","1","0","4","0","0","1","50","10000","0","0","3750","4290","1740","1980","1040","1190","1250","1430","830","950","","","","","","1222","1230","1238","1246","1254","1262","1270","","3","10","10","1","500152","500254","500295",,"1010146","206050","206058","206057","206067","","1000","333","333","333","",,"1645","深渊2~3层","310102","2","500254@998;500295@2",,"1666000","1000000",,"99999","3","8000",
"500153","32000","铁炉牧师","FF06cc11","2","1","161505","90","80","92","1","4","0","0","0","1","50","10000","0","0","2500","2860","2080","2380","830","950","1250","1430","1040","1190","","","","","","1222","1230","1238","1246","1254","1262","1270","","3","10","10","1","500153","500255","500296",,"1010147","206043","207006","206046","206045","","1000","333","333","333","",,"1646","深渊3层","310102","2","500255@998;500296@2",,"1666000","1000000",,"99999","3","8000",
"500154","32000","死亡骑士","FF06cc11","2","1","161505","95","85","94","1","0","4","0","0","1","50","10000","0","0","2580","2950","1430","1640","1290","1470","1080","1230","1290","1470","","","","","","1252","1260","1268","1276","1284","1292","1300","","3","10","10","1","500154","500257","500298",,"1010149","206072","206052","206058","206038","206051","1000","333","333","333","333",,"1647","雾都1~3层","310102","2","500257@998;500298@2",,"1834000","1000000",,"99999","4","8500",
"500155","32000","死亡骑士","FF06cc11","2","1","161505","95","85","96","1","0","4","0","0","1","50","10000","0","0","2580","2950","1430","1640","1290","1470","1080","1230","1290","1470","","","","","","1252","1260","1268","1276","1284","1292","1300","","3","10","10","1","500155","500257","500298",,"1010149","206072","206052","206058","206038","206051","1000","333","333","333","333",,"1647","雾都1~3层","310102","2","500257@998;500298@2",,"1834000","1000000",,"99999","4","8500",
"500156","32000","死亡骑士","FF06cc11","2","1","161505","95","85","98","1","0","4","0","0","1","50","10000","0","0","2580","2950","1430","1640","1290","1470","1080","1230","1290","1470","","","","","","1252","1260","1268","1276","1284","1292","1300","","3","10","10","1","500156","500257","500298",,"1010149","206072","206052","206058","206038","206051","1000","333","333","333","333",,"1647","雾都1~3层","310102","2","500257@998;500298@2",,"1834000","1000000",,"99999","4","8500",
"500157","32000","食尸鬼","FF06cc11","2","1","161505","95","85","96","1","0","4","0","0","1","50","10000","0","0","3870","4420","1430","1640","1290","1470","860","980","1080","1230","","","","","","1252","1260","1268","1276","1284","1292","1300","","3","10","10","1","500157","500258","500299",,"1010150","206040","206066","206069","206039","206049","1000","333","333","333","333",,"1648","雾都2~3层","310102","2","500258@998;500299@2",,"1834000","1000000",,"99999","4","8500",
"500158","32000","食尸鬼","FF06cc11","2","1","161505","95","85","98","1","0","4","0","0","1","50","10000","0","0","3870","4420","1430","1640","1290","1470","860","980","1080","1230","","","","","","1252","1260","1268","1276","1284","1292","1300","","3","10","10","1","500158","500258","500299",,"1010150","206040","206066","206069","206039","206049","1000","333","333","333","333",,"1648","雾都2~3层","310102","2","500258@998;500299@2",,"1834000","1000000",,"99999","4","8500",
"500159","32000","女妖","FF06cc11","2","1","161505","95","85","98","1","4","0","0","0","1","50","10000","0","0","3870","4420","2150","2460","860","980","1080","1230","860","980","","","","","","1252","1260","1268","1276","1284","1292","1300","","3","10","10","1","500159","500259","500300","","1010151","207006","206065","206064","206063","206062","1000","333","333","333","333","","1649","雾都3层","310102","2","500259@998;500300@2",,"1834000","1000000",,"99999","4","8500",""
"500160","32000","小软精英","FF06cc11","2","1","161505","1","1","3","1","0","4","0","0","1","50","10000","0","0","2660","3040","990","1130","890","1010","740","840","590","680","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500160","500220","500261",,"1010112","206003","206023","","","","333","333","","","","0","1601","溶洞1~3层","310102","1","500220@998;500261@2",,"14160","1000000",,"99999","1","3000",
"500161","32000","小软精英","FF06cc11","2","1","161505","1","1","17","1","0","4","0","0","1","50","10000","0","0","2660","3040","990","1130","890","1010","740","840","590","680","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500161","500220","500261",,"1010112","206003","206023","","","","333","333","","","","0","1601","溶洞1~3层","310102","1","500220@998;500261@2",,"14160","1000000",,"99999","1","3000",
"500162","32000","小软精英","FF06cc11","2","1","161505","1","1","27","1","0","4","0","0","1","50","10000","0","0","2660","3040","990","1130","890","1010","740","840","590","680","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500162","500220","500261",,"1010112","206003","206023","","","","333","333","","","","0","1601","溶洞1~3层","310102","1","500220@998;500261@2",,"14160","1000000",,"99999","1","3000",
"500163","32000","迅猛龙精英","FF06cc11","2","1","161505","15","5","17","1","0","4","0","0","1","50","10000","0","0","2290","2620","1020","1160","920","1050","610","700","920","1050","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500163","500221","500262",,"1010113","206002","206003","206023","","","333","333","333","","","0","1624","溶洞2~3层","310102","1","500221@998;500262@2",,"106000","1000000",,"99999","2","3500",
"500164","32000","迅猛龙精英","FF06cc11","2","1","161505","15","5","27","1","0","4","0","0","1","50","10000","0","0","2290","2620","1020","1160","920","1050","610","700","920","1050","","","","","","952","960","968","976","984","992","1000","","3","10","10","1","500164","500221","500262",,"1010113","206002","206003","206023","","","333","333","333","","","0","1624","溶洞2~3层","310102","1","500221@998;500262@2",,"106000","1000000",,"99999","2","3500",
