"编号","刷新组","注释（策划备注）","等级下限","等级上限","刷新时系统提示信息编号","刷新列表","刷新列表数量","每种NPC数量","刷新总数量","刷新数量","数量分配方式","刷新场景","刷新场景个数","场景中数量分配方式","怪物存在时间","击杀奖励个数","奖励ID","奖励ID2","匹配奖励方式","分级奖励","奖励个数超过提示编号","是否组队","组队人数要求","需求等级下限","需求等级上限"
"14","3","宝宝幼儿园","55","64",,"170222,170223,170224,170222,170223,170224,170222,170223,170224,170225;170222,170223,170224,170222,170223,170224,170222,170223,170224,170263;170222,170223,170224,170222,170223,170224,170222,170223,170224,170264;170222,170223,170224,170222,170223,170224,170222,170223,170224,170265;170222,170223,170224,170222,170223,170224,170222,170223,170224;170222,170223,170224,170222,170223,170224,170222,170223,170224;170222,170223,170224,170222,170223,170224,170222,170223,170224;170222,170223,170224,170222,170223,170224,170222,170223,170224","1","1","20","20","1","1605@1","1","1","0","10",,,"","","",,,"55","155"
"15","3","宝宝幼儿园","65","74",,"170226,170227,170228,170226,170227,170228,170226,170227,170228,170229;170226,170227,170228,170226,170227,170228,170226,170227,170228,170230;170226,170227,170228,170226,170227,170228,170226,170227,170228,170267;170226,170227,170228,170226,170227,170228,170226,170227,170228,170268;170226,170227,170228,170226,170227,170228,170226,170227,170228,170269;170226,170227,170228,170226,170227,170228,170226,170227,170228;170226,170227,170228,170226,170227,170228,170226,170227,170228;170226,170227,170228,170226,170227,170228,170226,170227,170228;170226,170227,170228,170226,170227,170228,170226,170227,170228;170226,170227,170228,170226,170227,170228,170226,170227,170228","1","1","20","20","1","1607@1","1","1","0","10",,,"","","",,,"65","155"
"16","3","宝宝幼儿园","75","79",,"170231,170232,170233,170231,170232,170233,170231,170232,170233,170234;170231,170232,170233,170231,170232,170233,170231,170232,170233,170272;170231,170232,170233,170231,170232,170233,170231,170232,170233,170273;170231,170232,170233,170231,170232,170233,170231,170232,170233,170274;170231,170232,170233,170231,170232,170233,170231,170232,170233;170231,170232,170233,170231,170232,170233,170231,170232,170233;170231,170232,170233,170231,170232,170233,170231,170232,170233;170231,170232,170233,170231,170232,170233,170231,170232,170233","1","1","20","20","1","1610@1","1","1","0","10",,,"","","",,,"75","155"
"17","3","宝宝幼儿园","80","84",,"170235,170236,170237,170235,170236,170237,170235,170236,170237,170238;170235,170236,170237,170235,170236,170237,170235,170236,170237,170276;170235,170236,170237,170235,170236,170237,170235,170236,170237,170277;170235,170236,170237,170235,170236,170237,170235,170236,170237,170278;170235,170236,170237,170235,170236,170237,170235,170236,170237;170235,170236,170237,170235,170236,170237,170235,170236,170237;170235,170236,170237,170235,170236,170237,170235,170236,170237;170235,170236,170237,170235,170236,170237,170235,170236,170237","1","1","20","20","1","1610@1","1","1","0","10",,,"","","",,,"80","155"
"18","3","宝宝幼儿园","85","89",,"170239,170240,170241,170239,170240,170241,170239,170240,170241,170242;170239,170240,170241,170239,170240,170241,170239,170240,170241,170280;170239,170240,170241,170239,170240,170241,170239,170240,170241,170281;170239,170240,170241,170239,170240,170241,170239,170240,170241,170282;170239,170240,170241,170239,170240,170241,170239,170240,170241;170239,170240,170241,170239,170240,170241,170239,170240,170241;170239,170240,170241,170239,170240,170241,170239,170240,170241;170239,170240,170241,170239,170240,170241,170239,170240,170241","1","1","20","20","1","1610@1","1","1","0","10",,,"","","",,,"85","155"
"19","3","宝宝幼儿园","90","94",,"170243,170244,170245,170243,170244,170245,170243,170244,170245,170246;170243,170244,170245,170243,170244,170245,170243,170244,170245,170284;170243,170244,170245,170243,170244,170245,170243,170244,170245,170285;170243,170244,170245,170243,170244,170245,170243,170244,170245,170286;170243,170244,170245,170243,170244,170245,170243,170244,170245;170243,170244,170245,170243,170244,170245,170243,170244,170245;170243,170244,170245,170243,170244,170245,170243,170244,170245;170243,170244,170245,170243,170244,170245,170243,170244,170245","1","1","20","20","1","1609@1","1","1","0","10",,,"","","",,,"90","155"
"20","3","宝宝幼儿园","95","100",,"170247,170248,170249,170247,170248,170249,170247,170248,170249,170250;170247,170248,170249,170247,170248,170249,170247,170248,170249,170288;170247,170248,170249,170247,170248,170249,170247,170248,170249,170289;170247,170248,170249,170247,170248,170249,170247,170248,170249,170290;170247,170248,170249,170247,170248,170249,170247,170248,170249;170247,170248,170249,170247,170248,170249,170247,170248,170249;170247,170248,170249,170247,170248,170249,170247,170248,170249;170247,170248,170249,170247,170248,170249,170247,170248,170249","1","1","20","20","1","1609@1","1","1","0","10",,,"","","",,,"95","155"
"21","4","魔王宝箱","1","155",,"180320","1","30","30","20","1","1605@1;1606@1;1607@1;1609@1;1610@1;1614@1;1616@1","1","2","0","10","","","","","150215",,,"1","155"
"22","5","魔王宝箱","1","155",,"180320","1","30","30","20","1","1605@1;1606@1;1607@1;1609@1;1610@1;1614@1;1616@1","1","2","0","10","","","","","150215",,,"1","155"
"23","6","魔王宝箱","1","155",,"180320","1","30","30","20","1","1605@1;1606@1;1607@1;1609@1;1610@1;1614@1;1616@1","1","2","0","10","","","","","150215",,,"1","155"
"24","7","魔王宝箱","1","155",,"180320","1","30","30","20","1","1605@1;1606@1;1607@1;1609@1;1610@1;1614@1;1616@1","1","2","0","10","","","","","150215",,,"1","155"
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"","",,,,,
,,,,,,,,,,,,,,,,,,,"","",,,,,
,,,,,,,,,,,,,,,,,,,"","",,,,,
,,,,,,,,,,,,,,,,,,,"","",,,,,
,,,,,,,,,,,,,,,,,,,"","",,,,,
,,,,,,,,,,,,,,,,,,,"","",,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
,,,,,,,,,,,,,,,,,,,"",,,,,,
