"id","等级min","等级max","等级段id","当前状态","所在地图","跳转坐标","挑战npc","常规奖励id","挑战服务","战斗id","服务npc","掉宝箱概率","宝箱奖励id","跳转点map","跳转点x","跳转点y","总关卡数","关卡描述","攻略","名字","可跳转坐标","跳转目标地图","目标地图坐标","是否BOSS","C级奖励id","B级奖励id","A级奖励id","S级奖励id","第几关","开宝箱次数","介绍","x坐标","y坐标"
"118","40","69","1","18","1824","77,95","182404","5290","1501","3019",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","食尸鬼","食尸鬼","",,"","0",,,,,"第十九关","0","伐木累，伐木累，伐木真的好累。","601","222"
"119","40","69","1","19","1824","54,54","182405","5290","1502","3020",,"0;0;0","11702;11702;11702;11702","0","0","0","25","洛丹伦废墟道","凶骨哨兵 ","凶骨哨兵 ","17,15","1839","33,12","1","28","27","26","25","第二十关","1","当我看到自己的样子时，我的眼睛都吓出来了……虽然我没有眼睛，哟呵呵~~","821","191"
"120","40","69","1","20","1839","60,19","183901","5290","1503","3021",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","噬骨先锋","噬骨先锋","",,"","0",,,,,"第二十一关","0","有种别走，等我叫人儿的。","61","197"
"121","40","69","1","21","1839","47,42","183902","5290","1504","3022",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","黑暗通灵师","黑暗通灵师","",,"","0",,,,,"第二十二关","0","等我和麻将牌们签订契约，我要把这些年输的钱都赢回来。","224","319"
"122","40","69","1","22","1839","38,68","183903","5290","1505","3023",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","噬骨统领","噬骨统领","",,"","0",,,,,"第二十三关","0","领主说了只要阻止你，晚饭加卤蛋。","405","258"
"123","40","69","1","23","1839","55,90","183904","5290","1506","3024",,"0;0;0","0","0","0","0","25","洛丹伦废墟道","恐惧魔王","恐惧魔王","",,"","0",,,,,"第二十四关","0","当年我和洛丹伦王子比赛，你猜猜最后谁赢了。","609","231"
"124","40","69","1","24","1839","80,81","183905","5290","1507","3025",,"0;0;0","11702;11702;11702;11702","0","0","0","25","洛丹伦废墟道","死骑瑞文    ","死骑瑞文    ","",,"","1","28","27","26","25","第二十五关","1","你想要我的战马？不如我们先来战个300回合再聊……","816","186"
"125","40","69","1","25","1839","80,39","0","0","0","0",,"0;0;0","0","1007","99","100","25","洛丹伦废墟道-已通关","恭喜已通关，请离开副本。",,,"",,,,,,,,,"","0","0"
"200","70","89","2","0","1825","60,19","182501","5290","1508","3026","","0;0;0","0","0","0","0","30","大墓地-第1关","影魂警卫","影魂警卫","","","","0","",,,,"第一关","0","在gank前，我需要积攒更多的灵魂。","58","291"
"201","70","89","2","1","1825","47,42","182502","5290","1509","3027","","0;0;0","0","0","0","0","30","大墓地-第2关","恶鬼守卫","恶鬼守卫","","","","0","",,,,"第二关","0","站住！没人可以从这里过去，除非交出你所有的金币。","263","305"
"202","70","89","2","2","1825","38,68","182503","5290","1510","3028","","0;0;0","0","0","0","0","30","大墓地-第3关","织魂龙","织魂龙","","","","0","",,,,"第三关","0","我要夺取你的灵魂……","461","154"
"203","70","89","2","3","1825","55,90","182504","5290","1511","3029","","0;0;0","0","0","0","0","30","大墓地-第4关","淤泥喷射者","淤泥喷射者","","","","0","",,,,"第四关","0","只要谁的衣服比我的好看我便喷他们一身泥浆。","662","208"
"204","70","89","2","4","1825","80,81","182505","5290","1512","3030","","0;0;0","11702;11702;11702;11702","0","0","0","30","大墓地-第5关","缝合怪先锋  ","缝合怪先锋  ","81,36","1826","78,14","1","28","27","26","25","第五关","1","拿几个煎饼走吧，老塔儿。","828","320"
"205","70","89","2","5","1826","78,31","182601","5290","1513","3031",,"0;0;0","0","1826","37","13","30","大墓地-第6关","缝合巨兽","缝合巨兽","","","","0",,,,,"第六关","0","小矮子，别做自不量力的事情。","58","291"
"206","70","89","2","6","1826","113,47","182602","5290","1514","3032","","0;0;0","0","0","0","0","30","大墓地-第7关","缝合巨人","缝合巨人","","","","0","",,,,"第七关","0","是时候给自己找点乐子了，不是么？","277","299"
"207","70","89","2","7","1826","121,98","182603","5290","1515","3033","","0;0;0","0","0","0","0","30","大墓地-第8关","腐蚀软泥怪","腐蚀软泥怪","","","","0","",,,,"第八关","0","敞开你的胸怀，拥抱死亡吧。","481","153"
"208","70","89","2","8","1826","77,95","182604","5290","1516","3034","","0;0;0","0","0","0","0","30","大墓地-第9关","疾病蝙蝠","疾病蝙蝠","","","","0","",,,,"第九关","0","黑夜给了我黑色的眼睛，我用它来寻找猎物。","669","211"
"209","70","89","2","9","1826","54,54","182605","5290","1517","3035","","0;0;0","11702;11702;11702;11702","0","0","0","30","大墓地-第10关","烈毒魔猪   ","烈毒魔猪   ","17,15","1827","33,12","1","28","27","26","25","第十关","1","先生，你踩到我的脚了。","819","324"
"210","70","89","2","10","1827","60,19","182701","5290","1518","3036",,"0;0;0","0","1827","37","13","30","大墓地-第11关","娆魂羽蛇","娆魂羽蛇","","","","0",,,,,"第十一关","0","我打扰到你了么，我没碰到你啊！我打扰到你了么，我没碰到你啊！现在，是不是很烦躁呢？","64","281"
"211","70","89","2","11","1827","47,42","182702","5290","1519","3037","","0;0;0","0","0","0","0","30","大墓地-第12关","黑女巫","黑女巫","","","","0","",,,,"第十二关","0","你看我这么美丽，可不可以让我吃掉你呢。","278","293"
"212","70","89","2","12","1827","38,68","182703","5290","1520","3038","","0;0;0","0","0","0","0","30","大墓地-第13关","地穴土灵","地穴土灵","","","","0","",,,,"第十三关","0","听说你挺喜欢踩死小强来着？","491","151"
"213","70","89","2","13","1827","55,90","182704","5290","1521","3039","","0;0;0","0","0","0","0","30","大墓地-第14关","天灾百夫长","天灾百夫长","","","","0","",,,,"第十四关","0","你的那些小手段到此为止了！","660","208"
"214","70","89","2","14","1827","80,81","182705","5290","1522","3040","","0;0;0","11702;11702;11702;11702","0","0","0","30","大墓地-第15关","军事教官   ","军事教官   ","81,36","1828","78,14","1","28","27","26","25","第十五关","1","过来好好打一架，胆小鬼。","821","322"
"215","70","89","2","15","1828","78,31","182801","5290","1523","3041",,"0;0;0","0","1828","37","13","30","大墓地-第16关","魔能飞龙","魔能飞龙","","","","0",,,,,"第十六关","0","从娱乐性上来说你的魔法确实技高一筹！","61","290"
"216","70","89","2","16","1828","113,47","182802","5290","1524","3042","","0;0;0","0","0","0","0","30","大墓地-第17关","诅咒魔导者","诅咒魔导者","","","","0","",,,,"第十七关","0","我的魔法会把你撕成碎片。","280","295"
"217","70","89","2","17","1828","121,98","182803","5290","1525","3043","","0;0;0","0","0","0","0","30","大墓地-第18关","灵魂收割者","灵魂收割者","","","","0","",,,,"第十八关","0","让我掠走你的灵魂。","494","148"
"218","70","89","2","18","1828","77,95","182804","5290","1526","3044","","0;0;0","0","0","0","0","30","大墓地-第19关","死亡军马","死亡军马","","","","0","",,,,"第十九关","0","放过我吧，我是有码的。","659","208"
"219","70","89","2","19","1828","54,54","182805","5290","1527","3045","","0;0;0","11702;11702;11702;11702","0","0","0","30","大墓地-第20关","剧毒蝙蝠  ","剧毒蝙蝠  ","17,15","1829","33,12","1","28","27","26","25","第二十关","1","我感觉很难受……","824","327"
"220","70","89","2","20","1829","60,19","182901","5290","1528","3046",,"0;0;0","0","1829","37","13","30","大墓地-第21关","食腐兽","食腐兽",,"",,"0",,,,,"第二十一关","0","不要以为你不在我的菜单上就会放过你，我从来不挑食。","59","287"
"221","70","89","2","21","1829","47,42","182902","5290","1529","3047","","0;0;0","0","0","0","0","30","大墓地-第22关","瘟疫使者","瘟疫使者","","","","0","",,,,"第二十二关","0","让我好好抱抱你。","273","296"
"222","70","89","2","22","1829","38,68","182903","5290","1530","3048","","0;0;0","0","0","0","0","30","大墓地-第23关","洛欧摧毁者","洛欧摧毁者","","","","0","",,,,"第二十三关","0","在我面前，法术也救不了！","490","147"
"223","70","89","2","23","1829","55,90","182904","5290","1531","3049","","0;0;0","0","0","0","0","30","大墓地-第24关","幽灵骑士","幽灵骑士","","","","0","",,,,"第二十四关","0","你的噩梦现在才刚刚开始……","656","208"
"224","70","89","2","24","1829","80,81","182905","5290","1532","3050","","0;0;0","11702;11702;11702;11702","0","0","0","30","大墓地-第25关","塔兹领主  ","塔兹领主  ","81,36","1830","78,14","1","28","27","26","25","第二十五关","1","我不止打铁的功夫了得，打人也一向厉害。","827","323"
"225","70","89","2","25","1830","78,31","183001","5290","1533","3051",,"0;0;0","0","1830","37","13","30","大墓地-第26关","光头男爵","光头男爵",,"",,"0",,,,,"第二十六关","0","你想要我的战马？600回合之后我们再来商量。","82","286"
"226","70","89","2","26","1830","113,47","183002","5290","1534","3052","","0;0;0","0","0","0","0","30","大墓地-第27关","布里丝会长","布里丝会长","","","","0","",,,,"第二十七关","0","对不起，我不能让你通过这里。","297","292"
"227","70","89","2","27","1830","121,98","183003","5290","1535","3053","","0;0;0","0","0","0","0","30","大墓地-第28关","瑟里耶克爵士","瑟里耶克爵士","","","","0","",,,,"第二十八关","0","生而平等？我从来都不相信。","449","179"
"228","70","89","2","28","1830","77,95","183004","5290","1536","3054","","0;0;0","0","0","0","0","30","大墓地-第29关","萨菲女贼","萨菲女贼","","","","0","",,,,"第二十九关","0","我是陆地的霸主，除非你拥有小鹿。","646","226"
"229","70","89","2","29","1830","54,54","183005","5290","1537","3055","","0;0;0","11702;11702;11702;11702","0","0","0","30","大墓地-第30关","凯尔克总    ","凯尔克总    ","","","","1","28","27","26","25","第三十关","1","末日即将来临，天启指日可待。","812","340"
"230","70","89","2","30","1830","32,69","0","0","0","0","","0;0;0","0","1007","99","94","30","大墓地-已通关","恭喜已通关，请离开副本。",,"","","","","",,,,,,,"0","0"
"300","90","99","3","0","1831","33,12","183101","1934","1538","3056","","0;0;0","0","0","0","0","37","冰冠堡垒-第1关","霜狼前锋","霜狼前锋","","","","0","",,,,"第一关","0","霜狼氏族，准备作战！","95","323"
"301","90","99","3","1","1831","33,12","183102","1934","1539","3057","","0;0;0","0","0","0","0","37","冰冠堡垒-第2关","冰虫","冰虫","","","","0","",,,,"第二关","0","小心你脚下寒冰的裂缝……","327","342"
"302","90","99","3","2","1831","33,12","183103","1934","1540","3058","","0;0;0","0","0","0","0","37","冰冠堡垒-第3关","邪羚","邪羚","","","","0","",,,,"第三关","0","傻狍子？你才是狍子，你全家都是傻狍子！","486","193"
"303","90","99","3","3","1831","33,12","183104","1934","1541","3059","","0;0;0","0","0","0","0","37","冰冠堡垒-第4关","冰犀","冰犀","","","","0","",,,,"第四关","0","想要在这极寒之地生存，一件真皮大衣是必需的！","654","340"
"304","90","99","3","4","1831","33,12","183105","1935","1542","3060","","0;0;0","11702;11702;11702;11702","0","0","0","37","冰冠堡垒-第5关","豺狼人 ","豺狼人 ","","","","1","28","27","26","25","第五关","1","你们这些可恶的猪头人，休想要通过我的领地！","867","353"
"305","90","99","3","5","1832","68,18","183201","1934","1543","3061",,"0;0;0","0","1832","37","13","37","冰冠堡垒-第6关","恐惧飞龙","恐惧飞龙",,"",,"0",,,,,"第六关","0","作为猎物，你这个体型倒是勉强算合格。","103","324"
"306","90","99","3","6","1832","68,18","183202","1934","1544","3062","","0;0;0","0","0","0","0","37","冰冠堡垒-第7关","血牙野猪","血牙野猪","","","","0","",,,,"第七关","0","目标出现，准备冲锋！","325","343"
"307","90","99","3","7","1832","68,18","183203","1934","1545","3063","","0;0;0","0","0","0","0","37","冰冠堡垒-第8关","霜寒巨人","霜寒巨人","","","","0","",,,,"第八关","0","你的那些手段对我来说就像是在挠痒痒！","488","191"
"308","90","99","3","8","1832","68,18","183204","1934","1546","3064","","0;0;0","0","0","0","0","37","冰冠堡垒-第9关","强化吸血鬼","强化吸血鬼","","","","0","",,,,"第九关","0","你如果还抱着能活着出去的念想，我劝你先看看我的日记。","654","337"
"309","90","99","3","9","1832","68,18","183205","1935","1547","3065","","0;0;0","11702;11702;11702;11702","0","0","0","37","冰冠堡垒-第10关","血兽       ","血兽       ","","","","1","28","27","26","25","第十关","1","嗯，我闻到了新鲜血液的味道。","869","350"
"310","90","99","3","10","1833","31,29","183301","1934","1548","3066",,"0;0;0","0","1833","37","13","37","冰冠堡垒-第11关","血蛛","血蛛",,"",,"0",,,,,"第十一关","0","乖乖的来让我咬一口，我可以把你变成蜘蛛侠。","103","327"
"311","90","99","3","11","1833","31,29","183302","1934","1549","3067","","0;0;0","0","0","0","0","37","冰冠堡垒-第12关","战猪","战猪","","","","0","",,,,"第十二关","0","别离我太近，我是远视眼。","323","342"
"312","90","99","3","12","1833","31,29","183303","1934","1550","3068","","0;0;0","0","0","0","0","37","冰冠堡垒-第13关","恐兽","恐兽","","","","0","",,,,"第十三关","0","别想威胁我，我可是被吓大的。","489","193"
"313","90","99","3","13","1833","31,29","183304","1934","1551","3069","","0;0;0","0","0","0","0","37","冰冠堡垒-第14关","吸血魔","吸血魔","","","","0","",,,,"第十四关","0","别怕，我不吃肉只吸血。","658","341"
"314","90","99","3","14","1833","31,29","183305","1935","1552","3070","","0;0;0","11702;11702;11702;11702","0","0","0","37","冰冠堡垒-第15关","霜卫巫女   ","霜卫巫女   ","","","","1","28","27","26","25","第十五关","1","在暴风雪中颤抖吧，蝼蚁。","870","353"
"315","90","99","3","15","1834","80,39","183401","1934","1553","3071",,"0;0;0","0","1834","37","13","37","冰冠堡垒-第16关","通灵师","通灵师",,"",,"0",,,,,"第十六关","0","我的法术通常都很灵验的，所以你最好离我远一点。","107","323"
"316","90","99","3","16","1834","80,39","183402","1934","1554","3072","","0;0;0","0","0","0","0","37","冰冠堡垒-第17关","瘟疫科学家","瘟疫科学家","","","","0","",,,,"第十七关","0","我会证明的，我会证明给他们看。","327","342"
"317","90","99","3","17","1834","80,39","183403","1934","1555","3073","","0;0;0","0","0","0","0","37","冰冠堡垒-第18关","炽热骷髅","炽热骷髅","","","","0","",,,,"第十八关","0","是哪里着火了？我闻到了烧焦的味道。","491","196"
"318","90","99","3","18","1834","80,39","183404","1934","1556","3074","","0;0;0","0","0","0","0","37","冰冠堡垒-第19关","亡语信徒","亡语信徒","","","","0","",,,,"第十九关","0","比起死亡，信仰的毁灭更加致命。","658","335"
"319","90","99","3","19","1834","80,39","183405","1935","1557","3075","","0;0;0","11702;11702;11702;11702","0","0","0","37","冰冠堡垒-第20关","亡语仆从   ","亡语仆从   ","","","","1","28","27","26","25","第二十关","1","一个人没有信仰，那跟咸鱼还有什么区别。","870","349"
"320","90","99","3","20","1835","54,44","183501","2214","1558","3076",,"0;0;0","0","1835","37","13","37","冰冠堡垒-第21关","亡语狂热者","亡语狂热者",,"",,"0",,,,,"第二十一关","0","想要进入寒冰之王的领地，你必须先通过我这里。","105","320"
"321","90","99","3","21","1835","54,44","183502","2214","1559","3077","","0;0;0","0","0","0","0","37","冰冠堡垒-第22关","黑暗祭仪师","黑暗祭仪师","","","","0","",,,,"第二十二关","0","来的正好，我刚好缺少一个祭品来完成仪式。","327","342"
"322","90","99","3","22","1835","54,44","183503","2214","1560","3078","","0;0;0","0","0","0","0","37","冰冠堡垒-第23关","缚亡守卫","缚亡守卫","","","","0","",,,,"第二十三关","0","没有人可以通过这里。","489","196"
"323","90","99","3","23","1835","54,44","183504","2214","1561","3079","","0;0;0","0","0","0","0","37","冰冠堡垒-第24关","炽热卫士  ","炽热卫士  ","","","","0","",,,,"第二十四关","0","别废话了，我的斧子渴望着这场战斗。","655","336"
"324","90","99","3","24","1835","54,44","183505","2212","1562","3080","","0;0;0","11702;11702;11702;11702","0","0","0","37","冰冠堡垒-第25关","无面潜伏者   ","无面潜伏者   ","","","","1","28","27","26","25","第二十五关","1","小心你的背后，年轻人。","869","348"
"325","90","99","3","25","1836","32,69","183601","2214","1563","3081",,"0;0;0","0","1836","37","13","37","冰冠堡垒-第26关","血肉收割者","血肉收割者",,"",,"0",,,,,"第二十六关","0","我已经等不及要绞碎你的身体。","105","326"
"326","90","99","3","26","1836","32,69","183602","2214","1564","3082","","0;0;0","0","0","0","0","37","冰冠堡垒-第27关","污染憎恶体","污染憎恶体","","","","0","",,,,"第二十七关","0","如果有的选，我更愿意要一副更帅气的皮囊。","326","343"
"327","90","99","3","27","1836","32,69","183603","2214","1565","3083","","0;0;0","0","0","0","0","37","冰冠堡垒-第28关","石像鬼伏击者","石像鬼伏击者","","","","0","",,,,"第二十八关","0","你将会为你的狂妄付出代价。","488","198"
"328","90","99","3","28","1836","32,69","183604","2214","1566","3084","","0;0;0","0","0","0","0","37","冰冠堡垒-第29关","天灾缚魂者  ","天灾缚魂者  ","","","","0",,,,,"第二十九关","0","不要挑战我的耐心，我认真起来的样子我自己都害怕。","655","338"
"329","90","99","3","29","1836","32,69","183605","2213","1567","3085",,"0;0;0","11702;11702;11702;11702","1837","37","13","37","冰冠堡垒-第30关","玛洛加尔领主 ","玛洛加尔领主 ",,,,"1","28","27","26","25","第三十关","1","我身体由成千上万个像你这样不怕死的家伙的骸骨组成。","870","349"
"330","90","99","3","30","1837","72,77","183701","2214","1568","3086","","0;0;0","0","0","0","0","37","冰冠堡垒-第31关","亡语者","亡语者","","","","0","",,,,"第三十一关","0","在绝望的恐怖降临之前，能让我撕碎是你的荣幸。","105","326"
"331","90","99","3","31","1837","72,77","183702","2214","1569","3087","","0;0;0","0","0","0","0","37","冰冠堡垒-第32关","鲜血女王","鲜血女王","","","","0","",,,,"第三十二关","0","乖，我就咬一小口。","326","343"
"332","90","99","3","32","1837","72,77","183703","2214","1570","3088","","0;0;0","0","0","0","0","37","冰冠堡垒-第33关","死亡骑士","死亡骑士","","","","0","",,,,"第三十三关","0","不要以为你打败了那些废物就可以在我的地盘上嚣张。","488","198"
"333","90","99","3","33","1837","72,77","183704","2214","1571","3089","","0;0;0","0","0","0","0","37","冰冠堡垒-第34关","冰龙苟萨    ","冰龙苟萨    ","","","","0",,,,,"第三十四关","0","从蓝龙军团抛弃我的那一刻起，我发誓要像整个世界复仇！","655","338"
"334","90","99","3","34","1837","72,77","183705","2213","1572","3090",,"0;0;0","11702;11702;11702;11702","1838","37","13","37","冰冠堡垒-第35关","阿尔萨斯   ","阿尔萨斯   ",,,,"1","28","27","26","25","第三十五关","1","蝼蚁们，欢迎来到我的世界。","870","349"
"337","90","99","3","37","1838","85,54","0","0","0","0","","0;0;0","0","1007","99","94","37","冰冠堡垒-已通关","恭喜已通关，请离开副本。","","","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"","","","","",,,,,,,,
