"id","职业","策划备注","等级","装备","技能\等级","修炼等级","公会技能","宝石等级"
"2050","牧师男女","20级牧师男女标准","20","5020105;5020106;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1611@20;1612@20;1613@20;1614@20;1615@20;1616@20;1617@20;1618@20","0","0","0"
"2051","牧师男女","20级牧师男女标准+1","20","6020105;6020106;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1611@20;1612@20;1613@20;1614@20;1615@20;1616@20;1617@20;1618@20","0","0","0"
"2052","牧师男女","20级牧师男女标准+2","20","7020105;7020106;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1611@20;1612@20;1613@20;1614@20;1615@20;1616@20;1617@20;1618@20","0","0","0"
"2053","牧师男女","20级牧师男女标准+3","20","8020105;8020106;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1611@20;1612@20;1613@20;1614@20;1615@20;1616@20;1617@20;1618@20","0","0","0"
"2060","萨满男","20级萨满男标准","20","5020101;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1711@20;1712@20;1713@20;1714@20;1715@20;1716@20;1717@20;1718@20","0","0","0"
"2061","萨满男","20级萨满男标准+1","20","6020101;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1711@20;1712@20;1713@20;1714@20;1715@20;1716@20;1717@20;1718@20","0","0","0"
"2062","萨满男","20级萨满男标准+2","20","7020101;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1711@20;1712@20;1713@20;1714@20;1715@20;1716@20;1717@20;1718@20","0","0","0"
"2063","萨满男","20级萨满男标准+3","20","8020101;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1711@20;1712@20;1713@20;1714@20;1715@20;1716@20;1717@20;1718@20","0","0","0"
"2070","盗贼男女","20级盗贼男女标准","20","5020103;5020104;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1811@20;1812@20;1813@20;1814@20;1815@20;1816@20;1817@20;1818@20","0","0","0"
"2071","盗贼男女","20级盗贼男女标准+1","20","6020103;6020104;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1811@20;1812@20;1813@20;1814@20;1815@20;1816@20;1817@20;1818@20","0","0","0"
"2072","盗贼男女","20级盗贼男女标准+2","20","7020103;7020104;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1811@20;1812@20;1813@20;1814@20;1815@20;1816@20;1817@20;1818@20","0","0","0"
"2073","盗贼男女","20级盗贼男女标准+3","20","8020103;8020104;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1811@20;1812@20;1813@20;1814@20;1815@20;1816@20;1817@20;1818@20","0","0","0"
"2080","术士男女","20级术士男女标准","20","5020105;5020106;5020207;5020208;5020309;5020310;5020411;5020512;5020613","1911@20;1912@20;1913@20;1914@20;1915@20;1916@20;1917@20;1918@20","0","0","0"
"2081","术士男女","20级术士男女标准+1","20","6020105;6020106;6020207;6020208;6020309;6020310;6020411;6020512;6020613","1911@20;1912@20;1913@20;1914@20;1915@20;1916@20;1917@20;1918@20","0","0","0"
"2082","术士男女","20级术士男女标准+2","20","7020105;7020106;7020207;7020208;7020309;7020310;7020411;7020512;7020613","1911@20;1912@20;1913@20;1914@20;1915@20;1916@20;1917@20;1918@20","0","0","0"
"2083","术士男女","20级术士男女标准+3","20","8020105;8020106;8020207;8020208;8020309;8020310;8020411;8020512;8020613","1911@20;1912@20;1913@20;1914@20;1915@20;1916@20;1917@20;1918@20","0","0","0"
"3000","战士男女","30级战士男女标准","30","5030101;5030102;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1111@30;1112@30;1113@30;1114@30;1115@30;1116@30;1117@30;1118@30","0","0","0"
"3001","战士男女","30级战士男女标准+1","30","6030101;6030102;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1111@30;1112@30;1113@30;1114@30;1115@30;1116@30;1117@30;1118@30","0","0","0"
"3002","战士男女","30级战士男女标准+2","30","7030101;7030102;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1111@30;1112@30;1113@30;1114@30;1115@30;1116@30;1117@30;1118@30","0","0","0"
"3003","战士男女","30级战士男女标准+3","30","8030101;8030102;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1111@30;1112@30;1113@30;1114@30;1115@30;1116@30;1117@30;1118@30","0","0","0"
"3010","猎人男女","30级猎人男女标准","30","5030103;5030104;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1311@30;1312@30;1313@30;1314@30;1315@30;1316@30;1317@30;1318@30","0","0","0"
"3011","猎人男女","30级猎人男女标准+1","30","6030103;6030104;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1311@30;1312@30;1313@30;1314@30;1315@30;1316@30;1317@30;1318@30","0","0","0"
"3012","猎人男女","30级猎人男女标准+2","30","7030103;7030104;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1311@30;1312@30;1313@30;1314@30;1315@30;1316@30;1317@30;1318@30","0","0","0"
"3013","猎人男女","30级猎人男女标准+3","30","8030103;8030104;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1311@30;1312@30;1313@30;1314@30;1315@30;1316@30;1317@30;1318@30","0","0","0"
"3020","圣骑女","30级圣骑女标准","30","5030102;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1211@30;1212@30;1213@30;1214@30;1215@30;1216@30;1217@30;1218@30","0","0","0"
"3021","圣骑女","30级圣骑女标准+1","30","6030102;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1211@30;1212@30;1213@30;1214@30;1215@30;1216@30;1217@30;1218@30","0","0","0"
"3022","圣骑女","30级圣骑女标准+2","30","7030102;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1211@30;1212@30;1213@30;1214@30;1215@30;1216@30;1217@30;1218@30","0","0","0"
"3023","圣骑男女","30级圣骑女标准+3","30","8030102;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1211@30;1212@30;1213@30;1214@30;1215@30;1216@30;1217@30;1218@30","0","0","0"
"3030","小德男女","30级小德男女标准","30","5030103;5030104;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1411@30;1412@30;1413@30;1414@30;1415@30;1416@30;1417@30;1418@30","0","0","0"
"3031","小德男女","30级小德男女标准+1","30","6030103;6030104;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1411@30;1412@30;1413@30;1414@30;1415@30;1416@30;1417@30;1418@30","0","0","0"
"3032","小德男女","30级小德男女标准+2","30","7030103;7030104;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1411@30;1412@30;1413@30;1414@30;1415@30;1416@30;1417@30;1418@30","0","0","0"
"3033","小德男女","30级小德男女标准+3","30","8030103;8030104;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1411@30;1412@30;1413@30;1414@30;1415@30;1416@30;1417@30;1418@30","0","0","0"
"3040","法师男女","30级法师男女标准","30","5030105;5030106;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1511@30;1512@30;1513@30;1514@30;1515@30;1516@30;1517@30;1518@30","0","0","0"
"3041","法师男女","30级法师男女标准+1","30","6030105;6030106;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1511@30;1512@30;1513@30;1514@30;1515@30;1516@30;1517@30;1518@30","0","0","0"
"3042","法师男女","30级法师男女标准+2","30","7030105;7030106;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1511@30;1512@30;1513@30;1514@30;1515@30;1516@30;1517@30;1518@30","0","0","0"
"3043","法师男女","30级法师男女标准+3","30","8030105;8030106;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1511@30;1512@30;1513@30;1514@30;1515@30;1516@30;1517@30;1518@30","0","0","0"
"3050","牧师男女","30级牧师男女标准","30","5030105;5030106;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1611@30;1612@30;1613@30;1614@30;1615@30;1616@30;1617@30;1618@30","0","0","0"
"3051","牧师男女","30级牧师男女标准+1","30","6030105;6030106;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1611@30;1612@30;1613@30;1614@30;1615@30;1616@30;1617@30;1618@30","0","0","0"
"3052","牧师男女","30级牧师男女标准+2","30","7030105;7030106;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1611@30;1612@30;1613@30;1614@30;1615@30;1616@30;1617@30;1618@30","0","0","0"
"3053","牧师男女","30级牧师男女标准+3","30","8030105;8030106;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1611@30;1612@30;1613@30;1614@30;1615@30;1616@30;1617@30;1618@30","0","0","0"
"3060","萨满男","30级萨满男标准","30","5030101;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1711@30;1712@30;1713@30;1714@30;1715@30;1716@30;1717@30;1718@30","0","0","0"
"3061","萨满男","30级萨满男标准+1","30","6030101;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1711@30;1712@30;1713@30;1714@30;1715@30;1716@30;1717@30;1718@30","0","0","0"
"3062","萨满男","30级萨满男标准+2","30","7030101;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1711@30;1712@30;1713@30;1714@30;1715@30;1716@30;1717@30;1718@30","0","0","0"
"3063","萨满男","30级萨满男标准+3","30","8030101;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1711@30;1712@30;1713@30;1714@30;1715@30;1716@30;1717@30;1718@30","0","0","0"
"3070","盗贼男女","30级盗贼男女标准","30","5030103;5030104;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1811@30;1812@30;1813@30;1814@30;1815@30;1816@30;1817@30;1818@30","0","0","0"
"3071","盗贼男女","30级盗贼男女标准+1","30","6030103;6030104;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1811@30;1812@30;1813@30;1814@30;1815@30;1816@30;1817@30;1818@30","0","0","0"
"3072","盗贼男女","30级盗贼男女标准+2","30","7030103;7030104;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1811@30;1812@30;1813@30;1814@30;1815@30;1816@30;1817@30;1818@30","0","0","0"
"3073","盗贼男女","30级盗贼男女标准+3","30","8030103;8030104;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1811@30;1812@30;1813@30;1814@30;1815@30;1816@30;1817@30;1818@30","0","0","0"
"3080","术士男女","30级术士男女标准","30","5030105;5030106;5030207;5030208;5030309;5030310;5030411;5030512;5030613","1911@30;1912@30;1913@30;1914@30;1915@30;1916@30;1917@30;1918@30","0","0","0"
"3081","术士男女","30级术士男女标准+1","30","6030105;6030106;6030207;6030208;6030309;6030310;6030411;6030512;6030613","1911@30;1912@30;1913@30;1914@30;1915@30;1916@30;1917@30;1918@30","0","0","0"
"3082","术士男女","30级术士男女标准+2","30","7030105;7030106;7030207;7030208;7030309;7030310;7030411;7030512;7030613","1911@30;1912@30;1913@30;1914@30;1915@30;1916@30;1917@30;1918@30","0","0","0"
"3083","术士男女","30级术士男女标准+3","30","8030105;8030106;8030207;8030208;8030309;8030310;8030411;8030512;8030613","1911@30;1912@30;1913@30;1914@30;1915@30;1916@30;1917@30;1918@30","0","0","0"
"4000","战士男女","40级战士男女标准","40","5040101;5040102;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1111@40;1112@40;1113@40;1114@40;1115@40;1116@40;1117@40;1118@40","0","0","0"
"4001","战士男女","40级战士男女标准+1","40","6040101;6040102;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1111@40;1112@40;1113@40;1114@40;1115@40;1116@40;1117@40;1118@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4002","战士男女","40级战士男女标准+2","40","7040101;7040102;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1111@40;1112@40;1113@40;1114@40;1115@40;1116@40;1117@40;1118@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4003","战士男女","40级战士男女标准+3","40","8040101;8040102;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1111@40;1112@40;1113@40;1114@40;1115@40;1116@40;1117@40;1118@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"4010","猎人男女","40级猎人男女标准","40","5040103;5040104;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1311@40;1312@40;1313@40;1314@40;1315@40;1316@40;1317@40;1318@40","0","0","0"
"4011","猎人男女","40级猎人男女标准+1","40","6040103;6040104;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1311@40;1312@40;1313@40;1314@40;1315@40;1316@40;1317@40;1318@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4012","猎人男女","40级猎人男女标准+2","40","7040103;7040104;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1311@40;1312@40;1313@40;1314@40;1315@40;1316@40;1317@40;1318@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4013","猎人男女","40级猎人男女标准+3","40","8040103;8040104;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1311@40;1312@40;1313@40;1314@40;1315@40;1316@40;1317@40;1318@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"4020","圣骑女","40级圣骑女标准","40","5040102;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1211@40;1212@40;1213@40;1214@40;1215@40;1216@40;1217@40;1218@40","0","0","0"
"4021","圣骑女","40级圣骑女标准+1","40","6040102;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1211@40;1212@40;1213@40;1214@40;1215@40;1216@40;1217@40;1218@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4022","圣骑女","40级圣骑女标准+2","40","7040102;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1211@40;1212@40;1213@40;1214@40;1215@40;1216@40;1217@40;1218@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4023","圣骑男女","40级圣骑女标准+3","40","8040102;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1211@40;1212@40;1213@40;1214@40;1215@40;1216@40;1217@40;1218@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"4030","小德男女","40级小德男女标准","40","5040103;5040104;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1411@40;1412@40;1413@40;1414@40;1415@40;1416@40;1417@40;1418@40","0","0","0"
"4031","小德男女","40级小德男女标准+1","40","6040103;6040104;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1411@40;1412@40;1413@40;1414@40;1415@40;1416@40;1417@40;1418@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4032","小德男女","40级小德男女标准+2","40","7040103;7040104;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1411@40;1412@40;1413@40;1414@40;1415@40;1416@40;1417@40;1418@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4033","小德男女","40级小德男女标准+3","40","8040103;8040104;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1411@40;1412@40;1413@40;1414@40;1415@40;1416@40;1417@40;1418@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"4040","法师男女","40级法师男女标准","40","5040105;5040106;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1511@40;1512@40;1513@40;1514@40;1515@40;1516@40;1517@40;1518@40","0","0","0"
"4041","法师男女","40级法师男女标准+1","40","6040105;6040106;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1511@40;1512@40;1513@40;1514@40;1515@40;1516@40;1517@40;1518@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4042","法师男女","40级法师男女标准+2","40","7040105;7040106;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1511@40;1512@40;1513@40;1514@40;1515@40;1516@40;1517@40;1518@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4043","法师男女","40级法师男女标准+3","40","8040105;8040106;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1511@40;1512@40;1513@40;1514@40;1515@40;1516@40;1517@40;1518@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"4050","牧师男女","40级牧师男女标准","40","5040105;5040106;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1611@40;1612@40;1613@40;1614@40;1615@40;1616@40;1617@40;1618@40","0","0","0"
"4051","牧师男女","40级牧师男女标准+1","40","6040105;6040106;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1611@40;1612@40;1613@40;1614@40;1615@40;1616@40;1617@40;1618@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4052","牧师男女","40级牧师男女标准+2","40","7040105;7040106;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1611@40;1612@40;1613@40;1614@40;1615@40;1616@40;1617@40;1618@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4053","牧师男女","40级牧师男女标准+3","40","8040105;8040106;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1611@40;1612@40;1613@40;1614@40;1615@40;1616@40;1617@40;1618@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"4060","萨满男","40级萨满男标准","40","5040101;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1711@40;1712@40;1713@40;1714@40;1715@40;1716@40;1717@40;1718@40","0","0","0"
"4061","萨满男","40级萨满男标准+1","40","6040101;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1711@40;1712@40;1713@40;1714@40;1715@40;1716@40;1717@40;1718@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4062","萨满男","40级萨满男标准+2","40","7040101;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1711@40;1712@40;1713@40;1714@40;1715@40;1716@40;1717@40;1718@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4063","萨满男","40级萨满男标准+3","40","8040101;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1711@40;1712@40;1713@40;1714@40;1715@40;1716@40;1717@40;1718@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"4070","盗贼男女","40级盗贼男女标准","40","5040103;5040104;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1811@40;1812@40;1813@40;1814@40;1815@40;1816@40;1817@40;1818@40","0","0","0"
"4071","盗贼男女","40级盗贼男女标准+1","40","6040103;6040104;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1811@40;1812@40;1813@40;1814@40;1815@40;1816@40;1817@40;1818@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4072","盗贼男女","40级盗贼男女标准+2","40","7040103;7040104;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1811@40;1812@40;1813@40;1814@40;1815@40;1816@40;1817@40;1818@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4073","盗贼男女","40级盗贼男女标准+3","40","8040103;8040104;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1811@40;1812@40;1813@40;1814@40;1815@40;1816@40;1817@40;1818@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"4080","术士男女","40级术士男女标准","40","5040105;5040106;5040207;5040208;5040309;5040310;5040411;5040512;5040613","1911@40;1912@40;1913@40;1914@40;1915@40;1916@40;1917@40;1918@40","0","0","0"
"4081","术士男女","40级术士男女标准+1","40","6040105;6040106;6040207;6040208;6040309;6040310;6040411;6040512;6040613","1911@40;1912@40;1913@40;1914@40;1915@40;1916@40;1917@40;1918@40","0","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"4082","术士男女","40级术士男女标准+2","40","7040105;7040106;7040207;7040208;7040309;7040310;7040411;7040512;7040613","1911@40;1912@40;1913@40;1914@40;1915@40;1916@40;1917@40;1918@40","0","320103@50;320104@50","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"4083","术士男女","40级术士男女标准+3","40","8040105;8040106;8040207;8040208;8040309;8040310;8040411;8040512;8040613","1911@40;1912@40;1913@40;1914@40;1915@40;1916@40;1917@40;1918@40","0","320103@50;320104@50","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"5000","战士男女","50级战士男女标准","50","5050101;5050102;5050207;5050208;5050309;5050310;5050411;5050512;5050613","1111@50;1112@50;1113@50;1114@50;1115@50;1116@50;1117@50;1118@50","0","0","0"
"5001","战士男女","50级战士男女标准+1","50","6050101;6050102;6050207;6050208;6050309;6050310;6050411;6050512;6050613","1111@50;1112@50;1113@50;1114@50;1115@50;1116@50;1117@50;1118@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5002","战士男女","50级战士男女标准+2","50","7050101;7050102;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1111@50;1112@50;1113@50;1114@50;1115@50;1116@50;1117@50;1118@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5003","战士男女","50级战士男女标准+3","50","8050101;8050102;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1111@50;1112@50;1113@50;1114@50;1115@50;1116@50;1117@50;1118@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"5010","猎人男女","50级猎人男女标准","50","5050103;5050104;5050207;5050208;5050309;5050310;5050411;5050512;5050613","1311@50;1312@50;1313@50;1314@50;1315@50;1316@50;1317@50;1318@50","0","0","0"
"5011","猎人男女","50级猎人男女标准+1","50","6050103;6050104;6050207;6050208;6050309;6050310;6050411;6050512;6050613","1311@50;1312@50;1313@50;1314@50;1315@50;1316@50;1317@50;1318@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5012","猎人男女","50级猎人男女标准+2","50","7050103;7050104;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1311@50;1312@50;1313@50;1314@50;1315@50;1316@50;1317@50;1318@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5013","猎人男女","50级猎人男女标准+3","50","8050103;8050104;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1311@50;1312@50;1313@50;1314@50;1315@50;1316@50;1317@50;1318@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
"5020","圣骑女","50级圣骑女标准","50","5050102;5050207;5050208;5050309;5050310;5050411;5050512;5050513","1211@50;1212@50;1213@50;1214@50;1215@50;1216@50;1217@50;1218@50","0","0","0"
"5021","圣骑女","50级圣骑女标准+1","50","6050102;6050207;6050208;6050309;6050310;6050411;6050512;6050613","1211@50;1212@50;1213@50;1214@50;1215@50;1216@50;1217@50;1218@50","360011@1;360012@1;360013@1;360014@1","320103@40;320104@40","35010;35011;35012;35013;35014;35015;35016;35017;35018"
"5022","圣骑女","50级圣骑女标准+2","50","7050102;7050207;7050208;7050309;7050310;7050411;7050512;7050613","1211@50;1212@50;1213@50;1214@50;1215@50;1216@50;1217@50;1218@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35019;35020;35021;35022;35023;35024;35025;35026;35027"
"5023","圣骑男女","50级圣骑女标准+3","50","8050102;8050207;8050208;8050309;8050310;8050411;8050512;8050613","1211@50;1212@50;1213@50;1214@50;1215@50;1216@50;1217@50;1218@50","360011@2;360012@2;360013@2;360014@2","320103@60;320104@60","35028;35029;35030;35031;35032;35033;35034;35035;35036"
