"技能编号","是否需要熟练度","技能名称","排序编号","图标编号","技能类型","附魔产出道具","是否需要公会","技能最高上限","学习需求等级规则","学习消耗规则","活力消耗规则","关联被动技能","提升属性说明1","提升属性系数1","提升属性说明2","提升属性系数2","提升属性说明3","提升属性系数3","提升属性说明4","提升属性系数4","公会内技能能达到上限","是否在技能学习人处显示","生产引导提示","描述","公会界面描述","技能简介","下一级效果","当前级别效果","是否需要熟练度2","参数个数","参数1对应列","参数2对应列","参数3对应列","专精当前效果1","专精当前效果2","专精当前效果3","专精当前效果4","属性id1","属性id2","属性id3","属性id4"
"310101","false","炼金","4","232","2",,"1","160","1","2","2",,,"",,"",,"",,"","140","1","<T t=""能炼制出神秘的药品，可以在公会中学习，也可以在"" c=""ffffffff""></T><G t=""尹克西"" npcid=""10193""></G><T t=""处学习一些基本的炼药之术。"" c=""ffffffff""></T>","炼金技能等级越高，制作的药水种类越多，品质也越高。多余的炼金物品还可以摆摊出售给其他玩家换取金币。","消耗活力，你可以将2至4个药材炼成下面某种高级药品。","消耗活力，你可以将2至4个药材炼成下面某种高级药品","提升等级能提升炼制3级药的成功率，以及生成的3级药的品质","提升等级能提升炼制3级药的成功率，以及生成的3级药的品质。","0","0","-1","-1","-1",,,,,,,,
"310201","false","烹饪","3","233","2",,"1","160","1","2","2",,,"",,"",,"",,"","140","1","<T t=""能制作出美味的食品，可以在公会中学习，也可以在"" c=""ffffffff""></T><G t=""尹克西"" npcid=""10193""></G><T t=""处学习一些基本的厨艺。"" c=""ffffffff""></T>","烹饪技能等级越高，制作的烹饪种类越多，品质也越高。多余的烹饪物品还可以摆摊出售给其他玩家换取金币。","消耗活力，你可以随机烹饪出下列食物中的一种。","消耗活力，你可以随机烹饪出下列食物中的一种","提升等级能制作更高等级的烹饪","提升等级能制作更高等级的烹饪。","0","0","-1","-1","-1",,,,,,,,
"320103","false","强体术","1","228","2",,"1","160","1","1",,"100100","累计提升生命上限","10","","","","","","","140","1","","强身健体，每学习一级可以提高一定的生命上限。","生命上限提升：技能等级*10","生命上限提升：技能等级*10","提升至下一级：总计提升人物体力上限值$parameter1$点","提升人物体力上限值$parameter1$点。","0","1","4","-1","-1",,,,,,,,
"320104","false","冥想术","2","227","2",,"1","160","1","1",,"100101","累计提升魔法上限","10","","","","","","","140","1","","提高智商，每学习一级可以提高一定的魔法上限。","魔法上限提升：技能等级*10","魔法上限提升：技能等级*10","提升至下一级：总计提升人物活力上限值$parameter1$点","提升人物活力上限值$parameter1$点。","0","1","5","-1","-1",,,,,,,,
"340001","false","打工赚钱","0","1132","4",,"0","1","0","0","3","","","","","","","","","","140","1","","打工赚钱","打工赚钱","打工赚钱","提升至下一级：总计增加自身逃跑几率$parameter1$%","增加自身逃跑几率$parameter1$%。","0","1","8","-1","-1",,,,,,,,
"340101","false","制作金龙","0","1003","5",,"0","1","0","0","3","","","","","","","","","","140","1","","制作金龙","制作金龙","制作金龙","提升至下一级：总计增加自身逃跑几率$parameter1$%","增加自身逃跑几率$parameter1$%。","0","1","8","-1","-1",,,,,,,,
"360011","false","攻法专精","1","226","3",,"1","20",,,,"900001","提升造成的物理伤害","2","提升造成的法术伤害","2","提升控制命中率","2","提升治疗和状态的效果等级","1",,,,"影响角色和伙伴",,,,,"1",,,,,"增加物理穿透: ","增加法术穿透: ","增加控制加成: ","增加治疗加深: ","951","971","2131","991"
"360012","false","物抗专精","2","223","3",,"1","20",,,,"900002","降低受到的物理伤害","2",,,,,,,,,,"影响角色和伙伴",,,,,"1",,,,,"增加物理抵抗: ",,,,"961",,,
"360013","false","法抗专精","3","222","3",,"1","20",,,,"900003","降低受到的法术伤害","2",,,,,,,,,,"影响角色和伙伴",,,,,"1",,,,,"增加法术抵抗: ",,,,"981",,,
"360014","false","守护专精","4","221","3",,"1","20",,,,"900004","降低被控制几率","2","增加被治疗量","1",,,,,,,,"影响角色和伙伴",,,,,"1",,,,,"增加控制免疫: ","增加被治疗加深: ",,,"2141","1001",,
"360020","false","宠物攻法","5","220","3",,"1","20",,,,"910001","提升造成的物理伤害","2","提升造成的法术伤害","2",,,,,,,,"影响宠物",,,,,"1",,,,,"增加宠物物理穿透: ","增加宠物法术穿透: ",,,"951","971",,
"360021","false","宠物物抗","6","219","3",,"1","20",,,,"910002","降低受到的物理伤害","2",,,,,,,,,,"影响宠物",,,,,"1",,,,,"增加宠物物理抵抗: ",,,,"961",,,
"360022","false","宠物法抗","7","218","3",,"1","20",,,,"910003","降低受到的法术伤害","2",,,,,,,,,,"影响宠物",,,,,"1",,,,,"增加宠物法术抵抗: ",,,,"981",,,
"360023","false","宠物守护","8","217","3",,"1","20",,,,"910004","降低被控制几率","2","增加被治疗量","1",,,,,,,,"影响宠物",,,,,"1",,,,,"增加宠物控制免疫: ","增加宠物被治疗加深: ",,,"2141","1001",,
