"技能id","技能名","图标编号","技能升级描述"
"721004","圣光洗礼","340","<T t=""治疗单个目标""></T>"
"721005","神谕责难","87","<T t=""净化对方多个目标的所有增益状态，可破隐身""></T>"
"721006","中国功夫","144","<T t=""战斗中生命大幅提升。""></T>"
"721007","冲出亚洲","144","<T t=""审判之锤的伤害结果提升50%""></T>"
"722001","审判之锤","327","<T t=""召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。""></T>"
"722002","无边定罪","129","<T t=""召唤圣光攻击单个目标，附带一定百分比伤害""></T>"
"722003","复仇之盾","338","<T t=""概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。""></T>"
"722004","圣光洗礼","340","<T t=""治疗单个目标""></T>"
"722005","神谕责难","87","<T t=""净化对方多个目标的所有增益状态，可破隐身""></T>"
"722006","贵族血统","144","<T t=""受到物理伤害时，反震部分回攻击者""></T>"
"722007","王者馈赠","144","<T t=""圣光洗礼一定几率追加回春效果""></T>"
"723001","审判之锤","327","<T t=""召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。""></T>"
"723002","无边定罪","129","<T t=""召唤圣光攻击单个目标，附带一定百分比伤害""></T>"
"723003","复仇之盾","338","<T t=""概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。""></T>"
"723004","圣光洗礼","340","<T t=""治疗单个目标""></T>"
"723005","神谕责难","87","<T t=""净化对方多个目标的所有增益状态，可破隐身""></T>"
"723006","大姐之怒","144","<T t=""无边定罪的百分比伤害成功几率提升至100%""></T>"
"723007","沉默爆发","144","<T t=""大幅提升法术暴击""></T>"
"724001","审判之锤","327","<T t=""召唤审判之锤攻击多个目标，概率附带净化首目标所有增益状态，能对隐身单位使用。""></T>"
"724002","无边定罪","129","<T t=""召唤圣光攻击单个目标，附带一定百分比伤害""></T>"
"724003","复仇之盾","338","<T t=""概率嘲讽多个目标，对BOSS必中，受嘲讽的单位被强制改变攻击类的技能目标且降低一定物理伤害和大量法术伤害，持续3回合。仅PVE战斗可使用。""></T>"
"724004","圣光洗礼","340","<T t=""治疗单个目标""></T>"
"724005","神谕责难","87","<T t=""净化对方多个目标的所有增益状态，可破隐身""></T>"
"724006","光明使者","144","<T t=""战斗中，提升友方玩家和伙伴的物理攻击""></T>"
"724007","圣光意志","144","<T t=""圣光洗礼作用目标一定几率增加一个""></T>"
"731001","多重打击","63","<T t=""狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）""></T>"
"731002","穿刺打击","343","<T t=""狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）""></T>"
"731003","野性召唤","344","<T t=""为场上己方全体宠物增加一定的物理攻击和法术攻击，持续4回合""></T>"
"731004","生命献祭","342","<T t=""献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。""></T>"
"731005","精准打击","345","<T t=""狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）""></T>"
"731006","美屡气质","144","<T t=""战斗中速度加倍""></T>"
"731007","智商压制","144","<T t=""攻击时物理伤害提升，与自身和目标的速度差值有关""></T>"
"731008","美女野兽","144","<T t=""当美屡、冬、兽王中有施放技能，则为其他两者增加一定的物理伤害，伤害增加的效果会一直累积，直到死亡清零""></T>"
"732001","多重打击","63","<T t=""狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）""></T>"
"732002","穿刺打击","343","<T t=""狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）""></T>"
"732003","野性召唤","344","<T t=""为场上己方全体宠物增加一定的物理攻击和法术攻击，持续4回合""></T>"
"732004","生命献祭","342","<T t=""献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。""></T>"
"732005","精准打击","345","<T t=""狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）""></T>"
"732006","战斗技巧","144","<T t=""战斗中生命提升。""></T>"
"732007","不留活口","144","<T t=""使用精准打击，如果对方死亡并有剩余攻击次数，则继续选择一个单位攻击。""></T>"
"732008","美女野兽","144","<T t=""当美屡、冬、兽王中有施放技能，则为其他两者增加一定的物理伤害，伤害增加的效果会一直累积，直到死亡清零""></T>"
"733001","多重打击","63","<T t=""狩猎姿态下，物理攻击多个目标，使用后休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）""></T>"
"733002","穿刺打击","343","<T t=""狩猎姿态下，忽视目标部分物理防御穿刺攻击。（非狩猎状态下，使用狩猎姿态。）""></T>"
"733003","野性召唤","344","<T t=""为场上己方全体宠物增加一定的物理攻击和法术攻击，持续4回合""></T>"
"733004","生命献祭","342","<T t=""献祭己方的一只宠物，给己方全体主角增加魔法值，可献祭处于死亡状态下的宠物。""></T>"
"733005","精准打击","345","<T t=""狩猎姿态下，连续打击单个目标多次，使用后结束狩猎状态并虚弱休息1回合，虚弱休息状态下双防降低。（非狩猎状态下，使用狩猎姿态。）""></T>"
"733006","强击光环","144","<T t=""提升战斗中所有伙伴的物理伤害，提升数值与自身物理伤害有关""></T>"
"733007","兽王专精","144","<T t=""使得多重打击增加一次攻击。""></T>"
"733008","美女野兽","144","<T t=""当美屡、冬、兽王中有施放技能，则为其他两者增加一定的物理伤害，伤害增加的效果会一直累积，直到死亡清零""></T>"
"741001","撕裂横扫","306","<T t=""物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。""></T>"
"741002","绿之潮","280","<T t=""降低敌方多个目标物理防御""></T>"
"741003","黄昏花蕾","307","<T t=""给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。""></T>"
"741004","灵熊爪击","308","<T t=""物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。""></T>"
"741005","自然之眼","258","<T t=""战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。""></T>"
"741006","良心商人","144","<T t=""战斗中，提升友方玩家和伙伴的法术防御和控制抗性。""></T>"
"741007","持久力强","144","<T t=""施放绿之潮时的目标增加一个，并且效果延长一回合。""></T>"
"742001","撕裂横扫","306","<T t=""物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。""></T>"
"742002","绿之潮","280","<T t=""降低敌方多个目标物理防御""></T>"
"742003","黄昏花蕾","307","<T t=""给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。""></T>"
"742004","灵熊爪击","308","<T t=""物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。""></T>"
"742005","自然之眼","258","<T t=""战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。""></T>"
"742006","自然姌合","144","<T t=""撕裂横扫的伤害效果大幅度提高。""></T>"
"742007","孀妇哀怨","144","<T t=""击杀的单位被附加2回合灵魂禁锢效果。""></T>"
"743001","撕裂横扫","306","<T t=""物理攻击多个目标，将大量物理防御附加到物理攻击上打击目标，使用后虚弱1回合。""></T>"
"743002","绿之潮","280","<T t=""降低敌方多个目标物理防御""></T>"
"743003","黄昏花蕾","307","<T t=""给己方全体主角增加持续生命和魔法回复，宠物和怪物无效，持续4回合。""></T>"
"743004","灵熊爪击","308","<T t=""物理攻击多个目标，将部分物理防御附加到物理攻击上打击目标并消耗对方魔法，使用后虚弱休息1回合，休息状态下双防降低。""></T>"
"743005","自然之眼","258","<T t=""战斗中提高己方多人控制抗性，并使其可以攻击隐身单位。""></T>"
"743006","月神庇护","144","<T t=""大幅增加自身控制抵抗，黄昏花蕾效果大幅提升。""></T>"
"743007","大地守护","144","<T t=""复活后免疫当回合受到的攻击，每场战斗最多触发一次。""></T>"
"751001","暴风雪","216","<T t=""法术打击多个目标""></T>"
"751002","奥术冲击","215","<T t=""法术强力打击单个目标""></T>"
"751003","变形术","310","<T t=""一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。""></T>"
"751004","魔爆术","214","<T t=""法术打击敌方全体，消耗目标的魔法""></T>"
"751005","冰霜血脉","311","<T t=""解除1至2个友方的中毒状态，并回复生命""></T>"
"751006","神教奥义","144","<T t=""出手同时有概率额外清除一个己方不良状态""></T>"
"751007","称霸世界","144","<T t=""奥术冲击有概率连续施放2次""></T>"
"751008","老头乐","144","<T t=""与方砖共同参战则双方法攻增强""></T>"
"752001","暴风雪","216","<T t=""法术打击多个目标""></T>"
"752002","奥术冲击","215","<T t=""法术强力打击单个目标""></T>"
"752003","变形术","310","<T t=""一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。""></T>"
"752004","魔爆术","214","<T t=""法术打击敌方全体，消耗目标的魔法""></T>"
"752005","冰霜血脉","311","<T t=""解除1至2个友方的中毒状态，并回复生命""></T>"
"752006","江湖老练","144","<T t=""大幅提升法术连击几率""></T>"
"752007","老谋深算","144","<T t=""群攻法术以血量较少的单位作为目标""></T>"
"752008","老头乐","144","<T t=""与五火球教主共同参战则双方法攻增强""></T>"
"753001","暴风雪","216","<T t=""法术打击多个目标""></T>"
"753002","奥术冲击","215","<T t=""法术强力打击单个目标""></T>"
"753003","变形术","310","<T t=""一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。""></T>"
"753004","魔爆术","214","<T t=""法术打击敌方全体，消耗目标的魔法""></T>"
"753005","冰霜血脉","311","<T t=""解除1至2个友方的中毒状态，并回复生命""></T>"
"753006","腹黑魅影","144","<T t=""奥术冲击降低目标物理防御和法术防御3回合""></T>"
"753007","傲娇气质","144","<T t=""大幅提升法术暴击""></T>"
"754001","暴风雪","216","<T t=""法术打击多个目标""></T>"
"754002","奥术冲击","215","<T t=""法术强力打击单个目标""></T>"
"754003","变形术","310","<T t=""一定几率把对方目标变成小动物，持续3回合，该状态下无法使用物理普攻和技能，速度降低，一旦受击取消该状态。仅PVE战斗可使用。""></T>"
"754004","魔爆术","214","<T t=""法术打击敌方全体，消耗目标的魔法""></T>"
"754005","冰霜血脉","311","<T t=""解除1至2个友方的中毒状态，并回复生命""></T>"
"754006","王者壁垒","144","<T t=""受到伤害时，攻击者有概率中眩晕。""></T>"
"754007","逐日力量","144","<T t=""暴风雪的法术伤害大幅增强。""></T>"
"761001","神圣新星","209","<T t=""法术随机攻击多个目标，对首要目标造成额外伤害""></T>"
"761002","治疗祷言","208","<T t=""回复多个目标生命。""></T>"
"761003","复生","207","<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
"761004","心灵之火","205","<T t=""战斗中增加友方法术攻击和法术防御""></T>"
"761005","神圣救赎","312","<T t=""解除1至2个己方队友除控制状态外的的所有异常状态""></T>"
"761006","第一梯队","144","<T t=""PVE中一定幅度提升治疗法术效果""></T>"
"761007","强化复生","144","<T t=""PVE中复活某单位，一定几率额外恢复其大量生命""></T>"
"762001","神圣新星","209","<T t=""法术随机攻击多个目标，对首要目标造成额外伤害""></T>"
"762002","治疗祷言","208","<T t=""回复多个目标生命。""></T>"
"762003","复生","207","<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
"762004","心灵之火","205","<T t=""战斗中增加友方法术攻击和法术防御""></T>"
"762005","神圣救赎","312","<T t=""解除1至2个己方队友除控制状态外的的所有异常状态""></T>"
"762006","王族血脉","144","<T t=""施放治疗祷言时，作用目标一定几率增加一个""></T>"
"762007","圣光信仰","144","<T t=""心灵之火的技能持续回合增加一回合""></T>"
"763001","神圣新星","209","<T t=""法术随机攻击多个目标，对首要目标造成额外伤害""></T>"
"763002","治疗祷言","208","<T t=""回复多个目标生命。""></T>"
"763003","复生","207","<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
"763004","心灵之火","205","<T t=""战斗中增加友方法术攻击和法术防御""></T>"
"763005","神圣救赎","312","<T t=""解除1至2个己方队友除控制状态外的的所有异常状态""></T>"
"763006","瀑流","144","<T t=""PVE中施放治疗祷言时对首目标的治疗效果大幅度提升""></T>"
"763007","能量灌注","144","<T t=""施放治疗祷言时，一定几率对施法目标附加回春效果""></T>"
"764001","神圣新星","209","<T t=""法术随机攻击多个目标，对首要目标造成额外伤害""></T>"
"764002","治疗祷言","208","<T t=""回复多个目标生命。""></T>"
"764003","复生","207","<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
"764004","心灵之火","205","<T t=""战斗中增加友方法术攻击和法术防御""></T>"
"764005","神圣救赎","312","<T t=""解除1至2个己方队友除控制状态外的的所有异常状态""></T>"
"764006","专注意志","144","<T t=""使用任何技能时，为自己回复8%最大生命""></T>"
"764007","圣赞美诗","144","<T t=""受到伤害时有较大概率转为恢复生命，也有一定概率承受更多伤害""></T>"
"771001","闪电链","314","<T t=""法术攻击多个目标，伤害逐个递增""></T>"
"771002","治疗图腾","317","<T t=""召唤图腾，每回合给范围内队友回复生命，持续4回合""></T>"
"771003","闪电箭","315","<T t=""法术强力打击单个目标""></T>"
"771004","先祖之魂","318","<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
"771005","狂热图腾","319","<T t=""召唤图腾，给范围内队友增加物攻和速度，持续4回合""></T>"
"771006","特训成果","144","<T t=""战斗中玩家和伙伴速度提升，提升幅度与自身法术攻击相关""></T>"
"771007","杨教授之吻","144","<T t=""PVE中复活某单位，一定几率额外恢复其大量生命""></T>"
"772001","闪电链","314","<T t=""法术攻击多个目标，伤害逐个递增""></T>"
"772002","治疗图腾","317","<T t=""召唤图腾，每回合给范围内队友回复生命，持续4回合""></T>"
"772003","闪电箭","315","<T t=""法术强力打击单个目标""></T>"
"772004","先祖之魂","318","<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
"772005","狂热图腾","319","<T t=""召唤图腾，给范围内队友增加物攻和速度，持续4回合""></T>"
"772006","白富美","144","<T t=""战斗中法攻提升。""></T>"
"772007","强力党","144","<T t=""闪电链和闪电箭优先攻击生命值低的敌方目标。""></T>"
"773001","闪电链","314","<T t=""法术攻击多个目标，伤害逐个递增""></T>"
"773002","治疗图腾","317","<T t=""召唤图腾，每回合给范围内队友回复生命，持续4回合""></T>"
"773003","闪电箭","315","<T t=""法术强力打击单个目标""></T>"
"773004","先祖之魂","318","<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
"773005","狂热图腾","319","<T t=""召唤图腾，给范围内队友增加物攻和速度，持续4回合""></T>"
"773006","离子炮","144","<T t=""闪电箭有概率造成双倍伤害，或者为目标加血""></T>"
"773007","强力母牛","144","<T t=""死亡后，回合结束后复活且获得50%血量，每场战斗只能使用一次""></T>"
"774001","闪电链","314","<T t=""法术攻击多个目标，伤害逐个递增""></T>"
"774002","治疗图腾","317","<T t=""召唤图腾，每回合给范围内队友回复生命，持续4回合""></T>"
"774003","闪电箭","315","<T t=""法术强力打击单个目标""></T>"
"774004","先祖之魂","318","<T t=""复活死亡目标，拥有不死亡魂状态的单位除外""></T>"
"774005","狂热图腾","319","<T t=""召唤图腾，给范围内队友增加物攻和速度，持续4回合""></T>"
"774006","妖术灵动","144","<T t=""受到伤害时，反震部分回攻击者""></T>"
"774007","狂暴领袖","144","<T t=""闪电链可以额外攻击1至2个目标""></T>"
"781001","淬毒刀扇","323","<T t=""物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点""></T>"
"781002","穿刺影袭","324","<T t=""物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点""></T>"
"781003","剔骨","325","<T t=""物理攻击单个目标两次，消耗连击点追加等量连击次数，最多消耗3个连击点，使用后虚弱休息1回合，使用时生命值不能低于生命上限的50%""></T>"
"781004","潜行","326","<T t=""进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态""></T>"
"781005","闷棍","328","<T t=""物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血""></T>"
"781006","呆呆标记","144","<T t=""攻击目标后使其物理和法术防御降低，持续到战斗结束""></T>"
"781007","重情重义","144","<T t=""使用淬毒刀扇时，伤害不衰减,且一定增加连击点""></T>"
"782001","淬毒刀扇","323","<T t=""物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点""></T>"
"782002","穿刺影袭","324","<T t=""物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点""></T>"
"782003","剔骨","325","<T t=""物理攻击单个目标两次，消耗连击点追加等量连击次数，最多消耗3个连击点，使用后虚弱休息1回合，使用时生命值不能低于生命上限的50%""></T>"
"782004","潜行","326","<T t=""进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态""></T>"
"782005","闷棍","328","<T t=""物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血""></T>"
"782006","好奇宝宝","144","<T t=""使得物理攻击附带吸血效果，并且每损失一定生命，提升一定物理伤害""></T>"
"782007","八卦女王","144","<T t=""使用穿刺影袭一定几率额外获得1颗连击点""></T>"
"783001","淬毒刀扇","323","<T t=""物理攻击多个目标，伤害逐个递减，首目标有几率中毒，上毒成功增加一点连击点""></T>"
"783002","穿刺影袭","324","<T t=""物理攻击单个目标，忽视目标部分物理防御穿刺攻击，增加一点连击点""></T>"
"783003","剔骨","325","<T t=""物理攻击单个目标两次，消耗连击点追加等量连击次数，最多消耗3个连击点，使用后虚弱休息1回合，使用时生命值不能低于生命上限的50%""></T>"
"783004","潜行","326","<T t=""进入隐身状态，持续2至3回合，隐身状态下回合结束时一定几率增加一点连击点，隐身状态下只能使用物理普攻，使用技能取消隐身状态""></T>"
"783005","闷棍","328","<T t=""物理攻击敌方单体并附带眩晕状态，攻击后损失生命上限28%的生命值并虚弱休息1回合，虚弱休息状态下双防降低。消耗2点连击点免除全部负面效果，消耗1点连击点免除损血""></T>"
"783006","女妖之王","144","<T t=""进入战斗初始自带1颗连击点""></T>"
"783007","黑暗游侠","144","<T t=""使用剔骨，如果对方死亡并有剩余攻击次数，则继续选择一个单位攻击""></T>"
"791001","火焰之雨","332","<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
"791002","沉默诅咒","333","<T t=""概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能""></T>"
"791003","生命虹吸","334","<T t=""魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。""></T>"
"791004","恶魔降临","335","<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合""></T>"
"791005","虚弱诅咒","336","<T t=""战斗中降低敌方多人的法术防御""></T>"
"791006","娇花气质","144","<T t=""战斗中法攻提升""></T>"
"791007","滔滔不绝","144","<T t=""如果沉默诅咒或者恶魔降临命中对方，追加一次法术伤害。""></T>"
"792001","火焰之雨","332","<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
"792002","沉默诅咒","333","<T t=""概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能""></T>"
"792003","生命虹吸","334","<T t=""魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。""></T>"
"792004","恶魔降临","335","<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合""></T>"
"792005","虚弱诅咒","336","<T t=""战斗中降低敌方多人的法术防御""></T>"
"792006","胆识过人","144","<T t=""战斗中速度提升""></T>"
"792007","上古诅咒","144","<T t=""沉默诅咒或者恶魔降临命中后，附加2回合死亡锢魂效果。""></T>"
"792008","邪恶领袖","144","<T t=""如果阿撸高和瑞文戴尔同时出战，每次出手都有额外概率对对方随机单位附加2回合灵魂禁锢效果""></T>"
"793001","火焰之雨","332","<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
"793002","沉默诅咒","333","<T t=""概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能""></T>"
"793003","生命虹吸","334","<T t=""魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。""></T>"
"793004","恶魔降临","335","<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合""></T>"
"793005","虚弱诅咒","336","<T t=""战斗中降低敌方多人的法术防御""></T>"
"793006","骑士尊严","144","<T t=""战斗中被治疗提升""></T>"
"793007","天启标记","144","<T t=""使得被控制的目标中毒并且物理和法术防御降低3回合""></T>"
"793008","邪恶领袖","144","<T t=""如果阿撸高和瑞文戴尔同时出战，每次出手都有额外概率对对方随机单位附加2回合灵魂禁锢效果""></T>"
"794001","火焰之雨","332","<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
"794002","沉默诅咒","333","<T t=""概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能""></T>"
"794003","生命虹吸","334","<T t=""魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。""></T>"
"794004","恶魔降临","335","<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合""></T>"
"794005","虚弱诅咒","336","<T t=""战斗中降低敌方多人的法术防御""></T>"
"794006","时空之轮","144","<T t=""施放火焰之雨，被攻击的单位有概率被恐惧""></T>"
"794007","混沌虚空","144","<T t=""时空游龙释放的恐惧效果不会攻击他的敌人，只会攻击他的队友""></T>"
"795001","火焰之雨","332","<T t=""法术攻击多个目标，概率对首目标附加沉默效果，沉默状态下无法释放职业技能，持续3回合。""></T>"
"795002","沉默诅咒","333","<T t=""概率使目标沉默，并降低目标双防，沉默状态下无法释放职业技能""></T>"
"795003","生命虹吸","334","<T t=""魔法攻击敌人，吸取魔法伤害给自己回复对应量的生命，并使目标中毒。""></T>"
"795004","恶魔降临","335","<T t=""感召目标，使其进入恐惧状态，恐惧状态下有概率攻击友方，持续3回合""></T>"
"795005","虚弱诅咒","336","<T t=""战斗中降低敌方多人的法术防御""></T>"
"795006","恶魔能量","144","<T t=""战斗中控制命中提升""></T>"
"795007","嗜血意志","144","<T t=""如果沉默诅咒或者恶魔降临命中对方，追加一次生命虹吸。""></T>"
