"ID","任务面板名称","任务名称","任务目标","任务描述","追踪显示任务名","追踪描述","任务编号"
"905008","死亡矿井001","死亡矿井001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴001开始战斗】"" c=""ffffff33""></T>","死亡矿井-死亡矿井001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905009","死亡矿井002","死亡矿井002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴002开始战斗】"" c=""ffffff33""></T>","死亡矿井-死亡矿井002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905010","死亡矿井003","死亡矿井003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴003开始战斗】"" c=""ffffff33""></T>","死亡矿井-死亡矿井003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905011","死亡矿井004","死亡矿井004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴004开始战斗】"" c=""ffffff33""></T>","死亡矿井-死亡矿井004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905012","死亡矿井005","死亡矿井005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴005开始战斗】"" c=""ffffff33""></T>","死亡矿井-死亡矿井005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905013","影牙城堡001","影牙城堡001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴001开始战斗】"" c=""ffffff33""></T>","影牙城堡-影牙城堡001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905014","影牙城堡002","影牙城堡002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴002开始战斗】"" c=""ffffff33""></T>","影牙城堡-影牙城堡002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905015","影牙城堡003","影牙城堡003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴003开始战斗】"" c=""ffffff33""></T>","影牙城堡-影牙城堡003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905016","影牙城堡004","影牙城堡004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴004开始战斗】"" c=""ffffff33""></T>","影牙城堡-影牙城堡004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905017","影牙城堡005","影牙城堡005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴005开始战斗】"" c=""ffffff33""></T>","影牙城堡-影牙城堡005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905018","血色001","血色001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴001开始战斗】"" c=""ffffff33""></T>","血色-血色001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905019","血色002","血色002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴002开始战斗】"" c=""ffffff33""></T>","血色-血色002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905020","血色003","血色003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴003开始战斗】"" c=""ffffff33""></T>","血色-血色003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905021","血色004","血色004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴004开始战斗】"" c=""ffffff33""></T>","血色-血色004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905022","血色005","血色005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴005开始战斗】"" c=""ffffff33""></T>","血色-血色005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905023","剃刀沼泽001","剃刀沼泽001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴001开始战斗】"" c=""ffffff33""></T>","剃刀沼泽-剃刀沼泽001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905024","剃刀沼泽002","剃刀沼泽002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴002开始战斗】"" c=""ffffff33""></T>","剃刀沼泽-剃刀沼泽002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905025","剃刀沼泽003","剃刀沼泽003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴003开始战斗】"" c=""ffffff33""></T>","剃刀沼泽-剃刀沼泽003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905026","剃刀沼泽004","剃刀沼泽004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴004开始战斗】"" c=""ffffff33""></T>","剃刀沼泽-剃刀沼泽004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905027","剃刀沼泽005","剃刀沼泽005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴005开始战斗】"" c=""ffffff33""></T>","剃刀沼泽-剃刀沼泽005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905028","玛拉顿001","玛拉顿001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴001开始战斗】"" c=""ffffff33""></T>","玛拉顿-玛拉顿001","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905029","玛拉顿002","玛拉顿002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴002开始战斗】"" c=""ffffff33""></T>","玛拉顿-玛拉顿002","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905030","玛拉顿003","玛拉顿003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴003开始战斗】"" c=""ffffff33""></T>","玛拉顿-玛拉顿003","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905031","玛拉顿004","玛拉顿004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴004开始战斗】"" c=""ffffff33""></T>","玛拉顿-玛拉顿004","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
"905032","玛拉顿005","玛拉顿005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" x=""$xPos$"" y=""$yPos$""></G><T t=""。""></T>","<T t=""不远处传来了猎犬的叫声，躲藏起来的哀嚎生物被找到了，快快前往抓住他！"" c=""ff12c4ff""></T><T t=""【点击哀嚎洞穴005开始战斗】"" c=""ffffff33""></T>","玛拉顿-玛拉顿005","<T t=""击败""></T><G t=""$NPCName$"" m=""$mapid$"" npcid=""$npcid$"" x=""$xPos$"" y=""$yPos$""></G><I s=""MainControl"" i=""Clock"" id=""809004""></I>","9"
