"道具id","备注","映射道具id1","映射道具id2","映射道具id3","映射道具id4","映射道具id5","映射道具id6","映射道具id7","映射道具id8"
"5050117",,"6050117","4050104","5050104","6050104","4050117",,,
"6050117",,"4050104","5050104","6050104","4050117","5050117",,,
"4050105","焚化者","5050105","6050105","4050118","5050118","6050118","",,
"5050105",,"6050105","4050118","5050118","6050118","4050105",,,
"6050105",,"4050118","5050118","6050118","4050105","5050105",,,
"4050118",,"5050118","6050118","4050105","5050105","6050105",,,
"5050118",,"6050118","4050105","5050105","6050105","4050118",,,
"6050118",,"4050105","5050105","6050105","4050118","5050118",,,
"4050106","救赎","5050106","6050106","4050119","5050119","6050119","",,
"5050106",,"6050106","4050119","5050119","6050119","4050106",,,
"6050106",,"4050119","5050119","6050119","4050106","5050106",,,
"4050119",,"5050119","6050119","4050106","5050106","6050106",,,
"5050119",,"6050119","4050106","5050106","6050106","4050119",,,
"6050119",,"4050106","5050106","6050106","4050119","5050119",,,
"4050207","士官长胸甲","5050207","6050207","4050220","5050220","6050220","",,
"5050207",,"6050207","4050220","5050220","6050220","4050207",,,
"6050207",,"4050220","5050220","6050220","4050207","5050207",,,
"4050220",,"5050220","6050220","4050207","5050207","6050207",,,
"5050220",,"6050220","4050207","5050207","6050207","4050220",,,
"6050220",,"4050207","5050207","6050207","4050220","5050220",,,
"4050208","士官长外套","5050208","6050208","4050221","5050221","6050221","",,
"5050208",,"6050208","4050221","5050221","6050221","4050208",,,
"6050208",,"4050221","5050221","6050221","4050208","5050208",,,
"4050221",,"5050221","6050221","4050208","5050208","6050208",,,
"5050221",,"6050221","4050208","5050208","6050208","4050221",,,
"6050221",,"4050208","5050208","6050208","4050221","5050221",,,
"4050309","士官长头盔","5050309","6050309","4050322","5050322","6050322","",,
"5050309",,"6050309","4050322","5050322","6050322","4050309",,,
"6050309",,"4050322","5050322","6050322","4050309","5050309",,,
"4050322",,"5050322","6050322","4050309","5050309","6050309",,,
"5050322",,"6050322","4050309","5050309","6050309","4050322",,,
"6050322",,"4050309","5050309","6050309","4050322","5050322",,,
"4050310","士官长头饰","5050310","6050310","4050323","5050323","6050323","",,
"5050310",,"6050310","4050323","5050323","6050323","4050310",,,
"6050310",,"4050323","5050323","6050323","4050310","5050310",,,
"4050323",,"5050323","6050323","4050310","5050310","6050310",,,
"5050323",,"6050323","4050310","5050310","6050310","4050323",,,
"6050323",,"4050310","5050310","6050310","4050323","5050323",,,
"4050411","士官长项链","5050411","6050411","4050424","5050424","6050424","",,
"5050411",,"6050411","4050424","5050424","6050424","4050411",,,
"6050411",,"4050424","5050424","6050424","4050411","5050411",,,
"4050424",,"5050424","6050424","4050411","5050411","6050411",,,
"5050424",,"6050424","4050411","5050411","6050411","4050424",,,
"6050424",,"4050411","5050411","6050411","4050424","5050424",,,
"4050512","士官长腰带","5050512","6050512","4050525","5050525","6050525","",,
"5050512",,"6050512","4050525","5050525","6050525","4050512",,,
"6050512",,"4050525","5050525","6050525","4050512","5050512",,,
"4050525",,"5050525","6050525","4050512","5050512","6050512",,,
"5050525",,"6050525","4050512","5050512","6050512","4050525",,,
"6050525",,"4050512","5050512","6050512","4050525","5050525",,,
"4050613","士官长长靴","5050613","6050613","4050626","5050626","6050626","",,
"5050613",,"6050613","4050626","5050626","6050626","4050613",,,
"6050613",,"4050626","5050626","6050626","4050613","5050613",,,
"4050626",,"5050626","6050626","4050613","5050613","6050613",,,
"5050626",,"6050626","4050613","5050613","6050613","4050626",,,
"6050626",,"4050613","5050613","6050613","4050626","5050626",,,
"4060101","好战者","5060101","6060101","4060114","5060114","6060114","",,
"5060101",,"6060101","4060114","5060114","6060114","4060101",,,
"6060101",,"4060114","5060114","6060114","4060101","5060101",,,
"4060114",,"5060114","6060114","4060101","5060101","6060101",,,
"5060114",,"6060114","4060101","5060101","6060101","4060114",,,
"6060114",,"4060101","5060101","6060101","4060114","5060114",,,
"4060102","熔岩之力","5060102","6060102","4060115","5060115","6060115","",,
"5060102",,"6060102","4060115","5060115","6060115","4060102",,,
"6060102",,"4060115","5060115","6060115","4060102","5060102",,,
"4060115",,"5060115","6060115","4060102","5060102","6060102",,,
"5060115",,"6060115","4060102","5060102","6060102","4060115",,,
"6060115",,"4060102","5060102","6060102","4060115","5060115",,,
"4060103","狮鹫之翼","5060103","6060103","4060116","5060116","6060116","",,
"5060103",,"6060103","4060116","5060116","6060116","4060103",,,
"6060103",,"4060116","5060116","6060116","4060103","5060103",,,
"4060116",,"5060116","6060116","4060103","5060103","6060103",,,
"5060116",,"6060116","4060103","5060103","6060103","4060116",,,
"6060116",,"4060103","5060103","6060103","4060116","5060116",,,
"4060104","钩牙爪刺","5060104","6060104","4060117","5060117","6060117","",,
"5060104",,"6060104","4060117","5060117","6060117","4060104",,,
"6060104",,"4060117","5060117","6060117","4060104","5060104",,,
"4060117",,"5060117","6060117","4060104","5060104","6060104",,,
"5060117",,"6060117","4060104","5060104","6060104","4060117",,,
"6060117",,"4060104","5060104","6060104","4060117","5060117",,,
"4060105","燃烧手杖","5060105","6060105","4060118","5060118","6060118","",,
"5060105",,"6060105","4060118","5060118","6060118","4060105",,,
"6060105",,"4060118","5060118","6060118","4060105","5060105",,,
"4060118",,"5060118","6060118","4060105","5060105","6060105",,,
"5060118",,"6060118","4060105","5060105","6060105","4060118",,,
"6060118",,"4060105","5060105","6060105","4060118","5060118",,,
"4060106","引火手杖","5060106","6060106","4060119","5060119","6060119","",,
"5060106",,"6060106","4060119","5060119","6060119","4060106",,,
"6060106",,"4060119","5060119","6060119","4060106","5060106",,,
"4060119",,"5060119","6060119","4060106","5060106","6060106",,,
"5060119",,"6060119","4060106","5060106","6060106","4060119",,,
"6060119",,"4060106","5060106","6060106","4060119","5060119",,,
"4060207","污染者胸甲","5060207","6060207","4060220","5060220","6060220","",,
"5060207",,"6060207","4060220","5060220","6060220","4060207",,,
"6060207",,"4060220","5060220","6060220","4060207","5060207",,,
"4060220",,"5060220","6060220","4060207","5060207","6060207",,,
"5060220",,"6060220","4060207","5060207","6060207","4060220",,,
"6060220",,"4060207","5060207","6060207","4060220","5060220",,,
"4060208","污染者外套","5060208","6060208","4060221","5060221","6060221","",,
"5060208",,"6060208","4060221","5060221","6060221","4060208",,,
"6060208",,"4060221","5060221","6060221","4060208","5060208",,,
"4060221",,"5060221","6060221","4060208","5060208","6060208",,,
"5060221",,"6060221","4060208","5060208","6060208","4060221",,,
"6060221",,"4060208","5060208","6060208","4060221","5060221",,,
"4060309","污染者头盔","5060309","6060309","4060322","5060322","6060322","",,
"5060309",,"6060309","4060322","5060322","6060322","4060309",,,
"6060309",,"4060322","5060322","6060322","4060309","5060309",,,
"4060322",,"5060322","6060322","4060309","5060309","6060309",,,
"5060322",,"6060322","4060309","5060309","6060309","4060322",,,
"6060322",,"4060309","5060309","6060309","4060322","5060322",,,
"4060310","污染者头饰","5060310","6060310","4060323","5060323","6060323","",,
"5060310",,"6060310","4060323","5060323","6060323","4060310",,,
"6060310",,"4060323","5060323","6060323","4060310","5060310",,,
"4060323",,"5060323","6060323","4060310","5060310","6060310",,,
"5060323",,"6060323","4060310","5060310","6060310","4060323",,,
"6060323",,"4060310","5060310","6060310","4060323","5060323",,,
"4060411","污染者项链","5060411","6060411","4060424","5060424","6060424","",,
"5060411",,"6060411","4060424","5060424","6060424","4060411",,,
"6060411",,"4060424","5060424","6060424","4060411","5060411",,,
"4060424",,"5060424","6060424","4060411","5060411","6060411",,,
"5060424",,"6060424","4060411","5060411","6060411","4060424",,,
"6060424",,"4060411","5060411","6060411","4060424","5060424",,,
"4060512","污染者腰带","5060512","6060512","4060525","5060525","6060525","",,
"5060512",,"6060512","4060525","5060525","6060525","4060512",,,
"6060512",,"4060525","5060525","6060525","4060512","5060512",,,
"4060525",,"5060525","6060525","4060512","5060512","6060512",,,
"5060525",,"6060525","4060512","5060512","6060512","4060525",,,
"6060525",,"4060512","5060512","6060512","4060525","5060525",,,
"4060613","污染者长靴","5060613","6060613","4060626","5060626","6060626","",,
"5060613",,"6060613","4060626","5060626","6060626","4060613","",,
"6060613",,"4060626","5060626","6060626","4060613","5060613",,,
"4060626",,"5060626","6060626","4060613","5060613","6060613",,,
"5060626",,"6060626","4060613","5060613","6060613","4060626",,,
"6060626",,"4060613","5060613","6060613","4060626","5060626",,,
"100","新手装（战士、圣骑）","4001114","4001115","","","","",,
"200","新手装（猎人、德鲁伊）","4001116","4001117",,,,,,
"300","新手装（法师、牧师）","4001118","4001119",,,,,,
,,"",,,,,,,
,,"",,,,,,,
,,"",,,,,,,
,,"",,,,,,,
,,"",,,,,,,
,,"",,,,,,,
