"id","名字","传送左上角x","传送左上角y","传送右下角x","传送右下角y","地图类型","是否显示在世界地图上","等级下限","等级上限","从属暗雷","从属暗雷名","暗雷按钮图片普通","暗雷按钮图片按下","暗雷按钮图片灰色","怪物造型","地图怪物","小地图缩放比例","小地图资源路径","小地图大小"
"1611","剃刀泥沼","27","37","39","49","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaojiajisen image:xiaojiajisen","900;485"
"1612","激流高地","50","73","60","90","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaojiajisen image:xiaojiajisen","900;485"
"1613","公会","26","42","40","67","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaogonghui image:xiaogonghui","714;500"
"1614","斯托姆城","93","80","103","107","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaodalaran image:xiaodalaran","770;540"
"1615","紫罗兰","93","80","103","107","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaodalaran image:xiaodalaran","770;540"
"1616","欧格瑞姆","90","67","101","98","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoaoge image:xiaoaoge","850;516"
"1617","太阳岛","24","54","29","69","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaozhuri image:xiaozhuri","700;490"
"1618","雷霆村","45","45","54","53","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoleiting image:xiaoleiting","802;454"
"1619","提瑞斯镇","30","43","50","62","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaosangzhong image:xiaosangzhong","802;544"
"1620","暗矛镇","47","49","57","59","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaosenjin image:xiaosenjin","802;454"
"1621","修道院","45","45","54","53","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoyueguang image:xiaoyueguang","900;507"
"1622","永夜林地","45","45","54","53","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoyueguang image:xiaoyueguang","900;507"
"1690","军情七处","33","37","39","61","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaogonghui image:xiaogonghui","714;500"
"1691","血蹄村","45","45","54","53","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaoleiting image:xiaoleiting","802;454"
"1692","幽暗城","26","45","43","67","2","true","-1","-1","0","0","set:MainControl13 image:mapchoosenormal","set:MainControl13 image:mapchosepushed","set:MainControl13 image:mapchoosedisable","0","","0.2","set:xiaosangzhong image:xiaosangzhong","802;544"
