"服务编号","子服务1","子服务2","子服务3","子服务4","子服务5","子服务6","条件1","参数11","参数12","条件2","参数21","参数22","条件3","参数31","参数32","条件4","参数41","参数42","条件5","参数51","参数52","条件6","参数61","参数62","条件7","参数71","参数72","条件8","参数81","参数82","条件9","参数91","参数92","标示图标","描述","菜单介绍","打开网页","是否自动"
"1497","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第15关",,"",
"1498","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第16关",,"",
"1499","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第17关",,"",
"1500","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第18关",,"",
"1501","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第19关",,"",
"1502","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第20关",,"",
"1503","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第21关",,"",
"1504","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第22关",,"",
"1505","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第23关",,"",
"1506","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第24关",,"",
"1507","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","洛丹伦废墟  第25关",,"",
"1508","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第1关",,"",
"1509","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第2关",,"","1"
"1510","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第3关",,"","1"
"1511","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第4关",,"","1"
"1512","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第5关",,"",
"1513","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第6关",,"",
"1514","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第7关",,"",
"1515","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第8关",,"",
"1516","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第9关",,"",
"1517","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第10关",,"",
"1518","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第11关",,"",
"1519","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第12关",,"",
"1520","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第13关",,"",
"1521","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第14关",,"",
"1522","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第15关",,"",
"1523","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第16关",,"",
"1524","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第17关",,"",
"1525","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第18关",,"",
"1526","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第19关",,"",
"1527","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第20关",,"",
"1528","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第21关",,"",
"1529","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第22关",,"",
"1530","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第23关",,"",
"1531","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第24关",,"",
"1532","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第25关",,"",
"1533","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第26关",,"",
"1534","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第27关",,"",
"1535","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第28关",,"",
"1536","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第29关",,"",
"1537","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","纳克萨玛斯  第30关",,"",
"1538","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第1关",,"",
"1539","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第2关",,"","1"
"1540","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第3关",,"","1"
"1541","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第4关",,"","1"
"1542","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第5关",,"",
"1543","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第6关",,"",
"1544","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第7关",,"",
"1545","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第8关",,"",
"1546","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第9关",,"",
"1547","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第10关",,"",
"1548","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第11关",,"",
"1549","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第12关",,"",
"1550","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第13关",,"",
"1551","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第14关",,"",
"1552","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第15关",,"",
"1553","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第16关",,"",
"1554","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第17关",,"",
"1555","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第18关",,"",
"1556","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第19关",,"",
"1557","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第20关",,"",
"1558","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第21关",,"",
"1559","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第22关",,"",
"1560","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第23关",,"",
"1561","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第24关",,"",
"1562","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第25关",,"",
"1563","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第26关",,"",
"1564","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第27关",,"",
"1565","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第28关",,"",
"1566","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第29关",,"",
"1567","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第30关",,"",
"1568","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第31关",,"",
"1569","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第32关",,"",
"1570","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第33关",,"",
"1571","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第34关",,"",
"1572","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第35关",,"",
"1573","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第36关",,"",
"1574","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","冰冠堡垒·第37关",,"",
"1753","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","我来领取奖励",,"",
"1754","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"4","我来领取奖励",,"",
"1801","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"6","我要放弃未完成的任务",,"",
"3000","","","",,,,"2","14","14","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常",,"",
"3001","","","",,,,"2","12","12","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常",,"",
"3002","","","",,,,"2","13","13","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常",,"",
"3003","","","",,,,"2","16","16","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常",,"",
"3004","","","",,,,"2","11","11","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常",,"",
"3005","","","",,,,"2","15","15","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常",,"",
"3010","","","",,,,"2","14","14","1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,"1","提交职业日常",,"",
"3011","","","",,,,"2","12","12","1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,"1","提交职业日常",,"",
"3012","","","",,,,"2","13","13","1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,"1","提交职业日常",,"",
"3013","","","",,,,"2","16","16","1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,"1","提交职业日常",,"",
"3014","","","",,,,"2","11","11","1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,"1","提交职业日常",,"",
"3015","","","",,,,"2","15","15","1","15","155","8","1010000","1","7","1010000","3","","","",,,,,,,,,,,,,"1","提交职业日常",,"",
"3016","","","",,,,"2","18","18","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常","","",
"3017","","","",,,,"2","17","17","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常","","",
"3018","","","",,,,"2","19","19","1","15","155","8","1010000","0","","","",,,,,,,,,,,,,,,,"1","领取职业日常","","",
"3019","","","",,,,"2","18","18","1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,"1","提交职业日常","","",
"3020","","","",,,,"2","17","17","1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,"1","提交职业日常","","",
"3021","","","",,,,"2","19","19","1","15","155","8","1010000","1","7","1010000","3","","","",,,,,,,,,,,,,"1","提交职业日常","","",
"4000","","","","","","","8","1030000","0","","","",,,,"","","","","","",,,,,,,,,,,,,"1","领取日常副本任务","","",
"4001","","","","","","","1","20","155","","","","","","","","","","","","",,,,,,,,,,,,,"1","提交日常副本任务",,"",
"4002","","","","","","","1","20","155","","","","","","","","","","","","",,,,,,,,,,,,,"1","查询次数",,"",
"4003","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"1","便捷组队",,"",
"4004","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,"1","进入战斗","循环任务战斗服务","",
"4005","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","进入战斗","定时刷怪服务","",
"4006","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","进入战斗","事件触发刷怪服务","",
"5000","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","提交循环任务","","",
"5001","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","任性一下循环任务","","",
"10001","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"6","返回",,"",
"10002","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"6","返回",,"",
"10003","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"6","返回",,"",
"10004","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"6","稍后再说",,"",
"10005","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"6","稍后再说",,"",
"30000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","购买药品",,,
"30001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","购买物品",,,
"30002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","购买装备",,,
"30003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","购买宠物",,,
"30004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","打开商会",,,
"100001",,,,,,,"1","25","155","8","1040000","0","","","",,,,,,,,,,,,,,,,,,,"5","考古任务",,,
"100002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","英雄试炼任务",,,
"100010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","进入战斗","循环任务进入战斗",,"1"
"100011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","进入战斗","考古任务进入战斗",,"1"
"100012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","宠物仓库",,,
"100013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","兑换高级藏宝图",,,
"100014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","任性一下","<T t=""可以选择消耗一定的符石或者一定的声望来快速完成任务"">",,
"100016",,,,,,,"1","35","155","8","1060000","0",,,,,,,,,,,,,,,,,,,,,,"5","公会任务",,,
"100017",,,,,,,"1","35","155","8","1060000","1","7","1060000","3",,,,,,,,,,,,,,,,,,,"5","公会任务提交",,,
"100018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","暗夜马戏团",,,
"100019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","捉鬼大师",,,
"100020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","通缉天灾",,,
"100021",,,,,,,"","","","","","","","","",,,,,,,,,,,,,,,,,,,"5","进入战斗",,,
"100022","","","","","","","2","14","14","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100023","","","","","","","2","12","12","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100024","","","","","","","2","13","13","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100025","","","","","","","2","16","16","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100026","","","","","","","2","11","11","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100027","","","","","","","2","15","15","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100028",,,,,,,"1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,,,,"5","挑战心魔",,,
"100029","","","","","","","2","18","18","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100030","","","","","","","2","17","17","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100031","","","","","","","2","19","19","1","15","155","8","1070000","1","7","1070000","3",,,,,,,,,,,,,,,,"1","提交特殊职业任务",,"",
"100032","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","可用",,"",
"100033","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","可用",,"",
"100034","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"1","可用",,"",
"100035","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","提交职业日常任务","","","1"
"100036","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","提交特殊职业任务","","","1"
"100037",,,,,,,"1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,,,,"5","职业日常-挑战","",,
"100038",,,,,,,"1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,,,,"5","职业日常-挑战","",,
"100039",,,,,,,"1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,,,,"5","职业日常-挑战","",,
"100040",,,,,,,"1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,,,,"5","职业日常-挑战","",,
"100041",,,,,,,"1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,,,,"5","职业日常-挑战","",,
"100042",,,,,,,"1","15","155","8","1010000","1","7","1010000","3",,,,,,,,,,,,,,,,,,,"5","职业日常-挑战","",,
"100043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","任性一下","<T t=""可以选择消耗一定的符石或者一定的声望来快速完成任务"">",,
"100044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","任性一下","<T t=""可以选择消耗一定的符石或者一定的声望来快速完成任务"">",,
"100045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","任性一下","<T t=""可以选择消耗一定的符石或者一定的声望来快速完成任务"">",,
"100046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","任性一下","<T t=""可以选择消耗一定的符石或者一定的声望来快速完成任务"">",,
"100047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","任性一下","<T t=""可以选择消耗一定的符石或者一定的声望来快速完成任务"">",,
"100048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","任性一下","<T t=""可以选择消耗一定的符石或者一定的声望来快速完成任务"">",,
"100051","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都1","","",
"100052","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都2","","",
"100053","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都3","","",
"100054","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都4","","",
"100055","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都5","","",
"100061","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔1","","",
"100062","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔2","","",
"100063","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔3","","",
"100064","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔4","","",
"100065","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔5","","",
"100071","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都1(精英)","","",
"100072","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都2(精英)","","",
"100073","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都3(精英)","","",
"100074","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都4(精英)","","",
"100075","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","巨魔之都5(精英)","","",
"100081","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔1(精英)","","",
"100082","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔2(精英)","","",
"100083","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔3(精英)","","",
"100084","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔4(精英)","","",
"100085","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","诅咒之塔5(精英)","","",
"100091","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100092","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100093","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100094","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100095","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100101","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100102","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100103","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100104","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100105","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100111","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100112","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100113","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100114","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100115","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100121","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100122","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100123","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100124","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100125","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100131","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100132","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100133","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
"100134","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,"2","组队副本预留","","",
