"id","对应npc（策划用）","对白"
"2104","玛法里奥","我的触碰带来死亡和再生。"
"2105","玛法里奥","我听到了野性的呼唤，不对，那是泰兰德。"
"2106","玛法里奥","我是丛林的代言人，而丛林从不说话。"
"2107","雷克萨","我的一生注定将处于流浪之中。"
"2108","雷克萨","我听到了旷野的召唤。"
"2109","雷克萨","像你这样弱小的东西真是给食人魔丢脸，什么？你不是食人魔？"
"2110","雷克萨","你是什么系？射击？生存？洗成兽王天赋再跟我说话！"
"2111","凯尔萨斯","以太阳之名。"
"2112","凯尔萨斯","血精灵血债血偿，太阳之王烈日永生！"
"2113","凯尔萨斯","这套板甲完全不耐热，里面都热成烤箱了。"
"2114","凯尔萨斯","魔法，能量，我的族人深陷其中无可自拔。这段话我说了无数遍...也许你们可以上网查查。"
"2115","先知维纶","并非所有流浪者都迷失了自我。"
"2116","先知维纶","邪恶正在逼近艾泽大陆。"
"2117","先知维纶","不，我不是萨尔，至少我不会地震术。"
"2118","先知维纶","听说另外一个时间线的我已经死了，值得庆幸，那并不是这个我。"
"2119","伊利丹","你们这是自寻死路！"
"2120","伊利丹","有谁胆敢对我直呼其名。"
"2121","伊利丹","有人怀念混乱伤害吗？"
"2122","伊利丹","你知道吗？都过去了一万年，泰兰德还是很漂亮，至少他们是这么告诉我的。"
"2123","阿尔萨斯","向你们的王致敬。"
"2124","阿尔萨斯","吉安娜..."
"2125","阿尔萨斯","虚空很久没有召唤我了，不过没关系，我们加了好友。"
"2126","阿尔萨斯","没有人可以打败我，当然，十到二十五人或许可以。"
"2127","巫妖王","这一切，都是宿命。"
"2128","巫妖王","远古的邪恶生还了。"
"2129","巫妖王","我真可怜，甚至连个钙质的躯壳也没有。"
"2130","巫妖王","是巫妖王，不是呜喵王，我讨厌别人给我乱起名字。"
"2131","卡特琳娜","将那些该死的骨头架子赶出艾泽大陆...额，我说的暂时还不包括被遗忘者。"
"2132","卡特琳娜","为您效劳，勇敢的冒险者。"
"2133","卡特琳娜","愿圣光与你同在"
"2134","","呐个...你看到我的小熊了吗？"
"2135","","我不是萝莉还真是令人遗憾。"
"2136","","愿圣光与你同在"
"2137",,"每次看到那长长的物资需求，我就想杀人...我是说，杀天灾的亡灵。"
"2138",,"这位英勇的冒险者，看你意气风发，神采飞扬...来份保险不？"
"2139",,"愿圣光与你同在"
"2140",,"天灾使各地频繁爆发瘟疫，你可以去帮我干掉那些可恶的天灾么？队长可以获得额外的经验和道具奖励。如果带着小于你10级及以上的新兵蛋子去实战中学习经验，可以额外获得声望奖励。"
"2141",,"占领艾泽大陆，萨格拉斯大人万岁"
"2142",,"你看到我的第三根肋骨去哪了么？"
"2143",,"我也曾经胖过（指了指身边的憎恶）。"
"2144",,"为了巫妖王！"
"2145",,"那些活着的家伙都被过分高估了。"
"2146","焚木村村长","不，我不姓慢，当然也不是羊。"
"2147","焚木村村长","不是所有的村长都能叫焚木村村长，当然，我也不叫这个名字，那太傻了。"
"2148","焚木村村长","（喃喃自语）月亮还没升起来吗？我已经迫不及待了，嘿嘿。"
"2149","焚木村村长","太阳...太阳...快落下去吧，我已经饿了。"
"2150","吞噬者芬里厄","我说过多少次了，我不！认！识！那个叫啸天的家伙！！！"
"2151","吞噬者芬里厄","嗷呜~"
"2152","吞噬者芬里厄","我想到了一个谜语，如果你猜不出，就让我吃了你。"
"2153","吞噬者芬里厄","听说我还有一个兄弟，吞掉了他们宇宙中最强的神王...虽然我从来没见过它。"
"2154","魔狼沃根","我说过多少次了，我不！认！识！那个叫啸天的家伙！！！"
"2155","魔狼沃根","嗷呜~"
"2156","魔狼沃根","我想到了一个谜语，如果你猜不出，就让我吃了你。"
"2157","魔狼沃根","听说我还有一个兄弟，吞掉了他们宇宙中最强的神王...虽然我从来没见过它。"
"2158","灵魂医者","快来玩我叫MT3吧。"
"2159","灵魂医者","然后把你的钱都给我。"
"2160","灵魂医者","生者，为何踏足亡者安眠之国？"
"2161","灵魂医者","回去吧，你的时辰还未到。"
"2162","星界学徒","老师是最博学同时也是最强大的魔法师。"
"2163","星界学徒","我不明白老师为什么会选择我，在想成为他学徒的魔法师之中，我的天资并不算好。"
"2164","星界学徒","那天我看到紫罗兰的女魔法师摸进老师的卧室...哦，接下来的内容是要收费的。"
"2165","星界学徒","魔法，它在召唤我...哦，那不是魔法，是老师醒酒时摇的铃。"
"2166","麦迪文","当有一天，我任务结束的时候，我将回到古老的传说中去。"
"2167","麦迪文","不久后正义将把黑暗永远的赶出这个世界。"
"2168","麦迪文","神魔终将谢幕，凡人的时代即将来临！"
"2169","麦迪文","我闻到你背包里面的酒香（说完你就感觉背包变轻了一些）"
"2170","王者之剑","我是一把剑，而剑是不会说话的。"
"2171",,"（你仔细看才发现，她其实是一个无意识的亡灵）"
"2172","阿利斯塔","战士的最高境界，就是不拿盾牌也能开盾墙。"
"2173","阿利斯塔","曾经俺们牛头人每天都背着一个巨大的柱子，看看现在的年轻牛，哎..."
"2174","阿利斯塔","为了部落！"
"2175","阿利斯塔","为了我的祖先们！"
"2176","野猪人将军","你在指望一头野猪说些什么？（说完他沉默的看着你）"
"2177","野猪人将军","野猪人的荣耀必将复兴。"
"2178","野猪人将军","向这个将我们遗弃的世界复仇"
"2179","野猪人将军","不，无论是兽人还是人类，他们都不值得信任。"
"2180","野猪人酋长","我看到，理想与现实正在互相背叛，相互谋害。"
"2181","野猪人酋长","除了半神之裔这个名号外，野猪人一无所有。"
"2182","野猪人酋长","让世界听到我们的声音。"
"2183","野猪人酋长","那天我梦见阿迦玛甘醒了过来，我去和他说话，他让我睡醒了再和他说话，然后我果然醒了过来..."
"2184","寒冰王子","为了巫妖王！"
"2185","寒冰王子","（自言自语）这些愚蠢的野猪人很不错...以实验品的标准去看的话。"
"2186","寒冰王子","唯一能让我变得更加炫酷的方式，就是变成寒冰之王了。"
"2187","寒冰王子","有一天出门的时候，忘了给自己加上霜冻防护，结果我那娇嫩的灵魂差点给冻僵了。"
"2188","萨尔","听听大酋长的建议，别因为听到别人喊为了部落就傻傻地冲上去。"
"2189","萨尔","我真是怀念即时战略的时代。"
"2190","萨尔","然而，我早已看穿一切。"
"2191","萨尔","命运正在等待。"
"2192",,"黑暗的深渊束缚不了伟大的古神,古神的威严总有一天会再次君临大地。"
"2193",,"我被封印了几万年，而你们惊扰了我的沉眠，你们这是自寻死路。"
"2194",,"妈妈说彩虹乡的果果最好吃了。"
"2195",,"今天我要战个痛快！"
"2196",,"我好饿，我要吃的！"
"2197",,"我最喜欢闪亮的石头了，你有么？"
"2198",,"打打杀杀的事我不喜欢，能连续答对我3道问题就放你们过去，嘿嘿！"
"2199",,"这就是力量的感觉吗？我感觉我可以撕裂一切。"
"2200",,"伟大的纳拉雷克斯，指引着我们前进的方向，翡翠梦境的力量在逐渐蔓延。"
"2201",,"闯入者要么成为我们的一员，要么就被我们撕碎。"
"2202",,"真正的永生近在咫尺，这是宿命的选择。"
"2203",,"从此我不再信奉自然之神，只有无尽的哀嚎为伴。"
"2205",,"每一天，都是一个祝福。"
"2206",,"复仇，指日可待。"
"2207",,"向圣光打开你的心扉。"
"2208",,"燃烧军团的末日，就要来临了。"
"2209","沐恩","愿大地母亲护佑着你。"
"2210","沐恩","愿风指引你的道路。"
"2211","沐恩","我们欢迎你，就像欢迎大草原上的风。"
"2212","沐恩","祝你好运。"
"2213","雷加大地之怒","奔波儿灞，跟紧我。"
"2214","雷加大地之怒","上一个我队伍里吃鳄鱼的人成为了联盟至高无上的王"
"2215","雷加大地之怒","力量与荣耀!"
"2216","雷加大地之怒","鲜血与雷鸣！"
"2217","元帅","为了国王的荣耀！"
"2218","元帅","愿圣光与你同在。"
"2219","元帅","嗨，你好啊。"
"2220","元帅","燃烧军团的末日，就要来临了。"
"2221","刺客","你别想从我这里获取任何信息。"
"2222","刺客","萨格拉斯大人万岁。"
"2223","青铜龙","你帮我看看，是不是最近背部的皮肤有些掉色。"
"2224","青铜龙","凡人，这里不是你该来的地方。"
"2225","青铜龙","我还没有适应这边的时差。"
"2226","青铜龙","要我帮你看看你未来的女朋友长什么样子？别逗了，你长这样怎么可能有女朋友。"
"2227","辛迪加强盗","为了兄弟会！"
"2228","辛迪加强盗","此山是我开，此树是我栽，要想从此过，留下买路财。"
"2229","公会守护者","要做公会任务可以来找我！"
"2230","公会守护者","没事的话就不要来烦我！"
"2231","公会守护者","不要再来问我公会贡献有什么用了？"
"2232","公会守护者","公会的壮大还要靠你们，可不要指望我能帮你们做什么。"
"2233","公会看护者","我负责公会专精，要想提升自己，可以来找我。"
"2234","公会看护者","什么？没钱又没公会贡献也想来学公会技能？"
"2235","公会看护者","那些卡口口声声想占公会便宜的人先想想自己为公会做了什么吧！"
"2236","密境守护者","公会副本可没有你想的那么简单！"
"2237","密境守护者","在副本里要听队长的指挥，否则就等着灭团吧！"
"2238","密境守护者","公会副本通关的奖励当然是很丰厚的，但前提是你得能打通关。"
"2239","公会保卫者","其实我也不明白这地方有什么可保卫的。"
"2240","公会保卫者","我也想去其他地方看看。"
"2241","公会保卫者","你有什么事吗？"
"2242","圣圣","圣！"
"2243","光光","光！"
"2244","棍棍","棍！"
"2245","骑骑","骑！"
"2246","士士","士！"
"2247","团团","团！"
"2248","","阿~朵更"
"2249","安度因","为了斯托姆城！"
"2250","安度因","为了洛萨家族的荣耀！"
"2251","安度因","我已经有很久没有见过我的父亲了！"
"2252","安度因","燃烧军团的末日，就要来临了。"
"2253","药店老板","欢迎光临！"
"2254","药店老板","本店药材保真保质，假一赔十。"
"2255","药店老板","这位兄台，看你气质虚弱，呼吸不稳，来瓶汇仁肾宝吧。"
"2256","酒馆老板","来来来，里边请！"
"2257","酒馆老板","我要说我这里卖的是艾泽大陆第二好的酒，没人敢说第一！"
"2258","酒馆老板","客官，本店新到一批美女，里边请嘞！哦不，我是说美酒。"
"2259","武器店老板","你背的那把也配叫做武器！"
"2260","武器店老板","对待武器要像对待情人一样。"
"2261","武器店老板","我是这里最好的工匠。"
"2262","宠物训练师","每一只宠物都是大自然的恩赐，既然选择了就要精心呵护哦！"
"2263","宠物训练师","哈哈，来和我们一起玩躲猫猫吧。"
"2264","宠物训练师","你看上了我那只宝贝儿了？喜欢就领走吧。"
"2265","宠物训练师","英雄你暂时用不上的宠物都可以寄存在我这里哦，当然，这是免费的。"
"2266","商会会长","本店除了老板娘什么都卖，欢迎选购。"
"2267","商会会长","进门都是客，不买瞧瞧也行！什么？你没有钱，走走走……哪凉快跟哪儿呆着去！"
"2268","商会会长","曾经有个傻缺竟然想要靠倒卖符文布发家致富，哈哈哈"
"2269","副本管理员","如果你没有准备好，我还是劝你放弃前往的念头吧。"
"2270","副本管理员","冒险者，前面的道路异常凶险，就算是像你这样的英雄也还是小心为妙。"
"2271","副本管理员","我可以送你去凶煞弥漫的恶魔境地，但我能做也就只有这些了，前面的路还需要你和你的同伴同心协力。"
"2272","盗贼姑娘","自从加了这个叫菊爆大队的公会，我已经很久没有更新装备了。"
"2273","盗贼姑娘","有人说我的智商很高，我想说你说的很对。"
"2274","盗贼姑娘","不要在战斗中靠着一腔热血去横冲直撞，冷静的分析往往才能做出最正确的判断。"
"2275","桶牛","你能帮我把这封信交给沐丝妹子么。（脸红）"
"2276","桶牛","呜呜呜……盗贼姐姐！"
"2277","桶牛","谁也别想欺负沐丝妹子！"
"2278","阿鲁高尸体","我是个尸体，冰冷冰冷的尸体。"
"2279","阿鲁高尸体 ","我是个尸体，而尸体是不会说话的。"
"2280","被遗忘者","我们绝不做痛苦的奴仆！"
"2281",,"为了艾泽大陆！"
"2282",,"我祝福你，旅行者。"
"2283",,"圣光!要时刻牢记圣光!"
"2284",,"我是来打酱油的!"
"2285","角斗场管理员","要战便战！"
"2286","角斗场管理员","勇士，快来挑战吧！"
"2287","女妖","现世皆罪恶，自由，永生，克尔苏加德万岁！"
"2288","恶魔","到底是谁唤醒了我！承受我无尽的怒火吧。"
"2289","冤魂","让我带你前往灵魂安息之地吧!"
"2290","僵尸","肉,新鲜的肉！"
"2291","巫妖","我放弃了一切，只为拥有永恒的力量。而你们，都该去死！"
"2292","冰霜巨龙","无尽的寒冷和黑暗，阻挡不了我对这个世界刻骨的仇恨！"
"2293","艾尔索斯","我放弃了一切，只为这世界能够拥有更好的未来！听从我的召唤才是正确的选择。"
"2294","官方福利大使","来我这里兑换福利吧！"
"2295","官方福利大使","如果拥有神秘口诀，在我这里可以兑换价值不菲的奖励。"
"2296","时空守护者","在另一个平行时空里，原本稳定祥和的世界也因为受到了天灾军团的肆掠而导致了最终的毁灭。"
"2297","时空守护者","我正筹措人手回到过去对混乱的时空进行修正，旅行者你可以担当此重任么?"
"2298","竞技大师","这里是弱者的陨落之地，是勇士的加冕殿堂。如果你足够强大，用智慧和勇气战胜对手获得你应得的尊重和荣耀。"
"2299","天灾斥候","活人！这里有活人！"
"2300","天灾斥候","可不可以让我欣赏你的内裤？"
"2301","天灾斥候","当我看到自己的样子时，我的眼睛都吓出来了……虽然我没有眼睛，哟呵呵~~"
"2302","提里奥弗丁","我见过最高尚的兽人，也见过最卑微的人类。"
"2303","提里奥弗丁","种族并不能说明荣耀，对于自己不同的存在，人们不应轻率的作出判断。"
"2304","提里奥弗丁","不要挫失我的耐心，小子！"
"2305","提里奥弗丁","信仰圣光吧！"
"2306","画师瑞弗雷","我的家在斯坦索姆，我已经很多年没有回去过了……"
"2307","画师瑞弗雷","我对那场恐怖的屠杀依旧记忆犹新，整个斯坦索姆充斥着哀嚎和哭泣。"
"2308","画师瑞弗雷","不想做UI的特效不是一个好原画！"
"2309","画师瑞弗雷","承接各种外包私活，物美价廉，绝不转包！"
"2310","诅咒教派精英","童话里的圣光都是骗人的，当我失业没有面包时，是克总拯救了我，而不是圣光！"
"2311","诅咒教派精英","我的老大可是鼎鼎有名的“洗脚大师”！"
"2312","诅咒教派精英","加入我们吧，这样你就能脱离苦难，获得真正永恒的生命！"
"2313","大十字军索达汉","这副臭皮囊让我恶心无比，迟早我会现出真身，收割你们所有人的灵魂。"
"2314","大十字军索达汉","只要控制了莎丽，雷诺那个情种不过是我随意操纵的棋子罢了！"
"2315","大十字军索达汉","先别着急，等夜幕降临我再和你过过招。"
"2316","巫女麦兰达","「麦兰达」在侏儒语里是萌萌哒的意思哟~"
"2317","巫女麦兰达","太……太高了，啊啊啊！"
"2318","巫女麦兰达","那些可恶的怪物，我们迟早会夺回诺莫瑞根家园！"
"2319","巫女麦兰达","我的族人发明了很多很多先进的产品，但是最终都被狡猾的地精冠上了他们的名字。"
"2320","泰兰弗丁","我经常做梦，在梦里我和父亲在一起，他骄傲的看着我加入骑士团，我们一起和天灾士兵作战，给联盟和洛丹伦带来荣耀。"
"2321","泰兰弗丁","我小时候受尽了同伴的嘲笑和讥讽，他们说我的父亲是叛国贼，但我相信我的父亲不是那样的人！"
"2322","泰兰弗丁","将来我一定要成为像父亲那样伟大的圣骑士！"
"2323","泰兰弗丁","老师最近越来越古怪了，上周那个被处死的士兵仅仅因为替被杀死的旅行者做了安葬！"
"2324","伊森利恩","他们都说我是十字军的心脏，这绝不仅仅是一句恭维的话。"
"2325","伊森利恩","让一只军队达到最强的战斗力的诀窍就是不要留给你的士兵自我思考的机会。"
"2326","伊森利恩","泰兰这小子最近总是自己一个人静静的思考着什么，他的近侍也上报说他晚上做梦经常说一些奇怪的话。"
"2327","伊森利恩","阿比迪斯这个蠢货总是想要带着他的精兵去剿灭天灾，他一点都不明白现阶段保存实力才是最重要的！"
"2328","血色百夫长","我从不怀疑大十字军的每一个决断，是他在天灾的铁蹄下拯救了我，又给了我活下去的希望！"
"2329","血色卫兵","小子，这里不是你该来的地方，快滚开！"
"2330","指挥官雷诺","不明白为什么那么多人反对我对莎丽纯洁而真挚的感情！"
"2331","指挥官雷诺","你问我弑父之后的最强烈的感受是什么？自由！畅快无比的自由！"
"2332","检查官莎丽","雷诺是我见过最勇敢、最有责任心的圣骑士！"
"2333","检查官莎丽","我愿意为我的勇士做任何事情，嗯，任何事！"
"2334","法尔班克斯","我坚信迟早有一天灰烬使者会再次来到这个堕落的地方，圣光从没有抛弃我们！"
"2335","达利安","没有人能够体会我的孤独和无奈，因为毕竟不是谁都有一个死亡骑士的父亲和一个残暴疯狂的哥哥。"
"2336","达利安","我一定不会辜负父亲对我的期望，我一定要夺回属于莫格莱尼家族的荣耀！"
"2337","大领主莫格莱尼","黑锋骑士团从此对天灾宣战，不死不休！"
"2338","大领主莫格莱尼","我的儿子达利安不会白白牺牲，黑锋骑士团将背负属于达利安的那份荣耀！"
"2339","天灾先锋","我要将你们撕成碎片！"
"2340","天灾爪牙","我闻到了活人的气味！"
"2341","缝合憎恶","我身上的小朋友们经常弄得我很痒，你可以帮我挠挠么？"
"2342","死亡骑士莫格莱尼","我要夺走你的灵魂。"
"2343","死亡骑士莫格莱尼","灰烬使者之剑在夜深人静时经常偷偷的呓语，我听不懂它在表达什么……"
"2344","染色人","只要你有足够染料，我就会变出你最喜欢的颜色。"
"2345","染色人","我是MT中最著名的染色人。"
"2346","红尘试练","红尘试练，小波快加上。"
"2347","红尘试练","红尘试练，小波快加上。"
"2348","冠军的试炼npc任务","直捣天灾军团核心的日子逐渐到来，我们希望某个受到圣光祝福的英雄能站出来领导银色十字军终结巫妖王的黑暗统治。带上你的队友进入冠军的试炼场，速度最快成绩最好的队伍将受到冠军的加冕。"
"2349","冠军的试炼战士","作为战士，我们可以被毁灭，但不能被打败！"
"2350","冠军的试炼圣骑","愿圣光在奋斗时刻能照耀你们，愿正义最终能战胜邪恶。"
"2351","冠军的试炼猎人","即使最晦暗的乌云也会透出一丝曙光。"
"2352","冠军的试炼德鲁伊","艾露恩会指引你们前进的道路。"
"2353","冠军的试炼法师","直捣天灾军团核心的日子逐渐到来。"
"2354","冠军的试炼牧师","为了国王的荣耀，我们终将取得最终的胜利。"
"2355","冰封王座40-5","当我和恶魔签下契约，我便将灵魂献给了教派。"
"2356","冰封王座40-10","年轻人，你将为你的鲁莽闯入付出代价。"
"2357","冰封王座40-15","穴居一族可不是蝼蚁之辈！"
"2358","冰封王座40-20","当我看到自己的样子时，我的眼睛都吓出来了……虽然我没有眼睛，哟呵呵~~"
"2359","冰封王座40-25","你想要我的战马？不如我们先来战个300回合再聊……"
"2360","飞行管理员","地精飞行集团承运洲际客运服务，高新技术保障绝不失联！"
"2361","日常副本","想要进行挑战先去接取日常副本任务吧！"
"2362","冰封王座40-1","圣光并没有赐予我面包！"
"2363","血小贱","人们总是忘记该忘记的，又记住该记住的，然后回忆就会被过滤的很美好。"
"2364","血小贱","你要敢在1%给我玩灭团，我保证立刻把你涮火锅了！"
"2365","血小贱","嗯！我是跑呢，还是跑呢，还是跑呢？"
"2366","血小贱","真无聊啊，算了，再羊5分钟好了。"
"2367","会长","我以暗夜男的人头担保。"
"2368","会长","不用担心，朕自有办法。"
"2369","会长","那两片大陆中间的菊花是什么呢？"
"2370","会长","小妹，大妹哪方面都比你大。"
"2371","大大姐","哥，你这算是性骚扰吗？"
"2372","大大姐","秃兄秃兄秃兄秃兄秃兄。"
"2373","大大姐","秃兄，你怎么看？"
"2374","大大姐","在这里，我可不是土豪的象征。"
"2375","冬","滚，我不想看见你（指着会长）。"
"2376","冬","我还很年轻，不要叫我大婶。"
"2377","年轻人","我一定会跟着父亲共同进退。"
"2378","食人工头首领","不要把那些弱小的绿虫跟我们相提并论。"
"2380","狼人","谁说我们只有在月圆时才会变成狼人？"
"2381","狼人","我不认识那什么叫吸血鬼的家伙。"
"2382","宝宝通用","（宝宝是不会说话的。）"
"2383","冰封王座40-16","我们来玩木头人的游戏吧。"
"2384","冰封王座40-17","PM2.5真不是我干的，真的。"
"2385","冰封王座40-18","他们说我是感染者，其实我也就多呼吸了几口雾霾而已。"
"2386","冰封王座40-19","伐木累，伐木累，伐木真的好累。"
"2387","冰封王座40-21","有种别走，等我叫人儿的。"
"2388","冰封王座40-22","等我和麻将牌们签订契约，我要把这些年输的钱都赢回来。"
"2389","冰封王座40-23","领主说了只要阻止你，晚饭加卤蛋。"
"2390","冰封王座40-24","当年我和洛丹伦王子比赛，你猜猜最后谁赢了。"
"2391","亡者矿坑-1","是谁敢打扰你约翰森大爷挖矿！"
"2392","亡者矿坑-2","你是谁，是来应聘矿工的吗？"
"2393","亡者矿坑-3","美味的食物，是曲奇的最爱！"
"2394","亡者矿坑-4","强壮的身体，才是革命的本钱！"
"2395","亡者矿坑-5","居然敢来打亡者矿坑的主意，你要做好成为祭品的准备！"
"2396","最强大脑","这里是最强大脑的比拼，低智商的请绕道。"
"2397","最强大脑","艾泽大陆最聪明的人是你吗？"
"2398","狼人古堡-1","我才是这里真正的主人，任何打扰我安眠的存在都罪无可恕！"
"2399","狼人古堡-2","伟大的狼人部族被召唤到这里，那么我们将统治这片地域！"
"2400","狼人古堡-3","他们都叫我盲眼，但其实我的眼睛无比雪亮！"
"2401","狼人古堡-4","强悍的军队再加上我英明的指挥，我们将势如破竹！"
"2402","狼人古堡-5","黑暗或者邪恶有什么关系，唯有力量才是永恒！"
"2403","阿鲁高","成为我的奴仆吧！"
"2404","阿鲁高","世界终将臣服于我的脚下。"
"2405","狂暴猪王","我的祖先可是强大的半神！"
"2406","亡语者","聆听亡者的低语吧！"
"2407","小奶长者","这是传奇的净土不容许他人亵渎！"
"2408","暴食者","有的时候残暴是一种美！"
"2409","寒冰王子","死亡不会是最终的归宿！"
"2410","训犬人","只有可爱的狗狗，才是最忠诚的守候！"
"2411","奥法师","体验一下奥术的力量吧！"
"2412","旋风男","我的大刀早已饥渴难耐了！"
"2413","莫格莱恩","正义和光明势必永远追随着我！"
"2414","鞭笞者","没有人可以在我的鞭笞下生存！"
"2415","腐烂元素","乖乖过来成为我的一部分吧！"
"2416","冰巨人","只要有水我就会变的越来越大！"
"2417","地精工匠","我的手艺全族文明！"
"2418","玛拉得公主","这是我的领地，冒犯的人只有死亡！"
"2419","扭木树人","总感觉身体里面有奇怪的东西！"
"2420","雷姆刺刺蹄","还记得那天夕阳下的奔跑，是我逝去的青春！"
"2421","弈莫塔","弈莫塔最喜欢吃肉了！"
"2422","雷斯舍塔帝","无论是谁都不允许打扰这里的沉静！"
"2423","哥多氪大王","挡在我面前的人，都会被我的刀锋撕碎！"
