"魔法ID","魔法名","魔法位置类型","魔法基本类型","痕迹","特效名","是否触发攻击效果","触发攻击效果时间","魔法方向","魔法生成ID","魔法生成时间","生成新魔法方式","地面特效"
"12041",,"0","1",,"geffect/sprite/skillbanner/jianlongzaitian_","false","0","0","12042","880","2",
"12042",,"0","3",,"3d/effect/character/jianlongzaitian/fxb0012","true","960","0","0","0","0",
"12051",,"0","1",,"geffect/sprite/skillbanner/qianlongwuyong_","false","0","0","12052","880","2",
"12052",,"0","3",,"3d/effect/character/qianlongwuyong/fxs0009","true","960","0","0","0","0",
"12081",,"0","1",,"geffect/sprite/skillbanner/xianglongfuhu_","false","0","0","12082","880","2",
"12082",,"0","3",,"3d/effect/character/xianglongfuhu/fxs0010","true","960","0","0","0","0",
"12091",,"0","1",,"geffect/sprite/skillbanner/ruijinshu_","false","0","0","12092","880","2",
"12092",,"0","3",,"3d/effect/monster/ruijinshu/fxs0401","true","960","0","0","0","0",
"13011",,"0","1",,"geffect/sprite/skillbanner/putihufa_","false","0","0","14082","880","2",
"13012",,"0","3",,"3d/effect/character/putihufa/fxs0020","true","960","0","0","0","0",
"13021",,"0","1",,"geffect/sprite/skillbanner/luoshazhenyan_","false","0","0","13022","880","2",
"13022",,"0","3",,"3d/effect/character/luochazhenyan/fxs0023","true","960","0","0","0","0",
"13031",,"0","1",,"geffect/sprite/skillbanner/longxiangboregong_","false","0","0","13032","960","1",
"13032",,"2","2","3d/effect/character/longxiangbanruogong/fxb0014_02","3d/effect/character/longxiangbanruogong/fxs0014","false","0","0","13033","1200","2","3d/effect/character/longxiangbanruogong/fxb0014_01"
"13033",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"13041",,"0","1",,"geffect/sprite/skillbanner/weituofumo_","false","0","0","13042","880","2",
"13042",,"0","3",,"3d/effect/character/weituofumo/fxs0018","true","960","0","0","0","0",
"13061",,"0","1",,"geffect/sprite/skillbanner/sanmeifajie_","false","0","0","13062","880","2",
"13062",,"0","3",,"3d/effect/character/sanmeifajie/fxs0016","true","960","0","0","0","0",
"13071",,"0","1",,"geffect/sprite/skillbanner/xiangmochu_","false","0","0","13072","880","2",
"13072",,"0","3",,"3d/effect/character/xiangmochu/fxs0017","true","960","0","0","0","0",
"13081",,"0","1",,,"false","0","0","13072","880","2",
"13082",,"0","3",,,"true","960","0","0","0","0",
"13091",,"0","1",,"geffect/sprite/skillbanner/xiuluozhenyan_","false","0","0","13092","880","2",
"13092",,"0","3",,"3d/effect/character/xiuluozhenyan/fxs0022","true","960","0","0","0","0",
"13101",,"0","1",,"geffect/sprite/skillbanner/dashouyin_","false","0","0","13102","880","2",
"13102",,"0","3",,"3d/effect/character/dashouyin/fxs0019","true","960","0","0","0","0",
"13111",,"0","1",,"geffect/sprite/skillbanner/jingetiema_","false","0","0","13112","880","2",
"13112",,"2","3",,"3d/effect/monster/jingetiema/fxs0402","true","960","3","0","0","0",
"13121",,"0","1",,"geffect/sprite/skillbanner/luoshishu_","false","0","0","13122","880","2",
"13122",,"0","3",,"3d/effect/monster/luoshishu/fxs0403","true","960","0","0","0","0",
"13131",,"0","1",,"geffect/sprite/skillbanner/shangbengdilie_","false","0","0","13132","880","2",
"13132",,"2","3",,,"true","960","3","0","0","0","3d/effect/monster/shanbengdilie/fxs0404"
"13141",,"0","1",,"geffect/sprite/skillbanner/hongshuishu_","false","0","0","13142","880","2",
"13142",,"0","3",,"3d/effect/monster/hongshuishu/fxs0405","true","960","0","0","0","0",
"13151",,"0","1",,"geffect/sprite/skillbanner/wangyangdahai_","false","0","0","13152","880","2",
"13152",,"2","3",,"3d/effect/monster/wangyangdahai/fxs0406","true","960","7","0","0","0",
"13161",,"0","1",,"geffect/sprite/skillbanner/liehuoshu_","false","0","0","13162","880","2",
"13162",,"0","3",,"3d/effect/monster/liehuoshu/fxs0407","true","960","0","0","0","0",
"13171",,"0","1",,"geffect/sprite/skillbanner/wumingyehuo_","false","0","0","13172","880","2",
"13172",,"2","3",,,"true","960","3","0","0","0","3d/effect/monster/wumingyehuo/fxs0408"
"13181",,"0","1",,"geffect/sprite/skillbanner/tengmanshu_","false","0","0","13182","880","2",
"13182",,"0","3",,"3d/effect/monster/tengmanshu/fxs0409A","true","960","0","0","0","0","3d/effect/monster/tengmanshu/fxs0409B"
"13191",,"0","1",,"geffect/sprite/skillbanner/wubianluomu_","false","0","0","13192","880","2",
"13192",,"2","3",,"3d/effect/monster/wubianluomu/fxs0410","true","960","3","0","0","0",
"13201",,"0","1",,"geffect/sprite/skillbanner/shenpan_","false","0","0","13202","880","2",
"13202",,"0","3",,"3d/effect/character/jiugongbaguazhen/fxs0051","true","960","0","0","0","0",
"13211",,"0","1",,"geffect/sprite/skillbanner/xuanmingzhili_","false","0","0","13212","880","2",
"13212",,"0","3",,"3d/effect/character/qingtengjia/fxs0068","true","960","0","0","0","0",
"13221",,"0","1",,"geffect/sprite/skillbanner/qiongqizhili_","false","0","0","13222","880","2",
"13222",,"0","3",,"3d/effect/character/jueqingduanchangzhen/fxs0061","true","960","0","0","0","0",
"13231",,"0","1",,"geffect/sprite/skillbanner/hundunzhili_","false","0","0","13232","880","2",
"13232",,"0","3",,"3d/effect/character/qingtengjia/fxs0068","true","960","0","0","0","0",
"13241",,"0","1",,"geffect/sprite/skillbanner/huodouzhili_","false","0","0","13242","880","2",
"13242",,"0","3",,"3d/effect/character/jueqingduanchangzhen/fxs0061","true","960","0","0","0","0",
"13251",,"0","1",,"geffect/sprite/skillbanner/budongrushan_","false","0","0","13252","880","2",
"13252",,"0","3",,"3d/effect/character/qingtengjia/fxs0068","true","960","0","0","0","0",
"13261",,"0","1",,"geffect/sprite/skillbanner/liurenruohuo_","false","0","0","13262","880","2",
"13262",,"0","3",,"3d/effect/character/jueqingduanchangzhen/fxs0061","true","960","0","0","0","0",
"13271",,"0","1",,"geffect/sprite/skillbanner/qingfengrulin_","false","0","0","13272","880","2",
"13272",,"0","3",,"geffect/sprite/addhp","true","960","0","0","0","0",
"13281",,"0","1",,"geffect/sprite/skillbanner/xunleijifeng_","false","0","0","13282","880","2",
"13282",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"13291",,"0","1",,"geffect/","false","0","0","13292","880","2",
"13292",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"13301",,"0","1",,"geffect/sprite/skillbanner/dangtoubanghe_","false","0","0","13302","880","2",
"13302",,"0","3",,"3d/effect/Skill/dangtoubanghe/fxs0207","true","960","0","0","0","0",
"13311",,"0","1",,"geffect/sprite/skillbanner/duohun_","false","0","0","13312","880","2",
"13312",,"0","3",,"3d/effect/Skill/duohun/fxs0215","true","960","0","0","0","0",
"13321",,"0","1",,"geffect/sprite/skillbanner/hunyuangong_","false","0","0","13322","880","2",
"13322",,"0","3",,"3d/effect/Skill/hunyuangong/fxs0222","true","960","0","0","0","0",
"13331",,"0","1",,"geffect/sprite/skillbanner/jinzhongzhao_","false","0","0","13332","880","2",
"13332",,"0","3",,"3d/effect/Skill/jinzhongzhao/fxs0224","true","960","0","0","0","0",
"13341",,"0","1",,"geffect/sprite/skillbanner/qufannaozhi_","false","0","0","13342","880","2",
"13342",,"0","3",,"3d/effect/Skill/qufannaozhi/fxs0216","true","960","0","0","0","0",
"13351",,"0","1",,"geffect/sprite/skillbanner/shizihou_","false","0","0","13352","880","2",
"13352",,"0","3",,"3d/effect/Skill/shizihou/fxs0245","true","960","0","0","0","0",
"13361",,"0","1",,"geffect/sprite/skillbanner/yanwangdi_","false","0","0","13362","880","2",
"13362",,"0","3",,"3d/effect/Skill/yanwangdi/fxs0247","true","960","0","0","0","0",
"13371",,"0","1",,"geffect/sprite/skillbanner/sanwusanbushou_","false","0","0","13372","880","2",
"13372",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"13381",,"0","1",,"geffect/sprite/skillbanner/anranxiaohunzhang_","false","0","0","13382","960","1",
"13382",,"2","2","3d/effect/character/anranxiaohunzhang/fxb0002_02A","effect/character/anranxiaohunzhang/fxs0002A","false","0","0","13383","408","2","3d/effect/character/anranxiaohunzhang/fxb0002_01A"
"13383",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13391",,"0","1",,"geffect/sprite/skillbanner/fengfeiquewu_","false","0","0","13392","880","2",
"13392",,"0","3",,"3d/effect/character/fengfeiyanwu/fxs0004","true","960","0","0","0","0",
"13401",,"0","1",,"geffect/sprite/skillbanner/zhainvjianfa_","false","0","0","13402","880","2",
"13402",,"0","3",,"geffect/skill/yunvjianfa/yunvjianfa","true","960","0","0","0","0",
"13411",,"0","1",,"geffect/sprite/skillbanner/xiefengshu_","false","0","0","13412","960","1",
"13412",,"2","2",,"3d/effect/character/yufengshu/fxs0003","false","0","0","13413","1200","2",
"13413",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13421",,"0","1",,"geffect/sprite/skillbanner/feishezaitian_","false","0","0","13422","880","2",
"13422",,"0","3",,"3d/effect/character/feilongzaitian/fxs0008","true","960","0","0","0","0",
"13431",,"0","1",,"geffect/sprite/skillbanner/tilongwuyong_","false","0","0","13432","880","2",
"13432",,"0","3",,"3d/effect/character/qianlongwuyong/fxs0009","true","960","0","0","0","0",
"13441",,"0","1",,"geffect/sprite/skillbanner/longxiangboluogong_","false","0","0","13442","960","1",
"13442",,"2","2","3d/effect/character/longxiangbanruogong/fxb0014_02","3d/effect/character/longxiangbanruogong/fxs0014","false","0","0","13443","1200","2","3d/effect/character/longxiangbanruogong/fxb0014_01"
"13443",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13451",,"0","1",,"geffect/sprite/skillbanner/sanweifajie_","false","0","0","13452","880","2",
"13452",,"0","3",,"3d/effect/character/sanmeifajie/fxs0016","true","960","0","0","0","0",
"13461",,"0","1",,"geffect/sprite/skillbanner/yujiashankong_","false","0","0","13462","960","1",
"13462",,"2","2",,"geffect/sprite/newfemale/yunvjianfa","false","0","0","13463","1200","2",
"13463",,"0","3",,"3d/effect/character/yujiashankong/fxs0015","true","560","0","0","0","0",
"13471",,"0","1",,"geffect/sprite/skillbanner/dajiaoyin_","false","0","0","13472","880","2",
"13472",,"0","3",,"3d/effect/character/dashouyin/fxs0019","true","960","0","0","0","0",
"13481",,"0","1",,"geffect/sprite/skillbanner/xiamashengong_","false","0","0","13482","960","1",
"13482",,"2","2","3d/effect/character/hamashengong/fxb0024_02A","3d/effect/character/hamashengong/fxs0024A","false","0","7","13483","1200","2","3d/effect/character/hamashengong/fxb0024_01A"
"13483",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13491",,"0","1",,"geffect/sprite/skillbanner/jiemaiduzhang_","false","0","0","13492","880","2",
"13492",,"0","3",,"3d/effect/character/jiemaiduzhang/fxs0025","true","960","0","0","0","0",
"13501",,"0","1",,"geffect/sprite/skillbanner/liushehuapo_","false","0","0","13502","960","1",
"13502",,"2","2","3d/effect/character/jiushehuapo/fxb0026_02","3d/effect/character/jiushehuapo/fxs0026","false","0","0","13503","1200","2","3d/effect/character/jiushehuapo/fxb0026_01"
"13503",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13511",,"0","1",,"geffect/sprite/skillbanner/jiongshetuxin_","false","0","0","13512","880","2",
"13512",,"0","3",,"3d/effect/character/lingshetuxin/fxs0028","true","960","0","0","0","0",
"13521",,"0","1",,"geffect/sprite/skillbanner/yinqiguitian_","false","0","0","13522","880","2",
"13522",,"0","3",,"3d/effect/character/yinqiguiyuan/fxs0037","true","1200","0","0","0","0",
"13531",,"0","1",,"geffect/sprite/skillbanner/danniaochaoyang_","false","0","0","13532","960","1",
"13532",,"1","2",,"3d/effect/character/danfengchaoyang/fxs0039","false","0","0","13533","1200","2",
"13533",,"0","3",,"geffect/sprite/addhp","true","560","0","0","0","0",
"13541",,"0","1",,"geffect/sprite/skillbanner/simaishenjian_","false","0","0","13542","960","1",
"13542",,"2","2",,"3d/effect/character/liumaishenjian/fxs0031","false","0","0","13543","1200","2",
"13543",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13551",,"0","1",,"geffect/sprite/skillbanner/wanjianguizong_","false","0","0","13552","960","1",
"13552",,"2","2","3d/effect/character/wanjianguizong/fxb0041_02","3d/effect/character/wanjianguizong/fxs0041","false","0","0","13553","1360","2","3d/effect/character/wanjianguizong/fxb0041_01"
"13553",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13561",,"0","1",,"geffect/sprite/skillbanner/erhuajuding_","false","0","0","13562","880","2",
"13562",,"0","3",,"3d/effect/character/sanhuajuding/fxs0043","true","960","0","0","0","0",
"13571",,"0","1",,"geffect/sprite/skillbanner/daoyiwuguang_","false","0","0","13572","480","2",
"13572",,"0","3",,"3d/effect/character/daoyitianguang/fxs0070","true","1360","0","0","0","0",
"13581",,"0","1",,"geffect/sprite/skillbanner/tanzhibutong_","false","0","0","13582","1200","2",
"13582",,"3","2",,"3d/effect/character/tanzhishengong/fxf0048","true","0","3","13583","1600","0",
"13583",,"0","3",,"3d/effect/character/tanzhishengong/fxb0048","true","560","3","0","0","0",
"13584",,"0","1",,"3d/effect/character/tanzhishengong/fxs0048","false","0","0","13582","1200","2",
"13591",,"0","1",,"geffect/sprite/skillbanner/liumendingxing_","false","0","0","13592","880","2",
"13592",,"0","3",,"3d/effect/character/bamendingxing/fxs0073","true","960","0","0","0","0",
"13601",,"0","1",,"geffect/sprite/skillbanner/canxiaojianfa_","false","0","0","13602","960","1",
"13602",,"2","2","3d/effect/character/yuxiaojianfa/fxb0049_02","3d/effect/character/yuxiaojianfa/fxs0049","false","0","0","13603","1200","2","3d/effect/character/yuxiaojianfa/fxb0049_01"
"13603",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13611",,"0","1",,"geffect/sprite/skillbanner/huanghuafuxueshou_","false","0","0","13612","880","2",
"13612",,"0","3",,"3d/effect/character/lanhuafoxueshou/fxs0055","true","960","0","0","0","0",
"13621",,"0","1",,"geffect/sprite/skillbanner/taoheding_","false","0","0","13622","960","1",
"13622",,"2","2",,"3d/effect/character/zaoheding/fxs0075","false","0","0","13623","1200","2",
"13623",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13631",,"0","1",,"geffect/sprite/skillbanner/daimaoyuwangzhen_","false","0","0","13632","880","2",
"13632",,"0","3",,"3d/effect/character/daidaoyuwangzhen/fxs0060","true","960","0","0","0","0",
"13641",,"0","1",,"geffect/sprite/skillbanner/jiuxinqinghua_","false","0","0","13642","880","1",
"13642",,"2","2",,,"false","0","0","13643","1280","2","3d/effect/character/cuixinqinghua/fxs0057"
"13643",,"0","3",,"geffect/sprite/attacked","true","720","0","0","0","0",
"13651",,"0","1",,"geffect/sprite/skillbanner/liuqumihunzhen_","false","0","0","13652","880","2",
"13652",,"0","3",,"3d/effect/character/jiuqumihunzhen/fxs0054","true","960","0","0","0","0",
"13661",,"0","1",,"geffect/sprite/skillbanner/hantankunchongzhen_","false","0","0","13662","880","2",
"13662",,"0","3",,"3d/effect/character/hantankunlongzhen/fxs0059","true","960","0","0","0","0",
"13671",,"0","1",,"geffect/sprite/skillbanner/shixuexiaojian_","false","0","0","13672","880","2",
"13672",,"0","3",,"3d/effect/character/shixuejian/fxs0066","true","960","0","0","0","0",
"13681",,"0","1",,"geffect/sprite/skillbanner/taomuci_","false","0","0","13682","960","1",
"13682",,"2","2","3d/effect/character/shenmmuci/fxb0065_02","3d/effect/character/shenmmuci/fxs0065","false","0","0","13683","640","2","3d/effect/character/shenmmuci/fxb0065_01"
"13683",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"13691",,"0","1",,"geffect/sprite/skillbanner/beisuqingfeng_","false","0","0","13692","880","2",
"13692",,"0","3",,"3d/effect/character/beisuqingfeng/fxs0062","true","960","0","0","0","0",
"13701",,"0","1",,"geffect/sprite/skillbanner/zuixianjiongfu_","false","0","0","13702","880","2",
"13702",,"0","3",,"3d/effect/character/zuixianlingfu/fxs0063","true","960","0","0","0","0",
"13711",,"0","1",,"geffect/sprite/skillbanner/lvhaichaoshengqu_","false","0","0","13712","880","2",
"13712",,"0","3",,"3d/effect/character/bihaichaoshengqu/fxs0050","true","960","0","0","0","0",
"13721",,"0","1",,"geffect/sprite/skillbanner/fangxiatudao_","false","0","0","13722","880","2",
"13722",,"0","3",,"3d/effect/Skill/fangxiatudao/fxs0226","true","960","0","0","0","0",
"13731",,"0","1",,"geffect/sprite/skillbanner/shixuekuangtu_","false","0","0","13732","880","2",
"13732",,"0","3",,"3d/effect/Skill/fangxiatudao/fxs0226","true","960","0","0","0","0",
"13741",,"0","1",,"geffect/sprite/skillbanner/guwuzhige_","false","0","0","13742","880","2",
"13742",,"0","3",,"3d/effect/Skill/naqijue/fxs0203","true","960","0","0","0","0",
"13751",,"0","1",,"geffect/sprite/skillbanner/kuangbao_","false","0","0","13752","880","2",
"13752",,"0","3",,"3d/effect/Skill/nuhuoliaoyuan/fxs0241","true","960","0","0","0","0",
"13761",,"0","1",,"geffect/sprite/skillbanner/hanqingmomo_","false","0","0","13762","880","2",
"13762",,"0","3",,"3d/effect/character/hanqingmaimai/fxs0250","true","960","0","0","0","0",
"13771",,"0","1",,"geffect/sprite/skillbanner/shenqingsihai_","false","0","0","13772","880","2",
"13772",,"0","3",,"3d/effect/character/gantongshenshou/fxs0252","true","960","0","0","0","0",
"13781",,"0","1",,"geffect/sprite/skillbanner/gantongshenshou_","false","0","0","13782","880","2",
"13782",,"0","3",,"3d/effect/character/shenqingsihai/fxs0251","true","960","0","0","0","0",
"13791",,"0","1",,"geffect/sprite/skillbanner/taijiguiyuan_","false","0","0","13792","880","2",
"13792",,"0","3",,"3d/effect/character/taijiguiyuan/fxs0071","true","960","0","0","0","0",
"14011",,"0","1",,"geffect/sprite/skillbanner/hamashengong_","false","0","0","14012","960","1",
"14012",,"2","2","effect/character/hamashengong/hamashengong3_","effect/character/hamashengong/hamashengong1_","false","0","0","14013","1200","2","effect/character/hamashengong/hamashengong2_"
"14013",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"14031",,"0","1",,"geffect/sprite/skillbanner/jiemaiduzhang1_","false","0","0","14032","880","2",
"14032",,"0","3",,"3d/effect/character/jiemaiduzhang/fxs0025","true","960","0","0","0","0",
"14041",,"0","1",,"geffect/sprite/skillbanner/通灵眼_","false","0","0","14042","880","2",
"14042",,"0","3",,"geffect/skill/通灵眼/通灵眼","true","960","0","0","0","0",
"14051",,"0","1",,"geffect/sprite/skillbanner/jiushehuapo_","false","0","0","14052","960","1",
"14052",,"2","2",,"effect/character/jiushehuapo/jiushehuapo","false","0","0","14053","1200","2",
"14053",,"0","3",,"geffect/sprite/attacked","true","560","0","0","0","0",
"14061",,"0","1",,"geffect/sprite/skillbanner/lingshetuxin_","false","0","0","14062","880","2",
"14062",,"0","3",,"3d/effect/character/lingshetuxin/fxs0028","true","960","0","0","0","0",
"14081",,"0","1",,"geffect/sprite/skillbanner/nijingzhuanmai_","false","0","0","14082","880","2",
"14082",,"0","3",,"3d/effect/character/nijingzhuanmai/fxs0027","true","960","0","0","0","0",
"14101",,"0","1",,"geffect/sprite/skillbanner/tanwuzifei_","false","0","0","14102","880","2",
"14102",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14111",,"0","1",,"geffect/sprite/skillbanner/qimeigunfa_","false","0","0","14112","880","2",
"14112",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14121",,"0","1",,"geffect/sprite/skillbanner/shiqidazhen_","false","0","0","14122","880","2",
"14122",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14131",,"0","1",,"geffect/sprite/skillbanner/tieshazhang_","false","0","0","14132","880","2",
"14132",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14141",,"0","1",,"geffect/sprite/skillbanner/baoliegu_","false","0","0","14142","880","2",
"14142",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14151",,"0","1",,"geffect/sprite/skillbanner/foguangpuzhao_","false","0","0","14152","880","2",
"14152",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14161",,"0","1",,"geffect/sprite/skillbanner/fumozhangfa_","false","0","0","14162","880","2",
"14162",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14171",,"0","1",,"geffect/sprite/skillbanner/futujiangshi_","false","0","0","14172","880","2",
"14172",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14181",,"0","1",,"geffect/sprite/skillbanner/wanzhangchenai_","false","0","0","14182","880","2",
"14182",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14191",,"0","1",,"geffect/sprite/skillbanner/chenailuoding_","false","0","0","14192","880","2",
"14192",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14201",,"0","1",,"geffect/sprite/skillbanner/tianzhufozhi_","false","0","0","14202","880","2",
"14202",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14211",,"0","1",,"geffect/sprite/skillbanner/dajingangzhang_","false","0","0","14212","880","2",
"14212",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14221",,"0","1",,"geffect/sprite/skillbanner/zuoyouchuanhuashou_","false","0","0","14222","880","2",
"14222",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14231",,"0","1",,"geffect/sprite/skillbanner/duoluoyezhi_","false","0","0","14232","880","2",
"14232",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14241",,"0","1",,"geffect/sprite/skillbanner/qianshourulaizhang_","false","0","0","14242","880","2",
"14242",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14251",,"0","1",,"geffect/sprite/skillbanner/shaolinwoshizhang_","false","0","0","14252","880","2",
"14252",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14261",,"0","1",,"geffect/sprite/skillbanner/longzhuaqinnashou_","false","0","0","14262","880","2",
"14262",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14271",,"0","1",,"geffect/sprite/skillbanner/shierqinlongshou_","false","0","0","14272","880","2",
"14272",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14281",,"0","1",,"geffect/sprite/skillbanner/pojiedaofa_","false","0","0","14282","880","2",
"14282",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14291",,"0","1",,"geffect/sprite/skillbanner/ranmudaofa_","false","0","0","14292","880","2",
"14292",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14301",,"0","1",,"geffect/sprite/skillbanner/haisoudiaofa_","false","0","0","14302","880","2",
"14302",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14311",,"0","1",,"geffect/sprite/skillbanner/xiyuzhangfa_","false","0","0","14312","880","2",
"14312",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14321",,"0","1",,"geffect/sprite/skillbanner/liebaofeng_","false","0","0","14322","880","2",
"14322",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14331",,"0","1",,"geffect/sprite/skillbanner/shiyu_","false","0","0","14332","880","2",
"14332",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14341",,"0","1",,"geffect/sprite/skillbanner/zhishui_","false","0","0","14342","880","2",
"14342",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14351",,"0","1",,"geffect/sprite/skillbanner/jingweitianhai_","false","0","0","14352","880","2",
"14352",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14361",,"0","1",,"geffect/sprite/skillbanner/paodingjieniuhong_","false","0","0","14362","880","2",
"14362",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14371",,"0","1",,"geffect/sprite/skillbanner/paodingjieniulv_","false","0","0","14372","880","2",
"14372",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14381",,"0","1",,"geffect/sprite/skillbanner/paodingjieniuhuang_","false","0","0","14382","880","2",
"14382",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
"14391",,"0","1",,"geffect/sprite/skillbanner/paodingjieniulan_","false","0","0","14392","880","2",
"14392",,"0","3",,"geffect/sprite/attacked","true","960","0","0","0","0",
