"id","区域等级","区域最高等级","战场环境","宝宝战斗概率","BOSS战斗概率","特殊事件战斗概率","BOSS战ID","普通战斗概率","趣味事件","宝宝1","宝宝2","宝宝3","宝宝4","宝宝5","宝宝6","宝宝7","宝宝8","宝宝9","宝宝10","宝宝1概率","宝宝2概率","宝宝3概率","宝宝4概率","宝宝5概率","宝宝6概率","宝宝7概率","宝宝8概率","宝宝9概率","宝宝10概率","精英1","精英2","精英3","精英4","精英5","精英1概率","精英2概率","精英3概率","精英4概率","精英5概率","怪物1","怪物2","怪物3","怪物4","怪物5","怪物1概率","怪物2概率","怪物3概率","怪物4概率","怪物5概率","变异怪物1","变异怪物2","变异怪物3","变异怪物4","变异怪物5","变异怪物1概率","变异怪物2概率","变异怪物3概率","变异怪物4概率","变异怪物5概率","掉落id","共享掉落id","颜色信息","描述"
"119","78","79","0","1","0","0","0","10000","0","22146","22145","","22148","","22187","22186","","22189","","405","405","","90","","45","45","","10","","22099","22097","",,,"500","500",,,,"22039","22037","",,,"500","500",,,,"22187","22186","","22189","","50","50","","10","","0","0","80f5f5dc","遗迹二层"
"120","80","81","0","1","0","0","0","10000","0","22147","22146","22145","22148","","22188","22187","22186","22189","","270","270","270","90","","30","30","30","10","","22101","22100","22098",,,"500","250","250",,,"22041","22040","22038",,,"500","250","250",,,"22188","22187","22186","22189","","50","25","25","10","","0","0","80ffd700","遗迹三层"
"121","82","83","0","1","0","0","0","10000","0","22149","","","22152","","22190","","","22193","","810","","","90","","90","","","10","","22102","","",,,"1000",,,,,"22042","","",,,"1000",,,,,"22190","","","22193","","50","50","","10","","0","0","800000ff","祭坛一层"
"122","84","85","0","1","0","0","0","10000","0","22150","22149","","22152","","22191","22190","","22193","","405","405","","90","","45","45","","10","","22105","22103","",,,"500","500",,,,"22045","22043","",,,"500","500",,,,"22191","22190","","22193","","50","50","","10","","0","0","800000ff","祭坛二层"
"123","86","87","0","1","0","0","0","10000","0","22151","22150","22149","22152","","22192","22191","22190","22193","","270","270","270","90","","30","30","30","10","","22107","22106","22104",,,"500","250","250",,,"22047","22046","22044",,,"500","250","250",,,"22192","22191","22190","22193","","50","25","25","10","","0","0","80fff0f5","祭坛三层"
"124","88","89","0","1","0","0","0","10000","0","22153","","","22156","","22194","","","22197","","810","","","90","","90","","","10","","22108","","",,,"1000",,,,,"22048","","",,,"1000",,,,,"22194","","","22197","","50","50","","10","","0","0","80e0ffff","深渊一层"
"125","90","91","0","1","0","0","0","10000","0","22154","22153","","22156","","22195","22194","","22197","","405","405","","90","","45","45","","10","","22111","22109","",,,"500","500",,,,"22051","22049","",,,"500","500",,,,"22195","22194","","22197","","50","50","","10","","0","0","80e0ffff","深渊二层"
"126","92","93","0","1","0","0","0","10000","0","22155","22154","22153","22156","","22196","22195","22194","22197","","270","270","270","90","","30","30","30","10","","22113","22112","22110",,,"500","250","250",,,"22053","22052","22050",,,"500","250","250",,,"22196","22195","22194","22197","","50","25","25","10","","0","0","8000ff00","深渊三层"
"127","94","95","0","1","0","0","0","10000","0","22157","","","22160","","22198","","","22201","","810","","","90","","90","","","10","","22114","","",,,"1000",,,,,"22054","","",,,"1000",,,,,"22198","","","22201","","50","50","","10","","0","0","800000ff","雾都一层"
"128","96","97","0","1","0","0","0","10000","0","22158","22157","","22160","","22199","22198","","22201","","405","405","","90","","45","45","","10","","22117","22115","",,,"500","500",,,,"22057","22055","",,,"500","500",,,,"22199","22198","","22201","","50","50","","10","","0","0","800000ff","雾都二层"
"129","98","99","0","1","0","0","0","10000","0","22159","22158","22157","22160","","22200","22199","22198","22201","","270","270","270","90","","30","30","30","10","","22119","22118","22116",,,"500","250","250",,,"22059","22058","22056",,,"500","250","250",,,"22200","22199","22198","22201","","50","25","25","10","","0","0","80fff0f5","雾都三层"
