"id","服务1","服务2","服务3","服务4","服务5","服务6","服务7","服务8","服务9","服务10"
"170090","4006",,,,,,,,,
"170091","4006",,,,,,,,,
"170092","4006",,,,,,,,,
"170093","4006",,,,,,,,,
"170094","4006",,,,,,,,,
"170095","4006",,,,,,,,,
"170096","4006",,,,,,,,,
"170097","4006",,,,,,,,,
"170100","4005",,,,,,,,,
"170101","4005",,,,,,,,,
"170102","4005",,,,,,,,,
"170103","4005",,,,,,,,,
"170104","4005",,,,,,,,,
"170105","4005",,,,,,,,,
"170106","4005",,,,,,,,,
"170107","4005",,,,,,,,,
"170108","4005",,,,,,,,,
"170109","4005",,,,,,,,,
"170110","4005",,,,,,,,,
"170201","100011","",,,,,,,,
"170210","4006",,,,,,,,,
"170211","4006",,,,,,,,,
"170212","4006",,,,,,,,,
"170213","4006",,,,,,,,,
"170214","4006",,,,,,,,,
"170215","4006",,,,,,,,,
"170216","4006",,,,,,,,,
"170217","4006",,,,,,,,,
"170218","4006",,,,,,,,,
"170219","4006",,,,,,,,,
"170220","4006",,,,,,,,,
"170221","4006",,,,,,,,,
"170222","4006",,,,,,,,,
"170223","4006",,,,,,,,,
"170224","4006",,,,,,,,,
"170225","4006",,,,,,,,,
"170226","4006",,,,,,,,,
"170227","4006",,,,,,,,,
"170228","4006",,,,,,,,,
"170229","4006",,,,,,,,,
"170230","4006",,,,,,,,,
"170231","4006",,,,,,,,,
"170232","4006",,,,,,,,,
"170233","4006",,,,,,,,,
"170234","4006",,,,,,,,,
"170235","4006",,,,,,,,,
"170236","4006",,,,,,,,,
"170237","4006",,,,,,,,,
"170238","4006",,,,,,,,,
"170239","4006",,,,,,,,,
"170240","4006",,,,,,,,,
"170241","4006",,,,,,,,,
"170242","4006",,,,,,,,,
"170243","4006",,,,,,,,,
"170244","4006",,,,,,,,,
"170245","4006",,,,,,,,,
"170246","4006",,,,,,,,,
"170247","4006",,,,,,,,,
"170248","4006",,,,,,,,,
"170249","4006",,,,,,,,,
"170250","4006",,,,,,,,,
"170251","4006",,,,,,,,,
"170252","4006",,,,,,,,,
"170253","4006",,,,,,,,,
"170254","4006",,,,,,,,,
"170255","4006",,,,,,,,,
"170256","4006",,,,,,,,,
"170257","4006",,,,,,,,,
"170258","4006",,,,,,,,,
"170259","4006",,,,,,,,,
"170260","4006",,,,,,,,,
"170261","4006",,,,,,,,,
"170262","4006",,,,,,,,,
"170263","4006",,,,,,,,,
"170264","4006",,,,,,,,,
"170265","4006",,,,,,,,,
"170266","4006",,,,,,,,,
"170267","4006",,,,,,,,,
"170268","4006",,,,,,,,,
"170269","4006",,,,,,,,,
"170270","4006",,,,,,,,,
"170271","4006",,,,,,,,,
"170272","4006",,,,,,,,,
"170273","4006",,,,,,,,,
"170274","4006",,,,,,,,,
"170275","4006",,,,,,,,,
"170276","4006",,,,,,,,,
"170277","4006",,,,,,,,,
"170278","4006",,,,,,,,,
"170279","4006",,,,,,,,,
"170280","4006",,,,,,,,,
"170281","4006",,,,,,,,,
"170282","4006",,,,,,,,,
"170283","4006",,,,,,,,,
"170284","4006",,,,,,,,,
"170285","4006",,,,,,,,,
"170286","4006",,,,,,,,,
"170287","4006",,,,,,,,,
"170288","4006",,,,,,,,,
"170289","4006",,,,,,,,,
"170290","4006",,,,,,,,,
"170291","4006",,,,,,,,,
"180001","100171",,,,,,,,,
"180002","100172",,,,,,,,,
"180003","100173",,,,,,,,,
"180004","100174",,,,,,,,,
"180005","100175",,,,,,,,,
"180006","100176",,,,,,,,,
"180007","100177",,,,,,,,,
"180008","100178",,,,,,,,,
"180009","100179",,,,,,,,,
"180010","100180",,,,,,,,,
"180011","100181",,,,,,,,,
"180101","100051",,,,,,,,,
"180102","100052",,,,,,,,,
"180103","100053",,,,,,,,,
"180104","100054",,,,,,,,,
"180105","100055",,,,,,,,,
"180111","100061",,,,,,,,,
"180112","100062",,,,,,,,,
"180113","100063",,,,,,,,,
"180114","100064",,,,,,,,,
"180115","100065",,,,,,,,,
"180121","100071",,,,,,,,,
"180122","100072",,,,,,,,,
"180123","100073",,,,,,,,,
"180124","100074",,,,,,,,,
"180125","100075",,,,,,,,,
"180131","100081",,,,,,,,,
"180132","100082",,,,,,,,,
"180133","100083",,,,,,,,,
"180134","100084",,,,,,,,,
"180135","100085",,,,,,,,,
"180141","100091",,,,,,,,,
"180142","100092",,,,,,,,,
"180143","100093",,,,,,,,,
"180144","100094",,,,,,,,,
"180145","100095",,,,,,,,,
"180151","100101",,,,,,,,,
"180152","100102",,,,,,,,,
"180153","100103",,,,,,,,,
"180154","100104",,,,,,,,,
"180155","100105",,,,,,,,,
"180161","100111",,,,,,,,,
"180162","100112",,,,,,,,,
"180163","100113",,,,,,,,,
"180164","100114",,,,,,,,,
"180165","100115",,,,,,,,,
"180171","100121",,,,,,,,,
"180172","100122",,,,,,,,,
"180173","100123",,,,,,,,,
"180174","100124",,,,,,,,,
"180175","100125",,,,,,,,,
"180181","100131",,,,,,,,,
"180182","100132",,,,,,,,,
"180183","100133",,,,,,,,,
"180184","100134",,,,,,,,,
"180185","100135",,,,,,,,,
"180191","100141",,,,,,,,,
"180192","100142",,,,,,,,,
"180193","100143",,,,,,,,,
"180194","100144",,,,,,,,,
"180195","100145",,,,,,,,,
"180201","100151",,,,,,,,,
"180202","100152",,,,,,,,,
"180203","100153",,,,,,,,,
"180204","100154",,,,,,,,,
"180205","100155",,,,,,,,,
"180211","100161",,,,,,,,,
"180212","100162",,,,,,,,,
"180213","100163",,,,,,,,,
"180214","100164",,,,,,,,,
"180215","100165",,,,,,,,,
"180216","100186","","","","","","","","",""
"180217","100186","","","","","","","","",""
"180218","100186","","","","","","","","",""
"180219","100186","","","","","","","","",""
"180220","100186","","","","","","","","",""
"180221","100186","","","","","","","","",""
"180222","100186","","","","","","","","",""
"180223","100186","","","","","","","","",""
"180301","100308",,,,,,,,,
"180302","100308",,,,,,,,,
"180303","100308",,,,,,,,,
"180304","100308",,,,,,,,,
"180305","100308",,,,,,,,,
"180306","100308",,,,,,,,,
"180307","100308",,,,,,,,,
"180308","100308",,,,,,,,,
"180309","100501",,,,,,,,,
"180310","100501",,,,,,,,,
"180311","100501",,,,,,,,,
"180312","100501",,,,,,,,,
"180313","100501",,,,,,,,,
"180314","100501",,,,,,,,,
"180315","100501",,,,,,,,,
"180316","100501",,,,,,,,,
"180320","100217",,,,,,,,,
"180351","100311",,,,,,,,,
"180352","100312",,,,,,,,,
"180353","100313",,,,,,,,,
"180354","100314",,,,,,,,,
"180355","100315",,,,,,,,,
"180356","100316",,,,,,,,,
"180357","100317",,,,,,,,,
"180358","100318",,,,,,,,,
"180359","100319",,,,,,,,,
"180360","100320",,,,,,,,,
"180361","100321",,,,,,,,,
"180362","100322",,,,,,,,,
"180363","100323",,,,,,,,,
"180364","100324",,,,,,,,,
"180365","100325",,,,,,,,,
"180366","100326",,,,,,,,,
"180367","100327",,,,,,,,,
"180368","100328",,,,,,,,,
"180369","100329",,,,,,,,,
"180370","100330",,,,,,,,,
"180371","100331",,,,,,,,,
"180372","100332",,,,,,,,,
"180373","100333",,,,,,,,,
"180374","100334",,,,,,,,,
"180375","100335",,,,,,,,,
"180376","100336",,,,,,,,,
"180377","100337",,,,,,,,,
"180378","100338",,,,,,,,,
"180379","100339",,,,,,,,,
"180380","100340",,,,,,,,,
"180381","100341",,,,,,,,,
"180382","100342",,,,,,,,,
"180383","100343",,,,,,,,,
"180401","100351",,,,,,,,,
"180402","100352",,,,,,,,,
"180403","100353",,,,,,,,,
"180404","100354",,,,,,,,,
"180405","100355",,,,,,,,,
"180406","100356",,,,,,,,,
"180407","100357",,,,,,,,,
"180408","100358",,,,,,,,,
"180409","100359",,,,,,,,,
"180410","100360",,,,,,,,,
"180411","100361",,,,,,,,,
"180412","100362",,,,,,,,,
"180413","100363",,,,,,,,,
"180414","100364",,,,,,,,,
"180415","100365",,,,,,,,,
"180416","100366",,,,,,,,,
"180417","100367",,,,,,,,,
"180418","100368",,,,,,,,,
"180419","100369",,,,,,,,,
"180420","100370",,,,,,,,,
"180421","100371",,,,,,,,,
"180422","100372",,,,,,,,,
"180423","100373",,,,,,,,,
"180424","100374",,,,,,,,,
"180425","100375",,,,,,,,,
"180426","100376",,,,,,,,,
"180427","100377",,,,,,,,,
"180428","100378",,,,,,,,,
"180429","100379",,,,,,,,,
"180430","100380",,,,,,,,,
"180431","100381",,,,,,,,,
"180432","100382",,,,,,,,,
"180433","100383",,,,,,,,,
"180501","100021",,,,,,,,,
"180502","100021",,,,,,,,,
"180503","100021",,,,,,,,,
"180504","100021",,,,,,,,,
"180505","100021",,,,,,,,,
"180506","100021",,,,,,,,,
"180507","100021",,,,,,,,,
"180508","100021",,,,,,,,,
"180601","100401",,,,,,,,,
"180602","100402",,,,,,,,,
"180603","100403",,,,,,,,,
"180604","100404",,,,,,,,,
"180605","100405",,,,,,,,,
"180606","100406",,,,,,,,,
"180607","100407",,,,,,,,,
"180608","100408",,,,,,,,,
"180609","100409",,,,,,,,,
"180610","100410",,,,,,,,,
"180611","100411",,,,,,,,,
"180612","100412",,,,,,,,,
"180613","100413",,,,,,,,,
"180614","100414",,,,,,,,,
"180615","100415",,,,,,,,,
"180616","100416",,,,,,,,,
"180617","100417",,,,,,,,,
"180618","100418",,,,,,,,,
"180619","100419",,,,,,,,,
"180620","100420",,,,,,,,,
"180621","100421",,,,,,,,,
"180622","100422",,,,,,,,,
"180623","100423",,,,,,,,,
"180624","100424",,,,,,,,,
"180625","100425",,,,,,,,,
"180626","100426",,,,,,,,,
"180627","100427",,,,,,,,,
"180628","100428",,,,,,,,,
"180629","100429",,,,,,,,,
"180630","100430",,,,,,,,,
"180631","100431",,,,,,,,,
"180632","100432",,,,,,,,,
"180633","100433",,,,,,,,,
"180634","100434",,,,,,,,,
"180635","100435",,,,,,,,,
"180636","100436",,,,,,,,,
"180637","100437",,,,,,,,,
"180638","100438",,,,,,,,,
"180639","100439",,,,,,,,,
"180640","100440",,,,,,,,,
"180641","100441",,,,,,,,,
"180642","100442",,,,,,,,,
"180643","100443",,,,,,,,,
"180644","100444",,,,,,,,,
"180645","100445",,,,,,,,,
"180646","100446",,,,,,,,,
"180647","100447",,,,,,,,,
"180648","100448",,,,,,,,,
"180649","100449",,,,,,,,,
"180650","100450",,,,,,,,,
"180651","100451",,,,,,,,,
"180652","100452",,,,,,,,,
"180653","100453",,,,,,,,,
"180654","100454",,,,,,,,,
"180655","100455",,,,,,,,,
"180656","100456",,,,,,,,,
"180657","100457",,,,,,,,,
"180658","100458",,,,,,,,,
"180659","100459",,,,,,,,,
"180660","100460",,,,,,,,,
"180661","100461",,,,,,,,,
"180662","100462",,,,,,,,,
"180663","100463",,,,,,,,,
"180664","100464",,,,,,,,,
"180665","100465",,,,,,,,,
"180666","100466",,,,,,,,,
"180667","100467",,,,,,,,,
"180668","100468",,,,,,,,,
"180669","100469",,,,,,,,,
"180670","100470",,,,,,,,,
"180671","100471",,,,,,,,,
"180672","100472",,,,,,,,,
"180673","100473",,,,,,,,,
"180674","100474",,,,,,,,,
"180675","100475",,,,,,,,,
"180676","100476",,,,,,,,,
"180677","100477",,,,,,,,,
"180678","100478",,,,,,,,,
"180679","100479",,,,,,,,,
"180680","100480",,,,,,,,,
"180681","100481",,,,,,,,,
"180682","100482",,,,,,,,,
"180683","100483",,,,,,,,,
"180684","100484",,,,,,,,,
"180685","100485",,,,,,,,,
"180686","100486",,,,,,,,,
"180687","100487",,,,,,,,,
"180688","100488",,,,,,,,,
"180689","100489",,,,,,,,,
"180690","100490",,,,,,,,,
"180691","100491",,,,,,,,,
"180692","100492",,,,,,,,,
"180693","100493",,,,,,,,,
"180694","100494",,,,,,,,,
"180695","100495",,,,,,,,,
"180696","100496",,,,,,,,,
"180697","100497",,,,,,,,,
"180698","100498",,,,,,,,,
"180699","100499",,,,,,,,,
"180700","100500",,,,,,,,,
"181000","100021",,,,,,,,,
"182101","1483",,,,,,,,,
"182102","1484",,,,,,,,,
"182103","1485",,,,,,,,,
"182104","1486",,,,,,,,,
"182105","1487",,,,,,,,,
"182201","1488",,,,,,,,,
"182202","1489",,,,,,,,,
"182203","1490",,,,,,,,,
"182204","1491",,,,,,,,,
"182205","1492",,,,,,,,,
"182301","1493",,,,,,,,,
"182302","1494",,,,,,,,,
"182303","1495",,,,,,,,,
"182304","1496",,,,,,,,,
"182305","1497",,,,,,,,,
"182401","1498",,,,,,,,,
"182402","1499",,,,,,,,,
"182403","1500",,,,,,,,,
"182404","1501",,,,,,,,,
"182405","1502",,,,,,,,,
"182501","1508",,,,,,,,,
"182502","1509",,,,,,,,,
"182503","1510",,,,,,,,,
"182504","1511",,,,,,,,,
"182505","1512",,,,,,,,,
"182601","1513",,,,,,,,,
"182602","1514",,,,,,,,,
"182603","1515",,,,,,,,,
"182604","1516",,,,,,,,,
"182605","1517",,,,,,,,,
"182701","1518",,,,,,,,,
"182702","1519",,,,,,,,,
"182703","1520",,,,,,,,,
"182704","1521",,,,,,,,,
"182705","1522",,,,,,,,,
"182801","1523",,,,,,,,,
"182802","1524",,,,,,,,,
"182803","1525",,,,,,,,,
"182804","1526",,,,,,,,,
"182805","1527",,,,,,,,,
"182901","1528",,,,,,,,,
"182902","1529",,,,,,,,,
"182903","1530",,,,,,,,,
"182904","1531",,,,,,,,,
"182905","1532",,,,,,,,,
"183001","1533",,,,,,,,,
"183002","1534",,,,,,,,,
"183003","1535",,,,,,,,,
"183004","1536",,,,,,,,,
"183005","1537",,,,,,,,,
"183101","1538",,,,,,,,,
"183102","1539",,,,,,,,,
"183103","1540",,,,,,,,,
"183104","1541",,,,,,,,,
"183105","1542",,,,,,,,,
"183201","1543",,,,,,,,,
"183202","1544",,,,,,,,,
"183203","1545",,,,,,,,,
"183204","1546",,,,,,,,,
"183205","1547",,,,,,,,,
"183301","1548",,,,,,,,,
"183302","1549",,,,,,,,,
"183303","1550",,,,,,,,,
"183304","1551",,,,,,,,,
"183305","1552",,,,,,,,,
"183401","1553",,,,,,,,,
"183402","1554",,,,,,,,,
"183403","1555",,,,,,,,,
"183404","1556",,,,,,,,,
"183405","1557",,,,,,,,,
"183501","1558",,,,,,,,,
"183502","1559",,,,,,,,,
"183503","1560",,,,,,,,,
"183504","1561",,,,,,,,,
"183505","1562",,,,,,,,,
"183601","1563",,,,,,,,,
"183602","1564",,,,,,,,,
"183603","1565",,,,,,,,,
"183604","1566",,,,,,,,,
"183605","1567",,,,,,,,,
"183701","1568",,,,,,,,,
"183702","1569",,,,,,,,,
"183703","1570",,,,,,,,,
"183704","1571",,,,,,,,,
"183705","1572",,,,,,,,,
"183801","1573",,,,,,,,,
"183802","1574",,,,,,,,,
"183901","1503",,,,,,,,,
"183902","1504",,,,,,,,,
"183903","1505",,,,,,,,,
"183904","1506",,,,,,,,,
"183905","1507",,,,,,,,,
"199901","999001",,,,,,,,,
"199902","999002",,,,,,,,,
"199903","999003",,,,,,,,,
"199904","999004",,,,,,,,,
"199905","999005",,,,,,,,,
"999999","900004",,,,,,,,,
