"编号","显示名","类型","宝石类型","道具名颜色","颜色品质","造型编号","单位","等级","需求等级","排序ID","可否摧毁","可否摆摊上架","镶嵌效果","镶嵌部位","合成宝石ID","合成成功率","tips特效表情","tips图标","默认有效时间","可否卖店","是否绑定","是否拾取绑定","是否下线消失","战斗内使用对象","战斗内使用者对象","战斗外使用对象","使用后是否消耗","最大堆叠数量","最大拥有数量","删除后服务器保留天数","描述","功能说明","售卖商店类型","售卖NPCID","道具使用方法","使用按钮功能类型","使用按钮功能参数1","使用按钮功能参数2","使用按钮功能参数3","属性名1","属性值1","属性名2","属性值2","属性名3","属性值3","属性名4","属性值4","属性名5","属性值5","属性名6","属性值6","增加躲闪","增加火系法术吸收几率","增加金系法术吸收几率","增加命中","增加木系法术吸收几率","增加内功防御","增加内功伤害","增加水系法术吸收几率","增加速度","增加土系法术吸收几率","增加外功防御","增加外功伤害","增加真气上限","增加最大生命上限","属性1ID","属性1数值","属性2ID","属性2数值","属性3ID","属性3数值","属性4ID","属性4数值","属性6ID","属性6数值","对应装备类型1","对应装备类型2","对应装备类型3","对应装备类型4","获取途径1","获取途径2","获取途径3","获取途径4","获取途径5","获取途径6","获取途径7","获取途径8","获取途径9","是否珍品","可否分解","分解成道具","分解数量","是否稀有","摆摊冻结时间"
"35011","2级红曜石","5","2","FF06cc11","2","1148","颗","2","20","4011","true","0","物理攻击 +16","武器、头盔","35020","100","0","lanyingshi2","0","1010","false","false","false","0","0","1","1","999","0","0","世间最为锋利的宝石，镶嵌在武器或头上提高物理攻击力。2个低阶宝石可以合成1个高阶宝石。","物理攻击 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"130","16","",,"",,"",,"",,,,"0","0","0","0","0","12","0","0","0","0","0","0","0","0","130","16",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35012","2级石榴石","5","3","FF06cc11","2","1147","颗","2","20","4012","true","0","物理防御 +24","衣甲、头盔","35021","100","0","lvsongshi2","0","1011","false","false","false","0","0","1","1","999","0","0","传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。","物理防御 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"140","24","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","36","140","24",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35013","2级月亮石","5","4","FF06cc11","2","1146","颗","2","20","4013","true","0","法术攻击 +12","武器、项链","35022","100","0","manaoshi2","0","1012","false","false","false","0","0","1","1","999","0","0","蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。","法术攻击 +12","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"150","12","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","7","0","0","0","0","0","150","12",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35014","2级孔雀石","5","5","FF06cc11","2","1029","颗","2","20","4014","true","0","法术防御 +16","衣甲、项链","35023","100","0","ganlanshi2","0","1013","false","false","false","0","0","1","1","999","0","0","可以静心凝神的神奇宝石，产自北方，镶嵌在衣甲或项链上提高法术防御。2个低阶宝石可以合成1个高阶宝石。","法术防御 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"160","16","",,"",,"",,"",,,,"32","0","0","0","0","0","0","0","0","0","0","0","0","0","160","16",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35015","2级猫眼石","5","6","FF06cc11","2","1028","颗","2","20","4015","true","0","速度 +16","腰带、鞋子","35024","100","0","maoyanshi3","0","1014","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。","速度 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"200","16","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","20","0","0","200","16",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35016","2级茶晶石","5","7","FF06cc11","2","1027","颗","2","20","4016","true","0","治疗强度 +16","武器、衣甲","35025","100","0","jingangshi3","0","1015","false","false","false","0","0","1","1","999","0","0","传自异域的神奇宝石，镶嵌在武器或衣甲上能提升治疗强度。2个低阶宝石可以合成1个高阶宝石。","治疗强度 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"170","16","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","22","0","0","0","170","16",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35017","2级红宝石","5","8","FF06cc11","2","1026","颗","2","20","4017","true","0","控制命中 +12","武器","35026","100","0","longxueshi3","0","1016","false","false","false","0","0","1","1","999","0","0","神秘外域产出的红色宝石，镶嵌在武器上提升控制命中。2个低阶宝石可以合成1个高阶宝石。","控制命中 +12","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"180","12","",,"",,"",,"",,,,"0","0","0","0","0","0","22","0","0","0","0","0","0","0","180","12",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35018","2级蓝宝石","5","9","FF06cc11","2","1025","颗","2","20","4018","true","0","控制抗性 +8","腰带、鞋子","35027","100","0","lanyingshi3","0","1017","false","false","false","0","0","1","1","999","0","0","神秘外域产出的蓝色宝石，镶嵌在腰带或鞋上能提升控制抗性。2个低阶宝石可以合成1个高阶宝石。","控制抗性 +8","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"190","8","",,"",,"",,"",,,,"0","0","0","0","0","22","0","0","0","0","0","0","0","0","190","8",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35019","3级血精石","5","1","FF06cc11","2","1149","颗","3","30","4019","true","0","生命 +120","衣甲、腰带","35028","100","0","lvsongshi3","0","1018","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像血液凝聚而成闻名，镶嵌在衣甲或腰带上提高生命。2个低阶宝石可以合成1个高阶宝石。","生命 +120","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"60","120","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","65","60","120",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35020","3级红曜石","5","2","FF06cc11","2","1148","颗","3","30","4020","true","0","物理攻击 +24","武器、头盔","35029","100","0","manaoshi3","0","1019","false","false","false","0","0","1","1","999","0","0","世间最为锋利的宝石，镶嵌在武器或头上提高物理攻击力。2个低阶宝石可以合成1个高阶宝石。","物理攻击 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"130","24","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","11","0","0","0","0","0","130","24",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35021","3级石榴石","5","3","FF06cc11","2","1147","颗","3","30","4021","true","0","物理防御 +36","衣甲、头盔","35030","100","0","ganlanshi3","0","1020","false","false","false","0","0","1","1","999","0","0","传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。","物理防御 +36","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"140","36","",,"",,"",,"",,,,"40","0","0","0","0","0","0","0","0","0","0","0","0","0","140","36",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35022","3级月亮石","5","4","FF06cc11","2","1146","颗","3","30","4022","true","0","法术攻击 +18","武器、项链","35031","100","0","maoyanshi4","0","1021","false","false","false","0","0","1","1","999","0","0","蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。","法术攻击 +18","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"150","18","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","32","0","0","150","18",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35023","3级孔雀石","5","5","FF06cc11","2","1029","颗","3","30","4023","true","0","法术防御 +24","衣甲、项链","35032","100","0","jingangshi4","0","1022","false","false","false","0","0","1","1","999","0","0","可以静心凝神的神奇宝石，产自北方，镶嵌在衣甲或项链上提高法术防御。2个低阶宝石可以合成1个高阶宝石。","法术防御 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"160","24","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","32","0","0","0","160","24",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35024","3级猫眼石","5","6","FF06cc11","2","1028","颗","3","30","4024","true","0","速度 +24","腰带、鞋子","35033","100","0","longxueshi4","0","1023","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。","速度 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"200","24","",,"",,"",,"",,,,"0","0","0","0","0","0","32","0","0","0","0","0","0","0","200","24",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35025","3级茶晶石","5","7","FF06cc11","2","1027","颗","3","30","4025","true","0","治疗强度 +24","武器、衣甲","35034","100","0","lanyingshi4","0","1024","false","false","false","0","0","1","1","999","0","0","传自异域的神奇宝石，镶嵌在武器或衣甲上能提升治疗强度。2个低阶宝石可以合成1个高阶宝石。","治疗强度 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"170","24","",,"",,"",,"",,,,"0","0","0","0","0","32","0","0","0","0","0","0","0","0","170","24",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35026","3级红宝石","5","8","FF06cc11","2","1026","颗","3","30","4026","true","0","控制命中 +18","武器","35035","100","0","lvsongshi4","0","1025","false","false","false","0","0","1","1","999","0","0","神秘外域产出的红色宝石，镶嵌在武器上提升控制命中。2个低阶宝石可以合成1个高阶宝石。","控制命中 +18","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"180","18","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","97","180","18",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35027","3级蓝宝石","5","9","FF06cc11","2","1025","颗","3","30","4027","true","0","控制抗性 +12","腰带、鞋子","35036","100","0","manaoshi4","0","1026","false","false","false","0","0","1","1","999","0","0","神秘外域产出的蓝色宝石，镶嵌在腰带或鞋上能提升控制抗性。2个低阶宝石可以合成1个高阶宝石。","控制抗性 +12","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"190","12","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","17","0","0","0","0","0","190","12",,,,,,,,,"0","0","0","0","5","1",,,,,,,,,"0",,,,
"35028","4级血精石","5","1","FF00b1ff","3","1149","颗","4","40","4028","false","0","生命 +160","衣甲、腰带","35037","100","0","ganlanshi4","0","0","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像血液凝聚而成闻名，镶嵌在衣甲或腰带上提高生命。2个低阶宝石可以合成1个高阶宝石。","生命 +160","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"60","160","",,"",,"",,"",,,,"48","0","0","0","0","0","0","0","0","0","0","0","0","0","60","160",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35019","2",,
"35029","4级红曜石","5","2","FF00b1ff","3","1148","颗","4","40","4029","false","0","物理攻击 +32","武器、头盔","35038","100","0","maoyanshi5","0","0","false","false","false","0","0","1","1","999","0","0","世间最为锋利的宝石，镶嵌在武器或头上提高物理攻击力。2个低阶宝石可以合成1个高阶宝石。","物理攻击 +32","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"130","32","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","70","0","0","130","32",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35020","2",,
"35030","4级石榴石","5","3","FF00b1ff","3","1147","颗","4","40","4030","false","0","物理防御 +48","衣甲、头盔","35039","100","0","jingangshi5","0","0","false","false","false","0","0","1","1","999","0","0","传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。","物理防御 +48","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"140","48","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","60","0","0","0","140","48",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35021","2",,
"35031","4级月亮石","5","4","FF00b1ff","3","1146","颗","4","40","4031","false","0","法术攻击 +24","武器、项链","35040","100","0","longxueshi5","0","0","false","false","false","0","0","1","1","999","0","0","蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。","法术攻击 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"150","24","",,"",,"",,"",,,,"0","0","0","0","0","0","60","0","0","0","0","0","0","0","150","24",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35022","2",,
"35032","4级孔雀石","5","5","FF00b1ff","3","1029","颗","4","40","4032","false","0","法术防御 +32","衣甲、项链","35041","100","0","lanyingshi5","0","0","false","false","false","0","0","1","1","999","0","0","可以静心凝神的神奇宝石，产自北方，镶嵌在衣甲或项链上提高法术防御。2个低阶宝石可以合成1个高阶宝石。","法术防御 +32","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"160","32","",,"",,"",,"",,,,"0","0","0","0","0","50","0","0","0","0","0","0","0","0","160","32",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35023","2",,
"35033","4级猫眼石","5","6","FF00b1ff","3","1028","颗","4","40","4033","false","0","速度 +32","腰带、鞋子","35042","100","0","lvsongshi5","0","0","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。","速度 +32","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"200","32","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","178","200","32",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35024","2",,
"35034","4级茶晶石","5","7","FF00b1ff","3","1027","颗","4","40","4034","false","0","治疗强度 +32","武器、衣甲","35043","100","0","manaoshi5","0","0","false","false","false","0","0","1","1","999","0","0","传自异域的神奇宝石，镶嵌在武器或衣甲上能提升治疗强度。2个低阶宝石可以合成1个高阶宝石。","治疗强度 +32","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"170","32","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","25","0","0","0","0","0","170","32",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35025","2",,
"35035","4级红宝石","5","8","FF00b1ff","3","1026","颗","4","40","4035","false","0","控制命中 +24","武器","35044","100","0","ganlanshi5","0","0","false","false","false","0","0","1","1","999","0","0","神秘外域产出的红色宝石，镶嵌在武器上提升控制命中。2个低阶宝石可以合成1个高阶宝石。","控制命中 +24","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"180","24","",,"",,"",,"",,,,"75","0","0","0","0","0","0","0","0","0","0","0","0","0","180","24",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35026","2",,
"35036","4级蓝宝石","5","9","FF00b1ff","3","1025","颗","4","40","4036","false","0","控制抗性 +16","腰带、鞋子","35045","100","186","","0","0","false","false","false","0","0","1","1","999","0","0","神秘外域产出的蓝色宝石，镶嵌在腰带或鞋上能提升控制抗性。2个低阶宝石可以合成1个高阶宝石。","控制抗性 +16","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"190","16","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","120","0","0","190","16",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35027","2",,
"35037","5级血精石","5","1","FF00b1ff","3","1149","颗","5","50","4037","false","0","生命 +200","衣甲、腰带","35046","100","171","","0","0","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像血液凝聚而成闻名，镶嵌在衣甲或腰带上提高生命。2个低阶宝石可以合成1个高阶宝石。","生命 +200","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"60","200","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","120","0","0","0","60","200",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35019","4",,
"35038","5级红曜石","5","2","FF00b1ff","3","1148","颗","5","50","4038","false","0","物理攻击 +40","武器、头盔","35047","100","177","","0","0","false","false","false","0","0","1","1","999","0","0","世间最为锋利的宝石，镶嵌在武器或头上提高物理攻击力。2个低阶宝石可以合成1个高阶宝石。","物理攻击 +40","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"130","40","",,"",,"",,"",,,,"0","0","0","0","0","0","100","0","0","0","0","0","0","0","130","40",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35020","4",,
"35039","5级石榴石","5","3","FF00b1ff","3","1147","颗","5","50","4039","false","0","物理防御 +60","衣甲、头盔","35048","100","174","","0","0","false","false","false","0","0","1","1","999","0","0","传说是远古神龙的化石，质地坚硬，镶嵌在头上或衣甲上提高物理防御力。2个低阶宝石可以合成1个高阶宝石。","物理防御 +60","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"140","60","",,"",,"",,"",,,,"0","0","0","0","0","100","0","0","0","0","0","0","0","0","140","60",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35021","4",,
"35040","5级月亮石","5","4","FF00b1ff","3","1146","颗","5","50","4040","false","0","法术攻击 +30","武器、项链","35049","100","180","","0","0","false","false","false","0","0","1","1","999","0","0","蓝色的月亮石，犹如月亮般明亮，镶嵌在武器或项链上提高法术攻击。2个低阶宝石可以合成1个高阶宝石。","法术攻击 +30","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"150","30","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","355","150","30",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35022","4",,
"35041","5级孔雀石","5","5","FF00b1ff","3","1029","颗","5","50","4041","false","0","法术防御 +40","衣甲、项链","35050","100","183","","0","0","false","false","false","0","0","1","1","999","0","0","可以静心凝神的神奇宝石，产自北方，镶嵌在衣甲或项链上提高法术防御。2个低阶宝石可以合成1个高阶宝石。","法术防御 +40","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"160","40","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","37","0","0","0","0","0","160","40",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35023","4",,
"35042","5级猫眼石","5","6","FF00b1ff","3","1028","颗","5","50","4042","false","0","速度 +40","腰带、鞋子","35051","100","168","","0","0","false","false","false","0","0","1","1","999","0","0","稀有而名贵的宝石，因像猫眼而得名，镶嵌在鞋子或腰带上能大幅提升速度。2个低阶宝石可以合成1个高阶宝石。","速度 +40","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"200","40","",,"",,"",,"",,,,"150","0","0","0","0","0","0","0","0","0","0","0","0","0","200","40",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35024","4",,
"35043","5级茶晶石","5","7","FF00b1ff","3","1027","颗","5","50","4043","false","0","治疗强度 +40","武器、衣甲","35052","100","187","","0","0","false","false","false","0","0","1","1","999","0","0","传自异域的神奇宝石，镶嵌在武器或衣甲上能提升治疗强度。2个低阶宝石可以合成1个高阶宝石。","治疗强度 +40","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"170","40","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","0","205","0","0","170","40",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35025","4",,
"35044","5级红宝石","5","8","FF00b1ff","3","1026","颗","5","50","4044","false","0","控制命中 +30","武器","35053","100","172","","0","0","false","false","false","0","0","1","1","999","0","0","神秘外域产出的红色宝石，镶嵌在武器上提升控制命中。2个低阶宝石可以合成1个高阶宝石。","控制命中 +30","2","161506","使用方法:打开强化界面进行宝石镶嵌","3","9",,,"180","30","",,"",,"",,"",,,,"0","0","0","0","0","0","0","0","0","0","240","0","0","0","180","30",,,,,,,,,"0","0","0","0","5","",,,,,,,,,"1","35026","4",,
