"id","条件ID","动作ID","执行次数","启用AI","外部AI文件","触发时机","策划备注"
"14121","34011","54403","","",,"3",
"14122","34012","54404","","",,"3",
"14123","34013","54501","","",,"3",
"14124","34014","54502","","",,"3",
"14125","34008","54503","","",,"3",
"14126","34013","54504","","",,"3",
"14127","34014","54505","","",,"3",
"14128","34008","54506","","",,"3",
"14129","34013","54507","","",,"3",
"14130","34014","54508","","",,"3",
"14131","34008","54509","","",,"3",
"14132","34016","54601","","",,"3",
"14133","34017","54602","","",,"3",
"14134","34018","54603","","",,"3",
"14135","34019","54604","","",,"3",
"14136","34017","54605","","",,"3",
"14137","34018","54606","","",,"3",
"14138","34019","54607","","",,"3",
"14139","34022","54101","","",,"3","战士擅长幻影斩1补充"
"15101","35000","55001","","",,"5",
"15102","35004","55002","","",,"3",
"20001","","","","15101@1;15102@1",,"5",
"20000","","","","16007@1;16008@1",,"5","沐丝救人、治疗AI"
"15111","35001","55011",,,"","5","8600，劣人喊话1"
"15112","35018","55012",,,"","13","8600，劣人喊话2"
"15113","35001","55013",,,"","3","8600，联盟猎人喊话"
"15114","35008","55014",,,"","3","8600，修玛无差别攻击（敌我双方）"
"20050",,"",,"15111@1;15112@1","","5","8600，劣人AI"
"15115","35010","55015",,,"","5","8601，玩家喊话"
"15116","35001","55016",,,"","3","8601，劣人喊话1"
"15117","35001","55017",,,"","5","8601，劣人喊话2"
"15144","35020","55017",,,"","5","8601，劣人喊话2"
"15123","35008","55023",,"","","3","8600，劣人攻击狮王休玛"
"20051",,"",,"15116@1;15117@1;15144@1","","5","8601，劣人AI"
"15118","35001","55018",,,"","5","8602，会长喊话1"
"15119","35002","55019",,"","","5","8602，会长喊话2"
"20052",,"",,"15118@1;15119@1","","5","8602，会长AI"
"15120","35001","55020",,,"","3","8602，盗贼姑娘喊话"
"15121","35001","55021",,,"","2","8602，冬喊话1"
"15122","35019","55022",,"","","9","8602，冬喊话2"
"20053",,"",,"15121@1;15122@1","","5","8602，冬AI"
"15124","35001","55024",,,"","3","8603,冬喊话"
"15125","35001","55025",,,"","5","8604，劣人喊话"
"15143","35017","55043",,"","","3","8604，劣人逃跑"
"20058",,"",,"15125@1;15143@1","","5","8604，劣人AI"
"15126","35010","55026",,,"","2","8604，玩家喊话"
"15127","35001","55027",,,"","2","8605，劣人喊话"
"15128","35008","55028",,"","","3","8605，劣人攻击大囧龟"
"20054",,"",,"15127@1;15128@1","","5","8605，劣人AI"
"15129","35001","55029",,,"","3","8606，哀木涕喊话"
"15130","35001","55030",,,"","3","8606，美屡喊话"
"15131","35010","55031","1",,"","3","8606，玩家喊话"
"15132","35001","55032",,,"","5","8607，哀木涕喊话"
"15133","35001","55033",,,"","3","8607，小德喊话"
"15134","35001","55034",,,"","3","8602，大小姐群秒技能"
"15135","34005","55035",,,"","3","8602，大小姐控制技能"
"15136","34023","55036",,"","","3","8602，大小姐辅助技能"
"20055",,"",,"15134@1;15135@1;15136@1","","5","8605，劣人AI"
"15137","35001","55037",,"","","4","8603，哀木涕喊话"
"15138","35021","55038",,"","","13","8603,战斗结束冬喊话"
"20056",,"",,"15124@1;15138@1","","5","8603,冬AI"
"15139","35001","55039",,"","","3","8604，哀木涕喊话"
"15140","35022","55040",,"","","4","8606，召唤食人工头"
"15141","35001","55041",,"","","3","8607，阿鲁高喊话"
"15142","35002","55042",,"","","2","8607，阿鲁高喊话"
"15145","35001","55045",,"","","3","8609，小德喊话1，并降防"
"15146","35002","55046",,"","","2","8609，小德喊话2"
"20086",,"",,"15145@1;15146@1","","5","8609，小德AI"
"15147","35046","55047",,"","","4","8609，野猪人召唤"
"15148","35001","55048",,"","","3","8609，哀木涕嘲讽"
"15149","35047","55049",,"","","3","8609，哀木涕幻影斩"
"20087",,"",,"15148@1;15149@1","","5","8609，哀木涕AI"
"20057","","","","15141@1;15142@1",,"5","8607，阿鲁高AI"
"16001","35009","56001","","",,"2","主角召唤哀木涕、沐丝、劣人"
"16002","35001","56002","","",,"2","侏儒战士喊话"
"16003","35001","56003","","",,"3","暗夜男揍侏儒战士"
"16004","35002","56004",,,"","3","哀木涕喊话"
"16005","35002","56005",,"","","3","沐丝喊话"
"20032",,,,"14132@1;14133@1;16005@1","","5","沐丝剧情AI"
"16006","35002","56006",,,"","3","劣人喊话"
"16007","35026","56007",,,"","3","沐丝救人"
"16008","35027","56008",,,"","3","沐丝治疗"
"20003",,"",,"16007@1;16008@1","","5","新手战斗阿尔萨斯AI"
"16009","35010","56007",,,"","5","主角喊话1"
"16010","35009","56011",,,"","2","主角喊话2并召唤"
"16011","35011","56012","1",,"","3","主角喊话3"
"16016","35009","56026",,"","","2","主角召唤萨尔"
"20004",,"",,"16009@1;16010@1;16011@1","","5","新手战斗主角AI"
"16012","35001","56009",,,"","3","哀木涕嘲讽技能"
"16025","35013","56015",,"","","3","牧师复活主角"
"16026",,"",,"16012@1;16160@1;16161@1","","5","牧师AI"
"16013","35001","56010",,,"","13","战士喊话"
"16066","35001","53104",,"","","3","战士嘲讽"
"20065",,"",,"16013@1;16066@1","","5","新手战斗麦迪文AI"
"16014","35002","56016",,,"","2","麦迪文保护主角"
"16015","35002","56017",,,"","3","麦迪文释放特技"
"20005",,,,"16014@1;16015@1","","5","新手战斗麦迪文AI"
"16017","35002","56018",,,"","3",""
"16018","35003","56018",,,"","3",""
"16029","35001","56029",,,"","3","辛德拉苟萨防御"
"20006",,"",,"16017@1;16018@1;16029@1","","5","辛德拉苟萨AI"
"20007","35001","55090",,,"","3","普通攻击萨尔"
"20008","35001","56019",,,"","3","普通攻击安度因"
"16027","35001","56027",,,"","3","普通攻击战士首席"
"16028","35001","56028",,"","","3","普通攻击法师首席"
"16160","35001","56180",,"","","3","新手战斗，战士嘲讽喊话"
"16161","35001","56181",,"","","3","牧师第一回合治疗主角"
"16162","35024","56182",,"","","3","牧师释放治疗技能"
"20060",,"",,"16161@1;16162@1","","5","新手战斗牧师AI"
"16163","35001","56183",,"","","3","新手战斗德鲁伊释放绿之潮"
"16164","35002","56184",,"","","3","新手战斗德鲁伊释放黄昏花蕾"
"20061",,"",,"16163@1;16164@1","","5","新手战斗牧师AI"
"16165","35025","56185",,"","","3","新手战斗法师羊冰龙"
"16166","35023","56186",,"","","3","新手战斗法师单秒"
"20062",,"",,"16165@1;16166@1","","5","新手战斗法师AI"
"16167","35008","56187",,"","","3","新手战斗，单秒战士29400"
"16168","35008","56188",,"","","3","新手战斗，单秒小德29401"
"16169","35008","56189",,"","","3","新手战斗，单秒法师29402"
"16170","35008","56190",,"","","3","新手战斗，单秒牧师29403"
"16171","35002","56191",,"","","3","辛德拉苟萨吼叫"
"16172","35001","56192",,"","","3","新手战斗，艾尔索斯群法技能"
"16173","35002","56193",,"","","3","艾尔索斯三连击主角"
"20063",,"",,"16172@1;16173@1","","5","艾尔索斯战斗AI"
"16174","35002","56194",,"","","3","新手战斗，索尔释放狂热 图腾"
"16175","35010","56195",,"","","5","新手战斗主角喊话"
"16176","35009","56196",,"","","2","新手战斗主角召唤萨尔"
"16177","35011","56197",,"","","3","新手战斗主角喊话"
"20064",,,,"16175@1;16176@1;16177@1","","5","新手战斗主角AI"
"16019","35002","56021",,,"","3","大小姐技能全场残血"
"16020","35001","56022",,,"","3","大小姐喊话"
"20010",,,,"16019@1;16020@1","","5","大小姐喊话"
"16021","35001","56130",,,"","3","劣人封印暗夜男"
"16022","35001","56020",,,"","3","方砖打残对方8504"
"16023","35002","56132",,,"","3","傻馒必杀"
"16024","35009","56023",,"","","2","主角召唤傻馒"
"16300","35001","56133",,"","","16","方砖AI"
"20011",,"",,"16019@1;16022@1;16300@1","","5","方砖剧情AI"
"16030","35001","56030",,,"","5","阿尔萨斯喊话1"
"16031","35001","56031",,,"","3","阿尔萨斯喊话2，秒杀哀木涕"
"16032","35002","56032",,,"","3","阿尔萨斯喊话3，秒杀沐丝"
"16033","35003","56033",,,"","2","阿尔萨斯喊话4"
"16034","35002","56034",,"","","3","阿尔萨斯喊话5，秒杀全场"
"20013",,"",,"16030@1;16034@1","","5","阿尔萨斯AI"
"16035","35010","56035",,,"","2","主角喊话1"
"16036","35009","56036",,,"","2","主角喊话2"
"20014",,"",,"16035@1;16036@1","","5","主角AI"
"16037","35001","56038",,"","","3","沐丝喊话"
"20034",,"",,"14132@1;14133@1","","5","沐丝剧情AI"
"16038","35002","56037",,,"","3","魔狼沃根喊话"
"16039","35010","56039",,,"","5","主角喊话"
"16040","35001","56040",,,"","5","卡尔加喊话"
"16041","35001","56041",,,"","2","哀木涕喊话"
"16042","35001","56042",,,"","2","劣人喊话"
"16043","35010","56061",,,"","2",""
"16044","35001","56059",,,"","5",""
"16045","35001","56060","","","","5",""
"16046","35001","56050","","","","5","寒冰王子开场对白"
"16047","35001","56058","","","","3","卡尔加将主角打残血"
"16048","35010","56051","","","","2","主角喊话"
"16049","35001","56059","","","","3","阿迦玛甘之佑（无敌）"
"16050","35001","56053","","","","3","寒冰王子第一回称出手"
"16051","35001","56054","","","","3","卡尔加第一回合喊话"
"16052","35001","56055","","","","3","小野猪人喊话"
"16053","35002","56060","","","","3","阿迦玛甘之力（满血）"
"16054","35003","56056","","","","3","寒冰王子使用奥术冲击，造成0点伤害"
"16055","35003","56054","","","","3","卡尔加防御"
"16056","35009","56057","1","","","3","主角喊话2"
"16057","35003","56061","","","","3","阿迦玛甘之怒（buff无限加成）"
"20020","","","","16046@1;16050@1","","5","寒冰王子AI"
"20021","","","","16047@1;16051@1;16055@1","","5","卡尔加AI"
"20022","","","","16048@1;16052@1;16056@1","","5","主角AI"
"20023","","","","16049@1;16053@1;16057@1","","5","阿迦玛甘AI"
"16058","35001","56062","","","","3","哀木涕AI8503"
"16059","35001","56063","","","","3","沐丝AI8503"
"20033","","","","16007@1;16008@1;16059@1","","5","沐丝剧情AI8503"
"16060","35010","56064","1","","","3","玩家AI8503"
"16072","35001","56074","","","","5",""
"16073","35010","56077","1","","","3",""
"16074","35001","56079","","","","3",""
"16075","35001","56080","","","","3",""
"16076","35001","56081","","","","3",""
"16077","35001","56082","","","","3",""
"16078","35001","56083","","","","3",""
"16079","35001","56084","","","","3",""
"16080","35001","56089","","","","5",""
"16081","35002","56090","","","","5",""
"20025",,"","","16080@1;16081@1","","5","猎人AI8514"
"16082","35001","56091","","","","3",""
"16083","35010","56092","1","","","3",""
"16084","35001","56094","","","","2",""
"16085","35001","56095","","","","5",""
"16086","35002","56096","","","","2",""
"20026",,"","","16085@1;16086@1","","5","美屡AI8515"
"16087","35001","56097","","","","3",""
"16088","35001","56101","","","","5",""
"16089","35010","56102","1","","","3",""
"16090","35001","56104","","","","5",""
"16091","35001","56105","","","","16",""
"20027",,"","","16090@1;16091@1","","5","阿格曼奇AI8518"
"16092","35010","56106","","","","2",""
"16100","35001","56107","","","","5",""
"16101","35010","56108","","","","5",""
"16102","35010","56109","","","","2",""
"20028",,"","","16101@1;16102@1","","5","主角AI8520"
"16103","35010","56113","","","","5",""
"16104","35010","56114","1","","","3",""
"20029",,"","","16103@1;16104@1","","5","主角AI8522"
"16105","35001","56115","","","","2",""
"16106","35001","56121","","","","5",""
"16107","35001","56122","","","","3",""
"16108","35001","56123","","","","3",""
"16109","35001","56125","","","","3",""
"16110","35010","56126","1","","","3",""
"16111","35002","56127","","","","3",""
"20030",,"","","16109@1;16111@1","","5","炮姐AI8526"
"16112","35009","56128","1","","","3",""
"20031",,"","","16110@1;16112@1","","5","主角AI8526"
"16115","35001","56134","","","","5","大小姐喊话"
"16116","35001","56135","","","","3","暗夜男召唤并喊话回答"
"16117","35001","56136","","","","2","大小姐质问光棍"
"16118","35001","56137","","","","2","光棍团答复"
"16119","35002","56138","","","","3","大小姐让光棍团出手"
"20036",,"","","16115@1;16119@1","","5","大小姐剧情AI8519"
"16120","35001","56139","","","","5","大小姐再次质问光棍"
"16121","35001","56140","","","","3","暗夜男说话并召唤光棍"
"16122","35001","56141","","","","3","光棍喊话"
"16130","35010","56151","","","","3","8540主角召唤神秘人"
"16131","35001","56152","","","","3","8540死灵法师召唤亡灵战士1"
"16132","35001","56153","","","","3","8540死灵法师召唤亡灵战士2"
"16133","35001","56154","","","","3","8540死灵法师召唤亡灵战士3"
"16134","35001","56155","","","","13","8540神秘隐士喊话"
"16158","35017","56179","","","","3","8540神秘隐士逃跑"
"20047","","","","16134@1;16158@1","","5","8540神秘隐士剧情AI"
"16135","35001","56156","","","","5","8541地中海喊话"
"16136","35001","56157","","","","3","8541哀木涕喊话"
"16137","35001","56158","","","","5","8543伊森利恩喊话1"
"16138","35001","56159","","","","13","8543伊森利恩喊话2"
"16139","35001","56160","","","","3","8543泰兰弗丁喊话"
"16196","35028","56200","","","","3","8543伊森利恩技能心灵之火"
"16197","35029","56201","","","","3","8543伊森利恩技能复生"
"16198","35030","56198",,"","","3","8543伊森利恩技能治疗"
"20040",,"",,"16137@1;16138@1;16196@1;16197@1","","5","8543伊森利恩剧情AI"
"16140","35001","56161",,"","","2","8544血色百夫长喊话1"
"16141","35002","56162",,"","","3","8544血色百夫长喊话2"
"16142","35015","56163",,"","","3","8544血色百夫长喊话3并逃跑"
"20041",,"",,"16140@1;16141@1;16142@1","","5","8544血色百夫长剧情AI"
"16143","35001","56164",,"","","2","8545莫格莱尼喊话"
"16144","35001","56165",,"","","3","8545全体血色护卫喊话"
"16145","35016","56166",,"","","3","8545中奶怀特复活雷诺并喊话"
"16146","35048","56167",,"","","4","8545莫格莱尼喊话"
"20042",,"",,"16143@1;16146@1","","5","8545莫格莱尼剧情AI"
"16147","35001","56168",,"","","2","8546恐惧魔王喊话1"
"16156","35001","56177",,"","","3","8546恐惧魔王喊话2"
"16157","35002","56178",,"","","3","8546恐惧魔王喊话3"
"20046",,"",,"16147@1;16156@1;16157@1","","5","8546恐惧魔王剧情AI"
"16148","35001","56169",,"","","2","8547缝合憎恶喊话"
"16149","35001","56170",,"","","5","8548莫格莱尼喊话"
"16150","35001","56171",,"","","2","8548达利安喊话"
"16151","35001","56172",,"","","3","8548莫格莱尼喊话"
"16152","35001","56173",,"","","3","8548达利安喊话"
"20043",,"",,"16149@1;16151@1","","5","8545莫格莱尼剧情AI"
"20044",,"",,"16150@1;16152@1","","5","8545莫格莱尼剧情AI"
"16153","35001","56174",,"","","2","8549天灾先锋喊话"
"16154","35001","56175",,"","","2","8551达利安喊话"
"16155","35001","56176",,"","","3","8551达利安喊话"
"20045",,"",,"16154@1;16155@1","","5","8551达利安剧情AI"
"16182","35001","56202",,"","","3","8551天灾精英释放心灵之火"
"16183","35036","56203",,"","","3","8551天灾精英释放奥数爆击"
"20048",,"",,"16182@1;16183@1","","5","8551天灾精英AI"
"16184","35031","56204",,"","","3","8551精英助手控制"
"16185","35032","56205",,"","","3","8551精英助手神谕责难"
"20049",,"",,"16185@1;16184@1","","5","8551精英助手控制AI"
"16186","35033","56206",,"","","3","8551精英助手群体治疗"
"16187","35034","56207",,"","","3","8551精英助手单体治疗"
"16188","35035","56208",,"","","3","8551精英助手复活"
"20070",,"",,"16188@1;16187@1;16186@1","","5","8551精英助手治疗AI"
"16199","35001","56199",,"","","3","8544血色战士喊话"
"16400","35001","56400",,"","","3","8552玛格汉俘虏逃跑"
"16401","35038","56401",,"","","3","8552阿格拉先祖之魂"
"16402","35037","56402",,"","","3","8552阿格拉闪电链"
"20080",,"",,"16401@1;16402@1","","5","8552阿格拉AI"
"16403","35001","56403",,"","","5","8553食人魔头领喊话"
"16404","35039","56404",,"","","3","8554奥罗巴使用黄昏花蕾"
"16405","35040","56405",,"","","3","8554奥罗巴使用绿之潮"
"20081",,"",,"16404@1;16405@1","","5","8554奥罗巴AI"
