"id","战斗回合数","条件脚本","AI怪回合数","触发几率","对象过滤","被使用的技能ID","策划备注"
"34403",">=1","","","","_94022_>=1","","自己中变羊"
"34404",">=1","","","","_94027_>=1&&_94053_<1","","敌方有隐身单位且我方身上有自然之眼buff的单位（包含死亡）小于1"
"34405",">=1","","","","_94032_<1&&_94033_>=2","","我方有黄昏花蕾buff的单位（包含死亡）小于1且血量少于80%的主角大于等于2"
"34406",">=1","","","","_94034_<1","","敌方中绿之潮的单位小于1个（包含死亡）"
"34501",">=1","","","","_94020_>=1","","自己中沉默"
"34502",">=1","","","","_94021_>=1","","自己中眩晕"
"34503",">=1","","","","_94022_>=1","","自己中变羊"
"34504",">=1","","","","_94035_>=1","","敌方有精英怪没被控制"
"34505",">=1","","","","_94036_>=2","","我方中毒单位大于等于2"
"34506",">=1","","","","_94037_>=1","","对方血小于等于30%的单位大于等于1"
"34507",">=1","","","","_94030_==2","","敌方数量等于2个"
"34508",">=1","","","","_94030_==1","","敌方数量等于1个"
"34601",">=1","","","","_94020_>=1","","自己中沉默"
"34602",">=1","","","","_94021_>=1","","自己中眩晕"
"34603",">=1","","","","_94022_>=1","","自己中变羊"
"34604",">=1","","","","_94038_>=2","","我方血小于等于80%单位大于等于2"
"34605",">=1","","","","_94039_>=1","","我方死亡单位大于等于1"
"34606",">=1","","","","_94028_>=1","","我方血小于等于60%单位大于等于1"
"34607",">=1","","","","_94040_<1","","我方有身上有心灵之火buff的单位小于1个（包含死亡）"
"34608",">=1","","","","_94041_>=6","","我方中debuff单位大于等于6"
"34701",">=1","","","","_94020_>=1","","自己中沉默"
"34702",">=1","","","","_94021_>=1","","自己中眩晕"
"34703",">=1","","","","_94022_>=1","","自己中变羊"
"34704",">=1","","","","_94039_>=1","","我方死亡单位大于等于1"
"34705",">=1","","","","_94037_>=1","","对方血小于等于30%的单位大于等于1"
"34706",">=1","","","","_94030_==2","","敌方数量等于2个"
"34707",">=1","","","","_94030_==1","","敌方数量等于1个"
"34801",">=1","","","","_94020_>=1","","自己中沉默"
"34802",">=1","","","","_94021_>=1","","自己中眩晕"
"34803",">=1","","","","_94022_>=1","","自己中变羊"
"34804",">=1","","","","_94035_>=1","","敌方有精英怪没被控制"
"34805",">=1","effectpointa>=3","","","_94029_>=1","","连击点大于等于3且有boss"
"34806",">=1","effectpointa>=1","","","_94029_>=1","","连击点大于等于1且有boss"
"34807",">=1","effectpointa<1","","","_94029_>=1","","连击点小于1且有boss"
"34808",">=1","effectpointa>=3","","","","","连击点大于等于3"
"34809",">=1","effectpointa>=1","","","","","连击点大于等于1"
"34810",">=1","effectpointa<1","","","","","连击点小于1"
"34901",">=1","","","","_94020_>=1","","自己中沉默"
"34902",">=1","","","","_94021_>=1","","自己中眩晕"
"34903",">=1","","","","_94022_>=1","","自己中变羊"
"34904",">=1","","","","_94035_>=1","","敌方有精英怪没被控制"
"34905",">=1","","","","_94044_>=3","","敌方没被控制的单位大于等于3"
"34906",">=1","","","","_94043_>=1","","自身血量小于等于30%"
"34907",">=1","","","","_94044_>=1","","敌方没被控制的单位大于等于1"
"34908",">=1","","","","_94042_<1","","敌方有身上有虚弱诅咒buff的单位小于1（包含死亡）"
"35000","==0","","","","","","一进战斗"
"35001","==1","","","","","","第1回合"
"35002","==2","","","","","","第2回合"
"35003","==3","","","","","","第3回合"
"35004","==4","","","","","","第4回合"
"35005","==5","","","","","","第5回合"
"35006","==1","","","","_95001_>=1","","第1回合"
"35007",">=1","","","","","","被死亡缠绕命中后"
"35008",">=1","","","","","","战斗内触发"
"35009","==2","","","","_95002_==1","","第2回合主角自己"
"35010","==1","","","","_95002_==1","","第1回合主角自己"
"35011","==3","","","","_95002_==1","","第3回合主角自己"
"35012","==2","","","","_95009_==1","","第2回合己方主角"
"35013","==2","","","","_95013_==1","","第2回合己方死亡主角"
"35014","==1","","","","_95010_>=1","","第1回合除主角外所有敌人"
"35015",">=1","","","","_95003_<=1","","己方单位小于等于1"
"35016",">=1","","","","_95017_==1","","己方单位29860死亡后"
"35017",">=1","","","","_95018_<=1","","己方剩余1个单位"
"35018",">=1","","","","_95020_==1","","己方单位29002死亡后，修玛"
"35019",">=1","","","","_95021_==1","","红尘8602，冬血量小于20%"
"35020",">=2","","","","","","第二回合之后"
"35021",">=1","","","","_95024_<=0","","红尘8603，敌方没有怪"
"35022","==1","","","","","110002","8606，召唤食人工头"
"35023",">=2","","","","_95028_==1","","新手战斗，只剩一个怪"
"35024",">=2","","","","_95025_==1","","新手战斗，主角血量不足80%"
"35025","==1","","","","_95030_>=1","","敌方冰龙"
"35026",">=1","","","","_95035_>=1","","我方死亡单位大于等于1"
"35027",">=1","","","","_95036_>=1","","我方血小于等于50%单位大于等于1"
"35028","==1","","","","_95039_<1","","我方有心灵之火buff的单位小于1（包含死亡）"
"35029",">=1","","","","_95038_>=1","","我方死亡单位大于等于1"
"35030",">=1","","","","_95037_>=2||_95040_>=1","","我方血小于等于80%单位大于等于2或我方血小于等于60%单位大于等于1"
"35031",">=1","","","","_95041_>=2","","8551敌方没被控制的单位大于等于2"
"35032",">=1","","","","_95042_>=1","","8551敌方隐身单位大于等于1"
"35033",">=1","","","","_95043_>=3","","8551我方血小于等于80%单位大于等于3"
"35034",">=1","","","","_95044_>=1","","8551我方血小于等于30%单位大于等于1"
"35035",">=1","","","","_95045_>=1","","8551我方死亡单位大于等于1"
"35036",">=1","","","","_95046_<=2","","8551敌方数量小于等于2"
"35037",">=1","","","","_95047_>=2","","8552对方血小于等于40%的单位"
"35038",">=1","","","","_95048_>=1","","8552我方死亡单位"
"35039",">=1","","","","_95049_>=2||_95054_>=1","","8554我方血量少于80%的主角"
"35040",">=1","","","","_95050_>=1","","8554敌方中绿之潮的单位（包含死亡）"
"35041",">=1","","","","_95046_<=2","","8555敌方数量小于等于2"
"35042",">=1","","","","_95051_>=2","","8555敌方没被控制的单位大于等于2"
"35043",">=1","","","","_95052_>=2","","8555己方血量小于50%的单位大于等于2"
"35044",">=1","","","","_95053_==1","","8556精灵游骑血量不足50%"
"35045",">=1","","","","_95041_>=3","","8559马诺洛斯释放恶魔降临"
"35046","==1","","","","","110002","8609，野猪人召唤"
"35047",">=1","","","","_95053_==1","","8609，哀木涕血量不足50%"
"35048",">=1","","","","","160003","8545莫格莱恩被复活"
"35049",">=1","","","","_95046_<=2","","8560敌方数量小于等于2"
"35050",">=1","","","","_95055_>=1","","8560我方有心灵之火单位"
"35051",">=1","","","","_95048_>=1","","8560我方有死亡单位"
"35052",">=1","","","","_95052_>=2","","8560我方单位血量小于50%单位>=2"
"35053",">=2","","","","_95058_>=1","","8561第二回合后有中沉默诅咒的单位"
"35054",">=1","","","","_95046_<=2","","9561敌方数量小于等于2"
"35055",">=1","","","","_95048_>=1","","9561己方死亡单位"
"35056",">=1","","","","_95059_>=1","","8562敌方隐身单位"
"35057",">=1","","","","_95052_>=1","","8562己方血量小于50%"
"35058",">=1","","","","_95060_>=1","","8564自己血量大于55%"
"35059",">=1","","","","_95018_==1","","8567己方只有1个人"
"35060",">=1","","","","_95057_==1","","8567古尔丹头颅血量小于0.01"
"35061",">=1","","","","_95062_==1","","8573阿克蒙德血量50%"
"35062","==2","","","","_95073_==1","","新手剧情"
"36001","==1","","","","_96001_/_96002_>=0.2","","队伍中辅助职业/总人数>=0.2，第1回合"
"36002","==1","","","","_96001_/_96002_<0.2","","队伍中辅助职业/总人数<0.2，第1回合"
"36003","==3","","","","_96001_/_96002_<0.2","","队伍中辅助职业/总人数<0.2，第3回合"
"36004","==1","","","","_96004_>=4","","队伍中输出职业4个时，第0回合（战斗开始）"
"36005",">=1","","","","_96003_>=1","","对方没有中三控的单位>=1"
"36006",">=4","","","","_96124_<=0.01","","大于等于第4回合"
"36010",">=1","","","","","","小萌萌只挨打"
"36011",">=2","","","","","","公会副本第2回合以后"
"36012",">=4","","","","","","公会副本第4回合以后"
"36013",">=1","","","","_96124_<=0.01","","公会副本一进战斗"
"36014","==3","","","","","","公会副本第3回合小怪愤怒"
"36015",">=1","","","","_96012_<3","","怪物数量小于3"
"36016",">=1","","","","_96015_==1","","公会副本第1回合进战斗怪物中了封印"
"36017",">=1","","","","_96016_>=1","","公会副本有德鲁伊和牧师骑士逃跑"
"36018",">=2","","","","","","公会副本第2回合进战斗BOSS释放召唤与隐身"
"36019",">=1","","","","_96016_<1","","公会副本没有德鲁伊和牧师喊话"
"36020",">=4","","","","","","公会副本第四回合逃跑"
"36021","==2","","","","","","第1回合"
"36022","==3","","","","","","第2回合"
"36023","==4","","","","","","第3回合"
"36024","==5","","","","","","第4回合"
"36025","==6","","","","","","第5回合"
"36026","==6","","","","_96124_<=0.01","","第6回合"
"36027","==12","","","","_96124_<=0.01","","第12回合"
"36030",">=1","","","","","","德鲁伊第一回合减防"
"36031",">=2","","","","","","猎人第二回合（多重打击）"
"36032",">=1","","","","","","牧师第一回合（加状态）"
"36033",">=1","","","","","","牧师第一回合（加状态）"
"36034","==9","","","","","","牧师随机拉人"
"36035",">=9","","","","","","牧师随机拉人"
"36036",">=12","","","","","","牧师随机拉人"
"36037",">=1","","","","_96017_<1","","第一回合进入战斗后"
"36038","==1","","","","","","第一回召唤小怪"
"36039","==1","","","","","","第一回合自爆自身80%血量，对方全部怪物减80%血量"
"36040",">=1","","","","_96107_>=1","","第一回合队伍中有法师，职业领袖弟子会逃跑"
"36041",">=1","","","","_96103_>=1","","第一回合队伍中有战士，职业领袖弟子会逃跑"
"36042",">=1","","","","_96108_>=1","","第一回合队伍中有牧师，职业领袖弟子会逃跑"
"36043",">=1","","","","_96106_>=1","","第一回合队伍中有小德，职业领袖弟子会逃跑"
"36044",">=1","","","","_96104_>=1","","第一回合队伍中有圣骑，职业领袖弟子会逃跑"
"36045",">=1","","","","_96105_>=1","","第一回合队伍中有猎人，职业领袖弟子会逃跑"
"36046",">=5","","","","","","第五回合特殊怪逃跑战士"
"36047",">=5","","","","","","第五回合特殊怪逃跑牧师"
"36048",">=5","","","","","","第五回合特殊怪逃跑猎人"
"36049",">=5","","","","","","第五回合特殊怪逃跑法师"
"36050",">=5","","","","","","第五回合特殊怪逃跑圣骑"
"36051",">=5","","","","","","第五回合特殊怪逃跑小德"
"36052",">=1","","","","","","冠军试炼圣骑大弟子双封"
"36053",">=3","","","","","","冠军试炼圣骑大弟子双封"
"36054",">=1","","","","_96109_>=1","","第一回合队伍中有萨满，职业领袖弟子会逃跑"
"36055",">=1","","","","_96110_>=1","","第一回合队伍中有盗贼，职业领袖弟子会逃跑"
"36056",">=1","","","","_96111_>=1","","第一回合队伍中有术士，职业领袖弟子会逃跑"
"36057",">=5","","","","","","第五回合特殊怪逃跑萨满"
"36058",">=5","","","","","","第五回合特殊怪逃跑盗贼"
"36059",">=5","","","","","","第五回合特殊怪逃跑术士"
"36060",">=1","","","","","","fs第一回合放变羊"
"36061",">=1","","","","","","战士第一回合嘲讽"
"36062",">=1","","","","","","萨满加状态"
"36063",">=1","","","","","","圣骑第一回合嘲讽"
"36064",">=1","","","","","","盗贼剔骨"
"36065",">=1","","","","","","牧师第一回合（加状态）"
"36066",">=1","","","","","","猎人第一回合多重打击"
"36067",">=1","","","","","","德鲁伊第一回合减防"
"36100",">=1","","","","","","一进战斗"
"36101",">=1",,,,"_96124_<=0.01",,"（尖牙溶洞）第1回合进战斗"
"36102",">=1",,,,"_96101_==1",,"（尖牙溶洞）怪物剩余1"
"36103","==1",,,,,,"（尖牙溶洞）回合开始"
"36104",">=1",,,,"_96102_>=1",,"（尖牙溶洞）血量小于50%"
"36110",">=1",,,,"_96124_<=0.01",,"（亡者矿坑）回合开始"
"36111",">=1","effectpointa>=1",,,"",,"（亡者矿坑）连击点数大于等于1"
"36112",">=1","","","","_96113_<1","","（亡者矿坑）我方有心灵之火buff的单位小于1（包含死亡）"
"36113","==1",,,,"_96124_<=0.01",,"（亡者矿坑）第1回合"
"36114","==2",,,,"_96124_<=0.01",,"（亡者矿坑）第2回合"
"36115","==3",,,,"_96124_<=0.01",,"（亡者矿坑）第3回合"
"36116","==4",,,,"_96124_<=0.01",,"（亡者矿坑）第4回合"
"36117","==5",,,,"_96124_<=0.01",,"（亡者矿坑）第5回合"
"36118","==6",,,,"_96124_<=0.01",,"（亡者矿坑）第6回合"
"36119","==7",,,,"_96124_<=0.01",,"（亡者矿坑）第7回合"
"36120","==8",,,,"_96124_<=0.01",,"（亡者矿坑）第8回合"
"36130",">=1","","","","_96120_>=1","","我方血小于等于80%单位大于等于1"
"36131",">=1","","","","_96121_>=1","","我方血小于等于80%单位大于等于1"
"36132",">=1","","","","_96122_<1","","我方有心灵之火buff的单位小于1（包含死亡）"
"36133",">=1","","","","_96123_>=1","","我方死亡单位大于等于1"
"36134",">=1","","","","_96124_<=0.01","","第1回合之后"
"37001","==1","","","","_97001_/_97002_>=0.2","","队伍中辅助职业/总人数>=0.2，第1回合"
"37002","==1","","","","_97001_/_97002_<0.2","","队伍中辅助职业/总人数<0.2，第1回合"
"37003","==3","","","","_97001_/_97002_<0.2","","队伍中辅助职业/总人数<0.2，第3回合"
"37004",">=1","","","","_97003_>=1","","对方没有中三控的单位>=1"
"37005","==1","","","","_97004_>=4","","队伍中输出职业4个时，第0回合（战斗开始）"
"37006",">=4","","","","_96124_<=0.01","","大于等于第4回合"
"37007",">=4","","","","_96124_<=0.01","","大于等于第4回合"
"37008",">=1","","","","","","日常副本副本第1回合以后"
"37009",">=1","","","","_97005_==1","","日常副本第1回合进战斗怪物中了封印"
"37010",">=1","","","",,"","冰封王座25关BOSS第一回合错乱一个人"
"37011","==2","","","","","","冰封王座25关BOSS第二回合给对面全体减防"
"37012","==3","","","","","","冰封王座25关BOSS第三回合给已方全体加攻"
"37013","==4","","","","","","冰封王座25关BOSS第四回合给已方全体加血"
"37014",">=1","","","","","","第1回合之后"
"37015","==1","","","","","","日常副本副本第1回"
"37016","==3","","","","","","日常副本副本第2回"
"37100",">=1","","","","_96200_>=4","","没中嘲讽的敌方单位大于等于4"
"37101",">=1","","","","_96201_>=4","","没中破甲的敌方单位大于等于4"
"37102",">=1","","","","_96202_<=5","","敌方单位小于等于5"
"37103",">=1","","","","_96203_>=4","","没中嘲讽的敌方单位大于等于4"
"37104",">=1","","","","_96204_>=1","","敌方存在隐身单位"
"37105",">=1","","","","_96205_>=1","","我方血小于等于60%单位大于等于1"
"37106",">=1","","","","_96206_>=4","","敌方单位大于等于4"
"37107",">=1","","","","_96207_<=4","","敌方单位小于等于4"
"37108",">=1","","","","_96208_<3","","敌方有绿之潮buff的单位小于3（包含死亡）"
"37109",">=1","","","","_96209_>=1","","我方有黄昏花蕾buff的单位（包含死亡）且血量少于80%的单位大于1"
"37110",">=1","","","","_96210_<3","","我方有心灵之火buff的单位小于1（包含死亡）"
"37111",">=1","","","","_96211_>=1","","我方死亡单位大于等于1"
"37112",">=1","","","","_96212_>=1","","我方血小于等于80%单位大于等于1"
"37113",">=1","","","","_96213_>=3","","我方中debuff单位大于等于3"
"37114",">=1","","","","_96214_>=1","","我方死亡单位大于等于1"
"37115",">=1","","","","_96215_>=4","","敌方单位小于等于3"
"37116",">=1","","","","_96216_<=3","","敌方被控制的单位小于等于3"
"37117",">=1","","","","_96217_<3","","敌方有身上有虚弱诅咒buff的单位小于3（包含死亡）"
"37118",">=1","","","","_96218_>=1","","自身血量低于50%"
"37119",">=1","effectpointa>=0","","","","","连击点达到0"
"37120",">=1","effectpointa>=1","","","","","连击点达到1"
"37121",">=1","effectpointa>=2","","","","","连击点达到2"
"37122",">=1","effectpointa>=3","","","","","连击点达到3"
"37123",">=1","effectpointa>=4","","","","","连击点达到4"
"37124",">=1","effectpointa>=5","","","","","连击点达到5"
"39000",">=1","","","0.5","_99001_<1","","未召唤宝宝喊话"
"39001",">=1","","","0.4","_99001_<1","","小软宝宝1"
"39002",">=1","","","0.1","_99001_<1","","变异小软1"
"39003",">=1","","","0.4","_99001_<1","","捕猎者宝宝5"
"39004",">=1","","","0.1","_99001_<1","","变异捕猎者5"
"39005",">=1","","","0.2","_99001_<1","","羽蛇宝宝15"
"39006",">=1","","","0.2","_99001_<1","","变异羽蛇15"
"39007",">=1","","","0.05","_99001_<1","","囧龟宝宝15"
"39008",">=1","","","0.05","_99001_<1","","变异囧龟15"
"39009",">=1","","","8.3000000000000004E-2","_99001_<1","","食人工头宝宝25"
"39010",">=1","","","8.3000000000000004E-2","_99001_<1","","地精工匠宝宝25"
"39011",">=1","","","8.4000000000000005E-2","_99001_<1","","剪刀手宝宝25"
"39012",">=1","","","0.25","_99001_<1","","鱼人宝宝25"
"39013",">=1","","","2.5000000000000001E-2","_99001_<1","","食人工头宝宝25"
"39014",">=1","","","2.5000000000000001E-2","_99001_<1","","地精工匠宝宝25"
"39015",">=1","","","2.5000000000000001E-2","_99001_<1","","剪刀手宝宝25"
"39016",">=1","","","2.5000000000000001E-2","_99001_<1","","鱼人宝宝25"
"39017",">=1","","","8.3000000000000004E-2","_99001_<1","","野鬼宝宝35"
"39018",">=1","","","8.3000000000000004E-2","_99001_<1","","狼人宝宝35"
"39019",">=1","","","8.4000000000000005E-2","_99001_<1","","死灵哨兵宝宝35"
"39020",">=1","","","0.05","_99001_<1","","血月教徒宝宝35"
"39021",">=1","","","2.5000000000000001E-2","_99001_<1","","变异野鬼35"
"39022",">=1","","","2.5000000000000001E-2","_99001_<1","","变异狼人35"
"39023",">=1","","","2.5000000000000001E-2","_99001_<1","","变异死灵哨兵35"
"39024",">=1","","","2.5000000000000001E-2","_99001_<1","","变异血月教徒35"
"39025",">=1","","","8.3000000000000004E-2","_99001_<1","","野猪宝宝45"
"39026",">=1","","","8.3000000000000004E-2","_99001_<1","","吸血蝙蝠宝宝45"
"39027",">=1","","","8.4000000000000005E-2","_99001_<1","","野猪人宝宝45"
"39028",">=1","","","0.01","_99001_<1","","巫妖宝宝45"
"39029",">=1","","","2.5000000000000001E-2","_99001_<1","","变异野猪45"
"39030",">=1","","","2.5000000000000001E-2","_99001_<1","","变异吸血蝙蝠45"
"39031",">=1","","","2.5000000000000001E-2","_99001_<1","","变异野猪人45"
"39032",">=1","","","2.5000000000000001E-2","_99001_<1","","变异巫妖45"
"39033",">=1","","","8.3000000000000004E-2","_99001_<1","","血色猎犬宝宝55"
"39034",">=1","","","8.3000000000000004E-2","_99001_<1","","幽灵宝宝55"
"39035",">=1","","","8.4000000000000005E-2","_99001_<1","","血色士兵宝宝55"
"39036",">=1","","","1E-3","_99001_<1","","血色骑士宝宝55"
"39037",">=1","","","1E-3","_99001_<1","","血色牧师宝宝55"
"39038",">=1","","","0.02","_99001_<1","","变异血色猎犬55"
"39039",">=1","","","0.02","_99001_<1","","变异幽灵55"
"39040",">=1","","","0.02","_99001_<1","","变异血色士兵55"
"39041",">=1","","","0.02","_99001_<1","","变异血色骑士55"
"39042",">=1","","","0.02","_99001_<1","","变异血色牧师55"
"39043",">=1","","","8.3000000000000004E-2","_99001_<1","","土元素宝宝65"
"39044",">=1","","","8.3000000000000004E-2","_99001_<1","","半人马宝宝65"
"39045",">=1","","","8.4000000000000005E-2","_99001_<1","","鞭笞者宝宝65"
"39046",">=1","","","2E-3","_99001_<1","","腐女宝宝65"
"39047",">=1","","","2.5000000000000001E-2","_99001_<1","","变异土元素65"
"39048",">=1","","","2.5000000000000001E-2","_99001_<1","","变异半人马65"
"39049",">=1","","","2.5000000000000001E-2","_99001_<1","","变异鞭笞者65"
"39050",">=1","","","2.5000000000000001E-2","_99001_<1","","变异腐女65"
"39051",">=1","","","8.3000000000000004E-2","_99001_<1","","摧毁者宝宝70"
"39052",">=1","","","8.3000000000000004E-2","_99001_<1","","虚空恐魔宝宝70"
"39053",">=1","","","8.4000000000000005E-2","_99001_<1","","食人魔宝宝70"
"39054",">=1","","","2E-3","_99001_<1","","变形者宝宝70"
"39055",">=1","","","2.5000000000000001E-2","_99001_<1","","变异摧毁者70"
"39056",">=1","","","2.5000000000000001E-2","_99001_<1","","变异虚空恐魔70"
"39057",">=1","","","2.5000000000000001E-2","_99001_<1","","变异食人魔70"
"39058",">=1","","","2.5000000000000001E-2","_99001_<1","","变异变形者70"
"39059",">=1","","","8.3000000000000004E-2","_99001_<1","","绿飞龙宝宝75"
"39060",">=1","","","8.3000000000000004E-2","_99001_<1","","预言者宝宝75"
"39061",">=1","","","8.4000000000000005E-2","_99001_<1","","骨飞龙宝宝75"
"39062",">=1","","","2E-3","_99001_<1","","绿龙宝宝75"
"39063",">=1","","","2.5000000000000001E-2","_99001_<1","","变异绿飞龙75"
"39064",">=1","","","2.5000000000000001E-2","_99001_<1","","变异预言者75"
"39065",">=1","","","2.5000000000000001E-2","_99001_<1","","变异骨飞龙75"
"39066",">=1","","","2.5000000000000001E-2","_99001_<1","","变异绿龙75"
"39067",">=1","","","8.3000000000000004E-2","_99001_<1","","炎魔使者宝宝80"
"39068",">=1","","","8.3000000000000004E-2","_99001_<1","","黑铁矮人宝宝80"
"39069",">=1","","","8.4000000000000005E-2","_99001_<1","","铁炉牧师宝宝80"
"39070",">=1","","","2E-3","_99001_<1","","矮人军官宝宝80"
"39071",">=1","","","2.5000000000000001E-2","_99001_<1","","变异炎魔使者80"
"39072",">=1","","","2.5000000000000001E-2","_99001_<1","","变异黑铁矮人80"
"39073",">=1","","","2.5000000000000001E-2","_99001_<1","","变异铁炉牧师80"
