"技能格ID","技能格等级","第一重经验","第二重经验","第三重经验","第四重经验","第五重经验","第六重经验","第七重经验","第一重金钱","第二重金钱","第三重金钱","第四重金钱","第五重金钱","第六重金钱","第七重金钱","第一重气海值","第二重气海值","第三重气海值","第四重气海值","第五重气海值","第六重气海值","第七重气海值","金钱消耗规则1","经验消耗规则1","金钱消耗规则2","经验消耗规则2","金钱消耗规则3","经验消耗规则3"
"35","35","0","0","0","0","0","0","0","5800","0","0","0","0","0","0","0","0","0","0","0","0","0","3386","0","3386","0",,
"36","36","0","0","0","0","0","0","0","6300","0","0","0","0","0","0","0","0","0","0","0","0","0","3690","0","3690","0",,
"37","37","0","0","0","0","0","0","0","7000","0","0","0","0","0","0","0","0","0","0","0","0","0","3870","0","3870","0",,
"38","38","0","0","0","0","0","0","0","7600","0","0","0","0","0","0","0","0","0","0","0","0","0","4057","0","4057","0",,
"39","39","0","0","0","0","0","0","0","8500","0","0","0","0","0","0","0","0","0","0","0","0","0","4250","0","4250","0",,
"40","40","0","0","0","0","0","0","0","9100","0","0","0","0","0","0","0","0","0","0","0","0","0","4618","0","4618","0",,
"41","41","0","0","0","0","0","0","0","10200","0","0","0","0","0","0","0","0","0","0","0","0","0","6140","0","6140","0",,
"42","42","0","0","0","0","0","0","0","11100","0","0","0","0","0","0","0","0","0","0","0","0","0","6463","0","6463","0",,
"43","43","0","0","0","0","0","0","0","11900","0","0","0","0","0","0","0","0","0","0","0","0","0","6799","0","6799","0",,
"44","44","0","0","0","0","0","0","0","12800","0","0","0","0","0","0","0","0","0","0","0","0","0","7148","0","7148","0",,
"45","45","0","0","0","0","0","0","0","14000","0","0","0","0","0","0","0","0","0","0","0","0","0","7891","0","7891","0",,
"46","46","0","0","0","0","0","0","0","15100","0","0","0","0","0","0","0","0","0","0","0","0","0","8292","0","8292","0",,
"47","47","0","0","0","0","0","0","0","16200","0","0","0","0","0","0","0","0","0","0","0","0","0","8708","0","8708","0",,
"48","48","0","0","0","0","0","0","0","17500","0","0","0","0","0","0","0","0","0","0","0","0","0","9139","0","9139","0",,
"49","49","0","0","0","0","0","0","0","18800","0","0","0","0","0","0","0","0","0","0","0","0","0","9586","0","9586","0",,
"50","50","0","0","0","0","0","0","0","20300","0","0","0","0","0","0","0","0","0","0","0","0","0","11614","0","11614","0",,
"51","51","0","0","0","0","0","0","0","21900","0","0","0","0","0","0","0","0","0","0","0","0","0","12188","0","12188","0",,
"52","52","0","0","0","0","0","0","0","23300","0","0","0","0","0","0","0","0","0","0","0","0","0","12782","0","12782","0",,
"53","53","0","0","0","0","0","0","0","25000","0","0","0","0","0","0","0","0","0","0","0","0","0","13398","0","13398","0",,
"54","54","0","0","0","0","0","0","0","26800","0","0","0","0","0","0","0","0","0","0","0","0","0","14035","0","14035","0",,
"55","55","0","0","0","0","0","0","0","28700","0","0","0","0","0","0","0","0","0","0","0","0","0","17466","0","17466","0",,
"56","56","0","0","0","0","0","0","0","30600","0","0","0","0","0","0","0","0","0","0","0","0","0","18300","0","18300","0",,
"57","57","0","0","0","0","0","0","0","32600","0","0","0","0","0","0","0","0","0","0","0","0","0","19162","0","19162","0",,
"58","58","0","0","0","0","0","0","0","34700","0","0","0","0","0","0","0","0","0","0","0","0","0","20052","0","20052","0",,
"59","59","0","0","0","0","0","0","0","36900","0","0","0","0","0","0","0","0","0","0","0","0","0","20972","0","20972","0",,
"60","60","0","0","0","0","0","0","0","39300","0","0","0","0","0","0","0","0","0","0","0","0","0","30915","0","30915","0",,
"61","61","0","0","0","0","0","0","0","41700","0","0","0","0","0","0","0","0","0","0","0","0","0","41802","0","41802","0",,
"62","62","0","0","0","0","0","0","0","44200","0","0","0","0","0","0","0","0","0","0","0","0","0","53677","0","53677","0",,
"63","63","0","0","0","0","0","0","0","46900","0","0","0","0","0","0","0","0","0","0","0","0","0","66590","0","66590","0",,
"64","64","0","0","0","0","0","0","0","49600","0","0","0","0","0","0","0","0","0","0","0","0","0","80588","0","80588","0",,
"65","65","0","0","0","0","0","0","0","52700","0","0","0","0","0","0","0","0","0","0","0","0","0","107153","0","107153","0",,
"66","66","0","0","0","0","0","0","0","55500","0","0","0","0","0","0","0","0","0","0","0","0","0","124007","0","124007","0",,
"67","67","0","0","0","0","0","0","0","58700","0","0","0","0","0","0","0","0","0","0","0","0","0","142115","0","142115","0",,
"68","68","0","0","0","0","0","0","0","62200","0","0","0","0","0","0","0","0","0","0","0","0","0","174618","0","174618","0",,
"69","69","0","0","0","0","0","0","0","65500","0","0","0","0","0","0","0","0","0","0","0","0","0","209653","0","209653","0",,
"70","70","0","0","0","0","0","0","0","69000","0","0","0","0","0","0","0","0","0","0","0","0","0","247329","0","247329","0",,
"71","71","0","0","0","0","0","0","0","80000","0","0","0","0","0","0","0","0","0","0","0","0","0","287753","0","287753","0",,
"72","72","0","0","0","0","0","0","0","84200","0","0","0","0","0","0","0","0","0","0","0","0","0","331038","0","331038","0",,
"73","73","0","0","0","0","0","0","0","88600","0","0","0","0","0","0","0","0","0","0","0","0","0","377296","0","377296","0",,
"74","74","0","0","0","0","0","0","0","93200","0","0","0","0","0","0","0","0","0","0","0","0","0","392900","0","392900","0",,
"75","75","0","0","0","0","0","0","0","97900","0","0","0","0","0","0","0","0","0","0","0","0","0","408932","0","408932","0",,
"76","76","0","0","0","0","0","0","0","102900","0","0","0","0","0","0","0","0","0","0","0","0","0","425400","0","425400","0",,
"77","77","0","0","0","0","0","0","0","108000","0","0","0","0","0","0","0","0","0","0","0","0","0","442308","0","442308","0",,
"78","78","0","0","0","0","0","0","0","113300","0","0","0","0","0","0","0","0","0","0","0","0","0","459663","0","459663","0",,
"79","79","0","0","0","0","0","0","0","118800","0","0","0","0","0","0","0","0","0","0","0","0","0","477470","0","477470","0",,
"80","80","0","0","0","0","0","0","0","124300","0","0","0","0","0","0","0","0","0","0","0","0","0","495735","0","495735","0",,
"81","81","0","0","0","0","0","0","0","130400","0","0","0","0","0","0","0","0","0","0","0","0","0","514464","0","514464","0",,
"82","82","0","0","0","0","0","0","0","136300","0","0","0","0","0","0","0","0","0","0","0","0","0","533663","0","533663","0",,
"83","83","0","0","0","0","0","0","0","142700","0","0","0","0","0","0","0","0","0","0","0","0","0","553338","0","553338","0",,
"84","84","0","0","0","0","0","0","0","149300","0","0","0","0","0","0","0","0","0","0","0","0","0","573495","0","573495","0",,
"85","85","0","0","0","0","0","0","0","155800","0","0","0","0","0","0","0","0","0","0","0","0","0","594139","0","594139","0",,
"86","86","0","0","0","0","0","0","0","162800","0","0","0","0","0","0","0","0","0","0","0","0","0","615277","0","615277","0",,
"87","87","0","0","0","0","0","0","0","170200","0","0","0","0","0","0","0","0","0","0","0","0","0","636914","0","636914","0",,
"88","88","0","0","0","0","0","0","0","177500","0","0","0","0","0","0","0","0","0","0","0","0","0","659057","0","659057","0",,
"89","89","0","0","0","0","0","0","0","185200","0","0","0","0","0","0","0","0","0","0","0","0","0","681710","0","681710","0",,
"90","90","0","0","0","0","0","0","0","193100","0","0","0","0","0","0","0","0","0","0","0","0","0","704880","0","704880","0",,
"91","91","0","0","0","0","0","0","0","201200","0","0","0","0","0","0","0","0","0","0","0","0","0","728574","0","728574","0",,
"92","92","0","0","0","0","0","0","0","209600","0","0","0","0","0","0","0","0","0","0","0","0","0","752796","0","752796","0",,
"93","93","0","0","0","0","0","0","0","218300","0","0","0","0","0","0","0","0","0","0","0","0","0","777552","0","777552","0",,
"94","94","0","0","0","0","0","0","0","227100","0","0","0","0","0","0","0","0","0","0","0","0","0","802849","0","802849","0",,
"95","95","0","0","0","0","0","0","0","236400","0","0","0","0","0","0","0","0","0","0","0","0","0","828693","0","828693","0",,
"96","96","0","0","0","0","0","0","0","245900","0","0","0","0","0","0","0","0","0","0","0","0","0","855088","0","855088","0",,
"97","97","0","0","0","0","0","0","0","255700","0","0","0","0","0","0","0","0","0","0","0","0","0","882042","0","882042","0",,
"98","98","0","0","0","0","0","0","0","265700","0","0","0","0","0","0","0","0","0","0","0","0","0","909560","0","909560","0",,
"99","99","0","0","0","0","0","0","0","276100","0","0","0","0","0","0","0","0","0","0","0","0","0","937647","0","937647","0",,
"100","100","0","0","0","0","0","0","0","286700","0","0","0","0","0","0","0","0","0","0","0","0","0","966310","0","966310","0",,
"101","101","0","0","0","0","0","0","0","297500","0","0","0","0","0","0","0","0","0","0","0","0","0","995555","0","995555","0",,
"102","102","0","0","0","0","0","0","0","308700","0","0","0","0","0","0","0","0","0","0","0","0","0","1025387","0","1025387","0",,
"103","103","0","0","0","0","0","0","0","320600","0","0","0","0","0","0","0","0","0","0","0","0","0","1055813","0","1055813","0",,
"104","104","0","0","0","0","0","0","0","332300","0","0","0","0","0","0","0","0","0","0","0","0","0","1086837","0","1086837","0",,
"105","105","0","0","0","0","0","0","0","344400","0","0","0","0","0","0","0","0","0","0","0","0","0","1118467","0","1118467","0",,
"106","106","0","0","0","0","0","0","0","356900","0","0","0","0","0","0","0","0","0","0","0","0","0","1150708","0","1150708","0",,
"107","107","0","0","0","0","0","0","0","370000","0","0","0","0","0","0","0","0","0","0","0","0","0","1183566","0","1183566","0",,
"108","108","0","0","0","0","0","0","0","383200","0","0","0","0","0","0","0","0","0","0","0","0","0","1217046","0","1217046","0",,
"109","109","0","0","0","0","0","0","0","396800","0","0","0","0","0","0","0","0","0","0","0","0","0","1251155","0","1251155","0",,
"110","110","0","0","0","0","0","0","0","410700","0","0","0","0","0","0","0","0","0","0","0","0","0","1285898","0","1285898","0",,
"111","111","0","0","0","0","0","0","0","425000","0","0","0","0","0","0","0","0","0","0","0","0","0","1321282","0","1321282","0",,
"112","112","0","0","0","0","0","0","0","439500","0","0","0","0","0","0","0","0","0","0","0","0","0","1357312","0","1357312","0",,
"113","113","0","0","0","0","0","0","0","454600","0","0","0","0","0","0","0","0","0","0","0","0","0","1393994","0","1393994","0",,
"114","114","0","0","0","0","0","0","0","470200","0","0","0","0","0","0","0","0","0","0","0","0","0","1431334","0","1431334","0",,
"115","115","0","0","0","0","0","0","0","486000","0","0","0","0","0","0","0","0","0","0","0","0","0","1469337","0","1469337","0",,
"116","116","0","0","0","0","0","0","0","502100","0","0","0","0","0","0","0","0","0","0","0","0","0","1508011","0","1508011","0",,
"117","117","0","0","0","0","0","0","0","518800","0","0","0","0","0","0","0","0","0","0","0","0","0","1547360","0","1547360","0",,
"118","118","0","0","0","0","0","0","0","535800","0","0","0","0","0","0","0","0","0","0","0","0","0","1587390","0","1587390","0",,
"119","119","0","0","0","0","0","0","0","553300","0","0","0","0","0","0","0","0","0","0","0","0","0","1628108","0","1628108","0",,
"120","120","0","0","0","0","0","0","0","571000","0","0","0","0","0","0","0","0","0","0","0","0","0","1669519","0","1669519","0",,
"121","121","0","0","0","0","0","0","0","589300","0","0","0","0","0","0","0","0","0","0","0","0","0","1711629","0","1711629","0",,
"122","122","0","0","0","0","0","0","0","608100","0","0","0","0","0","0","0","0","0","0","0","0","0","1754444","0","1754444","0",,
"123","123","0","0","0","0","0","0","0","627300","0","0","0","0","0","0","0","0","0","0","0","0","0","1797970","0","1797970","0",,
"124","124","0","0","0","0","0","0","0","646700","0","0","0","0","0","0","0","0","0","0","0","0","0","1842213","0","1842213","0",,
"125","125","0","0","0","0","0","0","0","667000","0","0","0","0","0","0","0","0","0","0","0","0","0","1887178","0","1887178","0",,
"126","126","0","0","0","0","0","0","0","687300","0","0","0","0","0","0","0","0","0","0","0","0","0","1932871","0","1932871","0",,
"127","127","0","0","0","0","0","0","0","708400","0","0","0","0","0","0","0","0","0","0","0","0","0","1979299","0","1979299","0",,
"128","128","0","0","0","0","0","0","0","730000","0","0","0","0","0","0","0","0","0","0","0","0","0","2026467","0","2026467","0",,
"129","129","0","0","0","0","0","0","0","751700","0","0","0","0","0","0","0","0","0","0","0","0","0","2074381","0","2074381","0",,
"130","130","0","0","0","0","0","0","0","774200","0","0","0","0","0","0","0","0","0","0","0","0","0","2123048","0","2123048","0",,
"131","131","0","0","0","0","0","0","0","797000","0","0","0","0","0","0","0","0","0","0","0","0","0","2172472","0","2172472","0",,
"132","132","0","0","0","0","0","0","0","820600","0","0","0","0","0","0","0","0","0","0","0","0","0","2222659","0","2222659","0",,
"133","133","0","0","0","0","0","0","0","844700","0","0","0","0","0","0","0","0","0","0","0","0","0","2273616","0","2273616","0",,
"134","134","0","0","0","0","0","0","0","869000","0","0","0","0","0","0","0","0","0","0","0","0","0","2325349","0","2325349","0",,
"135","135","0","0","0","0","0","0","0","894100","0","0","0","0","0","0","0","0","0","0","0","0","0","2377863","0","2377863","0",,
"136","136","0","0","0","0","0","0","0","919500","0","0","0","0","0","0","0","0","0","0","0","0","0","2431164","0","2431164","0",,
"137","137","0","0","0","0","0","0","0","945700","0","0","0","0","0","0","0","0","0","0","0","0","0","2485258","0","2485258","0",,
"138","138","0","0","0","0","0","0","0","972200","0","0","0","0","0","0","0","0","0","0","0","0","0","2540152","0","2540152","0",,
"139","139","0","0","0","0","0","0","0","999400","0","0","0","0","0","0","0","0","0","0","0","0","0","2595850","0","2595850","0",,
"140","140","0","0","0","0","0","0","0","1027200","0","0","0","0","0","0","0","0","0","0","0","0","0","2652358","0","2652358","0",,
"141","141","0","0","0","0","0","0","0","1055400","0","0","0","0","0","0","0","0","0","0","0","0","0","2709683","0","2709683","0",,
"142","142","0","0","0","0","0","0","0","1084400","0","0","0","0","0","0","0","0","0","0","0","0","0","2767831","0","2767831","0",,
"143","143","0","0","0","0","0","0","0","1113900","0","0","0","0","0","0","0","0","0","0","0","0","0","2826807","0","2826807","0",,
"144","144","0","0","0","0","0","0","0","1144000","0","0","0","0","0","0","0","0","0","0","0","0","0","2886617","0","2886617","0",,
"145","145","0","0","0","0","0","0","0","1174700","0","0","0","0","0","0","0","0","0","0","0","0","0","2947268","0","2947268","0",,
"146","146","0","0","0","0","0","0","0","1205900","0","0","0","0","0","0","0","0","0","0","0","0","0","3008764","0","3008764","0",,
"147","147","0","0","0","0","0","0","0","1237900","0","0","0","0","0","0","0","0","0","0","0","0","0","3071112","0","3071112","0",,
"148","148","0","0","0","0","0","0","0","1270500","0","0","0","0","0","0","0","0","0","0","0","0","0","3134318","0","3134318","0",,
"149","149","0","0","0","0","0","0","0","1303600","0","0","0","0","0","0","0","0","0","0","0","0","0","3198387","0","3198387","0",,
"150","150","0","0","0","0","0","0","0","1337500","0","0","0","0","0","0","0","0","0","0","0","0","0","3263326","0","3263326","0",,
"151","151","0","0","0","0","0","0","0","2744000","0","0","0","0","0","0","0","0","0","0","0","0","0","3329140","0","3329140","0",,
"152","152","0","0","0","0","0","0","0","2814400","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
"153","153","0","0","0","0","0","0","0","2885900","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
"154","154","0","0","0","0","0","0","0","2959000","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
"155","155","0","0","0","0","0","0","0","3033300","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
"156","156","0","0","0","0","0","0","0","4663700","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
"157","157","0","0","0","0","0","0","0","4779300","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
"158","158","0","0","0","0","0","0","0","4897200","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
"159","159","0","0","0","0","0","0","0","5017300","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
"160","160","0","0","0","0","0","0","0","5139500","0","0","0","0","0","0","0","0","0","0","0","0","0","6359658","0","6359658","0",,
