"编号","名称","备注","称谓","造型id","随机造型id","显示血量","显示等级","战斗单位类型","怪物类型","特殊类型","职业","类型","大小比例","area1colour","area2colour","是否倒地","对应宠物","颜色几率id","是否绑定","等级模式","NPC等级","怪物匹配最小等级","怪物匹配最大等级","能否捕捉","能否捕捉2","捕捉几率","逃跑几率","免疫状态id","控制几率修正","被控制几率修正","进战斗默认连击点","怒气上限","进战斗默认怒气","命中系数","命中常数","最大生命队伍中最大攻击力系数","最大生命系数","最大魔法系数","物攻系数","物防系数","法攻系数","法防系数","速度系数","治疗强度系数","控制命中系数","控制抗性系数","最大生命常数","最大魔法常数","物攻常数","物防常数","法攻常数","法防常数","速度常数","治疗强度常数","控制命中常数","控制抗性常数","物理暴击系数","物理抗暴系数","物理暴伤系数","法术暴击系数","法术抗暴系数","法术暴伤系数","治疗暴击系数","治疗暴击量系数","物理穿透系数","物理抵抗系数","法术穿透系数","法术抵抗系数","治疗加深系数","被治疗加深系数","控制加成系数","控制免疫系数","物理暴击常数","物理抗暴常数","物理暴伤常数","法术暴击常数","法术抗暴常数","法术暴伤常数","治疗暴击常数","治疗暴击量常数","物理穿透常数","物理抵抗常数","法术穿透常数","法术抵抗常数","治疗加深常数","被治疗加深常数","控制加成常数","控制免疫常数","额外属性1ID","额外属性1数值","额外属性2ID","额外属性2数值","额外属性3ID","额外属性3数值","额外属性4ID","额外属性4数值","额外属性5ID","额外属性5数值","额外属性6ID","额外属性6数值","额外属性7ID","额外属性7数值","额外属性8ID","额外属性8数值","额外属性9ID","额外属性9数值","额外属性10ID","额外属性10数值","反击几率","反击伤害系数","AI编号","技能1编号","技能1出现几率","技能1施放几率","技能1系数","技能1常数","技能2编号","技能2出现几率","技能2施放几率","技能2系数","技能2常数","技能3编号","技能3出现几率","技能3施放几率","技能3系数","技能3常数","技能4编号","技能4出现几率","技能4施放几率","技能4系数","技能4常数","技能5编号","技能5出现几率","技能5施放几率","技能5系数","技能5常数","技能6编号","技能6出现几率","技能6施放几率","技能6系数","技能6常数"
"24104","捣乱的哼哼","职业任务战斗任务","","1010128","","1","0","5","1","","","1","1","0","0","0","0","1","0","1","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","57.1","40.24","7.78","0","6.42","0","3.11","3.34","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","207001","1000","500","1","0.0","207005","1000","500","1","0.0","0","1000","500","1","0.0","0","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24105","捣乱的哼哼","职业任务战斗任务","","1010124","","1","0","5","1","","","1","1","0","0","0","0","1","0","1","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","57.1","40.24","7.78","0","6.42","0","3.11","3.34","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","207002","1000","500","1","0.0","207006","1000","500","1","0.0","0","1000","500","1","0.0","0","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24106","捣乱的哼哼","职业任务战斗任务","","1010113","","1","0","5","1","","","1","1","0","0","0","0","1","0","1","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","57.1","40.24","7.78","0","6.42","0","3.11","3.34","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","207003","1000","500","1","0.0","207007","1000","500","1","0.0","0","1000","500","1","0.0","0","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24107","捣乱的哼哼","职业任务战斗任务","","1010114","","1","0","5","1","","","1","1","0","0","0","0","1","0","1","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","57.1","40.24","7.78","0","6.42","0","3.11","3.34","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","207004","1000","500","1","0.0","207008","1000","500","1","0.0","0","1000","500","1","0.0","0","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24108","捣乱的哈哈","职业任务战斗任务","","1010115","","1","0","5","1","","","1","1","0","0","0","0","1","0","1","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","57.1","40.24","7.78","0","6.42","0","3.11","3.34","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","206035","1000","500","1","0.0","207015","1000","500","1","0.0","0","1000","500","1","0.0","0","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24109","捣乱的哈哈","职业任务战斗任务","","1010112","","1","0","5","1","","","1","1","0","0","0","0","1","0","1","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","57.1","40.24","7.78","0","6.42","0","3.11","3.34","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","206036","1000","500","1","0.0","207009","1000","500","1","0.0","0","1000","500","1","0.0","0","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24110","捣乱的哈哈","职业任务战斗任务","","1010141","","1","0","5","1","","","1","1","0","0","0","0","1","0","1","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","57.1","40.24","7.78","0","6.42","0","3.11","3.34","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","206037","1000","500","1","0.0","207012","1000","500","1","0.0","0","1000","500","1","0.0","0","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24111","捣乱的哈哈","职业任务战斗任务","","1010135","","1","0","5","1","","","1","1","0","0","0","0","1","0","1","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","57.1","40.24","7.78","0","6.42","0","3.11","3.34","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","207010","1000","500","1","0.0","207013","1000","500","1","0.0","0","1000","500","1","0.0","0","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24112","心魔","","","1010150","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","0.0","100.0","0.0","0","0.0","0","0.0","0","0","0","8","100.0","100.0","0","100.0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","","110001","1000","500","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24113","女妖","","","1010151","","1","0","5","1","1","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","170.27","45.88","8.9600000000000009","3.38","10.210000000000001","12.2951","5.2373000000000003","4.0996753246753297","10.72","10.54","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","17006","150001","1000","300","1","0.0","150002","1000","300","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24114","恶魔","","","1010152","","1","0","5","1","2","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","449.01","45.88","4.6500000000000004","2.6429999999999998","8.85","4.2140000000000004","5.2373000000000003","13.1496753246753","10.72","10.54","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","17006","140001","1000","300","1","0.0","140003","1000","300","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24115","冤魂","","","1010149","","1","0","5","1","3","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","173.74","45.88","8.94","7.6050000000000004","10.210000000000001","4.2140000000000004","5.2373000000000003","4.21233766233766","10.72","10.54","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","17006","160001","1000","300","1","0.0","160002","1000","300","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24116","僵尸","","","1010143","","1","0","5","1","4","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","147.68","45.88","8.8699999999999992","7.6050000000000004","10.32","12.2951","5.2373000000000003","4.1526832955404398","10.72","10.54","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","17006","110001","1000","300","1","0.0","110002","1000","300","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24117","巫妖","","","1010127","","1","0","5","1","5","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","237.43","45.88","8.9600000000000009","2.5548999999999999","10.210000000000001","4.0479500000000002","5.2373000000000003","3.9553287981859402","10.72","10.54","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","17006;17007","120001","1000","300","1","0.0","120002","1000","300","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24118","游荡的幽灵","","","1010129","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","191002","1000","100","1","0.0","191000","1000","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24119","恶臭僵尸","","","1010122","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","140001","1000","100","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24120","暗焰恶魔","","","1010145","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","150001","1000","100","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24121","丛林巨魔","","","1010139","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","110001","1000","100","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24122","狂暴土元素","","","1010133","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","191002","1000","100","1","0.0","191000","1000","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24123","胆小的地精","","","1010117","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","140001","1000","100","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24124","虚空恶魔","","","1010138","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","150001","1000","100","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24125","邪恶狼人","","","1010121","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","110001","1000","100","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24126","暗焰魔","","","1010148","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","110001","1000","100","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24127","天灾恶魂","","","1010150","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","62.58","40.24","3.14","1.454","4.0199999999999996","2.8969999999999998","2.59","6.1428571428571298E-2","10.4","10.3","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","17005;17009","180011","1000","1000","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24128","天灾魔王","","","1010152","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","131.84","48.2","9.5","2.101","10.7","3.8149999999999999","7.6275000000000004","4.8495238095238102","10.8","10.6","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","191002","1000","300","1","0.0","191001","1000","300","1","0.0","191003","1000","300","1","0.0","191000","1000","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
"24129","燃烧战将","","","1010131","","1","0","5","1","","","1","1","0","0","0","0","1","0","2","0","0","150","0","false","0","0","0","0","0","0","90000","150","1000.0","100.0","0.0","67.650000000000006","43.06","3.58","1.5880000000000001","4.37","2.9820000000000002","2.875","0.182142857142857","10.56","10.42","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114","0","114","0","0","0","36","36","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","191002","1000","100","1","0.0","191000","1000","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0"
