"编号","名称","策划备注（战斗ID用途）","称谓","造型id","随机造型id","显示血量","显示等级","战斗单位类型","怪物类型","特殊类型","职业","类型","大小比例","area1colour","area2colour","是否倒地","对应宠物","颜色几率id","是否绑定","等级模式","NPC等级","怪物匹配最小等级","怪物匹配最大等级","能否捕捉","能否捕捉2","捕捉几率","逃跑几率","免疫状态id","控制几率修正","被控制几率修正","最大生命队伍中最大攻击力系数","进战斗默认连击点","怒气上限","进战斗默认怒气","命中系数","命中常数","最大生命系数","最大魔法系数","物攻系数","物防系数","法攻系数","法防系数","速度系数","治疗强度系数","控制命中系数","控制抗性系数","最大生命常数","最大魔法常数","物攻常数","物防常数","法攻常数","法防常数","速度常数","治疗强度常数","控制命中常数","控制抗性常数","物理暴击系数","物理抗暴系数","物理暴伤系数","法术暴击系数","法术抗暴系数","法术暴伤系数","治疗暴击系数","治疗暴击量系数","物理穿透系数","物理抵抗系数","法术穿透系数","法术抵抗系数","治疗加深系数","被治疗加深系数","控制加成系数","控制免疫系数","物理暴击常数","物理抗暴常数","物理暴伤常数","法术暴击常数","法术抗暴常数","法术暴伤常数","治疗暴击常数","治疗暴击量常数","物理穿透常数","物理抵抗常数","法术穿透常数","法术抵抗常数","治疗加深常数","被治疗加深常数","控制加成常数","控制免疫常数","额外属性1ID","额外属性1数值","额外属性2ID","额外属性2数值","额外属性3ID","额外属性3数值","额外属性4ID","额外属性4数值","额外属性5ID","额外属性5数值","额外属性6ID","额外属性6数值","额外属性7ID","额外属性7数值","额外属性8ID","额外属性8数值","额外属性9ID","额外属性9数值","额外属性10ID","额外属性10数值","反击几率","反击伤害系数","AI编号","技能1编号","技能1出现几率","技能1施放几率","技能1系数","技能1常数","技能2编号","技能2出现几率","技能2施放几率","技能2系数","技能2常数","技能3编号","技能3出现几率","技能3施放几率","技能3系数","技能3常数","技能4编号","技能4出现几率","技能4施放几率","技能4系数","技能4常数","技能5编号","技能5出现几率","技能5施放几率","技能5系数","技能5常数","技能6编号","技能6出现几率","技能6施放几率","技能6系数","技能6常数","是否远程"
"29414","恐惧魔王","新手战斗","","1010152","","1","0","5","2","","","4","1.25","0","0","1","0","1","0","4","1","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","757","240","611","50","291","40","184","26","10","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","-1000","0","0","-1000","0","0","0","0","0","0","0","0","0","0","810","0","820","-10","","","","","","","","","","","","","","","","","0","0","16171","180025","1000","1000","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29415","天灾亡灵","新手战斗","","1010127","","1","0","5","1","","","4","1","0","0","0","0","1","0","4","1","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","1760","240","110","50","88","40","4","27","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9999","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16167","150002","1000","1000","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29416","天灾亡灵","新手战斗","","1010127","","1","0","5","1","","","4","1","0","0","0","0","1","0","4","1","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","1760","240","110","50","88","40","84","27","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9999","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16168","150002","1000","1000","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29417","天灾亡灵","新手战斗","","1010127","","1","0","5","1","","","4","1","0","0","0","0","1","0","4","1","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","1760","240","110","50","88","40","4","27","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9999","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16169","150002","1000","1000","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29418","天灾亡灵","新手战斗","","1010127","","1","0","5","1","","","4","1","0","0","0","0","1","0","4","1","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","1760","240","110","50","88","40","84","27","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9999","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16170","150002","1000","1000","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29504","卫兵","8502","","1010130","","1","0","5","1","","","4","1","0","0","0","0","1","1","4","4","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","257","240","111","50","91","40","39","23","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0",,"0","0","0","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29505","劣人","8502","","1020102","","1","0","5","1","","13","4","1","0","0","1","0","1","0","4","5","0","150","0","false","0","0","0","0","0","0.1","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","257","240","111","50","91","40","34","23","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16006","731000","1000","0","1","0.0","731001","1000","1000","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29506","暗夜男","8502","","1020117","","1","0","5","1","","","4","1","0","0","1","0","1","0","4","4","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","257","240","111","50","91","40","37","23","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16003","712001","1000","800","1","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29507","卫兵","8502被揍","","1010130","","1","0","5","1","","","4","1","0","0","0","0","1","1","4","4","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","257","240","111","50","91","40","34","23","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16002","0","0","0","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29508","哀木涕","8502","","1020101","","1","0","5","1","","11","4","1","0","0","1","0","1","0","4","4","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","257","240","111","50","91","40","34","23","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16004","713001","1000","1000","1","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29509","沐丝","8502","","1020114","","1","0","5","1","","16","4","1","0","0","1","0","1","0","4","4","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","257","240","111","50","91","40","34","23","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16005","761001","1000","1000","1","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29510","哀木涕","8503","","1020101","","1","0","5","1","","11","4","1","0","0","1","0","1","0","4","6","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","257","240","111","50","91","40","39","23","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16058","713001","1000","1000","1","0.0","0","0","0","0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29511","沐丝","8503","","1020114","","1","0","5","1","","16","4","1","0","0","1","0","1","0","4","6","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","257","240","111","50","91","40","39","23","10","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","20033","761001","1000","1000","1","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29512","天灾亡灵","8503","","1010122","","1","0","5","1","","","4","1","2","0","0","0","1","0","4","4","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","303","243","112","50","92","40","34","27","11","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0",,"110001","1000","1000","1","0.0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29513","天灾亡灵","8503","","1010122","","1","0","5","1","","","4","1","0","0","0","0","1","0","4","4","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","0","0","0","0","0","0","0","0","0","0","262","243","112","50","92","40","34","24","11","10","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0.0","0.0",
"29520","哀木涕","8504","","1020101","","1","0","5","1","","11","4","1","0","0","1","0","1","0","1","7","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","62.05","43.06","12.28","0","11.81","0","4.03","3.71","10.56","10.42","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","13002","711001","1000","200","1","0.0","711002","1000","200","1","0.0","711003","1000","200","1","0.0","711004","1000","200","1","0.0","711005","1000","200","1","0.0","0","0","0","0.0","0.0",
"29521","沐丝","8504","","1020114","","1","0","5","1","","16","4","1","0","0","1","0","1","0","1","7","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","62.05","43.06","12.28","0","11.81","0","4.03","3.71","10.56","10.42","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","20000","761001","1000","1000","1","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0","0","0","0.0","0.0",
"29522","大小姐","8504","","1020108","","1","0","5","1","","","4","1","0","0","1","0","1","0","1","7","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","132.17","45.88","17.03","3.52","16.34","2.61","18.23","9.18","10.84","10.66","550","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","20010","723002","1000","200","1","0.0","723001","1000","200","1","0.0","723002","1000","200","1","0.0","723001","1000","200","1","0.0","0","0","0","1","0.0","0","0","0","0.0","0.0",
"29523","暗夜男","8504","","1020117","","1","0","5","1","","","4","1","0","0","1","0","1","0","1","7","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","159.79","45.88","14.46","0","13.65","0","13.67","11.41","10.84","10.66","550","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","","110003","1000","1000","1","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","1","0.0","0","0","0","0.0","0.0",
"29524","方砖","8504","","1020118","","1","0","5","1","","","4","1","0","0","1","0","1","0","1","7","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","132.17","45.88","17.03","3.52","16.34","2.61","11.72","9.18","10.84","10.66","550","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16022","722000","1000","300","1","0.0","722001","1000","300","1","0.0","722002","1000","300","1","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","0.0","0.0",
"29525","劣人","8504","","1020102","","1","0","5","1","","13","4","1","0","0","1","0","1","0","1","7","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","62.05","43.06","12.28","0","11.81","0","7.48","3.71","10.56","10.42","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16021","731000","1000","0","1","0.0","731001","1000","1000","1","0.0","0","0","0","0.0","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","0.0","0.0",
"29526","傻馒","8504","","1020105","","1","0","5","1","","17","4","1","0","0","1","0","1","0","1","7","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","62.05","43.06","12.28","0","11.81","0","7.48","3.71","10.56","10.42","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0","16023","771001","1000","1000","1","0.0","0","0","0","0","0.0","0","0","0","0","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","0.0","0.0",
"29527","桶牛","8504","","1020133","","1","0","5","1","","11","4","1","0","0","1","0","1","0","1","7","0","150","0","false","0","0","0","0","0","0.0","0","150","150","100.0","100.0","62.05","43.06","12.28","0","11.81","0","4.03","3.71","10.56","10.42","200","200","100","50","80","40","30","20","0","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0.6","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","0","820","0","","","","","","","","","","","","","","","","","0","0",,"711001","1000","1000","1","0.0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","1","0.0","0","0","0","1","0.0","0","0","0","0.0","0.0",
